Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,14.55,14.93,14.50,14.73,22215300,14.73
2011-07-28,14.94,15.22,14.80,14.83,19623600,14.83
2011-07-27,15.34,15.41,14.91,14.93,22741800,14.93
2011-07-26,15.58,15.72,15.43,15.48,14939100,15.48
2011-07-25,15.62,15.79,15.58,15.65,13298900,15.65
2011-07-22,15.82,15.85,15.71,15.83,11819700,15.83
2011-07-21,15.59,15.80,15.48,15.77,18836800,15.77
2011-07-20,15.54,15.68,15.46,15.51,18781600,15.51
2011-07-19,15.29,15.49,15.25,15.44,23360900,15.44
2011-07-18,15.35,15.36,15.10,15.17,22661400,15.17
2011-07-15,15.52,15.60,15.37,15.48,20403300,15.48
2011-07-14,15.90,15.93,15.40,15.46,21693400,15.46
2011-07-13,15.83,16.04,15.76,15.85,22665300,15.85
2011-07-12,15.79,16.10,15.70,15.71,34178900,15.71
2011-07-11,16.11,16.16,15.70,15.91,42933200,15.91
2011-07-08,16.25,16.39,16.12,16.38,19374000,16.38
2011-07-07,16.37,16.60,16.25,16.49,26133800,16.49
2011-07-06,16.31,16.39,16.15,16.24,18895000,16.24
2011-07-05,16.40,16.42,16.20,16.39,19494300,16.39
2011-07-01,15.99,16.36,15.89,16.31,18556500,16.31
2011-06-30,15.90,16.15,15.82,15.86,22186300,15.86
2011-06-29,15.84,15.96,15.58,15.82,17483000,15.82
2011-06-28,15.37,15.67,15.33,15.65,15036900,15.65
2011-06-27,15.22,15.39,15.04,15.28,13410700,15.28
2011-06-24,15.34,15.55,15.14,15.23,25744500,15.23
2011-06-23,15.01,15.30,14.70,15.28,27057200,15.28
2011-06-22,15.29,15.60,15.21,15.29,16108300,15.29
2011-06-21,14.94,15.42,14.92,15.37,18323200,15.37
2011-06-20,14.67,14.85,14.56,14.78,12150500,14.78
2011-06-17,14.85,14.90,14.59,14.72,24072000,14.72
2011-06-16,14.90,15.13,14.62,14.79,24206200,14.79
2011-06-15,15.17,15.27,14.88,14.96,26207300,14.96
2011-06-14,15.22,15.50,15.21,15.41,17340800,15.41
2011-06-13,15.29,15.44,14.91,15.10,19396100,15.10
2011-06-10,15.42,15.60,15.17,15.28,19188300,15.28
2011-06-09,15.49,15.62,15.35,15.50,16703100,15.50
2011-06-08,15.60,15.74,15.33,15.41,21042400,15.41
2011-06-07,15.74,16.03,15.69,15.69,21477700,15.69
2011-06-06,15.92,15.97,15.55,15.61,16488400,15.61
2011-06-03,15.89,16.10,15.77,15.92,17788300,15.92
2011-06-02,16.17,16.43,16.03,16.20,19689100,16.20
2011-06-01,16.63,16.67,16.07,16.09,21046600,16.09
2011-05-31,16.73,16.83,16.48,16.81,18600600,16.81
2011-05-27,16.46,16.55,16.40,16.48,11483800,16.48
2011-05-26,16.21,16.46,16.10,16.37,17943400,16.37
2011-05-25,16.33,16.37,16.00,16.33,15432800,16.33
2011-05-24,16.08,16.30,15.87,16.11,20715500,16.11
2011-05-23,15.96,16.09,15.83,15.98,23128400,15.98
2011-05-20,16.61,16.69,16.26,16.26,24802800,16.26
