Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,63.87,64.01,63.35,63.87,1592400,63.87
2011-07-18,64.41,64.41,63.50,63.69,2104600,63.69
2011-07-15,64.80,64.96,63.94,64.57,1373000,64.57
2011-07-14,65.32,65.52,64.68,64.77,1656800,64.77
2011-07-13,64.94,65.72,64.86,65.02,1219200,65.02
2011-07-12,64.25,65.63,64.10,64.82,2006500,64.82
2011-07-11,64.83,65.17,64.37,64.49,1085500,64.49
2011-07-08,65.46,65.74,65.00,65.64,1277500,65.64
2011-07-07,65.89,66.21,65.45,66.16,1023900,66.16
2011-07-06,65.30,65.40,64.92,65.29,1147100,65.29
2011-07-05,66.26,66.28,65.15,65.30,1647000,65.30
2011-07-01,65.68,66.35,65.61,66.26,1856800,66.26
2011-06-30,66.24,66.25,65.54,65.82,1529300,65.82
2011-06-29,65.05,66.14,64.95,66.08,2331500,66.08
2011-06-28,64.67,64.82,64.43,64.71,1737200,64.71
2011-06-27,63.82,65.08,63.82,64.73,1213500,64.38
2011-06-24,64.42,64.57,63.77,63.95,2049300,63.60
2011-06-23,64.13,64.68,63.50,64.48,1519700,64.13
2011-06-22,64.64,65.40,64.62,64.79,1797500,64.44
2011-06-21,64.78,65.24,64.30,64.85,2292800,64.50
2011-06-20,64.01,64.75,63.50,64.49,2048400,64.14
2011-06-17,65.07,65.41,64.23,64.31,2803100,63.96
2011-06-16,64.17,65.12,64.17,64.76,2385100,64.41
2011-06-15,65.32,65.39,64.11,64.25,2679800,63.90
2011-06-14,66.20,66.20,65.35,65.74,2028500,65.38
2011-06-13,65.74,66.23,65.53,65.74,1591200,65.38
2011-06-10,66.43,66.46,65.59,65.99,1919600,65.63
2011-06-09,66.43,66.97,65.91,66.83,1219800,66.47
2011-06-08,67.30,67.32,66.24,66.28,1917500,65.92
2011-06-07,67.53,67.92,67.27,67.31,1385000,66.95
2011-06-06,67.96,68.40,67.08,67.24,1421500,66.88
2011-06-03,67.62,68.71,67.50,68.10,1756600,67.73
2011-06-02,67.87,68.44,67.64,68.35,1181300,67.98
2011-06-01,68.72,69.26,67.85,67.96,2676100,67.59
2011-05-31,69.14,69.23,68.63,68.82,2101900,68.45
2011-05-27,67.92,68.64,67.72,68.58,2432800,68.21
2011-05-26,67.33,67.82,67.10,67.65,1774700,67.28
2011-05-25,67.62,67.96,67.24,67.62,1588000,67.25
2011-05-24,67.93,68.14,67.55,67.78,2101700,67.41
2011-05-23,68.02,68.37,67.82,67.89,1360000,67.52
2011-05-20,69.16,69.27,68.57,68.61,1519100,68.24
2011-05-19,69.83,69.83,68.85,69.20,1808000,68.83
2011-05-18,68.54,69.35,68.38,69.35,1764800,68.98
2011-05-17,67.54,68.67,66.99,68.59,1815100,68.22
2011-05-16,67.63,68.31,67.34,67.63,1163800,67.26
2011-05-13,68.41,68.73,67.65,67.80,1239900,67.43
2011-05-12,67.53,68.58,67.34,68.49,1378300,68.12
2011-05-11,68.14,68.67,67.54,67.91,1749700,67.54
2011-05-10,67.48,68.47,67.25,68.45,1678100,68.08
2011-05-09,67.30,67.50,66.68,67.36,1388000,67.00
2011-05-06,67.37,67.86,66.98,67.24,1599200,66.88
2011-05-05,66.35,67.95,66.35,66.80,2693600,66.44
2011-05-04,67.66,67.77,66.25,66.47,1871400,66.11
2011-05-03,66.57,67.55,66.55,67.51,1621500,67.14
2011-05-02,67.74,67.81,66.64,66.80,1776500,66.44
2011-04-29,67.29,67.82,67.16,67.25,2456400,66.89
2011-04-28,66.32,67.37,66.19,67.28,2441500,66.92
2011-04-27,65.66,66.42,65.44,66.19,2093800,65.83
2011-04-26,65.30,65.75,65.23,65.37,1700000,65.02
2011-04-25,65.17,65.56,64.90,65.45,1458700,65.10
2011-04-21,64.82,65.54,64.54,65.32,2015600,64.97
2011-04-20,65.03,65.19,64.10,64.32,2465600,63.97
2011-04-19,65.08,65.10,64.12,64.48,1885100,64.13
2011-04-18,65.14,65.25,64.33,64.85,2508700,64.50
2011-04-15,65.88,66.12,65.68,65.88,3498400,65.52
2011-04-14,66.00,66.57,65.68,66.20,3527900,65.84
2011-04-13,66.79,66.85,66.24,66.40,2348400,66.04
2011-04-12,66.17,66.92,66.00,66.61,2736300,66.25
2011-04-11,65.72,66.65,65.72,66.62,2039600,66.26
2011-04-08,66.05,66.24,65.52,65.79,1629700,65.43
2011-04-07,66.14,66.67,65.70,65.81,1965800,65.45
2011-04-06,66.64,66.78,66.10,66.48,2078200,66.12
2011-04-05,66.38,67.16,66.06,66.43,3052300,66.07
2011-04-04,66.00,67.37,66.00,66.96,3240700,66.60
2011-04-01,65.10,65.88,64.90,65.84,2312800,65.48
2011-03-31,63.80,65.24,63.74,64.70,4065300,64.35
2011-03-30,64.23,64.24,63.75,64.17,1754400,63.82
2011-03-29,63.41,64.24,63.05,64.01,2000100,63.34
2011-03-28,62.54,63.53,62.15,63.19,1739100,62.52
2011-03-25,62.30,62.79,61.73,62.37,1852600,61.71
2011-03-24,62.00,62.19,61.47,62.14,1569400,61.49
2011-03-23,61.56,62.01,61.00,61.75,1703200,61.10
2011-03-22,62.02,62.50,61.73,61.75,2738600,61.10
2011-03-21,61.39,62.13,61.15,62.09,1939400,61.44
2011-03-18,61.29,61.91,60.72,60.83,2494700,60.19
2011-03-17,60.86,61.22,60.42,60.81,2111600,60.17
2011-03-16,59.99,60.98,59.86,60.29,3550600,59.65
2011-03-15,59.70,60.48,59.55,60.15,1842800,59.52
2011-03-14,60.75,61.65,60.74,61.09,1323700,60.45
2011-03-11,60.64,61.52,59.55,61.39,1789600,60.74
2011-03-10,61.75,61.97,61.02,61.05,1793100,60.41
2011-03-09,62.35,62.50,61.94,62.28,856800,61.62
2011-03-08,62.32,63.03,62.22,62.59,1442000,61.93
2011-03-07,62.60,62.66,61.88,62.11,2044200,61.46
2011-03-04,62.62,62.74,61.93,62.69,2488400,62.03
2011-03-03,62.06,63.29,62.00,62.74,3077700,62.08
2011-03-02,62.41,62.41,61.35,61.53,2145300,60.88
2011-03-01,63.25,63.33,62.57,62.58,2804200,61.92
2011-02-28,63.24,63.54,62.89,63.25,1974100,62.58
2011-02-25,62.77,63.46,62.45,63.28,1736200,62.61
2011-02-24,64.02,64.25,61.73,62.64,3913600,61.98
2011-02-23,64.64,64.99,64.14,64.29,3786900,63.61
2011-02-22,65.03,65.70,63.96,64.84,4117300,64.16
2011-02-18,63.62,65.79,63.20,65.74,3593200,65.05
2011-02-17,62.67,63.65,62.67,63.34,1362100,62.67
2011-02-16,62.46,63.10,62.16,62.88,1160000,62.22
2011-02-15,62.32,62.85,62.00,62.38,1580500,61.72
2011-02-14,63.25,63.52,62.23,62.50,2090200,61.84
2011-02-11,63.63,63.70,63.25,63.44,1424100,62.77
2011-02-10,63.77,64.05,63.41,63.75,1110100,63.08
2011-02-09,63.94,64.44,63.62,64.08,1735400,63.40
2011-02-08,62.96,64.29,62.83,64.27,1935500,63.59
2011-02-07,62.68,63.27,62.68,62.83,1677500,62.17
2011-02-04,63.20,63.45,62.87,63.06,1329000,62.40
2011-02-03,61.98,63.35,61.63,63.29,2247500,62.62
2011-02-02,62.03,62.71,61.93,62.50,1983400,61.84
2011-02-01,62.20,62.42,61.40,62.16,1954000,61.51
2011-01-31,61.79,62.24,61.33,61.59,1688100,60.94
2011-01-28,63.18,63.29,61.11,61.17,2101000,60.53
2011-01-27,62.65,63.29,62.19,63.19,1611600,62.52
2011-01-26,62.28,62.68,61.93,62.45,1299400,61.79
2011-01-25,60.77,62.30,60.46,62.13,2778600,61.48
2011-01-24,60.37,60.85,60.16,60.70,1899100,60.06
2011-01-21,60.00,60.51,59.55,60.51,2027900,59.87
2011-01-20,60.35,61.12,60.35,60.71,1448800,60.07
2011-01-19,60.63,60.79,60.23,60.57,1409900,59.93
2011-01-18,60.87,61.04,60.60,60.66,2006900,60.02
2011-01-14,60.73,60.90,60.41,60.79,1972800,60.15
2011-01-13,60.75,60.89,60.46,60.87,1152100,60.23
2011-01-12,61.06,61.60,60.76,60.85,1563400,60.21
2011-01-11,60.69,61.23,60.52,60.74,1400900,60.10
2011-01-10,60.95,61.25,60.24,60.46,1561700,59.82
2011-01-07,61.53,61.83,60.83,61.26,1424500,60.61
2011-01-06,61.86,62.06,61.60,61.72,1434700,61.07
2011-01-05,62.01,62.48,61.80,61.99,1870800,61.34
2011-01-04,62.11,62.67,61.94,62.20,1598700,61.54
2011-01-03,62.73,62.83,62.09,62.24,1818000,61.58
2010-12-31,62.19,62.55,62.00,62.25,1367600,61.59
2010-12-30,62.23,62.63,62.00,62.37,1054300,61.71
2010-12-29,62.29,62.52,62.00,62.28,1334900,61.62
2010-12-28,62.14,62.33,61.94,62.29,885200,61.63
2010-12-27,61.79,62.20,61.79,62.06,747200,61.41
2010-12-23,61.92,62.29,61.92,62.13,1027900,61.48
2010-12-22,61.71,62.28,61.71,62.14,1342200,61.49
2010-12-21,61.06,62.03,60.82,61.80,3636800,61.15
2010-12-20,61.50,61.60,60.29,60.96,3027500,60.32
2010-12-17,61.48,61.59,60.98,61.05,2623300,60.41
2010-12-16,60.96,61.49,60.74,61.49,2232400,60.84
2010-12-15,60.44,61.35,60.40,60.78,2353400,60.14
2010-12-14,60.78,61.49,60.62,60.68,1953800,60.04
2010-12-13,60.52,61.58,60.50,60.95,2689500,59.98
2010-12-10,59.67,60.38,59.61,60.28,2297600,59.32
2010-12-09,59.58,59.68,59.06,59.50,2000700,58.55
2010-12-08,59.19,59.56,59.03,59.40,2021400,58.46
2010-12-07,59.58,59.70,59.11,59.24,2168800,58.30
2010-12-06,59.30,59.41,59.02,59.06,1606800,58.12
2010-12-03,59.69,59.81,59.12,59.43,1510700,58.49
2010-12-02,59.55,60.17,59.48,59.84,2135100,58.89
2010-12-01,59.31,59.62,58.90,59.48,1527500,58.53
2010-11-30,58.93,59.28,58.43,58.52,2652000,57.59
2010-11-29,58.49,59.40,58.36,59.27,1392100,58.33
2010-11-26,59.02,59.31,58.90,58.91,539100,57.97
2010-11-24,59.09,59.69,58.82,59.68,1171400,58.73
2010-11-23,59.25,59.68,58.72,58.77,2499500,57.84
2010-11-22,60.00,60.23,59.75,60.14,1195000,59.18
2010-11-19,60.17,60.53,59.83,60.45,1828600,59.49
2010-11-18,59.55,60.43,59.34,60.27,1789300,59.31
2010-11-17,58.84,59.20,58.65,58.99,1511200,58.05
2010-11-16,59.84,60.00,58.76,58.89,2122700,57.95
2010-11-15,59.98,60.65,59.93,60.07,1168000,59.12
2010-11-12,60.00,60.34,59.79,59.80,1374100,58.85
2010-11-11,60.78,60.83,60.12,60.16,2008400,59.20
2010-11-10,60.17,61.10,60.14,61.08,2166900,60.11
2010-11-09,61.10,61.20,60.03,60.24,2102700,59.28
2010-11-08,61.73,61.78,60.85,61.11,1202400,60.14
2010-11-05,62.08,62.49,61.51,61.88,1576700,60.90
2010-11-04,61.17,62.41,61.00,62.26,2010900,61.27
2010-11-03,60.68,60.91,59.92,60.54,1635600,59.58
2010-11-02,60.62,60.97,60.47,60.57,1386600,59.61
2010-11-01,59.81,60.94,59.67,60.30,1423800,59.34
2010-10-29,59.83,59.83,59.25,59.42,1390700,58.48
2010-10-28,61.00,61.15,59.27,59.69,2046900,58.74
2010-10-27,60.74,60.91,59.88,60.45,2306500,59.49
2010-10-26,60.64,61.38,60.42,61.26,1947800,60.29
2010-10-25,60.72,61.09,60.56,60.72,1685000,59.76
2010-10-22,60.63,61.00,60.25,60.38,1382700,59.42
2010-10-21,60.80,60.99,60.18,60.43,1895800,59.47
2010-10-20,59.59,60.84,59.48,60.57,2035500,59.61
2010-10-19,59.96,60.60,59.19,59.41,1886500,58.47
2010-10-18,59.88,60.40,59.57,60.40,1394400,59.44
2010-10-15,59.96,60.04,59.58,59.67,1639200,58.72
2010-10-14,59.63,60.19,59.48,59.74,2076800,58.79
2010-10-13,59.75,60.00,59.58,59.69,1855200,58.74
2010-10-12,58.85,59.75,58.66,59.69,1545200,58.74
2010-10-11,58.87,59.35,58.78,59.18,736400,58.24
2010-10-08,58.91,59.12,58.62,58.91,1465200,57.97
2010-10-07,59.30,59.49,58.70,59.01,1271400,58.07
2010-10-06,59.30,59.46,58.93,59.10,1289800,58.16
2010-10-05,58.36,59.57,57.75,59.50,2253600,58.55
2010-10-04,58.08,58.47,57.75,58.10,1235000,57.18
2010-10-01,58.68,58.86,57.65,58.19,1633200,57.27
2010-09-30,58.03,58.97,58.03,58.25,3516000,57.32
2010-09-29,57.79,58.06,57.50,57.74,2210300,56.82
2010-09-28,57.76,58.56,57.28,58.42,1519800,57.17
2010-09-27,57.87,58.28,57.53,57.57,1210700,56.34
2010-09-24,57.38,58.54,57.31,58.05,2054600,56.80
2010-09-23,57.36,57.69,56.85,56.85,1986000,55.63
2010-09-22,58.55,58.86,57.53,57.63,2140200,56.39
2010-09-21,58.90,59.14,58.41,58.71,1670700,57.45
2010-09-20,57.95,58.94,57.79,58.80,1405300,57.54
2010-09-17,57.98,58.36,57.54,57.90,3902600,56.66
2010-09-16,57.47,57.90,57.30,57.79,2370500,56.55
2010-09-15,57.00,57.87,56.70,57.71,1602600,56.47
2010-09-14,57.00,57.50,56.45,57.36,2414400,56.13
2010-09-13,56.00,56.71,55.85,56.68,2312800,55.46
2010-09-10,55.58,55.83,55.41,55.55,1876500,54.36
2010-09-09,55.57,55.97,55.26,55.63,1940900,54.44
2010-09-08,54.34,55.27,54.34,55.03,2168400,53.85
2010-09-07,54.98,55.05,54.15,54.20,1927300,53.04
2010-09-03,54.99,55.27,54.50,55.24,3222500,54.06
2010-09-02,54.73,54.81,54.41,54.53,2794000,53.36
2010-09-01,53.98,54.73,53.76,54.62,4521300,53.45
2010-08-31,53.35,53.54,52.75,53.47,5040700,52.32
2010-08-30,54.31,54.33,53.38,53.43,2136800,52.28
2010-08-27,53.74,54.34,53.00,54.34,2298900,53.17
2010-08-26,53.66,53.70,53.12,53.44,2275700,52.29
2010-08-25,52.92,53.53,52.35,53.39,2734000,52.24
2010-08-24,52.97,53.20,52.42,52.88,2883900,51.75
2010-08-23,53.80,53.87,53.37,53.48,1514600,52.33
2010-08-20,52.91,53.54,52.91,53.51,1722900,52.36
2010-08-19,54.17,54.17,53.26,53.32,2295600,52.18
2010-08-18,54.44,54.80,53.91,54.40,2291700,53.23
2010-08-17,53.96,54.84,53.96,54.55,2473400,53.38
2010-08-16,53.03,53.61,52.74,53.52,1962100,52.37
2010-08-13,52.16,53.83,52.16,53.42,2389100,52.27
2010-08-12,52.03,53.06,51.75,52.97,2713500,51.83
2010-08-11,53.57,53.70,52.42,52.43,1797000,51.31
2010-08-10,53.65,54.47,53.59,54.16,1773400,53.00
2010-08-09,53.54,54.24,53.52,54.20,1540100,53.04
2010-08-06,53.44,53.56,52.64,53.56,2107900,52.41
2010-08-05,54.11,54.31,53.65,53.74,1514700,52.59
2010-08-04,53.66,54.30,53.45,54.25,3722400,53.09
2010-08-03,53.09,53.55,53.00,53.32,2165300,52.18
2010-08-02,53.74,53.74,52.96,53.26,2626700,52.12
2010-07-30,52.68,53.33,52.43,53.08,3509900,51.94
2010-07-29,53.43,53.85,52.45,52.97,3565500,51.83
2010-07-28,53.52,54.04,52.15,52.97,4770600,51.83
2010-07-27,53.00,53.55,52.98,53.47,4093100,52.32
2010-07-26,52.55,53.16,52.55,52.82,4283300,51.69
2010-07-23,52.73,53.14,52.51,52.75,3474300,51.62
2010-07-22,52.98,53.25,52.64,52.91,4908200,51.45
2010-07-21,53.80,54.01,52.35,52.47,5506700,51.02
2010-07-20,52.75,53.54,52.55,53.50,3828800,52.03
2010-07-19,53.91,53.91,53.00,53.32,4106400,51.85
2010-07-16,54.55,54.98,53.55,53.70,4447300,52.22
2010-07-15,54.96,55.11,54.29,55.00,7620800,53.48
2010-07-14,55.81,55.92,55.06,55.20,73235200,53.68
2010-07-13,55.29,55.96,55.27,55.88,9211500,54.34
2010-07-12,54.60,55.30,54.55,55.02,9753700,53.50
2010-07-09,55.45,55.66,54.58,54.69,18243500,53.18
2010-07-08,52.02,52.29,51.68,52.22,2170900,50.78
2010-07-07,51.59,51.89,50.83,51.89,3317100,50.46
2010-07-06,51.46,51.74,50.44,50.86,2991700,49.46
2010-07-02,51.50,51.73,50.62,50.83,2324600,49.43
2010-07-01,51.50,51.79,50.58,51.20,2326800,49.79
2010-06-30,51.89,52.33,51.42,51.48,3020200,50.06
2010-06-29,52.79,52.95,51.51,51.77,3985700,50.34
2010-06-28,53.18,53.72,52.82,53.38,3621600,51.91
2010-06-25,53.14,53.53,52.11,53.20,22405800,51.73
2010-06-24,52.57,53.15,52.45,52.79,3706400,51.34
2010-06-23,53.18,53.44,52.52,52.88,3553600,51.42
2010-06-22,53.24,54.12,53.24,53.50,4685600,52.03
2010-06-21,53.89,53.95,53.04,53.36,1512600,51.89
2010-06-18,52.55,53.29,52.43,53.08,2699200,51.62
2010-06-17,52.02,52.58,51.89,52.55,1575000,51.10
2010-06-16,52.05,52.46,51.93,52.11,1577900,50.67
2010-06-15,51.44,52.45,51.13,52.32,1900800,50.88
2010-06-14,51.40,51.83,50.90,51.39,2105900,49.97
2010-06-11,50.14,51.37,50.14,51.26,1960200,49.85
2010-06-10,49.94,50.73,49.93,50.63,1982700,49.23
2010-06-09,49.49,50.10,49.02,49.43,3183200,48.07
2010-06-08,48.55,49.41,48.01,49.37,2790300,48.01
2010-06-07,48.68,48.98,48.28,48.49,2758500,47.15
2010-06-04,49.15,49.45,48.26,48.44,2655800,47.11
2010-06-03,49.31,50.17,49.08,50.09,2327600,48.71
2010-06-02,48.73,49.33,48.09,49.33,3539400,47.97
2010-06-01,49.13,49.81,48.53,48.56,4609700,47.22
2010-05-28,49.79,49.79,49.13,49.16,2552300,47.81
2010-05-27,49.01,49.81,48.84,49.81,2911200,48.44
2010-05-26,49.37,49.45,48.33,48.43,3305800,47.10
2010-05-25,48.32,48.86,47.59,48.71,4534800,47.37
2010-05-24,51.18,51.18,49.10,49.15,4841400,47.80
2010-05-21,49.57,50.04,49.18,49.94,4977600,48.56
2010-05-20,52.05,52.55,49.96,49.96,4088300,48.58
2010-05-19,52.74,53.46,52.24,52.83,3380600,51.37
2010-05-18,53.55,53.63,52.55,52.75,2259100,51.30
2010-05-17,53.03,53.41,52.51,53.31,2118900,51.84
2010-05-14,53.25,53.55,52.85,53.03,2459900,51.57
2010-05-13,53.44,54.23,53.44,53.72,3071500,52.24
2010-05-12,51.65,53.88,51.48,53.79,4820700,52.31
2010-05-11,50.87,51.79,50.69,51.63,1509700,50.21
2010-05-10,51.88,51.93,51.08,51.54,1989300,50.12
2010-05-07,50.50,51.51,50.13,50.54,1854900,49.15
2010-05-06,52.13,52.19,49.13,50.62,2382500,49.23
2010-05-05,51.60,52.51,51.60,52.26,1582000,50.82
2010-05-04,52.43,52.61,51.89,52.08,1336900,50.64
2010-05-03,53.21,53.34,52.71,52.87,2449400,51.41
2010-04-30,53.02,53.35,52.57,53.19,2459300,51.72
2010-04-29,52.66,54.17,52.12,53.14,3387600,51.68
2010-04-28,53.45,53.85,52.95,53.65,3427500,52.17
2010-04-27,52.40,52.69,51.97,52.40,3024100,50.96
2010-04-26,53.19,53.25,52.63,52.65,1882500,51.20
2010-04-23,51.96,53.14,51.80,53.13,2895300,51.67
2010-04-22,51.98,52.39,51.74,52.20,2165500,50.76
2010-04-21,52.74,52.87,52.15,52.45,2260700,51.00
2010-04-20,52.43,52.72,51.92,52.71,1981200,51.26
2010-04-19,52.23,52.54,52.07,52.42,1903700,50.98
2010-04-16,53.36,53.69,52.50,52.62,1736000,51.17
2010-04-15,53.60,53.65,53.22,53.35,1584300,51.88
2010-04-14,53.64,53.91,53.46,53.89,1598000,52.41
2010-04-13,52.93,53.51,52.89,53.40,1495200,51.93
2010-04-12,53.32,53.47,52.87,53.05,1244400,51.59
2010-04-09,53.55,53.71,53.22,53.44,1669600,51.97
2010-04-08,53.33,53.45,53.00,53.30,1413900,51.83
2010-04-07,52.57,53.66,52.32,53.56,2215700,52.08
2010-04-06,52.65,52.92,52.39,52.73,1585900,51.28
2010-04-05,52.45,53.05,52.08,52.56,1694300,51.11
2010-04-01,52.47,52.82,52.44,52.82,1386500,51.36
2010-03-31,52.59,52.60,52.21,52.30,1563200,50.86
2010-03-30,52.76,52.88,52.58,52.61,1080400,51.16
