Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,52.71,53.18,52.39,53.03,2294900,53.03
2011-07-18,52.74,52.91,51.99,52.34,1958100,52.34
2011-07-15,53.38,53.59,52.72,53.11,2672900,53.11
2011-07-14,53.83,54.12,53.17,53.29,1868600,53.29
2011-07-13,54.03,54.29,53.56,53.69,1745300,53.69
2011-07-12,53.93,54.20,53.50,53.81,2293000,53.81
2011-07-11,54.02,54.17,53.67,53.87,2010900,53.87
2011-07-08,54.45,54.90,53.77,54.50,2748300,54.50
2011-07-07,54.36,55.02,54.33,55.02,2805600,55.02
2011-07-06,53.69,54.28,53.57,54.00,2089200,54.00
2011-07-05,54.00,54.00,53.51,53.67,2347600,53.67
2011-07-01,52.56,53.99,52.48,53.89,2969800,53.89
2011-06-30,52.79,52.79,52.41,52.68,2392500,52.68
2011-06-29,52.10,52.70,51.90,52.53,3421000,52.53
2011-06-28,51.68,52.17,51.40,52.09,2392100,52.09
2011-06-27,51.16,51.85,50.82,51.62,2180400,51.62
2011-06-24,52.00,52.04,51.14,51.22,2823700,51.22
2011-06-23,51.84,51.96,51.35,51.92,4240900,51.92
2011-06-22,52.58,52.87,52.36,52.37,2243200,52.37
2011-06-21,52.51,52.83,52.08,52.70,2130700,52.70
2011-06-20,51.64,52.72,51.28,52.40,2477000,52.40
2011-06-17,52.53,52.64,51.59,51.67,4326200,51.67
2011-06-16,51.96,51.96,51.35,51.81,2776700,51.81
2011-06-15,52.20,52.42,51.51,51.66,3111700,51.66
2011-06-14,53.05,53.15,52.62,52.68,3288100,52.68
2011-06-13,52.65,52.84,51.77,52.65,3157200,52.65
2011-06-10,52.56,52.65,51.94,51.94,3498100,51.94
2011-06-09,52.60,53.06,52.29,52.72,2081900,52.72
2011-06-08,52.69,52.78,52.27,52.47,3038100,52.47
2011-06-07,53.25,53.54,52.88,52.99,3297300,52.63
2011-06-06,53.25,53.49,52.92,53.15,2552000,52.79
2011-06-03,53.69,53.79,53.06,53.28,3221100,52.92
2011-06-02,54.40,54.57,53.95,54.27,2661800,53.90
2011-06-01,54.88,55.10,54.42,54.42,4457800,54.05
2011-05-31,54.76,55.12,54.39,55.11,4273600,54.74
2011-05-27,53.60,54.16,53.60,54.13,1962100,53.76
2011-05-26,53.23,53.80,52.95,53.63,2466400,53.27
2011-05-25,53.33,53.47,53.06,53.33,3222900,52.97
2011-05-24,53.48,53.58,53.10,53.24,2735100,52.88
2011-05-23,53.43,53.62,53.23,53.42,2800000,53.06
2011-05-20,54.22,54.43,53.84,54.17,2453400,53.80
2011-05-19,54.46,54.86,54.16,54.25,2872000,53.88
2011-05-18,53.64,54.30,53.30,54.24,2152100,53.87
2011-05-17,53.36,53.78,53.19,53.68,2618700,53.32
2011-05-16,53.91,54.09,53.42,53.58,2915900,53.22
2011-05-13,54.47,54.73,53.85,54.01,2942400,53.64
2011-05-12,53.82,54.61,53.68,54.58,3100000,54.21
2011-05-11,54.15,54.20,53.37,53.79,3100000,53.42
2011-05-10,53.94,54.42,53.90,54.16,3018300,53.79
2011-05-09,53.42,54.12,53.42,53.92,3046200,53.55
2011-05-06,54.15,54.23,53.36,53.59,3804800,53.23
2011-05-05,54.14,54.14,53.23,53.54,3400000,53.18
2011-05-04,54.49,54.89,53.96,54.31,3539100,53.94
2011-05-03,54.60,54.96,54.03,54.41,3000000,54.04
2011-05-02,54.55,54.89,54.32,54.70,2741000,54.33
2011-04-29,54.11,54.46,54.08,54.36,3684100,53.99
2011-04-28,54.18,54.27,53.83,54.21,2000000,53.84
2011-04-27,53.65,54.33,53.60,54.28,1754200,53.91
2011-04-26,53.25,53.96,53.25,53.82,1900000,53.45
2011-04-25,52.80,53.29,52.77,53.17,1800600,52.81
