Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,28.43,28.75,28.26,28.69,1583300,28.69
2011-07-18,28.77,28.80,28.30,28.36,1445300,28.36
2011-07-15,28.83,28.95,28.69,28.81,1130400,28.81
2011-07-14,28.90,29.04,28.78,28.81,1400500,28.81
2011-07-13,28.93,29.11,28.77,28.89,2083600,28.89
2011-07-12,28.42,29.01,28.42,28.87,1659400,28.87
2011-07-11,28.75,28.81,28.52,28.55,1123900,28.55
2011-07-08,29.00,29.09,28.79,29.04,999400,29.04
2011-07-07,29.21,29.21,28.97,29.15,737400,29.15
2011-07-06,29.00,29.14,28.91,29.01,884800,29.01
2011-07-05,29.11,29.25,28.86,29.04,1312600,29.04
2011-07-01,28.91,29.24,28.81,29.21,875900,29.21
2011-06-30,28.89,28.89,28.59,28.84,1302300,28.84
2011-06-29,28.70,28.74,28.51,28.69,1456200,28.69
2011-06-28,28.55,28.67,28.49,28.57,1322300,28.57
2011-06-27,28.30,28.62,28.29,28.52,1493400,28.52
2011-06-24,28.06,28.33,28.02,28.26,2038600,28.26
2011-06-23,28.15,28.22,27.78,28.01,1823200,28.01
2011-06-22,28.70,28.85,28.46,28.49,1338900,28.49
2011-06-21,28.86,29.10,28.70,28.87,1280400,28.87
2011-06-20,28.34,28.82,28.21,28.79,3063300,28.79
2011-06-17,28.27,28.46,28.18,28.39,2019800,28.39
2011-06-16,28.01,28.29,27.95,28.11,1841000,28.11
2011-06-15,28.30,28.48,27.94,28.06,1762900,28.06
2011-06-14,28.67,28.67,28.31,28.45,1308100,28.45
2011-06-13,28.46,28.64,28.25,28.46,1354100,28.46
2011-06-10,28.48,28.54,28.34,28.36,1051100,28.36
2011-06-09,28.68,28.70,28.48,28.51,1746200,28.51
2011-06-08,28.74,28.91,28.62,28.68,2160600,28.68
2011-06-07,28.73,29.04,28.73,28.75,1583300,28.75
2011-06-06,28.75,28.87,28.44,28.65,1450200,28.65
2011-06-03,29.08,29.27,28.98,29.07,1653100,28.68
2011-06-02,29.37,29.37,29.00,29.29,2233800,28.90
2011-06-01,29.69,29.74,29.19,29.23,2150200,28.84
2011-05-31,29.84,29.92,29.58,29.71,2414400,29.32
2011-05-27,29.78,29.88,29.63,29.69,1007900,29.30
2011-05-26,29.42,29.80,29.30,29.62,2045400,29.23
2011-05-25,29.53,29.64,29.10,29.53,1601200,29.14
2011-05-24,29.46,29.75,29.34,29.47,1474600,29.08
2011-05-23,29.66,29.87,29.44,29.46,1350200,29.07
2011-05-20,29.71,30.14,29.55,30.02,2529700,29.62
2011-05-19,29.72,29.75,29.49,29.71,1632800,29.32
2011-05-18,29.89,29.89,29.44,29.58,2636600,29.19
2011-05-17,29.76,30.10,29.76,29.82,1748500,29.43
2011-05-16,29.65,30.14,29.63,29.91,2272300,29.51
2011-05-13,29.80,29.88,29.45,29.69,1199600,29.30
2011-05-12,29.43,29.85,29.41,29.81,1532400,29.42
2011-05-11,29.69,29.77,29.36,29.54,1558000,29.15
2011-05-10,29.36,29.89,29.27,29.80,1900500,29.41
2011-05-09,29.08,29.28,28.99,29.22,1036700,28.83
2011-05-06,29.12,29.25,28.96,29.09,1262400,28.70
2011-05-05,29.25,29.25,28.69,28.88,1844400,28.50
2011-05-04,29.48,29.53,29.00,29.21,4001700,28.82
2011-05-03,29.57,29.93,29.38,29.56,1938800,29.17
2011-05-02,29.39,29.56,29.32,29.54,1596200,29.15
2011-04-29,29.29,29.35,29.06,29.31,1071900,28.92
2011-04-28,28.89,29.30,28.86,29.26,1182600,28.87
2011-04-27,28.86,29.10,28.82,28.92,2043000,28.54
