Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,37.01,37.33,36.66,36.86,10784700,36.86
2011-07-28,37.51,37.67,37.13,37.16,10073000,37.16
2011-07-27,37.69,37.92,37.56,37.69,3723400,37.69
2011-07-26,37.82,37.82,37.55,37.70,2924200,37.70
2011-07-25,37.49,37.88,37.47,37.74,2618200,37.74
2011-07-22,38.11,38.12,37.61,37.71,2163700,37.71
2011-07-21,37.79,38.12,37.75,38.02,3335700,38.02
2011-07-20,37.42,37.76,37.26,37.60,2154800,37.60
2011-07-19,37.27,37.46,36.89,37.39,3090700,37.39
2011-07-18,37.45,37.45,36.98,37.11,3033000,37.11
2011-07-15,37.64,37.70,37.28,37.48,3719200,37.48
2011-07-14,38.00,38.09,37.49,37.57,3218000,37.57
2011-07-13,38.21,38.41,37.86,37.97,2488600,37.97
2011-07-12,37.83,38.36,37.83,38.16,2818400,38.16
2011-07-11,38.05,38.07,37.78,37.92,2570200,37.92
2011-07-08,38.35,38.46,38.15,38.35,2752000,38.35
2011-07-07,38.80,38.83,38.27,38.52,2924300,38.52
2011-07-06,38.63,38.75,38.35,38.50,4145600,38.50
2011-07-05,38.14,38.98,37.75,38.51,7517200,38.51
2011-07-01,37.78,38.26,37.64,38.18,2490000,38.18
2011-06-30,37.69,37.71,37.35,37.68,2539900,37.68
2011-06-29,37.43,37.68,37.29,37.57,2606200,37.57
2011-06-28,37.35,37.44,37.11,37.43,2636400,37.43
2011-06-27,37.26,37.37,37.15,37.30,2754400,37.30
2011-06-24,37.39,37.55,37.04,37.10,3810700,37.10
2011-06-23,37.34,37.39,36.90,37.30,3103500,37.30
2011-06-22,37.76,37.86,37.51,37.58,2264900,37.58
2011-06-21,38.11,38.18,37.80,37.88,2653200,37.88
2011-06-20,37.58,37.93,37.41,37.91,5782800,37.91
2011-06-17,37.54,37.95,37.44,37.64,4122600,37.64
2011-06-16,36.87,37.46,36.87,37.35,2808400,37.35
2011-06-15,37.16,37.40,36.84,36.93,2572500,36.93
2011-06-14,37.33,37.46,37.02,37.32,2754700,37.32
2011-06-13,37.27,37.31,37.07,37.13,2562200,37.13
2011-06-10,37.54,37.54,36.99,37.12,3661500,37.12
2011-06-09,37.68,37.73,37.40,37.46,2897600,37.46
2011-06-08,37.60,37.73,37.40,37.66,3093700,37.66
2011-06-07,37.65,37.99,37.54,37.57,3074900,37.57
2011-06-06,37.47,37.65,37.20,37.58,3395600,37.58
2011-06-03,37.71,37.88,37.47,37.51,4336300,37.51
2011-06-02,38.16,38.16,37.74,37.97,2633700,37.97
2011-06-01,38.22,38.34,38.02,38.02,3040700,38.02
2011-05-31,38.50,38.51,37.98,38.20,4695100,38.20
2011-05-27,38.44,38.65,38.15,38.32,3122400,38.32
2011-05-26,38.40,38.46,38.03,38.37,2882000,38.37
2011-05-25,38.53,38.74,38.25,38.53,5013700,38.53
2011-05-24,38.66,38.93,38.48,38.85,5724700,38.85
2011-05-23,38.30,38.67,38.10,38.39,3943200,38.39
2011-05-20,38.45,38.72,38.21,38.55,3598100,38.55
2011-05-19,38.84,38.94,38.33,38.48,3647100,38.48
2011-05-18,38.82,38.84,38.22,38.74,3735100,38.74
2011-05-17,38.10,38.99,38.06,38.85,7623800,38.85
2011-05-16,37.59,38.06,37.56,37.72,4281900,37.72
2011-05-13,37.60,37.70,37.38,37.58,3456200,37.58
2011-05-12,36.80,37.72,36.75,37.63,7811000,37.63
2011-05-11,36.80,36.99,36.68,36.86,2689400,36.86
2011-05-10,36.64,37.04,36.58,36.85,4297600,36.85
2011-05-09,36.43,36.55,36.17,36.48,2511500,36.48
2011-05-06,36.43,36.66,36.07,36.33,4011800,36.33
2011-05-05,36.62,36.96,36.55,36.66,3761500,36.20
2011-05-04,36.96,37.17,36.34,36.64,8382100,36.18
2011-05-03,36.55,37.17,36.50,36.95,3699900,36.49
2011-05-02,36.60,36.64,36.48,36.54,4209400,36.08
2011-04-29,36.37,36.56,36.22,36.48,2200000,36.02
2011-04-28,36.24,36.39,36.11,36.38,3856400,35.92
2011-04-27,35.98,36.32,35.93,36.23,3744500,35.78
2011-04-26,35.82,35.95,35.63,35.88,2500000,35.43
2011-04-25,35.70,35.70,35.28,35.59,1694600,35.14
2011-04-21,35.56,35.61,35.32,35.49,2190600,35.04
2011-04-20,35.50,35.61,35.26,35.53,3353800,35.08
2011-04-19,35.31,35.39,34.86,35.13,2983600,34.69
2011-04-18,35.20,35.45,34.96,35.31,2887900,34.87
2011-04-15,35.23,35.57,35.12,35.46,3941400,35.02
2011-04-14,34.93,35.21,34.75,35.17,2410100,34.73
2011-04-13,34.83,35.11,34.72,34.92,3957700,34.48
2011-04-12,34.75,34.94,34.37,34.59,4659500,34.16
2011-04-11,35.25,35.37,34.69,34.78,4095600,34.34
2011-04-08,35.64,35.64,35.15,35.31,2291500,34.87
2011-04-07,35.50,35.52,35.32,35.47,1757500,35.02
2011-04-06,35.40,35.62,35.35,35.57,2505000,35.12
2011-04-05,35.33,35.50,35.28,35.30,1562300,34.86
2011-04-04,35.60,35.60,35.22,35.45,2248200,35.01
2011-04-01,35.22,35.60,35.22,35.52,2388200,35.07
2011-03-31,35.42,35.54,35.10,35.14,3466900,34.70
2011-03-30,35.22,35.58,35.14,35.50,2972300,35.05
2011-03-29,34.81,35.22,34.62,35.10,3634600,34.66
2011-03-28,34.75,34.92,34.69,34.69,2671800,34.25
2011-03-25,34.92,34.96,34.65,34.71,2032400,34.27
2011-03-24,34.67,34.92,34.56,34.81,3220600,34.37
2011-03-23,34.05,34.65,34.05,34.50,4964700,34.07
2011-03-22,34.15,34.36,34.01,34.16,5757600,33.73
2011-03-21,34.13,34.22,33.82,34.06,5441600,33.63
2011-03-18,33.88,33.99,33.62,33.81,7615500,33.39
2011-03-17,34.60,34.62,33.47,33.60,10061400,33.18
2011-03-16,34.85,34.90,34.15,34.26,6060400,33.83
