Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,41.48,42.30,40.41,41.49,6208600,41.49
2011-07-28,41.65,43.34,41.51,41.99,9145400,41.99
2011-07-27,43.96,44.05,41.36,41.72,11366400,41.72
2011-07-26,42.83,43.06,42.55,42.62,3692900,42.62
2011-07-25,42.85,43.43,42.77,42.83,2514400,42.83
2011-07-22,43.19,43.41,42.74,43.34,3320600,43.34
2011-07-21,43.61,43.75,43.22,43.22,5487400,43.22
2011-07-20,43.49,43.72,43.06,43.41,2588700,43.41
2011-07-19,43.29,43.43,42.64,43.27,6842900,43.27
2011-07-18,43.10,43.60,42.52,42.95,3253700,42.95
2011-07-15,43.64,43.74,43.18,43.36,4378300,43.36
2011-07-14,43.56,44.04,43.21,43.44,2487300,43.44
2011-07-13,43.64,44.19,43.27,43.39,3230600,43.39
2011-07-12,42.86,43.88,42.77,43.34,4615800,43.34
2011-07-11,43.67,43.72,42.86,43.01,2748500,42.86
2011-07-08,43.82,44.31,43.56,44.30,2940100,44.15
2011-07-07,45.20,45.39,44.00,44.40,3961200,44.25
2011-07-06,44.75,45.13,44.52,44.89,2309200,44.73
2011-07-05,45.26,45.27,44.47,44.69,2767200,44.53
2011-07-01,44.12,45.31,44.10,45.23,3585200,45.07
2011-06-30,44.66,45.00,44.00,44.09,4931300,43.94
2011-06-29,44.75,44.88,44.41,44.56,4182400,44.40
2011-06-28,43.54,45.03,43.51,44.66,4433100,44.50
2011-06-27,43.42,43.47,42.73,43.30,3395000,43.15
2011-06-24,43.59,43.82,42.67,43.28,5436100,43.13
2011-06-23,43.81,43.81,42.65,43.63,5815300,43.48
2011-06-22,44.60,45.23,44.22,44.26,3730200,44.11
2011-06-21,45.03,45.40,44.49,44.63,4509100,44.47
2011-06-20,43.13,44.88,43.12,44.77,3623900,44.61
2011-06-17,43.73,43.82,43.11,43.21,3581200,43.06
2011-06-16,43.07,43.36,42.41,43.35,3892900,43.20
2011-06-15,43.91,44.48,42.99,43.05,4918800,42.90
2011-06-14,43.38,44.75,43.32,44.38,4458600,44.23
2011-06-13,42.75,43.26,42.68,42.75,1946900,42.60
2011-06-10,43.67,43.70,42.44,42.86,3180900,42.71
2011-06-09,42.57,44.16,42.42,43.92,4451100,43.77
2011-06-08,42.44,42.61,41.88,42.41,2698300,42.26
2011-06-07,42.98,43.25,42.54,42.59,2491500,42.44
2011-06-06,42.90,42.90,42.21,42.53,3146000,42.38
2011-06-03,43.24,43.61,43.07,43.20,2508200,43.05
2011-06-02,43.31,43.91,43.17,43.79,2889900,43.64
2011-06-01,43.63,43.75,43.21,43.21,3095000,43.06
2011-05-31,43.86,44.12,43.32,43.68,5393400,43.53
2011-05-27,43.75,43.78,43.11,43.59,2888200,43.44
2011-05-26,43.38,43.84,42.83,43.65,4284800,43.50
2011-05-25,43.43,43.68,42.95,43.43,4346800,43.28
2011-05-24,44.19,44.37,43.19,43.22,5325200,43.07
2011-05-23,44.58,44.67,43.90,44.39,4852500,44.24
2011-05-20,45.87,45.87,44.71,45.06,4929200,44.90
2011-05-19,45.65,46.01,45.34,45.90,5693900,45.74
2011-05-18,44.14,45.63,44.07,45.41,7148200,45.25
2011-05-17,44.44,44.44,43.82,44.06,4598700,43.91
2011-05-16,43.69,44.86,43.35,44.66,7503500,44.50
2011-05-13,43.64,43.93,43.29,43.85,7225500,43.70
2011-05-12,42.60,42.89,42.06,42.83,4415000,42.68
2011-05-11,42.75,42.99,42.12,42.75,4765700,42.60
2011-05-10,42.75,43.00,42.23,42.85,4151300,42.70
2011-05-09,41.69,42.60,41.66,42.54,4341400,42.39
2011-05-06,42.08,42.40,41.69,41.86,4251100,41.71
2011-05-05,41.08,41.93,40.66,41.80,5146200,41.65
2011-05-04,41.29,41.78,41.06,41.24,5031000,41.10
2011-05-03,41.85,42.14,41.42,41.44,5526500,41.30
2011-05-02,41.54,42.35,41.54,42.07,6150200,41.92
2011-04-29,41.52,41.56,41.06,41.38,4413800,41.24
2011-04-28,42.66,42.89,41.39,41.45,9103200,41.31
2011-04-27,39.94,40.15,39.36,39.81,4665000,39.67
2011-04-26,39.35,39.74,39.15,39.69,4200000,39.55
2011-04-25,39.02,39.14,38.42,38.79,2799400,38.65
2011-04-21,38.45,39.11,38.20,39.06,6710900,38.92
2011-04-20,37.28,37.59,36.90,37.02,2297900,36.89
2011-04-19,36.55,36.86,36.35,36.80,1598500,36.67
2011-04-18,37.07,37.07,36.10,36.52,2621400,36.39
2011-04-15,37.64,37.77,37.34,37.43,2649600,37.30
2011-04-14,37.30,37.54,36.93,37.49,2445000,37.36
2011-04-13,37.99,37.99,37.26,37.44,3236000,37.31
2011-04-12,36.67,37.79,36.54,37.67,5496000,37.54
2011-04-11,36.87,37.36,36.84,36.89,2245900,36.61
2011-04-08,37.25,37.32,36.54,36.75,2528100,36.47
2011-04-07,37.33,37.94,36.97,37.04,3378100,36.76
2011-04-06,37.81,37.95,37.18,37.35,2314000,37.07
2011-04-05,37.90,38.02,37.43,37.70,3370300,37.42
2011-04-04,37.81,38.05,37.63,37.94,2631200,37.65
2011-04-01,37.53,37.91,37.39,37.68,2349100,37.40
2011-03-31,37.14,37.45,37.03,37.43,3382400,37.15
2011-03-30,37.19,38.01,37.06,37.60,3669000,37.32
2011-03-29,36.85,37.19,36.82,37.01,2194300,36.73
2011-03-28,36.95,37.17,36.76,36.89,2365200,36.61
2011-03-25,37.11,37.48,36.61,36.79,5164300,36.51
2011-03-24,35.66,36.48,35.64,36.44,3139800,36.17
2011-03-23,35.29,35.61,34.95,35.49,2867000,35.22
2011-03-22,35.70,35.83,35.25,35.43,5116600,35.16
2011-03-21,35.55,35.96,35.32,35.57,3497900,35.30
2011-03-18,35.19,35.65,35.02,35.11,5035000,34.85
2011-03-17,35.19,35.37,34.42,34.80,3858000,34.54
2011-03-16,35.83,35.96,34.68,34.75,7085600,34.49
2011-03-15,35.26,36.21,34.96,35.98,5225300,35.71
2011-03-14,36.22,36.41,35.60,36.04,3289800,35.77
2011-03-11,36.88,37.11,36.22,36.50,3283300,36.22
2011-03-10,37.62,37.66,36.74,36.86,3805700,36.58
2011-03-09,37.68,38.17,37.27,38.05,2849100,37.76
2011-03-08,37.63,37.95,37.17,37.76,3456000,37.48
2011-03-07,38.45,38.76,37.36,37.64,3168200,37.36
2011-03-04,38.84,39.06,37.91,38.34,4320000,38.05
2011-03-03,37.93,39.23,37.93,38.87,4376300,38.58
2011-03-02,37.34,38.07,37.26,37.69,3359300,37.41
2011-03-01,37.55,37.89,37.31,37.34,3039600,37.06
2011-02-28,37.59,37.86,37.21,37.36,4998500,37.08
2011-02-25,38.00,38.30,37.20,37.33,6152800,37.05
2011-02-24,36.97,38.02,36.89,37.93,4601500,37.64
2011-02-23,37.25,37.65,36.71,37.05,4787800,36.77
2011-02-22,37.76,38.25,37.23,37.27,3815900,36.99
2011-02-18,38.35,38.64,38.11,38.29,2740000,38.00
2011-02-17,37.80,38.45,37.53,38.36,2970900,38.07
2011-02-16,37.32,38.18,37.09,37.98,3705900,37.69
2011-02-15,37.32,37.54,36.72,37.16,5779000,36.88
2011-02-14,37.54,37.64,37.06,37.43,4365700,37.15
2011-02-11,37.34,37.97,37.25,37.65,3453400,37.37
2011-02-10,37.15,37.52,36.96,37.46,2704500,37.18
2011-02-09,37.42,37.87,37.25,37.32,3488500,37.04
2011-02-08,37.01,38.10,36.85,37.64,5999700,37.36
2011-02-07,37.88,38.06,36.69,36.87,5817100,36.59
2011-02-04,37.75,38.10,35.93,37.42,14234700,37.14
2011-02-03,33.40,33.64,32.53,33.27,6028900,33.02
2011-02-02,33.60,33.71,33.32,33.40,1776400,33.15
2011-02-01,33.16,33.85,33.14,33.80,1948700,33.55
2011-01-31,33.13,33.35,32.83,32.94,3392400,32.69
2011-01-28,34.07,34.10,32.93,32.95,2748400,32.70
2011-01-27,33.50,34.28,33.31,34.12,3010900,33.86
2011-01-26,33.52,33.84,33.29,33.48,3402500,33.23
2011-01-25,32.82,33.66,32.80,33.50,2244200,33.25
