Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,36.03,36.52,35.54,35.62,1616400,35.62
2011-07-28,34.97,36.43,34.80,35.84,1934300,35.84
2011-07-27,34.98,35.15,34.62,34.89,1371900,34.89
2011-07-26,35.10,35.34,34.96,35.29,976600,35.29
2011-07-25,34.65,35.37,34.49,35.21,1066600,35.21
2011-07-22,34.98,35.26,34.67,35.05,806400,35.05
2011-07-21,34.24,35.02,34.18,34.98,1139600,34.98
2011-07-20,34.23,34.35,33.93,33.99,499800,33.99
2011-07-19,33.86,34.30,33.76,34.19,878800,34.19
2011-07-18,34.15,34.15,33.59,33.78,917300,33.78
2011-07-15,34.77,34.81,34.15,34.36,825200,34.36
2011-07-14,35.26,35.29,34.58,34.64,876200,34.64
2011-07-13,35.18,35.56,34.95,35.14,974200,35.14
2011-07-12,34.95,35.54,34.83,35.06,1313300,35.06
2011-07-11,35.61,35.69,35.10,35.18,785800,35.18
2011-07-08,35.96,36.07,35.65,36.01,663100,36.01
2011-07-07,36.18,36.45,35.96,36.40,690000,36.40
2011-07-06,36.10,36.24,35.79,35.86,803600,35.86
2011-07-05,36.60,36.60,35.97,36.12,801500,36.12
2011-07-01,36.34,36.72,36.17,36.64,950700,36.64
2011-06-30,36.23,36.44,35.99,36.27,782400,36.27
2011-06-29,35.62,36.18,35.62,36.15,923800,36.15
2011-06-28,35.16,35.50,35.01,35.44,875000,35.44
2011-06-27,35.09,35.42,34.97,34.97,677100,34.97
2011-06-24,35.06,35.25,34.87,35.05,1323000,35.05
2011-06-23,34.99,35.11,34.47,35.01,1143600,35.01
2011-06-22,35.32,35.70,35.13,35.36,963000,35.36
2011-06-21,35.16,35.62,35.13,35.48,1163400,35.48
2011-06-20,34.88,35.27,34.66,35.02,717100,35.02
2011-06-17,35.08,35.23,34.77,35.03,1807300,35.03
2011-06-16,34.49,35.03,34.47,34.77,1020600,34.77
2011-06-15,34.92,35.04,34.50,34.52,1036700,34.52
2011-06-14,35.01,35.37,34.87,35.24,1044400,35.24
2011-06-13,34.53,34.75,34.38,34.65,835200,34.65
2011-06-10,34.89,34.89,34.27,34.48,851700,34.48
2011-06-09,34.89,35.22,34.58,35.03,764600,35.03
2011-06-08,34.92,35.13,34.69,34.86,906200,34.86
2011-06-07,35.54,35.68,34.95,34.97,1285300,34.97
2011-06-06,35.67,35.82,35.39,35.49,700300,35.49
2011-06-03,35.90,36.30,35.71,35.71,911500,35.71
2011-06-02,36.64,36.77,36.17,36.29,1050300,36.29
2011-06-01,36.90,37.07,36.50,36.51,1302100,36.51
2011-05-31,37.50,37.50,36.97,36.99,1302600,36.99
2011-05-27,37.20,37.44,36.95,37.08,786200,37.08
2011-05-26,36.94,37.38,36.68,37.07,733700,37.07
2011-05-25,37.06,37.27,36.68,37.06,891300,37.06
2011-05-24,37.51,37.56,37.10,37.23,768200,37.23
2011-05-23,37.60,37.91,37.48,37.51,645000,37.51
