Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,52.25,52.97,51.01,51.01,3668800,51.01
2011-08-01,54.93,55.08,52.15,52.69,3387300,52.69
2011-07-29,53.19,54.52,52.21,54.10,3419900,54.10
2011-07-28,53.97,55.16,52.90,53.78,4178500,53.78
2011-07-27,53.75,53.75,51.33,51.57,3345100,51.57
2011-07-26,54.11,54.78,53.67,54.14,1815000,54.14
2011-07-25,54.60,54.63,54.00,54.10,2251300,54.10
2011-07-22,55.38,55.63,54.86,55.38,1318000,55.38
2011-07-21,54.31,55.63,54.31,55.31,2605400,55.31
2011-07-20,53.74,54.12,52.85,54.05,3908400,54.05
2011-07-19,53.69,53.85,53.08,53.41,2022500,53.41
2011-07-18,53.66,53.80,52.17,53.15,2600900,53.15
2011-07-15,55.00,55.07,53.56,54.05,2461900,54.05
2011-07-14,56.22,56.35,54.65,54.75,2089600,54.75
2011-07-13,56.07,56.78,55.70,55.87,1955100,55.87
2011-07-12,54.60,56.75,54.58,55.66,3134700,55.66
2011-07-11,57.00,57.18,54.78,54.96,2631700,54.96
2011-07-08,58.26,58.36,57.43,58.14,2210400,58.14
2011-07-07,59.15,59.49,59.04,59.22,2117800,59.22
2011-07-06,57.25,58.51,56.93,58.51,2746000,58.51
2011-07-05,58.15,58.21,57.40,57.47,1621600,57.47
2011-07-01,57.62,58.59,57.59,58.39,1523100,58.39
2011-06-30,57.41,58.00,57.03,57.68,2104600,57.68
2011-06-29,56.58,57.33,56.58,57.19,2283100,57.19
2011-06-28,55.99,56.32,55.82,56.12,1142100,56.12
2011-06-27,55.21,56.08,55.13,55.81,1684300,55.81
2011-06-24,56.12,56.45,54.72,55.40,3543900,55.40
2011-06-23,55.40,56.22,54.87,56.13,1932600,56.13
2011-06-22,57.03,57.27,56.03,56.11,1743300,56.11
2011-06-21,56.75,57.63,56.75,57.34,1330900,57.34
2011-06-20,56.31,57.01,56.14,56.55,1300100,56.55
2011-06-17,56.57,57.00,56.30,56.66,2216800,56.66
2011-06-16,55.76,56.41,55.41,55.98,1629400,55.98
2011-06-15,56.61,56.95,55.63,55.76,1852000,55.76
2011-06-14,56.84,57.46,56.69,56.98,1513900,56.98
2011-06-13,56.09,56.23,55.31,56.01,2091600,56.01
2011-06-10,56.86,56.91,55.70,56.04,1817900,56.04
2011-06-09,55.84,57.64,55.75,57.29,2310300,57.29
2011-06-08,56.40,56.61,55.68,55.74,1683800,55.74
2011-06-07,57.27,57.55,56.39,56.44,2492100,56.44
2011-06-06,57.97,58.29,56.88,56.92,1545500,56.92
2011-06-03,58.21,59.24,57.74,58.23,1585200,58.23
2011-06-02,58.79,59.31,58.01,58.99,2071800,58.99
2011-06-01,60.87,60.87,58.73,58.82,2646000,58.82
2011-05-31,61.11,61.30,60.74,61.23,1827400,61.23
2011-05-27,60.67,60.70,60.23,60.37,1635900,60.37
2011-05-26,60.45,60.73,59.95,60.37,2494000,60.37
2011-05-25,60.63,61.09,59.63,60.63,1798300,60.63
2011-05-24,61.12,61.33,60.30,60.48,1656700,60.48
2011-05-23,61.41,61.60,60.93,61.01,1447700,61.01
2011-05-20,63.23,63.50,62.06,62.17,1301600,62.17
2011-05-19,62.99,63.67,62.42,63.43,2558000,63.43
2011-05-18,61.58,62.99,61.18,62.89,1696500,62.89
2011-05-17,61.85,61.88,60.66,61.50,1814300,61.50
2011-05-16,62.18,62.83,61.88,61.97,1123100,61.97
2011-05-13,63.29,63.46,61.92,62.40,1916400,62.40
2011-05-12,62.43,63.40,62.01,63.36,1900000,63.36
2011-05-11,62.75,63.68,62.22,62.51,1738000,62.51
2011-05-10,62.05,63.33,61.99,63.03,2270100,63.03
2011-05-09,61.51,62.01,61.20,61.92,1683100,61.92
2011-05-06,60.56,61.70,60.56,61.20,2704800,61.20
2011-05-05,59.99,60.62,59.74,60.06,1878400,60.06
2011-05-04,61.19,61.44,59.81,60.49,2309500,60.49
2011-05-03,61.28,61.76,60.85,61.71,1339200,61.48
2011-05-02,62.37,62.52,61.61,61.73,1378200,61.50
2011-04-29,62.20,62.39,61.70,62.06,1587900,61.83
2011-04-28,61.10,62.40,61.00,62.17,1945800,61.94
2011-04-27,61.13,61.23,59.83,61.04,2632200,60.81
2011-04-26,60.72,62.10,60.40,60.88,4100000,60.65
2011-04-25,63.40,63.54,62.18,62.62,1342700,62.39
2011-04-21,62.43,63.61,62.15,63.52,1381700,63.28
2011-04-20,62.15,62.52,61.77,62.30,1176600,62.07
2011-04-19,61.40,61.81,60.91,61.21,1165900,60.98
2011-04-18,60.78,61.64,60.47,61.34,2178500,61.11
2011-04-15,61.75,61.94,61.11,61.61,1311100,61.38
2011-04-14,61.53,61.73,61.19,61.42,1072800,61.19
2011-04-13,62.47,62.92,61.48,61.84,1054400,61.61
2011-04-12,62.10,62.76,61.76,62.05,1537900,61.82
2011-04-11,62.84,63.45,62.12,62.41,1168300,62.18
2011-04-08,63.50,63.78,62.70,62.93,1216000,62.70
2011-04-07,61.57,63.66,61.53,63.07,2918700,62.83
2011-04-06,62.37,62.54,61.38,61.52,1493300,61.29
2011-04-05,62.37,62.49,61.68,62.02,1073000,61.79
2011-04-04,62.42,62.95,62.36,62.62,1186600,62.39
2011-04-01,61.63,62.53,61.48,62.48,1676500,62.25
2011-03-31,61.33,61.47,60.96,61.08,1473600,60.85
2011-03-30,61.61,61.85,61.28,61.40,1555000,61.17
2011-03-29,60.78,61.24,60.65,61.20,1783900,60.97
2011-03-28,60.77,61.40,60.64,60.94,1520700,60.71
2011-03-25,60.26,61.12,60.01,60.86,1875000,60.63
2011-03-24,60.03,60.30,59.21,60.26,1920100,60.04
2011-03-23,59.10,60.11,58.64,59.74,2782700,59.52
2011-03-22,61.05,61.12,59.48,59.50,3288000,59.28
2011-03-21,62.18,62.19,61.08,61.18,2264400,60.95
2011-03-18,60.85,61.59,60.41,61.22,2423100,60.99
2011-03-17,59.80,60.38,59.37,59.83,1984500,59.61
2011-03-16,59.82,60.07,57.97,58.63,2638200,58.41
2011-03-15,59.16,60.28,58.75,59.95,3071400,59.73
2011-03-14,61.68,61.79,60.31,61.56,1923800,61.33
2011-03-11,61.51,62.36,61.07,62.18,1462400,61.95
2011-03-10,61.39,62.42,60.59,61.70,2297600,61.47
2011-03-09,63.34,63.69,62.07,62.21,2174700,61.98
2011-03-08,62.73,63.85,62.41,63.49,1775400,63.25
2011-03-07,63.54,64.14,62.47,62.69,1600100,62.46
2011-03-04,63.66,63.82,62.44,63.27,1991500,63.03
2011-03-03,62.43,64.20,62.43,64.00,1927800,63.76
2011-03-02,62.68,62.91,61.55,61.80,1719200,61.57
2011-03-01,63.64,64.00,62.11,62.74,1702700,62.51
2011-02-28,63.84,64.00,62.85,63.32,1485200,63.08
2011-02-25,63.76,64.00,62.97,63.52,1431100,63.28
2011-02-24,63.14,63.85,62.10,63.30,1944200,63.06
2011-02-23,63.16,63.75,62.27,63.31,2190400,63.07
2011-02-22,63.71,64.21,62.66,63.13,1853000,62.89
2011-02-18,64.37,65.12,64.01,64.73,1494900,64.49
2011-02-17,64.27,64.48,63.61,64.29,1578300,64.05
2011-02-16,63.81,64.51,63.77,64.36,1760700,64.12
2011-02-15,63.81,64.46,63.25,63.40,2348400,63.16
2011-02-14,63.84,64.80,63.64,64.29,3896700,64.05
2011-02-11,62.48,64.01,62.32,63.87,3233500,63.63
2011-02-10,60.52,61.92,59.85,61.89,2074200,61.66
2011-02-09,59.82,61.90,59.75,61.21,3758500,60.98
2011-02-08,58.50,60.28,58.50,60.14,3761200,59.74
2011-02-07,58.13,58.91,58.08,58.70,3048600,58.31
2011-02-04,57.96,58.29,57.77,58.08,3521700,57.69
2011-02-03,58.80,59.27,57.29,58.18,8080000,57.79
2011-02-02,61.89,62.75,61.72,62.47,2052700,62.05
2011-02-01,62.18,63.01,62.15,62.92,1591200,62.50
2011-01-31,60.69,62.09,60.46,61.65,1740200,61.24
2011-01-28,62.32,62.74,60.28,60.31,1651200,59.91
2011-01-27,61.34,62.56,61.26,62.49,1355400,62.07
2011-01-26,61.25,61.80,60.91,61.07,1290000,60.66
2011-01-25,60.73,61.13,60.12,61.11,1522700,60.70
2011-01-24,60.21,61.26,59.99,61.00,1192100,60.59
2011-01-21,59.97,60.80,59.97,60.36,1217900,59.96
2011-01-20,59.93,60.35,59.13,59.62,1183300,59.22
2011-01-19,60.72,60.88,59.76,59.91,1338600,59.51
2011-01-18,60.97,61.12,60.65,61.00,1673300,60.59
2011-01-14,60.51,60.94,59.97,60.88,2183700,60.47
2011-01-13,61.22,61.59,60.16,60.53,2007900,60.12
2011-01-12,61.39,61.82,60.85,61.10,1815800,60.69
