Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,58.37,58.49,57.66,58.17,5051800,58.17
2011-07-28,59.30,59.60,58.58,58.70,3962100,58.70
2011-07-27,60.32,60.39,59.18,59.23,3633800,59.23
2011-07-26,61.48,61.48,60.38,60.65,3188500,60.65
2011-07-25,61.17,62.18,61.10,61.35,3258700,61.35
2011-07-22,62.23,62.23,61.32,61.79,3418000,61.79
2011-07-21,61.35,62.50,61.02,62.41,6174900,62.41
2011-07-20,61.15,61.33,60.67,60.83,3138400,60.83
2011-07-19,60.37,61.51,60.33,61.41,4001000,61.41
2011-07-18,60.71,61.15,59.92,60.31,2393000,60.31
2011-07-15,61.20,61.58,60.35,60.80,3610700,60.80
2011-07-14,60.78,61.20,60.49,60.99,3073600,60.99
2011-07-13,60.46,61.55,60.35,60.58,3131800,60.58
2011-07-12,59.83,60.83,59.81,60.21,3280100,60.21
2011-07-11,60.23,61.03,59.70,59.88,3553200,59.88
2011-07-08,60.50,61.05,60.28,60.92,7081000,60.92
2011-07-07,60.98,61.27,60.43,61.06,5037700,61.06
2011-07-06,60.18,60.87,60.14,60.69,3754200,60.69
2011-07-05,60.00,60.32,59.48,60.17,2958300,60.17
2011-07-01,59.80,60.30,59.50,60.23,4179200,60.23
2011-06-30,59.73,59.88,59.44,59.69,3222400,59.69
2011-06-29,59.00,59.74,58.65,59.48,3019000,59.48
2011-06-28,58.99,59.05,58.64,58.83,3201500,58.83
2011-06-27,58.66,59.09,58.31,58.93,2146100,58.93
2011-06-24,58.97,59.13,58.20,58.50,3665500,58.50
2011-06-23,59.02,59.05,58.06,58.99,5921600,58.99
2011-06-22,59.77,60.00,59.59,59.66,2428300,59.66
2011-06-21,60.01,60.18,59.66,59.80,3311700,59.80
2011-06-20,58.10,60.00,58.10,59.93,4289600,59.93
2011-06-17,58.51,58.93,57.88,58.34,3823300,58.34
2011-06-16,57.98,58.59,57.85,58.01,3771600,58.01
2011-06-15,58.47,59.11,58.00,58.08,3837300,58.08
2011-06-14,58.58,58.94,58.47,58.69,3915600,58.69
2011-06-13,58.03,58.43,57.51,58.03,2119800,58.03
2011-06-10,58.51,58.51,57.52,57.61,2558000,57.61
2011-06-09,57.95,59.17,57.82,58.90,2814600,58.90
2011-06-08,57.94,58.51,57.61,57.80,3546300,57.80
2011-06-07,57.96,58.63,57.64,58.14,2821000,57.83
2011-06-06,57.81,58.05,57.58,57.65,1830000,57.34
2011-06-03,58.11,58.59,57.84,57.94,3116500,57.63
2011-06-02,58.65,58.95,58.28,58.65,2134600,58.34
2011-06-01,59.33,59.58,58.65,58.70,5027700,58.39
2011-05-31,59.10,59.55,59.00,59.52,3715500,59.20
2011-05-27,59.33,59.50,58.84,59.11,2572500,58.79
2011-05-26,59.00,59.36,58.73,59.27,3327600,58.95
2011-05-25,59.03,59.57,58.84,59.03,3303400,58.72
2011-05-24,59.10,59.69,58.95,59.45,3023100,59.13
2011-05-23,59.50,59.77,58.99,59.05,4116800,58.74
2011-05-20,60.08,60.50,59.57,60.33,2823500,60.01
2011-05-19,60.25,60.36,59.82,60.22,2193400,59.90
2011-05-18,59.63,60.36,59.55,60.26,2827200,59.94
2011-05-17,59.11,59.90,59.11,59.58,4011400,59.26
2011-05-16,59.04,59.83,58.93,59.70,4270000,59.38
2011-05-13,59.37,59.46,58.62,59.23,3294600,58.91
2011-05-12,58.48,59.42,58.39,59.37,2333200,59.05
2011-05-11,59.08,59.25,58.36,58.69,2152900,58.38
2011-05-10,59.09,59.49,58.45,59.05,4400700,58.74
2011-05-09,57.71,59.00,57.71,58.92,4613500,58.61
2011-05-06,57.71,58.21,57.44,57.79,4591800,57.48
2011-05-05,57.92,57.94,57.13,57.29,3457900,56.98
2011-05-04,57.90,58.32,57.63,58.04,4286400,57.73
2011-05-03,57.34,58.40,57.33,58.06,4685300,57.75
2011-05-02,57.17,58.30,57.14,57.61,4942300,57.30
2011-04-29,57.30,57.39,56.85,56.90,2885000,56.60
2011-04-28,56.96,57.53,56.93,57.33,2359800,57.02
2011-04-27,56.82,57.14,56.52,57.07,2930100,56.77
2011-04-26,56.36,57.00,56.05,56.94,4000000,56.64
2011-04-25,56.04,56.59,55.97,56.03,3218300,55.73
2011-04-21,55.50,56.75,55.00,56.59,6226400,56.29
2011-04-20,55.17,55.17,54.10,54.52,2907200,54.23
2011-04-19,54.01,54.10,53.39,53.75,2966400,53.46
2011-04-18,54.48,54.60,53.68,54.00,2979300,53.71
2011-04-15,54.26,55.12,54.20,54.96,6427900,54.67
2011-04-14,54.06,54.30,52.94,53.77,5491100,53.48
2011-04-13,54.44,54.56,54.06,54.14,2436100,53.85
2011-04-12,54.14,54.60,53.94,54.32,2225000,54.03
2011-04-11,53.65,54.49,53.59,54.28,2862300,53.99
2011-04-08,53.76,54.11,53.51,53.73,3003600,53.44
2011-04-07,53.59,54.21,53.43,53.55,4019100,53.26
2011-04-06,53.83,54.57,53.53,53.78,4954600,53.49
2011-04-05,54.12,54.37,53.62,53.65,2632300,53.36
2011-04-04,54.10,54.43,54.00,54.30,2279200,54.01
2011-04-01,53.94,54.10,53.72,53.91,3074300,53.62
2011-03-31,52.89,53.87,52.89,53.77,3980000,53.48
2011-03-30,53.36,53.75,52.57,53.04,3663600,52.76
2011-03-29,53.21,53.49,52.74,53.12,2385300,52.84
2011-03-28,53.06,53.63,52.95,53.30,2979500,53.02
2011-03-25,53.00,53.44,52.84,52.92,2391100,52.64
2011-03-24,52.75,53.11,52.22,53.09,3707000,52.81
2011-03-23,52.43,52.57,51.71,52.42,2715100,52.14
2011-03-22,52.96,53.41,52.56,52.66,2438500,52.38
2011-03-21,52.14,52.84,52.14,52.68,3123000,52.40
2011-03-18,51.58,52.12,51.45,51.78,3701000,51.50
2011-03-17,50.91,51.65,50.75,51.05,3213800,50.78
2011-03-16,51.01,51.24,49.98,50.22,4385400,49.95
2011-03-15,51.22,51.51,50.87,51.24,4505700,50.97
2011-03-14,53.14,53.14,52.05,52.13,2730000,51.85
2011-03-11,52.12,52.82,51.87,52.60,3999300,52.32
2011-03-10,52.40,52.81,52.09,52.11,2863400,51.83
2011-03-09,53.05,53.25,52.82,53.08,2303700,52.80
2011-03-08,53.06,53.35,52.76,53.05,2701200,52.77
2011-03-07,53.75,53.93,53.01,53.11,4155000,52.52
2011-03-04,53.78,53.97,53.47,53.80,5098700,53.20
2011-03-03,52.46,54.00,52.46,53.91,7372100,53.31
2011-03-02,52.16,52.46,51.87,51.99,2943200,51.41
2011-03-01,53.28,53.44,52.12,52.19,3895300,51.61
2011-02-28,52.80,53.19,52.35,53.15,3345100,52.56
2011-02-25,51.80,52.50,51.64,52.42,2338100,51.84
2011-02-24,51.86,52.11,51.43,51.68,2631800,51.10
2011-02-23,52.24,52.63,51.61,51.72,3573500,51.14
2011-02-22,51.92,52.75,51.80,52.30,3559300,51.72
2011-02-18,52.68,53.38,52.48,53.03,4849500,52.44
2011-02-17,51.99,52.79,51.88,52.55,5394600,51.96
2011-02-16,51.87,52.62,51.62,52.38,4520000,51.80
2011-02-15,51.54,51.99,51.25,51.61,4227000,51.04
2011-02-14,51.68,51.88,51.45,51.71,5264500,51.13
2011-02-11,49.85,51.81,49.80,51.68,7511600,51.10
2011-02-10,49.76,49.98,49.57,49.80,3240500,49.25
2011-02-09,49.14,49.90,48.99,49.84,4770000,49.28
2011-02-08,48.73,49.19,48.62,49.10,9450600,48.55
2011-02-07,48.60,49.02,48.51,48.85,6860300,48.31
2011-02-04,48.83,48.95,48.43,48.52,4952200,47.98
2011-02-03,48.32,48.46,48.03,48.38,5108400,47.84
2011-02-02,48.58,48.79,48.38,48.50,3345500,47.96
2011-02-01,48.68,49.12,48.45,48.66,6080300,48.12
2011-01-31,48.89,48.92,48.33,48.49,4476300,47.95
2011-01-28,48.90,49.57,48.52,48.60,6616100,48.06
2011-01-27,49.24,50.38,48.78,48.98,11447700,48.43
2011-01-26,50.92,51.12,50.58,50.90,6371000,50.33
2011-01-25,49.70,51.01,49.66,50.98,5246500,50.41
2011-01-24,49.38,50.00,49.31,49.67,6367700,49.12
2011-01-21,50.76,50.87,49.47,49.49,9418200,48.94
2011-01-20,50.17,50.66,50.16,50.55,3511400,49.99
2011-01-19,50.54,50.86,50.18,50.30,3282100,49.74
2011-01-18,50.76,50.95,50.42,50.81,2652700,50.24
2011-01-14,50.17,50.41,50.05,50.31,3378700,49.75
2011-01-13,50.98,51.03,50.21,50.35,3278600,49.79
2011-01-12,49.83,51.40,49.83,50.97,5272800,50.40
2011-01-11,49.34,49.88,48.81,49.63,3508800,49.08
2011-01-10,49.21,49.47,49.11,49.21,3177300,48.66
2011-01-07,50.41,50.45,49.02,49.41,4176800,48.86
2011-01-06,50.44,50.71,50.10,50.25,2704600,49.69
2011-01-05,49.89,50.76,49.63,50.69,3069200,50.13
2011-01-04,50.77,50.85,49.94,50.09,4265500,49.53
2011-01-03,50.84,50.90,50.29,50.55,4423200,49.99
2010-12-31,50.58,50.85,50.49,50.62,1083000,50.06
2010-12-30,50.83,50.88,50.34,50.72,1302100,50.16
2010-12-29,51.14,51.20,50.90,50.91,1117400,50.34
2010-12-28,50.95,51.25,50.59,51.09,1530000,50.52
2010-12-27,50.89,51.28,50.80,50.95,1211400,50.38
2010-12-23,50.49,51.40,50.49,51.09,1799500,50.52
2010-12-22,50.02,50.93,50.02,50.64,2652100,50.08
2010-12-21,51.05,51.05,50.12,50.14,2942900,49.58
2010-12-20,51.36,51.47,50.76,50.78,4178300,50.21
2010-12-17,51.74,51.80,50.67,51.27,5412200,50.70
2010-12-16,51.70,52.30,51.50,51.97,2899900,51.39
2010-12-15,51.78,51.94,51.43,51.80,3564900,51.22
2010-12-14,50.92,51.80,50.30,51.80,6234300,51.22
2010-12-13,50.25,50.82,50.24,50.36,3109000,49.80
2010-12-10,50.06,50.43,49.79,50.27,2709900,49.71
2010-12-09,49.92,49.92,49.40,49.78,1829100,49.23
2010-12-08,49.12,49.72,49.12,49.50,1948000,48.95
2010-12-07,49.75,50.04,49.38,49.43,2481800,48.57
2010-12-06,49.54,49.81,49.40,49.49,1537200,48.63
2010-12-03,49.44,50.00,49.37,49.84,1974500,48.98
2010-12-02,49.26,49.84,49.20,49.66,4055800,48.80
