Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,129.13,130.47,128.74,130.41,645500,130.41
2011-07-18,129.50,130.04,126.88,128.28,644800,128.28
2011-07-15,130.80,131.25,128.80,130.32,776800,130.32
2011-07-14,131.74,132.44,129.61,130.28,668200,130.28
2011-07-13,132.45,133.26,130.94,131.24,857400,131.24
2011-07-12,131.50,133.52,131.17,131.36,876600,131.36
2011-07-11,134.58,135.54,131.34,131.76,1115700,131.76
2011-07-08,135.08,137.09,134.64,137.08,1103300,137.08
2011-07-07,136.17,137.56,135.83,137.26,1118100,137.26
2011-07-06,133.71,135.00,132.62,134.71,847500,134.71
2011-07-05,134.27,135.31,133.17,134.30,936600,134.30
2011-07-01,130.67,134.48,130.65,134.26,1031400,134.26
2011-06-30,129.90,131.65,128.60,131.29,1071700,131.29
2011-06-29,127.54,130.08,127.49,129.28,1012000,129.28
2011-06-28,125.63,126.66,124.79,126.66,560200,126.66
2011-06-27,123.27,125.52,122.87,125.19,690500,124.94
2011-06-24,124.18,124.65,122.36,123.14,1156400,122.89
2011-06-23,123.19,124.31,122.00,124.12,961100,123.87
2011-06-22,125.64,126.60,124.80,124.84,706700,124.59
2011-06-21,125.21,127.31,124.99,126.33,920800,126.08
2011-06-20,124.02,125.10,123.48,124.32,801000,124.07
2011-06-17,124.94,125.81,123.71,124.38,750700,124.13
2011-06-16,123.04,123.99,122.56,123.60,930200,123.35
2011-06-15,124.94,125.17,122.04,122.83,1227700,122.58
2011-06-14,124.36,126.14,124.12,126.01,985300,125.76
2011-06-13,122.70,123.36,121.43,122.70,672700,122.45
2011-06-10,122.72,123.00,120.81,121.90,1014600,121.66
2011-06-09,122.56,124.65,122.30,123.47,795800,123.22
2011-06-08,123.50,123.92,122.07,122.29,859700,122.05
2011-06-07,122.78,123.94,122.29,122.47,720400,122.23
2011-06-06,123.63,124.26,121.85,121.95,958200,121.71
2011-06-03,123.38,125.20,122.49,124.10,902300,123.85
2011-06-02,124.89,126.21,123.63,125.38,1343200,125.13
2011-06-01,129.23,129.25,124.99,125.07,1323600,124.82
2011-05-31,128.59,130.12,128.59,129.58,1463100,129.32
2011-05-27,125.81,126.82,125.23,126.76,712600,126.51
2011-05-26,123.16,125.47,122.04,125.14,817400,124.89
2011-05-25,122.53,124.19,121.97,123.78,583600,123.53
2011-05-24,123.70,124.47,122.54,123.36,536400,123.11
2011-05-23,124.26,124.55,122.25,123.41,759300,123.16
2011-05-20,126.49,127.57,125.68,125.83,676900,125.58
2011-05-19,127.40,127.57,126.00,127.05,779300,126.80
2011-05-18,126.28,127.21,125.24,127.08,502700,126.83
2011-05-17,125.96,126.68,124.47,126.09,915200,125.84
2011-05-16,126.64,128.72,126.22,126.94,630200,126.69
2011-05-13,128.14,128.44,126.71,127.27,704400,127.02
2011-05-12,126.02,128.50,125.36,128.03,642000,127.77
2011-05-11,127.72,128.48,125.44,126.21,686700,125.96
2011-05-10,128.17,128.76,127.55,128.35,816700,128.09
2011-05-09,126.00,127.59,125.60,127.14,796600,126.89
2011-05-06,127.42,128.29,125.67,126.27,929400,126.02
2011-05-05,127.04,127.04,124.71,124.96,884300,124.71
2011-05-04,128.78,128.86,126.73,127.90,775300,127.64
2011-05-03,128.73,128.81,127.10,128.65,676400,128.39
2011-05-02,129.75,130.77,128.91,129.06,701300,128.80
2011-04-29,128.00,129.54,127.72,129.12,995000,128.86
