Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,179.52,179.52,173.95,174.49,1141800,174.49
2011-08-01,181.40,181.50,175.09,178.36,978800,178.36
2011-07-29,172.50,179.58,172.38,178.46,1276300,178.46
2011-07-28,177.34,178.26,174.05,175.07,1279500,175.07
2011-07-27,184.58,184.58,175.65,176.84,1612500,176.84
2011-07-26,188.73,188.73,183.52,184.42,762200,184.42
2011-07-25,185.50,187.42,184.20,186.00,393400,186.00
2011-07-22,188.21,189.99,187.50,187.92,572500,187.92
2011-07-21,184.75,188.58,184.75,187.72,728600,187.72
2011-07-20,189.57,191.49,184.14,184.50,915900,184.50
2011-07-19,181.49,183.94,179.71,183.69,1211500,183.69
2011-07-18,184.24,184.24,178.78,180.25,701000,180.25
2011-07-15,187.79,187.80,182.35,184.54,745700,184.54
2011-07-14,186.35,186.81,181.76,182.27,672400,182.27
2011-07-13,185.23,187.00,184.50,185.05,765300,185.05
2011-07-12,185.40,188.56,183.50,183.69,943500,183.69
2011-07-11,190.17,192.45,185.82,186.38,835600,186.38
2011-07-08,195.25,195.85,193.86,195.45,618200,195.45
2011-07-07,197.76,199.10,197.05,198.49,414300,198.49
2011-07-06,194.19,195.78,193.09,195.55,570600,195.55
2011-07-05,195.44,196.35,194.18,194.51,402300,194.51
2011-07-01,192.05,196.64,191.10,196.42,741100,196.42
2011-06-30,192.81,193.28,189.84,191.81,782100,191.81
2011-06-29,190.48,192.50,189.23,191.89,829200,191.89
2011-06-28,187.47,189.28,186.20,189.26,593300,189.26
2011-06-27,184.56,187.42,184.10,187.07,434200,187.07
2011-06-24,187.48,187.86,183.51,184.39,771700,184.39
2011-06-23,186.18,187.99,184.71,187.37,690500,187.37
2011-06-22,189.69,191.41,189.08,189.14,590300,189.14
2011-06-21,190.35,191.85,188.67,190.73,543000,190.73
2011-06-20,186.85,189.79,186.14,189.40,407300,189.40
2011-06-17,190.95,191.00,186.90,187.34,659200,187.34
2011-06-16,186.99,189.00,185.19,188.13,826800,188.13
2011-06-15,190.53,191.38,185.51,186.32,826600,186.32
2011-06-14,191.71,193.00,191.12,192.56,516900,192.56
2011-06-13,188.93,189.22,186.00,188.93,762100,188.93
2011-06-10,190.11,191.69,185.27,185.82,896000,185.82
2011-06-09,190.19,193.15,187.44,192.32,440500,192.32
2011-06-08,189.26,190.86,188.94,189.69,600300,189.69
