Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,99.55,101.55,97.12,97.18,12037500,97.18
2011-08-01,102.43,102.82,98.80,100.72,12865200,100.72
2011-07-29,98.32,99.97,97.28,98.79,12283000,98.79
2011-07-28,101.51,102.09,99.45,99.64,9438000,99.64
2011-07-27,104.43,104.61,101.00,101.34,10684500,101.34
2011-07-26,105.91,106.00,104.70,105.20,7155500,105.20
2011-07-25,104.16,106.30,103.80,105.66,8662500,105.66
2011-07-22,104.62,106.48,103.00,105.15,25775600,105.15
2011-07-21,111.05,112.43,110.12,111.60,9340700,111.60
2011-07-20,110.71,110.98,109.61,110.31,5761600,110.31
2011-07-19,108.89,109.97,108.20,109.64,6674600,109.64
2011-07-18,108.46,108.47,106.16,107.80,6878600,107.80
2011-07-15,108.77,109.36,107.14,109.36,6660700,108.90
2011-07-14,108.83,110.50,107.00,107.58,7394300,107.13
2011-07-13,108.48,110.42,108.34,108.64,6819200,108.18
2011-07-12,107.63,108.46,106.67,106.93,7892700,106.48
2011-07-11,108.41,109.48,107.25,108.16,7568600,107.71
2011-07-08,108.52,110.41,107.80,110.41,8293100,109.95
2011-07-07,111.57,112.65,111.25,111.63,7403800,111.16
2011-07-06,108.11,110.12,108.08,110.08,6933200,109.62
2011-07-05,107.92,108.78,107.34,108.43,6880200,107.97
2011-07-01,106.15,109.17,105.75,108.62,9153800,108.16
2011-06-30,103.36,106.93,103.32,106.46,10598400,106.01
2011-06-29,104.45,104.49,102.40,103.36,8642000,102.93
2011-06-28,101.44,104.07,101.40,103.84,7884300,103.40
2011-06-27,99.96,101.50,99.07,100.80,5614400,100.38
2011-06-24,101.05,101.10,99.44,100.01,8496400,99.59
2011-06-23,97.90,100.65,96.95,100.55,10640900,100.13
2011-06-22,101.17,102.50,100.07,100.15,7445100,99.73
2011-06-21,99.42,101.96,99.06,101.39,9638100,100.96
2011-06-20,96.49,98.37,96.05,98.18,7484700,97.77
2011-06-17,96.46,96.94,95.31,95.95,8314800,95.55
2011-06-16,95.39,96.86,94.21,95.46,8886500,95.06
2011-06-15,96.58,97.36,95.51,95.65,8143600,95.25
2011-06-14,96.85,98.45,96.13,97.86,8479700,97.45
2011-06-13,95.44,97.53,94.72,95.44,9767800,95.04
2011-06-10,98.80,98.90,96.42,96.79,9603600,96.38
2011-06-09,98.29,99.71,98.22,99.26,6167600,98.84
2011-06-08,99.21,99.86,97.77,98.04,9761100,97.63
2011-06-07,101.24,101.35,99.81,99.88,6772200,99.46
2011-06-06,100.25,101.61,99.47,99.86,8092800,99.44
2011-06-03,100.49,102.49,99.15,101.10,9508600,100.67
2011-06-02,101.82,103.72,101.31,102.19,9125300,101.76
2011-06-01,104.97,105.48,101.00,101.24,10597600,100.81
2011-05-31,106.41,106.60,104.31,105.80,6641900,105.35
2011-05-27,104.72,105.36,104.27,104.60,4511300,104.16
2011-05-26,103.07,104.68,102.03,104.19,6640000,103.75
2011-05-25,103.25,103.93,100.78,103.25,6193100,102.82
2011-05-24,102.37,102.95,101.07,101.55,7273300,101.12
2011-05-23,101.31,102.51,100.37,101.89,10095100,101.46
2011-05-20,105.24,105.50,103.60,104.33,8656800,103.89
2011-05-19,106.61,106.87,104.91,105.30,8613400,104.86
2011-05-18,102.85,105.50,101.78,105.25,9472200,104.81
2011-05-17,105.08,105.23,101.47,102.08,19186700,101.65
2011-05-16,105.87,108.27,105.07,106.09,8290800,105.64
2011-05-13,109.47,109.60,106.02,106.33,9250400,105.88
2011-05-12,109.20,109.61,107.00,108.63,9274800,108.17
2011-05-11,112.34,112.35,109.00,109.98,9670400,109.52
