Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,27.66,28.11,27.47,27.96,8578400,27.96
2011-07-18,27.49,27.67,26.91,27.37,6347700,27.37
2011-07-15,27.53,27.83,27.30,27.65,6489600,27.65
2011-07-14,27.99,28.08,27.27,27.36,8732900,27.36
2011-07-13,27.96,28.60,27.79,27.97,6367300,27.97
2011-07-12,27.87,28.25,27.60,27.74,7884200,27.74
2011-07-11,28.08,28.53,27.78,27.94,7061900,27.94
2011-07-08,28.48,28.71,28.11,28.67,6214400,28.67
2011-07-07,28.83,29.36,28.76,28.98,8550300,28.98
2011-07-06,28.59,28.77,28.04,28.52,11095200,28.52
2011-07-05,28.53,28.81,28.29,28.57,8516000,28.57
2011-07-01,28.59,28.72,28.24,28.55,11650400,28.55
2011-06-30,28.54,29.13,28.45,28.49,10356500,28.49
2011-06-29,28.22,28.54,27.93,28.36,8724300,28.36
2011-06-28,27.46,28.15,27.41,28.10,7510600,28.10
2011-06-27,26.75,27.69,26.43,27.35,9201500,27.35
2011-06-24,26.71,27.20,26.71,26.79,13420600,26.79
2011-06-23,26.21,26.74,25.68,26.70,9014600,26.70
2011-06-22,26.77,26.97,26.64,26.66,7344900,26.66
2011-06-21,26.52,27.14,26.46,26.91,8369300,26.91
2011-06-20,25.90,26.71,25.82,26.37,7130600,26.37
2011-06-17,25.63,26.54,25.60,25.88,12772500,25.88
2011-06-16,25.64,25.75,25.03,25.36,8998500,25.36
2011-06-15,25.86,26.19,25.52,25.70,10255000,25.70
2011-06-14,26.17,26.45,26.04,26.21,7924300,26.21
2011-06-13,26.20,26.51,25.65,25.82,7721200,25.82
2011-06-10,26.51,26.59,26.09,26.20,7859500,26.20
2011-06-09,26.38,26.98,26.30,26.71,9506300,26.71
2011-06-08,26.45,26.60,25.93,26.39,8211700,26.39
2011-06-07,26.72,26.93,26.53,26.55,5923800,26.45
2011-06-06,27.07,27.27,26.43,26.46,7730900,26.36
2011-06-03,26.84,27.50,26.69,27.20,10266200,27.10
2011-06-02,27.00,27.81,26.98,27.33,8575200,27.23
2011-06-01,27.76,28.00,26.89,26.92,12106000,26.82
2011-05-31,28.15,28.34,27.66,27.95,9081800,27.84
