Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,39.18,39.39,38.78,38.83,1609700,38.83
2011-07-28,39.54,39.79,39.34,39.40,1926100,39.40
2011-07-27,39.41,40.22,39.18,39.59,1782800,39.59
2011-07-26,39.37,39.52,39.15,39.35,1361400,39.35
2011-07-25,38.76,39.88,38.76,39.42,931600,39.42
2011-07-22,39.37,39.45,38.85,38.94,1118400,38.94
2011-07-21,39.28,39.56,39.14,39.29,859200,39.29
2011-07-20,38.81,39.25,38.71,38.99,1115200,38.99
2011-07-19,38.52,38.89,38.33,38.77,794300,38.77
2011-07-18,38.69,38.80,38.29,38.50,855000,38.50
2011-07-15,38.71,38.89,38.39,38.75,2236800,38.75
2011-07-14,38.69,39.00,38.54,38.60,1315600,38.60
2011-07-13,38.82,39.00,38.43,38.51,988500,38.51
2011-07-12,38.38,39.00,38.30,38.73,2277100,38.73
2011-07-11,38.34,38.52,38.22,38.29,1322200,38.29
2011-07-08,38.63,38.86,38.37,38.82,1275500,38.82
2011-07-07,38.44,38.99,38.26,38.93,1636500,38.93
2011-07-06,38.00,38.36,37.84,38.17,920200,38.17
2011-07-05,38.33,38.49,38.08,38.12,994800,38.12
2011-07-01,38.03,38.65,37.79,38.60,1499000,38.60
2011-06-30,38.00,38.09,37.70,37.96,1125900,37.96
2011-06-29,37.80,37.99,37.65,37.93,720200,37.93
2011-06-28,37.62,37.87,37.53,37.70,2248800,37.70
2011-06-27,37.32,37.57,37.25,37.46,1025800,37.46
2011-06-24,36.87,37.37,36.66,37.14,2661200,37.14
2011-06-23,36.38,36.49,36.08,36.48,1600800,36.48
2011-06-22,36.83,37.07,36.69,36.76,924400,36.76
2011-06-21,37.22,37.32,36.85,37.03,1429600,37.03
2011-06-20,36.56,37.11,36.43,37.11,1514000,37.11
2011-06-17,36.78,37.04,36.61,36.69,1687200,36.69
2011-06-16,36.11,36.61,36.10,36.52,1426500,36.52
2011-06-15,36.77,36.89,35.99,36.17,1585900,36.17
2011-06-14,37.11,37.11,36.57,36.94,2582900,36.94
2011-06-13,36.83,37.00,36.58,36.83,1379700,36.83
2011-06-10,36.59,36.93,36.44,36.77,1915400,36.77
2011-06-09,36.82,37.13,36.51,36.69,1104500,36.69
2011-06-08,36.63,36.89,36.52,36.66,1704800,36.66
2011-06-07,36.84,37.29,36.62,36.66,1314000,36.42
2011-06-06,36.51,36.96,36.35,36.72,1294100,36.48
2011-06-03,36.45,37.04,36.34,36.71,1184200,36.47
2011-06-02,36.87,36.87,36.56,36.77,1363500,36.53
2011-06-01,37.07,37.21,36.84,36.91,1983100,36.67
2011-05-31,37.17,37.31,36.91,37.18,1111600,36.94
2011-05-27,37.00,37.13,36.78,36.99,782400,36.75
2011-05-26,36.77,37.08,36.67,36.89,836400,36.65
2011-05-25,36.94,37.25,36.85,36.94,1332500,36.70
2011-05-24,37.26,37.52,37.20,37.37,2146200,37.13
2011-05-23,37.00,37.58,36.92,37.21,2094100,36.97
2011-05-20,37.01,37.59,36.88,37.39,1562700,37.15
2011-05-19,37.07,37.16,36.90,37.04,926100,36.80
2011-05-18,37.16,37.27,36.77,36.91,1028500,36.67
2011-05-17,37.01,37.29,36.88,37.21,1622500,36.97
2011-05-16,36.86,37.85,36.83,37.07,2467900,36.83
2011-05-13,37.13,37.46,36.69,36.89,2241100,36.65
2011-05-12,36.58,37.15,36.47,37.07,1583000,36.83
2011-05-11,36.57,36.76,36.39,36.67,2795600,36.43
2011-05-10,35.80,37.00,35.77,36.74,2507300,36.50
2011-05-09,36.02,36.04,35.63,35.71,1891900,35.48
2011-05-06,36.11,36.37,35.86,35.99,1624900,35.75
2011-05-05,36.10,36.26,35.50,35.66,2811000,35.43
2011-05-04,36.51,36.59,36.06,36.22,3294700,35.98
2011-05-03,36.27,37.03,36.16,36.57,2644500,36.33
2011-05-02,36.60,36.74,35.97,36.20,4982400,35.96
2011-04-29,36.08,36.64,36.08,36.42,5164900,36.18
2011-04-28,36.07,36.55,34.95,36.26,19253700,36.02
2011-04-27,32.98,34.45,32.97,34.30,3940200,34.08
2011-04-26,32.72,32.96,32.50,32.93,2500000,32.71
2011-04-25,33.00,33.01,32.44,32.65,1972200,32.44
2011-04-21,33.34,33.49,33.06,33.10,2404200,32.88
2011-04-20,33.40,33.56,33.14,33.29,1987800,33.07
2011-04-19,32.95,33.07,32.66,32.99,2093600,32.77
2011-04-18,33.13,33.26,32.66,32.88,2437100,32.66
2011-04-15,33.23,33.83,33.21,33.56,2376800,33.34
2011-04-14,32.83,33.40,32.58,33.12,2485200,32.90
2011-04-13,33.04,33.45,32.78,33.03,1987000,32.81
2011-04-12,32.97,33.13,32.70,32.92,2112200,32.70
2011-04-11,33.07,33.22,32.60,33.18,2858500,32.96
2011-04-08,32.64,33.20,32.59,33.09,3393200,32.87
2011-04-07,31.64,32.61,31.62,32.61,2380300,32.40
2011-04-06,31.35,31.75,31.29,31.66,2235100,31.45
2011-04-05,31.00,31.48,30.95,31.28,2919300,31.08
