Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,80.00,80.06,79.95,79.95,3565000,79.95
2011-08-01,80.00,80.10,79.95,80.09,4205900,80.09
2011-07-29,80.07,80.09,79.94,79.94,4055400,79.94
2011-07-28,80.16,80.25,80.06,80.09,2575600,80.09
2011-07-27,80.20,80.27,80.15,80.16,1989900,80.16
2011-07-26,80.16,80.27,80.15,80.21,1046200,80.21
2011-07-25,80.10,80.22,80.10,80.18,1224100,80.18
2011-07-22,80.19,80.24,80.09,80.21,1449600,80.21
2011-07-21,80.09,80.26,80.05,80.10,1582000,80.10
2011-07-20,80.03,80.15,80.00,80.08,1006000,80.08
2011-07-19,80.01,80.13,80.00,80.02,1194100,80.02
2011-07-18,80.03,80.06,79.91,80.03,1514300,80.03
2011-07-15,80.08,80.15,79.99,79.99,2675500,79.99
2011-07-14,80.13,80.23,79.97,80.04,5285500,80.04
2011-07-13,80.13,80.15,79.18,80.10,2452200,80.10
2011-07-12,80.07,80.22,80.07,80.09,1794100,80.09
2011-07-11,80.08,80.16,80.06,80.09,1474800,80.09
2011-07-08,80.07,80.18,80.04,80.18,1167200,80.18
2011-07-07,80.12,80.17,80.04,80.10,710000,80.10
2011-07-06,80.03,80.22,80.02,80.02,1296100,80.02
2011-07-05,80.23,80.24,80.00,80.03,1201700,80.03
2011-07-01,79.95,80.24,79.91,80.18,1066000,80.18
2011-06-30,79.89,79.98,79.86,79.90,1495700,79.90
2011-06-29,79.95,79.97,79.81,79.87,1869700,79.87
2011-06-28,79.89,79.97,79.86,79.91,1411700,79.91
2011-06-27,79.90,79.95,79.84,79.84,987800,79.84
2011-06-24,79.96,79.98,79.82,79.89,1212200,79.89
2011-06-23,79.83,79.99,79.78,79.95,1897700,79.95
2011-06-22,79.86,79.89,79.80,79.88,1947700,79.88
2011-06-21,79.77,79.90,79.72,79.89,1162100,79.89
2011-06-20,79.71,79.82,79.70,79.74,1378000,79.74
2011-06-17,80.00,80.13,79.52,79.71,2397500,79.71
2011-06-16,79.83,79.95,79.75,79.79,1468800,79.79
2011-06-15,79.80,79.96,79.79,79.80,2097700,79.80
2011-06-14,79.75,80.00,79.71,79.89,1890600,79.89
2011-06-13,79.69,79.77,79.68,79.71,2248300,79.71
2011-06-10,79.72,79.77,79.66,79.68,1888100,79.68
2011-06-09,79.69,79.78,79.68,79.78,1685600,79.78
2011-06-08,79.72,79.72,79.66,79.70,1563100,79.70
2011-06-07,79.72,79.75,79.68,79.70,1190800,79.70
2011-06-06,79.66,79.73,79.66,79.67,1280700,79.67
2011-06-03,79.67,79.74,79.65,79.68,1753100,79.68
2011-06-02,79.70,79.74,79.67,79.70,3808800,79.70
2011-06-01,79.69,79.79,79.66,79.66,2625100,79.66
2011-05-31,79.91,79.96,79.68,79.69,2572900,79.69
2011-05-27,79.71,79.88,79.71,79.78,1284700,79.78
2011-05-26,79.70,79.77,79.69,79.70,1705400,79.70
2011-05-25,79.66,79.73,79.66,79.72,1416300,79.72
2011-05-24,79.70,79.75,79.65,79.66,2016300,79.66
2011-05-23,79.70,79.73,79.67,79.68,1306100,79.68
2011-05-20,79.65,79.85,79.65,79.73,1800000,79.73
2011-05-19,79.72,79.72,79.65,79.70,1669800,79.70
2011-05-18,79.71,79.74,79.64,79.67,1957700,79.67
2011-05-17,79.67,79.75,79.65,79.70,2078000,79.70
2011-05-16,79.71,79.82,79.65,79.67,1761700,79.67
2011-05-13,79.80,79.88,79.69,79.70,2486300,79.70
2011-05-12,80.15,80.25,79.75,79.75,1900000,79.75
2011-05-11,79.80,79.89,79.75,79.76,1903400,79.76
2011-05-10,79.73,79.89,79.72,79.85,3477100,79.85
2011-05-09,79.72,79.94,79.70,79.70,1814300,79.70
2011-05-06,79.80,79.96,79.68,79.71,3401100,79.71
2011-05-05,79.85,79.93,79.70,79.74,3498100,79.74
2011-05-04,80.01,80.10,79.77,79.85,4508700,79.85
2011-05-03,80.18,80.24,79.99,79.99,4431500,79.99
2011-05-02,81.03,81.11,80.10,80.11,21588100,80.11
2011-04-29,76.53,77.05,76.49,77.02,2100000,77.02
2011-04-28,76.41,76.79,75.69,76.63,1992900,76.63
2011-04-27,76.49,76.67,76.18,76.39,1585800,76.39
2011-04-26,76.10,76.40,75.89,76.39,1610900,76.39
2011-04-25,76.00,76.17,75.63,76.14,1782500,76.14
2011-04-21,76.00,76.38,75.55,75.91,1447400,75.91
2011-04-20,75.89,76.10,75.50,75.94,2080100,75.94
2011-04-19,75.72,75.79,75.33,75.38,2241300,75.38
2011-04-18,75.50,75.86,75.45,75.81,2058500,75.81
2011-04-15,75.76,76.44,75.48,75.77,1626800,75.77
2011-04-14,75.99,76.00,75.42,75.54,2325300,75.54
2011-04-13,76.95,77.00,75.82,75.85,2855500,75.85
2011-04-12,76.83,77.00,76.28,76.34,1751600,76.34
2011-04-11,76.61,77.00,76.28,76.39,1723100,76.39
2011-04-08,76.59,77.28,76.47,76.70,1974000,76.70
2011-04-07,76.88,77.43,76.40,76.51,3215400,76.51
2011-04-06,76.96,77.59,76.96,77.02,7156000,77.02
2011-04-05,76.61,77.58,76.39,77.37,5420400,77.37
2011-04-04,76.03,76.96,75.52,76.92,4201800,76.92
2011-04-01,75.32,76.48,75.29,76.04,7119900,76.04
2011-03-31,75.30,76.25,75.00,76.08,9905400,76.08
2011-03-30,75.35,75.59,74.81,75.44,41571600,75.44
2011-03-29,57.68,59.10,57.64,58.75,2683900,58.75
2011-03-28,57.73,57.96,57.34,57.57,1451300,57.57
2011-03-25,57.81,58.24,57.68,57.90,1952600,57.90
2011-03-24,56.45,57.32,56.00,57.29,1159000,57.29
2011-03-23,56.03,56.17,55.21,55.99,1234800,55.99
2011-03-22,56.62,56.74,55.77,56.29,1477500,56.29
2011-03-21,56.53,57.23,56.49,56.87,1619100,56.87
2011-03-18,55.39,56.22,55.31,55.92,1723300,55.92
2011-03-17,55.09,55.11,54.41,54.86,1111100,54.86
2011-03-16,55.20,55.49,54.15,54.49,1238100,54.49
2011-03-15,54.47,55.85,54.19,55.57,1418400,55.57
2011-03-14,56.00,56.20,55.28,55.52,1693900,55.52
2011-03-11,55.53,56.96,55.53,56.45,1131600,56.45
2011-03-10,56.98,57.02,55.94,55.94,995200,55.94
2011-03-09,57.21,57.74,56.81,57.55,1149600,57.55
2011-03-08,55.68,57.26,55.16,57.19,1603400,57.19
2011-03-07,56.56,56.57,55.04,55.30,1294300,55.30
2011-03-04,57.00,57.10,56.05,56.17,1656200,56.17
2011-03-03,57.37,57.82,57.25,57.69,1503600,57.69
2011-03-02,56.05,57.39,55.57,57.25,2070600,57.25
2011-03-01,56.42,56.51,55.89,55.92,1355100,55.92
2011-02-28,56.40,56.92,55.82,56.31,1336300,56.31
2011-02-25,56.36,56.59,55.89,56.22,1377300,56.22
2011-02-24,55.80,56.53,55.65,56.07,1663300,56.07
2011-02-23,56.88,57.18,55.57,55.62,2032900,55.62
2011-02-22,58.25,58.41,56.88,56.99,2133600,56.99
2011-02-18,58.42,59.00,58.12,58.63,865600,58.63
2011-02-17,58.82,59.15,58.33,58.45,1186900,58.45
2011-02-16,59.00,59.05,58.61,58.76,1721500,58.76
2011-02-15,57.71,59.32,57.39,58.99,2491100,58.99
2011-02-14,58.06,59.82,57.99,58.98,3649000,58.98
2011-02-11,57.75,58.56,56.39,58.56,5999700,58.56
2011-02-10,60.79,60.87,59.92,60.11,1633600,60.11
2011-02-09,61.07,61.28,60.75,60.90,1590000,60.90
2011-02-08,60.36,61.29,60.15,60.99,2254400,60.99
2011-02-07,59.93,60.57,59.93,60.41,1189900,60.41
2011-02-04,60.37,60.64,59.90,59.96,730200,59.96
2011-02-03,59.92,60.55,59.40,60.41,1180100,60.41
2011-02-02,59.20,60.04,59.20,59.90,1263500,59.90
2011-02-01,59.31,60.01,59.23,59.40,1386600,59.40
2011-01-31,58.76,59.23,58.38,59.08,1238300,59.08
2011-01-28,60.82,61.07,58.25,58.33,1386700,58.33
2011-01-27,59.94,61.05,59.64,60.80,1352600,60.80
2011-01-26,59.44,59.99,59.33,59.81,1618900,59.81
2011-01-25,59.14,60.00,58.68,59.25,1604000,59.25
2011-01-24,59.56,59.93,59.17,59.19,835800,59.19
