Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,27.14,27.71,27.14,27.33,1472600,27.33
2011-07-28,27.76,28.51,27.64,27.71,1390000,27.71
2011-07-27,28.20,28.30,27.73,27.74,1131500,27.74
2011-07-26,28.39,28.47,28.16,28.29,769900,28.29
2011-07-25,28.13,28.51,28.04,28.36,976500,28.36
2011-07-22,28.62,28.70,28.35,28.40,581100,28.40
2011-07-21,28.12,28.74,28.09,28.58,1076300,28.58
2011-07-20,27.97,28.04,27.75,27.89,810300,27.89
2011-07-19,27.46,27.98,27.46,27.86,1175100,27.86
2011-07-18,27.80,27.80,27.32,27.46,1312100,27.46
2011-07-15,28.29,28.33,27.69,27.82,1563600,27.82
2011-07-14,28.42,28.49,27.99,28.08,1186500,28.08
2011-07-13,28.63,28.76,28.30,28.37,1203100,28.37
2011-07-12,28.48,28.77,28.44,28.45,1308700,28.45
2011-07-11,28.77,28.82,28.43,28.47,1304800,28.47
2011-07-08,29.08,29.14,28.86,29.02,948700,29.02
2011-07-07,29.33,29.45,29.18,29.39,1112700,29.39
2011-07-06,29.06,29.29,28.96,29.09,1058100,29.09
2011-07-05,29.47,29.47,29.05,29.20,1061900,29.20
2011-07-01,29.23,29.54,29.12,29.47,1061900,29.47
2011-06-30,29.08,29.32,28.92,29.18,1434100,29.18
2011-06-29,28.59,29.02,28.55,28.99,916700,28.99
2011-06-28,28.38,28.52,28.29,28.46,855500,28.46
2011-06-27,28.21,28.48,28.12,28.35,925300,28.35
2011-06-24,28.25,28.29,27.97,28.13,1132800,28.13
2011-06-23,28.10,28.26,27.80,28.18,1331500,28.18
2011-06-22,28.53,28.67,28.31,28.34,928600,28.34
2011-06-21,28.60,28.67,28.35,28.54,1241700,28.54
2011-06-20,28.48,28.70,28.29,28.54,1029000,28.54
2011-06-17,29.14,29.24,28.84,28.88,1369000,28.48
2011-06-16,28.71,29.04,28.67,28.88,930200,28.48
2011-06-15,29.06,29.14,28.65,28.70,1479500,28.30
2011-06-14,29.13,29.37,29.00,29.22,1132600,28.82
2011-06-13,28.86,29.41,28.83,28.86,1629500,28.46
2011-06-10,29.28,29.39,29.04,29.19,1731200,28.79
2011-06-09,29.20,29.44,29.03,29.42,1259900,29.01
2011-06-08,29.24,29.26,29.03,29.06,1109600,28.66
2011-06-07,29.35,29.49,29.03,29.28,4968600,28.87
2011-06-06,29.40,29.50,29.12,29.18,1120400,28.78
2011-06-03,29.37,29.70,29.37,29.44,1336100,29.03
2011-06-02,29.91,30.13,29.63,29.67,1697100,29.26
2011-06-01,30.28,30.40,29.77,29.77,2693000,29.36
2011-05-31,30.31,30.43,30.10,30.42,1165700,30.00
2011-05-27,30.16,30.24,29.93,30.09,980700,29.67
2011-05-26,29.84,30.16,29.61,30.11,788600,29.69
2011-05-25,29.87,29.94,29.55,29.87,947400,29.46
2011-05-24,30.20,30.24,29.81,29.90,1203900,29.49
2011-05-23,30.37,30.40,30.03,30.19,2201600,29.77
2011-05-20,30.93,31.03,30.62,30.69,835300,30.26
2011-05-19,31.16,31.28,30.79,31.00,1121400,30.57
2011-05-18,30.92,31.15,30.76,31.14,1145300,30.71
2011-05-17,30.76,30.94,30.76,30.93,794700,30.50
2011-05-16,30.86,31.09,30.75,30.92,988400,30.49
2011-05-13,31.28,31.28,30.79,30.91,789300,30.48
2011-05-12,30.83,31.32,30.57,31.29,1500000,30.86
2011-05-11,31.44,31.56,30.92,31.02,936600,30.59
2011-05-10,31.30,31.55,31.21,31.53,612400,31.09
2011-05-09,30.98,31.32,30.78,31.27,945700,30.84
2011-05-06,31.06,31.25,30.88,30.95,762800,30.52
2011-05-05,31.08,31.20,30.66,30.77,690500,30.34
2011-05-04,31.31,31.43,31.00,31.22,635200,30.79
2011-05-03,31.32,31.43,30.92,31.30,2000000,30.87
2011-05-02,31.75,31.84,31.39,31.44,713800,31.00
2011-04-29,31.53,31.72,31.36,31.68,705000,31.24
2011-04-28,32.35,32.46,31.25,31.61,1700000,31.17
2011-04-27,32.42,32.65,32.36,32.64,709400,32.19
2011-04-26,32.30,32.48,32.19,32.41,483800,31.96
2011-04-25,32.06,32.27,31.97,32.17,450700,31.72
2011-04-21,31.89,32.25,31.88,32.12,427400,31.68
2011-04-20,31.91,32.04,31.83,31.86,564500,31.42
2011-04-19,31.73,31.81,31.55,31.56,573800,31.12
2011-04-18,31.74,31.92,31.50,31.63,637700,31.19
2011-04-15,32.08,32.20,31.86,32.18,672800,31.73
2011-04-14,32.11,32.17,31.91,32.03,537800,31.59
2011-04-13,32.60,32.71,32.17,32.28,684200,31.83
2011-04-12,32.78,32.94,32.47,32.47,658400,32.02
2011-04-11,32.91,33.25,32.91,33.00,483400,32.54
2011-04-08,33.39,33.48,32.81,32.92,466800,32.46
2011-04-07,33.43,33.55,33.19,33.20,896900,32.74
2011-04-06,33.37,33.54,33.28,33.53,676800,33.07
2011-04-05,33.25,33.33,33.10,33.21,790800,32.75
2011-04-04,33.04,33.34,32.96,33.34,833100,32.88
2011-04-01,32.96,33.10,32.86,32.99,692100,32.53
2011-03-31,32.94,33.06,32.76,32.79,872000,32.34
2011-03-30,32.66,32.97,32.57,32.97,588600,32.51
2011-03-29,32.40,32.63,32.19,32.56,595100,32.11
2011-03-28,32.56,32.61,32.37,32.38,634900,31.93
2011-03-25,32.47,32.62,32.33,32.47,620200,32.02
2011-03-24,32.57,32.57,32.16,32.44,515300,31.99
2011-03-23,32.54,32.58,32.12,32.33,821000,31.88
2011-03-22,32.86,32.98,32.59,32.59,589900,32.14
2011-03-21,32.58,32.92,32.54,32.88,674900,32.42
2011-03-18,32.86,33.07,32.57,32.60,1587700,31.75
2011-03-17,32.40,32.49,32.14,32.38,733200,31.54
2011-03-16,32.31,32.58,31.89,31.99,1909500,31.16
2011-03-15,32.14,32.54,31.77,32.35,2405900,31.51
2011-03-14,32.84,33.02,32.72,32.83,827500,31.98
2011-03-11,32.82,33.08,32.63,33.08,966900,32.22
2011-03-10,33.19,33.19,32.89,32.97,914300,32.11
2011-03-09,33.54,33.58,33.29,33.48,552400,32.61
2011-03-08,33.01,33.67,32.90,33.56,898700,32.69
2011-03-07,33.35,33.49,32.87,33.01,4162800,32.15
2011-03-04,33.54,33.54,32.85,33.25,2751100,32.39
2011-03-03,33.36,33.62,33.22,33.53,2643300,32.66
2011-03-02,33.24,33.35,32.76,33.06,984900,32.20
2011-03-01,34.16,34.16,33.36,33.36,855700,32.49
2011-02-28,33.89,34.12,33.71,34.05,973000,33.17
2011-02-25,33.57,33.73,33.43,33.70,697700,32.83
2011-02-24,33.61,33.74,33.18,33.39,907400,32.52
2011-02-23,33.94,34.07,33.48,33.59,838200,32.72
2011-02-22,33.93,34.04,33.79,33.90,1105900,33.02
2011-02-18,33.84,34.33,33.74,34.18,698200,33.29
2011-02-17,33.65,33.96,33.64,33.88,551300,33.00
2011-02-16,33.51,33.75,33.39,33.74,591800,32.86
2011-02-15,33.17,33.43,33.16,33.37,440400,32.50
2011-02-14,33.59,33.73,33.20,33.31,557500,32.45
2011-02-11,33.30,33.58,33.15,33.58,465700,32.71
2011-02-10,33.01,33.39,32.99,33.38,779800,32.51
2011-02-09,33.09,33.30,32.90,33.23,912400,32.37
2011-02-08,33.14,33.29,32.98,33.29,1170700,32.43
2011-02-07,33.30,33.38,33.10,33.14,1214700,32.28
2011-02-04,32.89,33.23,32.80,33.15,834100,32.29
2011-02-03,33.66,34.07,32.50,33.09,1364100,32.23
2011-02-02,32.92,32.94,32.53,32.58,866400,31.73
2011-02-01,32.21,32.91,32.21,32.88,1241700,32.03
2011-01-31,32.39,32.53,32.04,32.04,994700,31.21
2011-01-28,32.88,32.95,32.15,32.16,1086900,31.33
2011-01-27,32.37,32.80,32.37,32.79,579900,31.94
2011-01-26,32.58,32.67,32.41,32.41,1012700,31.57
2011-01-25,32.26,32.52,32.00,32.50,976700,31.66
2011-01-24,31.72,32.33,31.72,32.29,879200,31.45
2011-01-21,31.78,31.91,31.67,31.77,1735100,30.95
2011-01-20,31.77,31.96,31.70,31.76,887800,30.94
2011-01-19,32.23,32.31,31.67,31.73,681500,30.91
2011-01-18,32.20,32.28,32.08,32.24,503800,31.40
2011-01-14,31.67,32.15,31.67,32.15,571700,31.32
2011-01-13,32.05,32.14,31.77,31.85,637400,31.02
2011-01-12,31.95,32.17,31.88,32.01,601800,31.18
2011-01-11,32.07,32.26,31.62,31.70,651600,30.88
2011-01-10,31.78,31.93,31.43,31.87,726900,31.04
2011-01-07,32.29,32.29,31.57,31.81,734300,30.98
2011-01-06,32.21,32.25,32.01,32.11,638400,31.28
2011-01-05,32.00,32.20,31.94,32.14,664500,31.31
2011-01-04,32.51,32.52,31.90,32.05,739100,31.22
2011-01-03,32.04,32.36,32.04,32.30,761600,31.46
2010-12-31,31.61,31.89,31.61,31.69,484900,30.87
2010-12-30,32.00,32.02,31.74,31.77,553200,30.95
2010-12-29,32.15,32.15,31.92,31.97,329400,31.14
