Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,88.23,88.80,87.88,88.52,1889900,87.94
2011-07-18,88.45,88.89,87.62,87.99,2074000,87.42
2011-07-15,87.01,89.10,86.67,89.01,4029300,88.43
2011-07-14,87.88,88.03,86.90,87.08,2549100,86.51
2011-07-13,88.35,88.75,87.74,87.90,1332100,87.33
2011-07-12,88.49,88.88,87.85,87.95,2312400,87.38
2011-07-11,87.87,88.67,87.74,88.30,2138000,87.72
2011-07-08,88.34,88.75,87.83,88.42,1774400,87.84
2011-07-07,88.86,89.03,88.55,88.78,1659500,88.20
2011-07-06,87.69,88.42,87.66,88.42,2027700,87.84
2011-07-05,88.58,88.68,87.64,87.98,2145300,87.41
2011-07-01,87.32,88.61,87.15,88.47,2021200,87.89
2011-06-30,86.69,87.53,86.40,87.41,1930800,86.84
2011-06-29,86.06,86.91,85.99,86.74,2326400,86.17
2011-06-28,85.79,85.96,85.54,85.82,1594300,85.26
2011-06-27,85.63,85.83,85.41,85.41,2291300,84.85
2011-06-24,86.09,86.52,85.23,85.46,3413900,84.90
2011-06-23,86.96,86.96,85.38,86.21,4059500,85.65
2011-06-22,88.74,89.13,87.49,87.53,2755300,86.96
2011-06-21,89.36,89.36,88.27,88.92,3254900,88.34
2011-06-20,87.93,89.28,87.80,89.11,3502500,88.53
2011-06-17,86.90,88.02,86.65,87.88,4240800,87.31
2011-06-16,86.06,86.73,85.79,86.57,2858500,86.01
2011-06-15,86.17,86.74,85.45,85.76,2922900,85.20
2011-06-14,85.53,86.86,85.35,86.60,3305700,86.04
2011-06-13,85.34,85.55,84.30,85.34,3052600,84.78
2011-06-10,84.10,85.03,83.91,84.70,3297100,84.15
2011-06-09,84.44,85.38,84.35,85.10,2236800,84.55
2011-06-08,83.96,84.42,83.61,84.21,2149200,83.66
2011-06-07,84.37,84.66,83.89,83.89,2211300,83.34
2011-06-06,84.11,84.79,83.85,84.43,2012900,83.88
2011-06-03,84.64,85.00,83.92,84.11,2549600,83.56
2011-06-02,86.85,86.85,85.18,85.48,2522800,84.92
2011-06-01,87.05,87.31,86.77,86.91,2999900,86.34
2011-05-31,86.18,87.58,86.00,87.53,3086100,86.96
2011-05-27,85.57,85.88,85.30,85.72,1172300,85.16
2011-05-26,84.86,85.58,84.58,85.32,1913800,84.76
2011-05-25,85.08,85.23,84.46,85.08,2194600,84.53
2011-05-24,86.00,86.06,85.35,85.60,1516600,85.04
2011-05-23,86.19,86.57,85.67,86.07,2110400,85.51
2011-05-20,86.78,86.99,86.45,86.55,1771700,85.99
2011-05-19,86.35,86.95,86.15,86.90,1794900,86.33
2011-05-18,86.30,86.43,85.54,86.21,2379500,85.65
2011-05-17,85.70,86.52,85.70,86.27,2031700,85.71
2011-05-16,86.58,86.82,85.91,85.95,2419200,85.39
2011-05-13,86.88,87.14,86.30,86.55,2677300,85.99
2011-05-12,85.02,87.46,84.81,87.21,3700000,86.64
2011-05-11,85.09,85.59,84.83,85.07,2127200,84.52
2011-05-10,85.03,85.63,85.03,85.46,1958600,84.90
2011-05-09,84.91,85.17,84.49,84.98,1637300,84.43
2011-05-06,85.33,85.45,84.60,84.88,2048600,84.33
2011-05-05,85.42,85.61,84.76,84.90,2675900,84.35
2011-05-04,84.56,85.86,84.38,85.65,4924100,85.09
2011-05-03,84.20,84.81,84.11,84.70,2513800,84.15
2011-05-02,84.41,84.74,84.00,84.55,2588100,84.00
2011-04-29,83.67,85.00,83.67,84.35,4928700,83.80
2011-04-28,80.77,83.25,80.00,82.97,4588000,82.43
2011-04-27,80.96,81.33,80.59,81.06,2434200,80.53
2011-04-26,80.06,80.83,80.00,80.55,3390800,80.03
2011-04-25,80.31,80.49,79.80,79.90,2173400,79.38
2011-04-21,80.83,81.19,80.41,80.65,2095100,80.12
2011-04-20,82.13,82.13,81.10,81.27,2800900,80.16
2011-04-19,81.31,81.57,80.95,81.42,2780100,80.31
2011-04-18,81.40,81.69,81.09,81.35,2092500,80.24
2011-04-15,81.80,81.97,81.55,81.81,3304600,80.70
2011-04-14,81.44,82.15,81.26,81.84,3355000,80.73
2011-04-13,82.58,82.67,81.59,81.61,2665400,80.50
2011-04-12,81.62,83.72,81.42,82.54,4661400,81.42
2011-04-11,81.10,81.72,81.10,81.61,2108600,80.50
2011-04-08,81.59,81.84,80.96,81.28,1987000,80.17
2011-04-07,81.64,81.69,81.00,81.56,2431200,80.45
2011-04-06,81.00,81.66,80.84,81.53,2893400,80.42
2011-04-05,80.83,81.11,80.26,80.84,1737000,79.74
2011-04-04,80.61,81.13,80.54,81.02,1304400,79.92
2011-04-01,81.00,81.34,80.32,80.52,2260400,79.42
2011-03-31,81.06,81.36,80.62,80.76,2074300,79.66
2011-03-30,80.46,81.24,80.21,81.21,2210000,80.10
2011-03-29,80.27,80.75,80.25,80.42,2254900,79.33
2011-03-28,80.14,80.95,80.14,80.49,3222800,79.39
2011-03-25,79.45,80.50,79.35,80.15,2163500,79.06
2011-03-24,78.69,80.34,78.39,80.30,3582700,79.21
2011-03-23,78.42,78.79,77.88,78.29,2728100,77.22
2011-03-22,78.39,79.15,78.17,78.43,2480300,77.36
2011-03-21,77.33,78.51,77.28,78.41,3364400,77.34
2011-03-18,77.25,77.35,76.39,76.95,4393200,75.90
2011-03-17,77.35,77.56,76.53,76.70,3142500,75.66
2011-03-16,77.07,77.09,76.60,76.66,3840500,75.62
2011-03-15,77.29,77.72,76.94,77.27,3186800,76.22
2011-03-14,78.71,78.88,77.93,78.27,2594200,77.20
2011-03-11,78.59,79.41,78.40,79.18,1885600,78.10
2011-03-10,78.69,79.30,78.42,78.98,2844400,77.91
2011-03-09,77.91,79.01,77.91,79.00,1891800,77.93
2011-03-08,77.88,78.36,77.55,78.19,2990100,77.13
2011-03-07,77.51,77.72,77.10,77.54,2784700,76.48
2011-03-04,78.05,78.19,77.25,77.50,3045900,76.45
2011-03-03,77.79,78.36,77.50,78.07,2808300,77.01
2011-03-02,77.83,77.84,77.15,77.30,2883500,76.25
2011-03-01,78.30,78.92,77.63,77.64,2794300,76.58
2011-02-28,78.25,78.62,78.00,78.52,1915300,77.45
2011-02-25,77.98,78.38,77.53,78.12,1484500,77.06
2011-02-24,78.27,78.52,77.25,77.66,2810900,76.60
2011-02-23,78.65,79.11,78.14,78.37,2460700,77.30
2011-02-22,78.11,78.91,77.82,78.60,2819000,77.53
