Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,70.79,71.14,69.99,70.29,1186000,70.29
2011-08-01,72.14,72.20,70.80,71.12,1372000,71.12
2011-07-29,72.38,72.88,71.59,71.59,1485800,71.59
2011-07-28,73.31,73.77,72.67,72.69,823100,72.69
2011-07-27,72.97,73.87,72.76,73.63,1902200,73.63
2011-07-26,72.58,73.32,72.54,73.30,1374800,73.30
2011-07-25,73.13,73.57,72.55,72.69,1344000,72.69
2011-07-22,74.57,74.59,73.82,74.36,1567700,73.76
2011-07-21,74.30,74.80,74.00,74.22,1461000,73.62
2011-07-20,74.83,75.44,74.15,74.34,5702400,73.74
2011-07-19,72.50,73.48,71.52,72.57,2945100,71.98
2011-07-18,73.32,73.49,72.50,73.04,4978700,72.45
2011-07-15,74.35,75.10,72.47,74.55,18113700,73.95
2011-07-14,69.17,69.27,68.40,68.43,3274400,67.88
2011-07-13,69.84,70.23,68.84,68.99,1811900,68.43
2011-07-12,70.00,71.00,69.53,70.14,2812400,69.57
2011-07-11,67.81,71.98,67.74,70.05,5612000,69.48
2011-07-08,67.91,68.36,67.79,68.12,1336200,67.57
2011-07-07,68.56,68.74,67.99,68.36,928900,67.81
2011-07-06,67.91,68.53,67.70,68.18,1062400,67.63
2011-07-05,68.38,68.44,67.87,67.97,542300,67.42
2011-07-01,67.17,68.28,67.13,68.27,722600,67.72
2011-06-30,67.52,67.74,67.33,67.44,760000,66.90
2011-06-29,66.89,67.63,66.79,67.40,978600,66.86
2011-06-28,66.59,66.59,66.15,66.56,805000,66.02
2011-06-27,66.52,66.69,66.22,66.25,821200,65.72
2011-06-24,67.26,67.39,66.24,66.29,1813000,65.76
2011-06-23,66.90,67.36,66.46,67.23,839200,66.69
2011-06-22,67.77,68.05,67.36,67.43,480400,66.89
2011-06-21,68.22,68.22,67.72,67.78,620300,67.23
2011-06-20,67.50,68.10,67.38,67.86,664100,67.31
2011-06-17,66.94,67.98,66.84,67.54,1602300,67.00
2011-06-16,66.09,66.91,66.09,66.81,871700,66.27
2011-06-15,66.63,66.98,65.97,66.30,948200,65.77
2011-06-14,67.11,67.37,66.93,67.04,919700,66.50
2011-06-13,66.76,67.06,66.45,66.76,703400,66.22
2011-06-10,66.82,67.05,66.59,66.62,737600,66.08
2011-06-09,66.84,67.50,66.76,67.10,979600,66.56
2011-06-08,66.66,66.97,66.23,66.84,1360700,66.30
2011-06-07,67.47,67.56,67.12,67.37,1109900,66.83
2011-06-06,67.38,67.50,66.94,67.27,1092300,66.73
2011-06-03,67.69,68.17,67.43,67.48,1336200,66.94
2011-06-02,69.40,69.50,68.40,68.60,1013700,68.05
