Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,279.83,294.37,279.83,289.19,843100,289.19
2011-07-28,281.79,287.46,281.15,283.83,570100,283.83
2011-07-27,284.03,285.00,276.76,278.51,433400,278.51
2011-07-26,285.59,287.00,282.89,285.10,324400,285.10
2011-07-25,284.31,286.79,281.69,284.79,424900,284.79
2011-07-22,286.30,287.22,285.09,285.70,269300,285.70
2011-07-21,287.20,288.05,285.02,286.69,447600,286.69
2011-07-20,290.04,290.40,285.38,285.50,320600,285.50
2011-07-19,286.90,289.97,286.10,289.40,306300,289.40
2011-07-18,291.04,292.00,285.20,285.93,368900,285.93
2011-07-15,290.44,293.13,287.48,292.45,442700,292.45
2011-07-14,290.76,290.76,287.50,289.29,306500,289.29
2011-07-13,290.13,293.37,288.84,289.49,209900,289.49
2011-07-12,288.20,292.67,286.31,289.09,366400,289.09
2011-07-11,291.13,292.85,286.01,287.19,405600,287.19
2011-07-08,295.55,296.14,292.34,294.50,399400,294.50
2011-07-07,298.14,300.00,296.92,298.99,291700,298.99
2011-07-06,296.15,297.30,295.01,296.35,197500,296.35
2011-07-05,295.15,297.98,292.18,296.70,326400,296.70
2011-07-01,290.05,297.28,290.02,296.72,327600,296.72
2011-06-30,288.01,293.13,286.88,291.59,440900,291.59
2011-06-29,284.33,288.24,282.80,288.02,324000,288.02
2011-06-28,281.47,285.15,279.72,283.98,252100,283.98
2011-06-27,280.25,283.64,277.82,281.01,300900,281.01
2011-06-24,279.08,280.65,275.85,280.21,355000,280.21
2011-06-23,278.76,280.90,274.55,279.37,479900,279.37
2011-06-22,282.26,285.00,280.16,281.33,398600,281.33
2011-06-21,279.80,283.73,278.00,282.81,392700,282.81
2011-06-20,276.50,279.50,271.55,278.92,335900,278.92
2011-06-17,277.50,278.76,275.17,277.88,617700,277.88
2011-06-16,270.64,276.39,270.00,275.02,532700,275.02
2011-06-15,271.30,274.50,269.88,271.16,473900,269.76
2011-06-14,274.70,276.88,272.93,274.78,444300,273.36
2011-06-13,272.02,273.35,268.40,272.02,535700,270.62
2011-06-10,271.11,271.70,267.00,268.27,512500,266.88
2011-06-09,263.70,267.59,262.08,266.25,447400,264.88
2011-06-08,265.50,268.29,261.10,262.24,570800,260.89
2011-06-07,268.34,270.49,265.77,265.98,416300,264.61
2011-06-06,270.86,272.21,265.72,266.14,691500,264.77
2011-06-03,274.88,276.29,271.97,272.07,471300,270.67
2011-06-02,278.98,281.39,277.27,278.53,536800,277.09
2011-06-01,284.34,285.20,277.58,277.87,521300,276.44
2011-05-31,286.37,287.66,283.20,285.76,642700,284.28
2011-05-27,285.65,285.95,282.80,283.15,545600,281.69
2011-05-26,285.96,288.00,282.94,284.11,570400,282.64
2011-05-25,289.25,292.43,285.76,286.29,636600,284.81
2011-05-24,295.85,296.05,289.53,290.09,688100,288.59
2011-05-23,294.88,296.17,293.24,295.34,362400,293.82
2011-05-20,298.72,299.97,297.11,298.35,346900,296.81
2011-05-19,297.83,299.50,296.00,299.42,336500,297.87
2011-05-18,295.63,297.82,294.49,297.24,301500,295.71
2011-05-17,296.88,299.55,293.08,295.24,324800,293.72
2011-05-16,293.84,301.11,293.03,298.43,561700,296.89
2011-05-13,297.64,298.49,290.94,294.36,507400,292.84
2011-05-12,296.00,298.17,292.84,297.64,381000,296.10
2011-05-11,299.37,300.92,295.55,297.04,549200,295.51
2011-05-10,296.49,298.81,294.02,298.79,330800,297.25
2011-05-09,292.73,297.29,289.64,295.01,379100,293.49
2011-05-06,288.81,294.59,288.81,291.59,790500,290.08
2011-05-05,286.19,287.58,284.32,286.03,424300,284.55
2011-05-04,291.09,291.71,285.72,287.23,500700,285.75
2011-05-03,296.34,298.00,289.38,291.72,475700,290.21
2011-05-02,297.90,298.95,295.50,297.14,410800,295.61
2011-04-29,303.47,303.47,294.91,295.77,680000,294.24
2011-04-28,309.01,309.01,302.55,304.05,521600,302.48
2011-04-27,310.93,311.17,304.13,309.89,453200,308.29
2011-04-26,309.32,310.80,306.92,310.73,293100,309.13
2011-04-25,309.11,311.91,306.58,307.25,269900,305.66
2011-04-21,310.45,313.00,308.79,309.74,208500,308.14
2011-04-20,305.73,310.00,303.50,309.96,360700,308.36
2011-04-19,305.34,305.95,301.63,302.00,363800,300.44
2011-04-18,303.44,306.05,302.84,303.90,339200,302.33
2011-04-15,306.99,309.47,304.32,306.80,300200,305.22
2011-04-14,303.87,306.79,301.65,305.53,315400,303.95
2011-04-13,302.78,305.91,301.12,304.63,275700,303.06
2011-04-12,302.99,304.54,300.50,301.67,273100,300.11
2011-04-11,305.16,306.94,302.95,304.00,328000,302.43
2011-04-08,307.32,308.00,304.18,305.36,284300,303.78
2011-04-07,307.73,309.99,304.50,305.93,300200,304.35
2011-04-06,306.00,310.50,305.10,308.60,534300,307.01
2011-04-05,304.81,306.91,304.50,304.87,296100,303.30
2011-04-04,305.78,307.18,304.65,305.11,294500,303.53
2011-04-01,303.44,307.68,301.13,304.27,605200,302.70
2011-03-31,302.23,303.00,298.83,301.55,451400,299.99
2011-03-30,299.50,303.87,298.22,303.25,471400,301.68
2011-03-29,296.60,298.02,294.10,298.02,309400,296.48
2011-03-28,295.41,298.18,294.57,295.50,428300,293.97
2011-03-25,298.31,298.76,294.18,295.86,344100,294.33
2011-03-24,300.50,300.88,295.32,298.31,361900,296.77
2011-03-23,288.87,300.92,288.87,298.83,679800,297.29
2011-03-22,289.01,292.00,288.76,290.92,432300,289.42
2011-03-21,287.65,290.00,284.59,289.95,610900,288.45
2011-03-18,289.42,291.18,284.18,285.79,725300,284.31
2011-03-17,284.44,288.80,283.62,287.19,728500,285.71
2011-03-16,285.10,287.41,279.58,280.29,702200,278.84
2011-03-15,286.35,289.93,283.60,285.90,810600,284.42
2011-03-14,294.06,296.74,289.05,291.34,713500,289.84
2011-03-11,295.60,297.56,292.53,295.57,559900,294.04
2011-03-10,297.04,300.15,295.74,295.94,781700,294.41
2011-03-09,303.49,304.22,297.66,299.86,662300,298.31
2011-03-08,304.85,305.45,301.66,303.51,404600,301.94
2011-03-07,306.54,310.43,303.04,303.87,651200,300.91
2011-03-04,308.37,310.38,302.00,304.80,377100,301.83
2011-03-03,306.89,311.55,306.01,308.14,470000,305.14
2011-03-02,305.14,308.90,303.88,304.04,440400,301.08
2011-03-01,311.46,312.09,303.67,306.50,609700,303.51
2011-02-28,314.74,316.68,311.18,311.28,638200,308.25
2011-02-25,305.37,314.41,304.61,313.55,673200,310.49
2011-02-24,301.22,306.20,299.91,304.56,468700,301.59
2011-02-23,300.00,304.39,297.01,301.40,622100,298.46
2011-02-22,300.72,305.45,297.61,300.08,697200,297.16
2011-02-18,303.09,306.85,300.54,302.84,685300,299.89
2011-02-17,292.82,303.96,292.82,302.60,1135100,299.65
2011-02-16,293.38,297.34,292.18,293.68,1050100,290.82
2011-02-15,302.34,303.92,290.50,291.33,2615700,288.49
2011-02-14,308.28,311.50,301.97,302.57,885400,299.62
2011-02-11,306.64,311.47,306.13,308.76,589700,305.75
2011-02-10,302.18,308.31,301.99,307.72,548600,304.72
2011-02-09,302.50,309.67,299.72,302.51,837700,299.56
2011-02-08,303.81,304.60,299.66,301.04,583800,298.11
2011-02-07,306.06,306.16,301.50,303.68,489700,300.72
2011-02-04,300.86,307.83,300.50,304.18,933200,301.22
2011-02-03,303.75,306.84,297.36,300.86,1552500,297.93
2011-02-02,315.01,317.27,313.40,315.14,540800,312.07
2011-02-01,309.75,317.37,309.34,315.93,543700,312.85
2011-01-31,304.89,311.47,304.77,308.56,385600,305.55
2011-01-28,309.70,312.50,303.50,304.89,420800,301.92
2011-01-27,305.91,311.00,305.72,309.88,438600,306.86
2011-01-26,307.20,308.73,304.50,305.58,453200,302.60
2011-01-25,308.04,309.46,301.22,306.90,632100,303.91
2011-01-24,309.00,310.99,307.88,309.55,285900,306.53
2011-01-21,311.31,314.34,308.27,309.87,353600,306.85
2011-01-20,306.84,312.14,305.34,309.21,293800,306.20
2011-01-19,313.27,314.00,305.33,306.26,439200,303.28
2011-01-18,317.17,317.90,313.24,314.00,331400,310.94
2011-01-14,313.61,317.72,313.01,316.96,436300,313.87
2011-01-13,315.35,315.35,310.19,313.60,361800,310.54
2011-01-12,313.18,315.83,311.32,314.93,362400,311.86
2011-01-11,315.01,317.50,309.06,310.84,415200,307.81
2011-01-10,311.02,318.37,310.39,314.87,765900,311.80
2011-01-07,312.15,312.22,304.15,307.66,612800,304.66
2011-01-06,312.00,316.58,306.74,313.64,584200,310.58
2011-01-05,314.03,317.21,310.34,311.36,696200,308.33
2011-01-04,315.98,318.28,315.01,316.99,545600,313.90
2011-01-03,323.00,323.43,315.24,316.44,737700,313.36
2010-12-31,321.21,323.36,319.20,321.75,233200,318.61
2010-12-30,323.68,325.94,321.07,322.06,208400,318.92
2010-12-29,324.09,325.68,321.61,324.64,200300,321.48
2010-12-28,326.16,327.98,322.14,324.22,289700,321.06
2010-12-27,323.51,326.29,323.25,326.21,242200,323.03
2010-12-23,326.00,326.99,323.74,324.26,193500,321.10
2010-12-22,325.27,327.00,323.54,327.00,347300,323.81
2010-12-21,321.91,326.95,321.20,326.08,305700,322.90
2010-12-20,320.16,322.78,320.00,321.63,420100,318.50
2010-12-17,320.89,321.86,318.28,319.26,740600,316.15
2010-12-16,318.40,322.11,316.24,322.11,399600,318.97
2010-12-15,322.93,324.93,318.40,318.40,424800,315.30
2010-12-14,322.79,325.60,321.00,323.25,327000,320.10
2010-12-13,321.85,328.00,321.36,322.72,379600,319.57
2010-12-10,323.26,324.33,315.94,321.65,386500,318.52
2010-12-09,323.00,326.57,319.68,321.78,537500,318.64
2010-12-08,313.55,322.84,313.02,321.22,766700,318.09
2010-12-07,315.97,317.37,312.77,313.98,527800,309.78
2010-12-06,311.48,316.32,308.93,312.83,600300,308.65
2010-12-03,311.99,312.83,308.22,311.02,478000,306.86
2010-12-02,302.78,314.94,302.01,312.50,1187600,308.32
2010-12-01,292.91,301.22,292.21,300.04,1154900,296.03
2010-11-30,282.68,288.50,282.01,288.06,533300,284.21
2010-11-29,287.39,287.98,281.58,285.90,438700,282.08
2010-11-26,286.80,291.99,285.12,289.83,188000,285.95
2010-11-24,285.04,289.75,283.16,289.39,466100,285.52
2010-11-23,285.14,286.87,279.77,281.24,648500,277.48
2010-11-22,294.49,295.23,285.39,287.81,563500,283.96
2010-11-19,294.35,296.14,292.43,295.47,451300,291.52
2010-11-18,293.87,298.63,292.64,294.75,540100,290.81
2010-11-17,286.20,291.87,282.12,291.20,600100,287.31
2010-11-16,288.55,291.89,285.54,286.65,486500,282.82
2010-11-15,289.86,293.00,289.49,289.55,410000,285.68
2010-11-12,291.48,292.59,287.36,289.22,396600,285.35
2010-11-11,293.60,297.00,290.74,293.17,414700,289.25
2010-11-10,293.55,295.02,288.69,294.69,357700,290.75
2010-11-09,296.50,297.00,291.37,293.19,467500,289.27
2010-11-08,293.69,296.37,292.69,295.82,426300,291.86
2010-11-05,296.19,299.49,292.72,295.03,507700,291.08
2010-11-04,292.00,297.12,290.20,297.12,630300,293.15
2010-11-03,289.37,291.44,284.99,289.59,284300,285.72
2010-11-02,287.62,290.72,287.62,288.95,402500,285.09
2010-11-01,290.91,291.05,284.53,287.00,474200,283.16
2010-10-29,287.88,292.16,286.50,289.65,753600,285.78
2010-10-28,284.25,289.58,281.20,289.40,934100,285.53
2010-10-27,278.93,283.06,278.13,282.45,959100,278.67
2010-10-26,281.32,283.15,279.86,280.53,711300,276.78
2010-10-25,285.37,285.80,280.73,282.98,613600,279.20
2010-10-22,281.90,284.70,280.53,283.69,365800,279.90
2010-10-21,283.50,286.18,279.76,282.25,624700,278.48
2010-10-20,279.53,285.00,278.16,280.78,888300,277.03
2010-10-19,277.95,282.22,275.60,280.77,935900,277.02
2010-10-18,270.92,282.87,270.05,280.87,1086900,277.11
2010-10-15,265.83,269.50,262.84,267.51,641200,263.93
2010-10-14,263.28,265.50,261.00,264.93,518800,261.39
2010-10-13,265.08,266.20,259.83,263.77,763800,260.24
2010-10-12,259.50,264.87,255.62,264.17,1114100,260.64
2010-10-11,262.38,262.38,258.70,259.57,422200,256.10
2010-10-08,263.57,263.57,260.50,262.38,449300,258.87
2010-10-07,267.95,269.88,263.24,263.87,394200,260.34
2010-10-06,268.69,270.90,265.35,267.24,388300,263.67
2010-10-05,262.37,269.72,258.22,267.63,705100,264.05
2010-10-04,259.59,263.33,258.00,259.90,416200,256.42
2010-10-01,261.00,261.99,256.53,260.01,423900,256.53
2010-09-30,261.25,264.20,260.18,260.45,666900,256.97
2010-09-29,263.66,265.00,259.20,259.55,670600,256.08
2010-09-28,267.91,267.91,262.95,264.52,573300,260.98
2010-09-27,268.82,269.77,265.80,266.16,518900,262.60
2010-09-24,264.24,270.98,263.51,269.63,628000,266.02
2010-09-23,264.84,265.24,260.64,261.02,497000,257.53
2010-09-22,268.78,271.17,266.30,266.34,414500,262.78
2010-09-21,272.50,272.73,266.26,268.94,488500,265.34
2010-09-20,264.33,274.98,263.47,271.92,866500,268.28
2010-09-17,269.20,270.50,262.32,263.87,956500,260.34
2010-09-16,271.00,272.23,266.45,268.06,351700,264.48
2010-09-15,267.50,272.10,266.05,271.49,371100,267.86
2010-09-14,269.09,270.88,268.28,269.32,274300,265.72
2010-09-13,268.53,272.05,267.16,271.03,563900,267.41
2010-09-10,262.03,265.58,261.91,264.90,361300,261.36
2010-09-09,264.78,265.31,259.72,262.35,377100,258.84
2010-09-08,258.06,263.31,258.05,260.70,452600,257.21
2010-09-07,264.00,265.40,257.91,258.44,464400,253.85
2010-09-03,265.88,268.00,262.84,265.11,558800,260.40
2010-09-02,256.69,263.24,255.34,262.45,633000,257.79
2010-09-01,252.64,256.37,250.17,256.28,615400,251.73
