Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,19.28,19.39,19.09,19.14,5711600,19.14
2011-07-28,19.67,19.80,19.40,19.44,3903700,19.44
2011-07-27,19.90,20.02,19.61,19.61,3772500,19.61
2011-07-26,20.02,20.10,19.87,19.91,2275600,19.91
2011-07-25,19.81,20.08,19.72,20.05,2500400,20.05
2011-07-22,20.00,20.02,19.86,19.93,1219600,19.93
2011-07-21,19.88,20.08,19.86,20.02,2197600,20.02
2011-07-20,19.70,19.85,19.62,19.80,1186400,19.80
2011-07-19,19.46,19.67,19.35,19.64,1227100,19.64
2011-07-18,19.70,19.70,19.36,19.44,1313800,19.44
2011-07-15,19.77,19.79,19.57,19.70,1922800,19.70
2011-07-14,19.83,19.95,19.67,19.73,1889600,19.73
2011-07-13,19.85,19.98,19.72,19.80,2080100,19.80
2011-07-12,19.67,19.92,19.64,19.76,1644200,19.76
2011-07-11,19.88,19.92,19.72,19.76,1167400,19.76
2011-07-08,19.94,20.09,19.90,20.06,1350800,20.06
2011-07-07,20.21,20.22,19.96,20.06,1576000,20.06
2011-07-06,19.93,20.13,19.86,20.04,1248000,20.04
2011-07-05,20.11,20.11,19.85,19.93,1522000,19.93
2011-07-01,19.73,20.11,19.72,20.11,1282100,20.11
2011-06-30,19.82,19.84,19.64,19.69,1981200,19.69
2011-06-29,19.81,19.84,19.69,19.73,1673700,19.73
2011-06-28,19.63,19.79,19.60,19.72,1039600,19.72
2011-06-27,19.57,19.68,19.52,19.57,1532500,19.57
2011-06-24,19.40,19.59,19.40,19.50,1739000,19.50
2011-06-23,19.40,19.43,19.14,19.35,2069900,19.35
2011-06-22,19.74,19.82,19.56,19.57,1657700,19.57
2011-06-21,19.78,19.92,19.66,19.74,1703700,19.74
2011-06-20,19.63,19.73,19.51,19.64,2049000,19.64
2011-06-17,19.54,19.71,19.47,19.68,2881400,19.68
2011-06-16,19.54,19.71,19.39,19.43,2065000,19.43
2011-06-15,19.44,19.64,19.41,19.47,3401500,19.47
2011-06-14,19.53,19.64,19.31,19.57,1450600,19.57
2011-06-13,19.45,19.52,19.32,19.35,2110900,19.35
2011-06-10,19.47,19.54,19.36,19.46,1451500,19.46
2011-06-09,19.57,19.70,19.44,19.51,1675900,19.51
2011-06-08,19.48,19.63,19.45,19.58,2292200,19.58
2011-06-07,19.65,19.77,19.48,19.48,2651000,19.48
2011-06-06,19.75,19.75,19.49,19.57,1654700,19.57
2011-06-03,19.59,19.98,19.50,19.74,6793400,19.74
2011-06-02,19.70,19.88,19.46,19.80,4225000,19.80
2011-06-01,19.99,20.00,19.62,19.64,2041500,19.64
