Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,19.62,19.86,19.41,19.58,4648800,19.58
2011-07-28,20.11,20.12,19.75,19.79,4255700,19.79
2011-07-27,19.98,20.14,19.98,20.05,3711900,20.05
2011-07-26,20.14,20.14,20.00,20.05,2598900,20.05
2011-07-25,19.90,20.18,19.90,20.10,3028100,20.10
2011-07-22,20.34,20.34,20.03,20.26,2613200,20.26
2011-07-21,20.26,20.36,20.18,20.28,3395300,20.28
2011-07-20,19.81,20.18,19.76,20.12,5057300,20.12
2011-07-19,19.50,19.74,19.34,19.71,3251000,19.71
2011-07-18,19.29,19.41,19.17,19.40,3280200,19.40
2011-07-15,19.36,19.43,19.14,19.39,4334700,19.39
2011-07-14,19.41,19.61,19.27,19.31,3182700,19.31
2011-07-13,19.50,19.61,19.33,19.40,3103900,19.40
2011-07-12,19.21,19.66,19.20,19.45,4057100,19.45
2011-07-11,19.54,19.55,19.27,19.29,2848800,19.29
2011-07-08,19.62,19.75,19.53,19.75,2067500,19.75
2011-07-07,19.95,19.95,19.76,19.80,2605500,19.80
2011-07-06,19.69,19.81,19.58,19.81,3185400,19.81
2011-07-05,19.67,19.80,19.57,19.75,3043700,19.75
2011-07-01,19.44,19.81,19.36,19.79,2995200,19.79
2011-06-30,19.40,19.51,19.24,19.35,4932700,19.35
2011-06-29,19.28,19.39,19.26,19.34,4772400,19.34
2011-06-28,19.21,19.29,19.12,19.24,2787100,19.24
2011-06-27,19.16,19.22,19.03,19.12,3530600,19.12
2011-06-24,18.81,19.22,18.76,18.95,8528600,18.95
2011-06-23,18.85,18.89,18.47,18.76,5344400,18.76
2011-06-22,19.00,19.10,18.88,19.02,5535300,19.02
2011-06-21,18.90,19.11,18.84,19.00,3308800,19.00
2011-06-20,18.73,18.85,18.64,18.83,2605700,18.83
2011-06-17,18.77,18.92,18.69,18.74,3898200,18.74
2011-06-16,18.50,18.79,18.50,18.66,4127300,18.66
2011-06-15,18.75,18.85,18.44,18.49,5163300,18.49
2011-06-14,18.82,18.90,18.71,18.84,3437400,18.84
2011-06-13,18.90,18.90,18.61,18.72,4088200,18.72
2011-06-10,18.80,19.15,18.76,18.86,6469200,18.86
2011-06-09,18.93,18.96,18.75,18.82,5088200,18.82
2011-06-08,19.09,19.13,18.89,18.90,8723100,18.90
2011-06-07,19.18,19.21,19.06,19.09,5468800,19.09
2011-06-06,19.04,19.17,18.93,19.09,5117900,19.09
2011-06-03,19.17,19.32,19.08,19.09,7129800,19.09
2011-06-02,19.18,19.42,19.11,19.35,7363000,19.35
2011-06-01,19.56,19.57,19.20,19.24,5615200,19.24
2011-05-31,19.23,19.37,19.17,19.33,5035700,19.33
2011-05-27,19.10,19.39,18.95,19.08,5035500,19.08
2011-05-26,18.94,19.07,18.80,19.02,2956400,19.02
2011-05-25,18.97,19.08,18.65,18.97,5436500,18.97
2011-05-24,18.79,18.91,18.70,18.75,4684600,18.75
2011-05-23,18.74,18.90,18.67,18.73,2954900,18.73
2011-05-20,18.99,19.09,18.82,18.96,2847700,18.96
2011-05-19,19.02,19.07,18.87,19.00,2591000,19.00
2011-05-18,18.70,18.99,18.62,18.98,4676800,18.98
2011-05-17,18.65,18.84,18.59,18.63,3237600,18.63
2011-05-16,18.70,18.76,18.58,18.69,3914800,18.69
2011-05-13,18.90,18.96,18.60,18.73,4485800,18.73
2011-05-12,18.94,18.95,18.78,18.90,4792600,18.90
2011-05-11,19.23,19.24,18.80,19.11,4141600,18.91
2011-05-10,18.90,19.35,18.89,19.26,3878500,19.06
2011-05-09,18.69,18.93,18.66,18.91,3187400,18.71
2011-05-06,18.75,18.81,18.64,18.72,4974800,18.53
2011-05-05,18.54,18.83,18.37,18.60,5852400,18.41
2011-05-04,18.60,18.71,18.36,18.49,3903100,18.30
2011-05-03,18.54,18.74,18.47,18.65,3332300,18.46
2011-05-02,18.68,18.77,18.52,18.59,3463100,18.40
2011-04-29,18.50,18.62,18.38,18.60,2137200,18.41
2011-04-28,18.35,18.49,18.21,18.46,4589900,18.27
2011-04-27,18.26,18.40,18.22,18.34,4358500,18.15
2011-04-26,18.25,18.30,18.15,18.27,4500000,18.08
2011-04-25,18.17,18.30,18.14,18.26,2554200,18.07
2011-04-21,18.16,18.28,18.08,18.28,3633900,18.09
2011-04-20,18.00,18.16,17.88,18.11,3991300,17.92
2011-04-19,17.84,17.90,17.74,17.81,4321500,17.63
2011-04-18,17.73,17.83,17.51,17.82,4153600,17.64
2011-04-15,17.77,17.93,17.60,17.88,4858400,17.69
2011-04-14,17.17,17.74,17.17,17.64,5047800,17.46
2011-04-13,17.28,17.52,17.28,17.32,4277700,17.14
2011-04-12,17.23,17.27,17.10,17.23,3880100,17.05
2011-04-11,17.48,17.50,17.21,17.32,3789200,17.14
2011-04-08,17.60,17.70,17.37,17.50,2964900,17.32
2011-04-07,17.72,17.72,17.48,17.49,3972200,17.31
2011-04-06,17.77,17.83,17.66,17.71,2418800,17.53
2011-04-05,17.81,17.92,17.63,17.68,3030400,17.50
2011-04-04,18.05,18.05,17.79,17.91,3298400,17.72
2011-04-01,17.72,17.88,17.67,17.75,2220600,17.57
2011-03-31,17.66,17.75,17.56,17.56,2981900,17.38
2011-03-30,17.40,17.76,17.33,17.68,3853900,17.50
2011-03-29,17.19,17.32,17.08,17.29,2495900,17.11
2011-03-28,17.23,17.45,17.14,17.17,3354200,16.99
2011-03-25,17.16,17.37,17.08,17.13,3854100,16.95
2011-03-24,17.02,17.20,16.92,17.17,3924200,16.99
2011-03-23,16.90,17.02,16.79,16.96,5099800,16.78
2011-03-22,17.12,17.21,16.87,16.89,6187200,16.72
2011-03-21,17.02,17.22,16.86,17.10,13789600,16.92
2011-03-18,15.28,16.73,15.18,16.67,28385400,16.50
2011-03-17,15.53,15.53,15.09,15.20,10243100,15.04
2011-03-16,15.52,15.58,15.24,15.32,5608900,15.16
2011-03-15,15.40,15.72,15.40,15.58,6697400,15.42
2011-03-14,15.99,16.01,15.67,15.75,9339400,15.59
2011-03-11,16.07,16.15,15.99,16.10,2864800,15.93
2011-03-10,16.15,16.19,15.94,16.02,4924200,15.85
2011-03-09,16.04,16.25,16.04,16.24,2952600,16.07
2011-03-08,15.83,16.13,15.81,16.10,2932900,15.93
2011-03-07,15.91,16.09,15.80,15.82,3304700,15.66
2011-03-04,15.90,15.95,15.70,15.88,3498700,15.72
2011-03-03,15.82,15.97,15.77,15.92,4604500,15.76
2011-03-02,15.36,15.78,15.35,15.76,5699300,15.60
2011-03-01,15.84,16.10,15.63,15.64,5873500,15.48
2011-02-28,15.70,15.97,15.60,15.86,4044500,15.70
2011-02-25,15.55,15.69,15.47,15.68,3380600,15.52
2011-02-24,15.53,15.65,15.40,15.47,4854700,15.31
2011-02-23,15.76,15.83,15.54,15.54,4142500,15.38
2011-02-22,15.76,15.90,15.72,15.78,2085000,15.62
2011-02-18,15.90,15.91,15.81,15.90,2833700,15.74
2011-02-17,15.86,15.94,15.83,15.91,2038700,15.75
2011-02-16,16.00,16.06,15.86,15.92,2152800,15.76
2011-02-15,15.83,16.01,15.80,15.96,3312000,15.79
2011-02-14,16.04,16.04,15.82,15.88,3246200,15.72
2011-02-11,16.04,16.29,16.03,16.19,2857600,15.83
2011-02-10,16.09,16.21,16.02,16.13,2289700,15.77
2011-02-09,16.17,16.19,16.01,16.10,2945400,15.74
2011-02-08,16.31,16.35,16.22,16.24,2291400,15.88
2011-02-07,16.18,16.35,16.15,16.34,10423000,15.97
2011-02-04,16.19,16.20,16.00,16.14,6955300,15.78
2011-02-03,16.08,16.19,16.01,16.16,8149700,15.80
2011-02-02,16.20,16.26,16.07,16.07,2435700,15.71
2011-02-01,16.23,16.27,16.17,16.25,3181100,15.88
2011-01-31,16.09,16.26,16.00,16.15,4686400,15.79
2011-01-28,16.16,16.17,15.92,16.03,3912800,15.67
2011-01-27,16.13,16.20,16.06,16.15,2713600,15.79
2011-01-26,16.12,16.16,16.05,16.11,1779100,15.75
2011-01-25,16.02,16.15,16.01,16.15,3148400,15.79
2011-01-24,15.90,16.10,15.84,16.09,7371000,15.73
