Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,74.70,75.20,73.70,74.08,2264500,74.08
2011-07-28,72.11,78.94,72.11,75.83,3395500,75.83
2011-07-27,72.47,73.02,70.66,70.96,1786400,70.96
2011-07-26,72.12,74.09,71.22,73.03,1271700,73.03
2011-07-25,70.53,73.16,70.26,72.31,1165600,72.31
2011-07-22,71.37,72.38,70.94,71.93,959100,71.93
2011-07-21,71.17,72.27,70.75,71.36,1408700,71.36
2011-07-20,71.34,71.34,70.07,70.27,1133600,70.27
2011-07-19,69.48,71.14,69.48,71.08,1729000,71.08
2011-07-18,67.87,68.67,67.00,68.58,1852900,68.58
2011-07-15,66.23,69.78,66.23,68.43,5825500,68.43
2011-07-14,64.83,65.03,62.52,62.60,1562100,62.60
2011-07-13,63.81,65.59,63.62,64.43,1645600,64.43
2011-07-12,63.60,64.39,63.19,63.32,1538900,63.32
2011-07-11,65.34,65.46,63.22,63.40,1858700,63.40
2011-07-08,65.44,66.58,65.07,66.48,1384700,66.48
2011-07-07,67.97,68.78,66.05,66.59,2306900,66.59
2011-07-06,67.08,67.29,65.77,66.49,1745400,66.49
2011-07-05,66.38,68.79,66.38,67.16,1722900,67.16
2011-07-01,66.31,67.49,65.51,67.21,1185000,67.21
2011-06-30,66.34,67.12,65.61,66.31,1325500,66.31
2011-06-29,66.23,67.34,65.46,65.92,1653100,65.92
2011-06-28,63.06,65.84,63.06,65.75,2009500,65.75
2011-06-27,61.20,62.79,60.33,62.61,2148800,62.61
2011-06-24,61.58,62.00,60.86,61.45,2345500,61.45
2011-06-23,61.05,61.67,59.86,61.49,2294400,61.49
2011-06-22,61.57,63.42,61.48,62.31,1695600,62.31
2011-06-21,60.82,62.07,60.81,61.86,1338100,61.86
2011-06-20,60.12,60.61,59.22,60.47,1600400,60.47
2011-06-17,61.31,61.60,59.58,60.34,2889600,60.34
2011-06-16,59.18,62.37,58.91,60.43,4076700,60.43
2011-06-15,58.21,59.34,57.38,58.23,1814400,58.23
2011-06-14,56.87,58.99,56.82,58.94,1886300,58.94
2011-06-13,57.94,58.47,54.89,55.82,1773900,55.82
2011-06-10,58.71,59.20,57.65,57.83,2107000,57.83
2011-06-09,58.66,60.00,57.97,59.33,3520800,59.33
2011-06-08,56.62,60.64,56.62,58.31,3882900,58.31
2011-06-07,55.59,56.97,54.96,55.91,1411700,55.91
2011-06-06,56.41,56.96,54.92,55.02,1032400,55.02
2011-06-03,55.17,57.03,54.55,56.56,1148200,56.56
2011-06-02,56.30,56.93,55.38,56.25,1393300,56.25
2011-06-01,58.72,59.23,55.83,56.10,1784400,56.10
2011-05-31,59.22,60.13,57.95,58.75,2309300,58.75
