Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,58.36,58.68,57.99,58.47,978800,58.47
2011-07-18,58.35,58.52,57.47,57.92,1310100,57.92
2011-07-15,59.09,59.25,58.34,58.68,1764900,58.68
2011-07-14,60.32,60.32,58.99,59.25,1670800,59.25
2011-07-13,60.63,61.07,60.04,60.17,732700,60.17
2011-07-12,60.65,60.96,60.19,60.44,1027100,60.44
2011-07-11,61.23,61.53,60.63,60.74,655500,60.74
2011-07-08,62.05,62.37,61.69,61.87,1141000,61.87
2011-07-07,62.66,62.82,62.10,62.57,1059300,62.57
2011-07-06,61.96,62.38,61.88,62.02,928700,62.02
2011-07-05,62.48,62.50,61.76,61.94,682100,61.94
2011-07-01,61.86,62.71,61.72,62.57,632400,62.57
2011-06-30,61.00,62.00,60.93,61.69,609400,61.69
2011-06-29,60.67,61.02,60.54,60.84,759400,60.84
2011-06-28,60.14,60.55,59.91,60.49,882900,60.49
2011-06-27,60.00,60.13,59.47,59.92,1567200,59.92
2011-06-24,60.50,60.65,59.88,60.19,1805300,60.19
2011-06-23,60.21,60.83,59.53,60.52,1080200,60.52
2011-06-22,60.96,61.67,60.91,61.10,821700,61.10
2011-06-21,61.02,61.28,60.71,61.17,1132500,61.17
2011-06-20,60.05,60.98,60.02,60.76,495700,60.76
2011-06-17,60.08,60.61,59.95,60.25,1077000,60.25
2011-06-16,59.11,59.96,59.06,59.61,1463100,59.61
2011-06-15,58.94,59.46,58.65,59.10,994900,59.10
2011-06-14,59.16,59.52,58.91,59.37,1035800,59.37
2011-06-13,58.87,59.07,58.57,58.63,793900,58.63
2011-06-10,59.34,59.80,58.63,58.67,1052300,58.67
2011-06-09,59.36,59.92,59.10,59.68,632300,59.68
2011-06-08,59.37,59.54,59.08,59.21,753000,59.21
2011-06-07,59.79,60.00,59.57,59.57,758800,59.57
2011-06-06,59.57,60.24,59.45,59.46,889100,59.46
2011-06-03,59.06,60.06,59.01,59.65,1187200,59.65
2011-06-02,59.80,60.28,59.65,59.99,1162300,59.99
2011-06-01,61.01,61.13,59.58,59.61,1230400,59.61
2011-05-31,60.83,61.13,60.59,61.13,1073000,61.13
2011-05-27,60.10,60.47,60.06,60.20,759100,60.20
2011-05-26,59.97,60.43,59.92,60.06,1104300,60.06
2011-05-25,60.14,60.44,59.63,60.14,1005500,60.14
2011-05-24,60.48,60.61,59.77,60.09,1302200,60.09
2011-05-23,60.94,60.99,60.09,60.43,1342900,60.43
2011-05-20,61.88,62.00,61.44,61.66,1138000,61.66
2011-05-19,61.90,62.34,61.51,61.87,860900,61.87
2011-05-18,61.46,61.65,61.16,61.51,963000,61.51
2011-05-17,61.80,61.94,60.66,61.23,930500,61.23
2011-05-16,62.33,62.47,61.91,62.01,897800,62.01
2011-05-13,63.52,63.88,62.46,62.61,764000,62.61
2011-05-12,63.19,63.96,62.88,63.55,526200,63.55
2011-05-11,63.92,64.25,63.29,63.57,443000,63.33
2011-05-10,64.01,64.58,64.01,64.18,631700,63.94
2011-05-09,63.90,64.26,63.64,63.93,554000,63.69
2011-05-06,63.74,64.90,63.59,63.94,1074800,63.70
2011-05-05,62.92,63.79,62.68,62.84,838500,62.60
2011-05-04,63.90,64.38,63.23,63.31,938600,63.07
2011-05-03,63.31,64.33,63.31,63.85,734100,63.61
2011-05-02,63.35,63.78,63.01,63.36,793500,63.12
2011-04-29,62.45,63.26,62.40,63.10,1000000,62.86
2011-04-28,61.96,62.60,61.82,62.36,781100,62.12
2011-04-27,62.21,62.61,61.85,62.09,867000,61.86
2011-04-26,62.01,62.72,61.81,62.27,968300,62.03
2011-04-25,62.93,62.93,61.41,61.88,820900,61.65
2011-04-21,63.81,64.49,61.75,62.93,1512100,62.69
