Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,75.99,76.38,74.70,75.43,10892900,74.77
2011-07-18,76.35,76.44,75.21,75.44,22642700,74.78
2011-07-15,76.61,77.03,76.15,76.42,41701200,75.75
2011-07-14,80.11,80.13,75.50,75.61,62071900,74.95
2011-07-13,74.42,75.31,73.99,74.40,7429600,73.75
2011-07-12,74.25,75.21,73.99,74.34,7287900,73.69
2011-07-11,74.83,75.07,74.41,74.70,6566200,74.04
2011-07-08,75.34,75.95,75.11,75.91,7710100,75.24
2011-07-07,76.84,77.00,76.26,76.75,6076500,76.08
2011-07-06,75.91,76.15,75.57,76.03,6153800,75.36
2011-07-05,75.91,76.49,75.53,75.85,7864300,75.18
2011-07-01,75.27,76.00,74.57,75.88,7628300,75.21
2011-06-30,74.35,75.27,74.33,75.19,7572000,74.53
2011-06-29,73.69,74.51,73.52,74.02,8049900,73.37
2011-06-28,72.21,73.37,72.17,73.26,6868100,72.62
2011-06-27,71.32,72.19,71.27,71.78,7770000,71.15
2011-06-24,72.76,73.19,71.34,71.43,13508000,70.80
2011-06-23,71.96,73.04,71.00,73.00,9019700,72.36
2011-06-22,73.45,74.32,73.27,73.29,7202400,72.65
2011-06-21,73.00,74.15,72.83,73.73,10126500,73.08
2011-06-20,71.39,72.78,71.07,72.27,11810800,71.63
2011-06-17,72.23,72.95,71.31,71.93,9720300,71.30
2011-06-16,70.69,72.24,70.55,71.62,8331400,70.99
2011-06-15,71.14,71.82,70.08,70.57,7714600,69.95
2011-06-14,71.52,72.66,71.52,71.87,7534400,71.24
2011-06-13,70.75,72.10,70.25,70.75,7057700,70.13
2011-06-10,72.22,72.46,71.40,71.49,7344800,70.86
2011-06-09,71.95,73.12,71.40,72.51,6964600,71.87
2011-06-08,70.90,72.28,70.90,71.46,8029200,70.83
2011-06-07,71.31,71.69,70.72,70.87,10791200,70.25
2011-06-06,71.90,72.50,70.60,70.92,6373100,70.30
2011-06-03,70.81,73.00,70.78,72.39,7326000,71.75
2011-06-02,72.28,72.88,71.43,72.15,6166100,71.52
2011-06-01,73.18,73.54,72.06,72.34,7441000,71.70
2011-05-31,73.85,74.11,72.71,73.22,11567100,72.58
2011-05-27,72.99,73.35,72.25,72.64,4322100,72.00
2011-05-26,71.93,72.71,71.56,72.34,6142200,71.70
2011-05-25,71.97,72.44,71.28,71.97,7613200,71.34
2011-05-24,71.94,73.05,71.82,71.91,7461600,71.28
2011-05-23,71.54,71.71,70.84,71.33,7017300,70.70
2011-05-20,72.60,73.13,71.78,72.61,7810400,71.97
2011-05-19,72.69,73.15,72.05,72.70,6599700,72.06
2011-05-18,71.82,73.42,71.51,72.81,8814000,71.52
2011-05-17,70.69,71.85,70.69,71.54,8286200,70.27
2011-05-16,71.37,72.11,70.73,71.43,8184000,70.16
2011-05-13,71.69,71.99,70.61,71.43,8260600,70.16
2011-05-12,72.36,72.40,70.67,71.52,12500000,70.25
2011-05-11,74.07,74.19,72.03,72.52,10129500,71.23
2011-05-10,73.89,74.79,73.56,74.60,7054200,73.27
2011-05-09,73.50,74.11,73.16,73.72,9557300,72.41
2011-05-06,72.82,74.44,72.50,72.94,11888000,71.64
2011-05-05,72.84,72.96,71.21,71.97,12760300,70.69
2011-05-04,74.67,74.67,72.41,73.65,15742400,72.34
2011-05-03,76.97,77.02,73.40,74.53,17721500,73.21
2011-05-02,78.87,78.98,77.02,77.47,8594000,76.09
2011-04-29,77.47,79.00,77.42,78.89,9241000,77.49
2011-04-28,79.06,79.39,76.97,77.45,13282400,76.07
2011-04-27,80.39,80.98,78.40,79.83,10219700,78.41
2011-04-26,80.59,81.50,80.40,81.21,5900000,79.77
2011-04-25,80.99,81.00,79.76,80.48,5246000,79.05
2011-04-21,80.27,80.90,80.03,80.73,5652700,79.30
2011-04-20,79.48,80.16,79.27,79.99,6624600,78.57
2011-04-19,77.48,78.38,77.48,78.15,5785500,76.76
2011-04-18,77.41,78.02,77.15,77.61,6771700,76.23
2011-04-15,78.79,79.75,78.39,79.12,7322300,77.71
2011-04-14,77.40,78.61,77.20,78.28,5500700,76.89
2011-04-13,77.76,78.04,76.87,77.66,7078100,76.28
2011-04-12,79.04,79.38,76.36,77.16,12940100,75.79
2011-04-11,80.72,81.75,80.00,80.12,6628400,78.70
2011-04-08,80.75,81.18,80.43,80.79,8661700,79.35
2011-04-07,80.32,80.77,79.79,80.40,6220100,78.97
2011-04-06,80.82,80.90,80.30,80.43,7260100,79.00
2011-04-05,80.01,80.60,79.60,80.32,6534700,78.89
2011-04-04,80.00,80.00,79.15,79.68,6260900,78.26
2011-04-01,80.48,80.75,79.37,79.68,7632900,78.26
2011-03-31,80.82,81.80,79.83,79.86,8411800,78.44
2011-03-30,79.52,80.80,79.31,80.69,7750200,79.26
2011-03-29,78.94,79.46,78.30,78.81,8708200,77.41
2011-03-28,80.03,80.52,79.57,79.57,5261000,78.16
2011-03-25,79.85,80.70,79.20,80.24,7670600,78.81
2011-03-24,79.06,80.05,78.84,79.70,9199100,78.28
2011-03-23,76.87,78.93,76.80,78.54,9429800,77.14
2011-03-22,77.75,77.83,77.00,77.22,8474700,75.85
2011-03-21,77.16,77.97,76.67,77.55,12372900,76.17
2011-03-18,77.87,78.59,75.34,75.35,16391100,74.01
2011-03-17,75.06,77.30,74.54,76.72,10554500,75.36
2011-03-16,75.10,75.45,72.89,73.74,12242300,72.43
2011-03-15,72.48,75.55,71.13,74.98,12746400,73.65
2011-03-14,75.50,76.08,75.04,75.84,11350700,74.49
2011-03-11,73.75,76.93,73.51,76.30,7282200,74.94
2011-03-10,76.99,77.13,74.70,75.18,12115000,73.84
2011-03-09,78.18,78.88,77.75,78.04,6352000,76.65
2011-03-08,78.84,78.91,77.15,78.32,8934200,76.93
2011-03-07,80.62,81.00,79.11,79.20,7886400,77.79
2011-03-04,79.63,80.92,79.25,79.98,9180000,78.56
2011-03-03,78.50,79.81,78.40,79.55,8756700,78.14
2011-03-02,77.55,78.90,77.42,78.25,8793200,76.86
2011-03-01,78.30,79.10,77.56,77.83,10312500,76.45
2011-02-28,77.28,78.34,77.10,77.87,8014400,76.49
2011-02-25,77.31,77.69,76.78,77.28,8025800,75.91
2011-02-24,78.91,79.24,76.51,77.28,13165100,75.91
2011-02-23,76.94,79.60,76.87,78.57,14172700,77.17
2011-02-22,77.61,78.74,75.79,76.61,12178500,75.25
2011-02-18,75.95,76.72,75.21,76.62,8539500,75.26
