Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,52.00,52.31,51.34,52.02,2762900,51.82
2011-07-18,51.82,51.91,51.14,51.57,1890500,51.37
2011-07-15,52.73,52.86,51.76,52.14,2708700,51.94
2011-07-14,53.10,53.10,52.45,52.58,2800400,52.38
2011-07-13,52.96,53.30,52.77,52.94,2535500,52.74
2011-07-12,52.30,53.18,52.19,52.65,2798400,52.45
2011-07-11,53.41,53.71,52.13,52.29,3229800,52.09
2011-07-08,53.67,54.15,53.54,54.07,2636100,53.86
2011-07-07,54.39,54.49,53.99,54.27,2118800,54.06
2011-07-06,53.79,54.08,53.66,54.01,2249800,53.80
2011-07-05,54.17,54.17,53.52,53.78,2582500,53.57
2011-07-01,53.28,54.32,52.90,54.22,4793100,54.01
2011-06-30,53.57,54.02,52.86,53.23,4527000,53.02
2011-06-29,53.97,54.09,53.31,53.43,2511500,53.22
2011-06-28,53.22,54.06,53.05,53.80,2495600,53.59
2011-06-27,52.51,53.13,52.05,52.98,2443600,52.78
2011-06-24,52.79,52.94,51.91,52.33,4506500,52.13
2011-06-23,53.03,53.03,51.76,52.82,3036500,52.62
2011-06-22,53.25,53.57,53.01,53.05,2579800,52.85
2011-06-21,53.15,53.68,53.07,53.51,2335500,53.30
2011-06-20,52.24,52.98,52.11,52.91,2362300,52.71
2011-06-17,52.45,52.84,52.32,52.50,4452800,52.30
2011-06-16,52.34,52.50,51.54,52.01,3749100,51.81
2011-06-15,53.70,53.87,52.05,52.26,5464200,52.06
2011-06-14,54.08,54.36,53.73,54.13,2474500,53.92
2011-06-13,53.54,53.88,53.20,53.44,2627100,53.23
2011-06-10,54.67,54.68,53.47,53.54,2751800,53.33
2011-06-09,54.40,55.30,54.24,54.92,2967700,54.71
2011-06-08,54.47,55.47,53.96,54.17,5300600,53.96
2011-06-07,53.98,54.61,53.33,54.31,3433300,54.10
2011-06-06,54.05,54.13,53.11,53.28,2717300,53.07
2011-06-03,54.23,54.63,53.88,54.22,2620200,54.01
2011-06-02,54.85,55.41,54.50,54.86,3033500,54.65
2011-06-01,55.00,55.10,54.70,54.80,3531200,54.59
