Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,24.51,24.83,24.27,24.36,2821900,24.36
2011-07-28,25.08,25.09,24.73,24.77,2895500,24.77
2011-07-27,25.42,25.43,25.10,25.19,1989500,25.19
2011-07-26,25.61,25.81,25.45,25.49,1507000,25.49
2011-07-25,25.77,25.87,25.51,25.55,1680200,25.55
2011-07-22,26.06,26.18,25.92,26.00,2163200,26.00
2011-07-21,25.99,26.33,25.87,26.00,2608900,26.00
2011-07-20,26.27,26.37,25.78,25.85,1870100,25.85
2011-07-19,25.78,26.42,25.72,26.23,2379700,26.23
2011-07-18,25.76,25.92,25.13,25.64,2445800,25.64
2011-07-15,26.18,26.18,25.70,25.91,2310500,25.91
2011-07-14,26.36,26.38,25.84,26.10,1978800,26.10
2011-07-13,26.54,26.74,26.25,26.27,1746600,26.27
2011-07-12,26.55,26.91,26.25,26.31,2259800,26.31
2011-07-11,26.58,26.77,26.35,26.56,3213200,26.56
2011-07-08,27.12,27.33,27.01,27.22,1804200,27.22
2011-07-07,27.53,27.60,27.30,27.48,3044800,27.48
2011-07-06,26.36,27.41,26.36,27.36,7914700,27.36
2011-07-05,25.80,26.82,25.77,26.37,5491900,26.37
2011-07-01,26.25,26.76,25.58,25.96,6923000,25.96
2011-06-30,35.95,36.29,35.82,36.21,3982000,25.33
2011-06-29,35.38,36.12,35.21,35.76,3207400,25.02
2011-06-28,34.82,35.35,34.32,35.33,2892100,24.72
2011-06-27,34.38,34.83,33.86,34.57,2571000,24.19
2011-06-24,34.76,34.87,34.19,34.53,4736900,24.16
2011-06-23,34.89,35.02,34.33,34.73,3213000,24.30
2011-06-22,35.77,35.90,35.35,35.36,1884900,24.74
2011-06-21,35.36,36.07,35.25,35.97,2384400,25.17
2011-06-20,35.85,35.97,35.14,35.30,3032200,24.70
2011-06-17,36.25,36.29,35.84,36.04,3671900,25.22
2011-06-16,35.98,36.46,35.62,35.93,5480100,25.14
2011-06-15,36.12,36.86,35.81,36.02,4294000,25.20
2011-06-14,35.68,36.57,35.54,36.42,3834700,25.48
2011-06-13,35.48,35.63,35.15,35.48,3458400,24.82
2011-06-10,35.73,35.76,35.18,35.26,3542600,24.67
2011-06-09,35.38,35.64,35.19,35.42,3134200,24.78
2011-06-08,35.47,36.07,35.19,35.26,4307100,24.67
2011-06-07,34.59,36.81,34.55,35.65,6686300,24.94
2011-06-06,34.74,34.93,34.06,34.12,2142500,23.87
2011-06-03,34.69,34.99,34.35,34.66,2577500,24.25
2011-06-02,34.57,35.22,34.49,35.18,3325100,24.61
2011-06-01,35.37,35.85,34.58,34.59,2421300,24.20
2011-05-31,35.17,35.64,35.10,35.52,4267600,24.85
2011-05-27,34.77,35.35,34.63,34.90,1551800,24.42
2011-05-26,33.73,34.89,33.69,34.63,2052300,24.23
2011-05-25,33.82,34.04,33.43,33.82,2900800,23.66
2011-05-24,34.14,34.42,33.76,33.89,1991100,23.71
2011-05-23,34.15,34.32,33.79,34.10,2722400,23.86
2011-05-20,34.08,34.88,33.83,34.50,2623200,24.14
2011-05-19,33.84,34.11,33.74,34.08,2872900,23.84
2011-05-18,33.42,34.46,33.22,33.73,3218600,23.60
2011-05-17,34.16,34.31,33.07,33.36,2981000,23.34
2011-05-16,34.75,34.90,34.31,34.40,1712100,24.07
2011-05-13,35.12,35.29,34.85,34.90,1786000,24.42
2011-05-12,35.06,35.29,34.84,35.06,1794100,24.53
2011-05-11,35.07,35.26,34.72,35.23,2462000,24.54
2011-05-10,34.15,35.18,34.15,35.08,1459400,24.44
2011-05-09,34.32,34.53,34.06,34.11,1816300,23.76
2011-05-06,34.20,34.62,33.99,34.38,2157300,23.95
2011-05-05,35.05,35.06,33.67,33.91,3845500,23.62
2011-05-04,35.34,35.51,34.66,35.27,1967400,24.57
2011-05-03,35.38,35.56,35.05,35.32,1424900,24.61
2011-05-02,35.57,35.81,35.30,35.37,1498800,24.64
2011-04-29,35.42,35.88,35.14,35.23,2289100,24.54
2011-04-28,34.80,35.45,34.79,35.38,1778000,24.65
2011-04-27,34.99,35.03,34.72,34.80,3082500,24.24
2011-04-26,34.88,35.05,34.71,34.94,1795600,24.34
2011-04-25,34.87,34.90,34.53,34.72,1519200,24.19
2011-04-21,34.47,34.66,34.38,34.56,1492600,24.08
2011-04-20,33.78,34.45,33.61,34.38,2378800,23.95
2011-04-19,32.95,33.34,32.85,33.34,2672400,23.23
2011-04-18,33.26,33.32,32.80,32.97,2039900,22.97
2011-04-15,33.80,33.86,33.52,33.63,1532200,23.43
2011-04-14,33.50,33.80,33.21,33.65,1539300,23.44
2011-04-13,33.59,33.84,33.43,33.72,2200500,23.49
2011-04-12,33.51,33.78,33.50,33.55,2008700,23.37
2011-04-11,33.40,33.80,33.35,33.69,2741800,23.47
2011-04-08,33.92,34.00,33.14,33.31,2178700,23.21
2011-04-07,33.65,33.96,33.25,33.76,2346100,23.52
2011-04-06,34.13,34.65,33.66,33.73,4873500,23.50
2011-04-05,34.87,35.10,34.63,34.87,1713100,24.29
2011-04-04,34.66,34.99,34.58,34.95,1503300,24.35
2011-04-01,34.74,34.92,34.33,34.66,3183800,24.15
2011-03-31,34.30,34.88,34.30,34.61,1503300,24.11
2011-03-30,34.54,34.68,34.26,34.33,1758600,23.92
2011-03-29,34.28,34.40,34.02,34.32,1250200,23.91
2011-03-28,34.89,34.95,34.31,34.35,1590200,23.93
2011-03-25,35.03,35.05,34.74,34.85,3596000,24.28
2011-03-24,34.67,35.18,34.65,34.86,4144500,24.29
2011-03-23,34.57,34.63,34.19,34.53,2398300,24.06
2011-03-22,35.19,35.27,34.70,34.75,2307600,24.21
2011-03-21,35.28,35.45,35.07,35.14,2434400,24.48
2011-03-18,35.22,35.22,34.75,34.97,3636700,24.36
2011-03-17,34.92,35.11,34.59,34.84,2122800,24.27
2011-03-16,34.76,34.93,34.13,34.34,2231400,23.92
2011-03-15,34.43,35.14,34.00,34.91,1473700,24.32
2011-03-14,35.22,35.47,34.79,35.06,1585000,24.43
2011-03-11,35.02,35.61,35.02,35.43,869200,24.68
2011-03-10,35.19,35.43,34.64,35.21,1744200,24.53
2011-03-09,36.07,36.17,35.56,35.62,1030000,24.82
2011-03-08,35.86,36.21,35.45,36.10,1535700,25.15
2011-03-07,36.53,36.63,35.41,35.88,1445500,25.00
2011-03-04,36.56,36.96,35.88,36.34,1684300,25.32
2011-03-03,36.73,37.19,36.54,37.14,1487200,25.88
2011-03-02,36.17,36.54,35.34,36.46,1891800,25.40
2011-03-01,36.82,36.94,35.98,36.05,1711500,25.12
2011-02-28,37.05,37.13,36.54,36.85,1639500,25.67
2011-02-25,36.44,37.02,36.39,36.98,1133000,25.76
2011-02-24,36.17,36.52,36.00,36.36,1640200,25.33
2011-02-23,36.69,37.08,36.00,36.26,1742100,25.17
2011-02-22,37.18,37.35,36.65,36.78,2461800,25.54
2011-02-18,37.39,37.96,37.31,37.62,1945500,26.12
2011-02-17,36.72,38.08,36.62,37.46,3379900,26.01
2011-02-16,35.98,37.17,35.04,36.76,4937700,25.52
2011-02-15,37.25,37.63,36.93,37.42,2701400,25.98
2011-02-14,37.64,37.84,37.45,37.72,1714000,26.19
2011-02-11,37.17,37.90,37.14,37.69,883800,26.17
2011-02-10,36.86,37.45,36.84,37.30,1054900,25.90
2011-02-09,36.13,37.22,36.12,37.14,2527600,25.79
2011-02-08,36.21,36.60,35.72,36.16,1945000,25.11
2011-02-07,36.03,36.55,35.98,36.07,1757300,25.04
2011-02-04,35.40,36.12,35.39,36.03,2390200,25.02
2011-02-03,34.53,35.49,34.45,35.38,1595600,24.56
2011-02-02,34.62,34.88,34.43,34.56,1056800,23.99
2011-02-01,34.03,34.77,33.79,34.69,1815300,24.08
2011-01-31,34.08,34.29,33.71,33.85,1812700,23.50
2011-01-28,34.68,35.03,33.98,34.05,1660500,23.64
2011-01-27,34.64,34.93,34.58,34.74,1643200,24.12
2011-01-26,34.49,34.80,34.31,34.48,2282700,23.94
2011-01-25,34.41,34.85,34.07,34.44,2489600,23.91
2011-01-24,33.75,34.58,33.46,34.45,3373700,23.92
2011-01-21,34.34,34.62,34.10,34.23,4241200,23.77
2011-01-20,33.73,34.19,33.27,34.15,4168800,23.71
2011-01-19,33.90,34.55,33.65,33.73,1625800,23.42
2011-01-18,33.68,34.20,33.68,34.00,969800,23.61
2011-01-14,33.29,34.06,33.26,33.85,1696800,23.50
2011-01-13,33.70,33.99,33.29,33.41,2603900,23.20
2011-01-12,34.16,34.19,33.50,33.76,2134400,23.44
2011-01-11,34.24,34.36,33.59,33.83,2275700,23.49
2011-01-10,33.66,34.19,33.58,34.05,3272500,23.64
2011-01-07,34.71,35.05,34.09,34.64,2190800,24.05
2011-01-06,34.99,35.29,34.37,34.82,2059400,24.18
2011-01-05,34.36,35.21,34.21,35.18,2209800,24.43
2011-01-04,34.03,34.56,33.91,34.50,3119700,23.95
2011-01-03,34.09,34.29,33.89,33.91,2375600,23.54
2010-12-31,34.09,34.13,33.61,33.84,1848100,23.49
2010-12-30,33.81,34.29,33.66,34.09,1849100,23.67
2010-12-29,33.85,34.10,33.64,33.91,1733200,23.54
2010-12-28,33.75,33.97,33.58,33.79,2420500,23.46
2010-12-27,33.70,33.80,33.37,33.57,3165100,23.31
2010-12-23,34.19,34.24,33.52,33.78,3314000,23.45
2010-12-22,34.50,34.76,34.08,34.24,4651500,23.77
2010-12-21,34.84,34.91,34.51,34.63,2935100,24.04
2010-12-20,34.35,34.55,34.08,34.29,4403800,23.81
2010-12-17,36.10,36.10,34.20,34.22,37247900,23.76
2010-12-16,34.60,34.98,34.02,34.72,7022000,24.11
2010-12-15,34.63,35.01,34.34,34.69,3530000,24.08
2010-12-14,34.60,35.02,34.43,34.70,4623200,24.09
2010-12-13,34.91,35.16,34.54,34.59,4803100,24.02
2010-12-10,34.89,34.94,34.15,34.72,13369000,24.11
2010-12-09,33.54,33.70,33.22,33.36,933500,23.16
2010-12-08,33.22,33.61,33.18,33.30,1685400,23.12
2010-12-07,33.30,33.85,33.04,33.23,3091800,23.07
2010-12-06,32.59,33.22,32.39,32.94,1406600,22.87
2010-12-03,31.82,32.75,31.82,32.60,2389600,22.63
2010-12-02,32.22,32.50,31.72,31.87,3773700,22.13
2010-12-01,32.32,32.38,31.99,32.17,3059500,22.34
2010-11-30,31.19,31.95,31.12,31.67,2794800,21.99
2010-11-29,31.24,31.50,31.09,31.43,2137200,21.82
2010-11-26,31.13,31.58,31.07,31.32,494200,21.75
2010-11-24,31.22,31.81,31.06,31.45,1906300,21.84
2010-11-23,30.74,30.94,30.49,30.87,2154200,21.43
2010-11-22,31.03,31.69,30.51,30.91,2805000,21.46
2010-11-19,30.85,31.25,30.55,31.22,2065500,21.68
2010-11-18,31.25,32.09,30.85,30.91,6038200,21.46
2010-11-17,28.86,29.12,28.72,28.93,1239300,20.09
2010-11-16,28.81,28.93,28.57,28.85,2569700,20.03
2010-11-15,29.09,29.30,28.91,28.91,1112300,20.07
2010-11-12,29.24,29.72,28.97,29.03,1515000,20.16
2010-11-11,29.79,29.94,29.27,29.50,2180300,20.48
2010-11-10,29.31,30.08,28.92,30.03,3226100,20.85
2010-11-09,29.34,29.54,29.10,29.33,2313900,20.28
2010-11-08,28.58,29.43,28.51,29.32,3345100,20.27
2010-11-05,28.47,28.85,28.37,28.70,2439700,19.84
2010-11-04,26.80,28.78,26.07,28.36,5379400,19.61
2010-11-03,27.29,27.75,27.29,27.64,1451500,19.11
2010-11-02,27.47,27.69,27.21,27.30,1301700,18.87
2010-11-01,26.82,27.42,26.77,27.19,1371800,18.80
2010-10-29,26.65,26.93,26.53,26.74,1026200,18.49
2010-10-28,27.10,27.19,26.52,26.67,1832500,18.44
2010-10-27,26.12,27.08,26.10,27.00,2576700,18.67
2010-10-26,26.26,26.54,26.03,26.48,1039300,18.31
2010-10-25,26.65,26.88,26.41,26.43,1357900,18.27
2010-10-22,26.54,26.69,26.08,26.49,1922200,18.31
2010-10-21,26.42,26.60,26.05,26.28,933700,18.17
2010-10-20,26.04,26.58,26.01,26.36,1085900,18.22
2010-10-19,26.48,26.66,25.87,26.03,2973200,18.00
2010-10-18,26.63,26.74,26.17,26.67,1718700,18.44
2010-10-15,26.64,26.87,26.42,26.66,1788600,18.43
2010-10-14,26.80,26.87,26.29,26.52,1073600,18.33
2010-10-13,26.81,26.99,26.66,26.78,1164000,18.51
2010-10-12,26.41,26.86,26.33,26.78,1689300,18.51
2010-10-11,26.16,26.47,26.11,26.42,1096000,18.26
2010-10-08,26.27,26.35,25.98,26.17,2312300,18.09
2010-10-07,26.55,26.65,26.03,26.32,1613400,18.20
2010-10-06,26.87,26.95,26.45,26.48,1427100,18.31
2010-10-05,26.64,26.96,26.57,26.85,1977100,18.56
2010-10-04,26.24,26.58,26.10,26.32,1236100,18.20
2010-10-01,26.21,26.40,26.08,26.34,1065200,18.21
2010-09-30,26.10,26.25,25.81,26.19,1109200,18.11
2010-09-29,26.16,26.27,25.81,25.96,1297700,17.95
2010-09-28,25.91,26.33,25.61,26.17,1798100,18.09
2010-09-27,25.71,25.92,25.31,25.78,1061300,17.82
2010-09-24,25.63,25.99,25.61,25.80,920000,17.84
2010-09-23,25.19,25.55,25.12,25.29,906500,17.48
2010-09-22,25.89,26.05,25.30,25.41,1527300,17.57
2010-09-21,26.30,26.38,25.85,25.98,1638800,17.96
2010-09-20,26.17,26.50,25.97,26.36,1645500,18.22
2010-09-17,26.64,26.78,26.01,26.08,2095800,18.03
2010-09-16,26.98,26.98,26.21,26.46,1911100,18.29
2010-09-15,26.86,27.36,26.80,27.00,1859700,18.67
2010-09-14,27.50,27.51,26.90,27.10,1222000,18.74
2010-09-13,27.14,27.67,27.03,27.49,1518400,19.00
