Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,103.72,105.23,103.07,104.02,9697600,104.02
2011-07-28,105.15,105.85,104.43,105.03,6655300,105.03
2011-07-27,106.97,107.00,105.47,105.63,7412700,105.63
2011-07-26,107.91,108.47,107.34,107.57,4864800,107.57
2011-07-25,107.55,109.00,107.46,108.10,6284400,108.10
2011-07-22,109.39,109.66,108.82,108.97,5413700,108.97
2011-07-21,107.88,109.75,107.76,109.43,8319200,109.43
2011-07-20,107.51,107.65,106.88,107.10,5044900,107.10
2011-07-19,106.49,107.80,106.49,107.48,6987600,107.48
2011-07-18,105.58,106.50,105.11,106.23,6951000,106.23
2011-07-15,105.68,106.30,105.14,106.19,10160500,106.19
2011-07-14,105.70,106.47,104.57,104.67,7279600,104.67
2011-07-13,104.74,106.61,104.72,105.09,6871100,105.09
2011-07-12,103.99,105.95,103.99,104.39,9158300,104.39
2011-07-11,104.43,104.64,103.75,104.41,6975400,104.41
2011-07-08,105.45,106.00,105.07,105.89,6334900,105.89
2011-07-07,106.08,106.92,105.80,106.59,7878100,106.59
2011-07-06,104.82,105.24,104.57,105.08,6196300,105.08
2011-07-05,104.11,105.76,104.11,105.12,7392200,105.12
2011-07-01,102.71,104.19,102.01,104.09,6579700,104.09
2011-06-30,101.79,102.94,101.28,102.84,7697700,102.84
2011-06-29,100.69,101.71,99.91,101.28,7637700,101.28
2011-06-28,99.53,100.60,99.30,100.35,6113800,100.35
2011-06-27,97.94,99.64,97.94,98.90,7130200,98.90
2011-06-24,99.54,99.74,97.81,97.90,8032400,97.90
2011-06-23,98.90,99.55,97.00,99.36,13058800,99.36
2011-06-22,101.27,102.46,101.00,101.07,6592500,101.07
2011-06-21,100.54,101.98,100.32,101.59,8499500,101.59
2011-06-20,98.88,100.20,98.65,99.91,6427200,99.91
2011-06-17,100.23,100.84,98.73,99.17,12029500,99.17
2011-06-16,98.06,99.66,97.81,99.43,7786300,99.43
2011-06-15,99.20,99.91,97.71,98.41,9665600,98.41
2011-06-14,100.02,101.29,99.89,100.60,7353400,100.60
2011-06-13,98.93,100.51,98.07,98.93,7999300,98.93
