Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,53.76,54.35,53.75,54.10,4693400,54.10
2011-07-18,53.78,53.85,53.03,53.47,4272200,53.47
2011-07-15,54.21,54.21,53.60,54.09,6517100,54.09
2011-07-14,54.70,55.00,53.62,53.82,6677200,53.82
2011-07-13,54.63,55.30,54.40,54.60,4301200,54.60
2011-07-12,54.59,54.99,54.32,54.34,4842800,54.34
2011-07-11,54.83,55.08,54.34,54.80,5157300,54.80
2011-07-08,55.03,55.46,54.66,55.42,5662100,55.42
2011-07-07,55.53,56.20,55.52,55.84,6310500,55.84
2011-07-06,54.45,55.83,54.33,55.20,8571800,55.20
2011-07-05,54.36,54.90,54.36,54.45,4546500,54.45
2011-07-01,53.60,54.68,53.56,54.47,5595300,54.47
2011-06-30,53.53,54.49,53.32,54.05,6280400,54.05
2011-06-29,53.02,53.58,52.54,53.32,5695600,53.32
2011-06-28,52.05,52.71,51.91,52.66,5317700,52.66
2011-06-27,51.85,52.12,51.19,51.75,5776600,51.75
2011-06-24,51.71,51.98,50.92,51.96,11953700,51.96
2011-06-23,50.62,51.38,49.87,51.32,6732500,51.32
2011-06-22,51.48,51.98,51.25,51.32,5231600,51.32
2011-06-21,50.79,51.94,50.79,51.72,6307300,51.72
2011-06-20,49.50,50.59,49.46,50.39,4557400,50.39
2011-06-17,49.79,50.21,49.34,49.57,8861300,49.57
2011-06-16,49.46,49.89,48.64,49.34,6181500,49.34
2011-06-15,49.72,50.30,49.37,49.54,7441600,49.54
2011-06-14,50.18,50.63,49.75,50.29,9001300,50.29
2011-06-13,50.03,50.28,49.36,49.50,4527500,49.50
2011-06-10,50.34,50.52,49.70,49.78,5161700,49.78
2011-06-09,50.04,50.90,49.78,50.46,5665600,50.46
2011-06-08,50.14,50.44,49.52,49.74,5581800,49.74
2011-06-07,50.08,50.71,49.86,50.29,6102000,50.29
2011-06-06,50.30,50.69,49.75,49.85,5646700,49.85
2011-06-03,50.45,50.75,50.11,50.29,6056500,50.29
2011-06-02,51.66,52.00,50.63,51.17,6659000,51.17
2011-06-01,53.11,53.20,51.46,51.57,6424500,51.57
2011-05-31,53.18,53.39,52.45,53.30,6052500,53.30
2011-05-27,52.35,53.02,52.05,52.56,3806800,52.56
2011-05-26,51.96,52.32,51.55,51.97,4999800,51.97
2011-05-25,52.16,52.45,50.50,52.16,6396900,52.16
2011-05-24,51.71,52.21,51.19,51.25,5635900,51.25
2011-05-23,51.75,52.02,51.23,51.60,7803500,51.60
2011-05-20,53.33,53.45,52.42,52.74,5620100,52.74
2011-05-19,53.46,54.00,52.95,53.43,3817400,53.43
2011-05-18,52.53,53.38,52.19,53.29,5087300,53.29
2011-05-17,52.85,53.11,51.92,52.30,6227900,52.30
2011-05-16,52.74,53.62,52.50,52.92,6748200,52.92
2011-05-13,54.02,54.16,52.55,52.91,6943100,52.91
2011-05-12,54.11,54.18,53.31,53.89,5270900,53.89
2011-05-11,55.51,55.56,53.89,54.12,6266900,54.12
2011-05-10,55.52,56.13,55.37,55.89,4303700,55.48
2011-05-09,54.94,55.70,54.79,55.41,4414800,55.00
2011-05-06,54.48,55.21,54.34,54.63,5488800,54.23
2011-05-05,54.08,54.87,53.59,53.87,5937200,53.47
2011-05-04,55.32,55.62,54.05,54.51,6414200,54.11
2011-05-03,56.09,56.36,55.09,55.47,4739300,55.06
2011-05-02,56.42,57.00,56.00,56.19,4886200,55.78
2011-04-29,56.81,56.88,56.21,56.79,5456300,56.37
2011-04-28,55.77,56.83,55.69,56.75,7311900,56.33
2011-04-27,55.09,55.75,54.54,55.62,4550100,55.21
2011-04-26,55.40,55.65,54.91,55.06,5200000,54.66
2011-04-25,55.69,55.90,54.71,55.12,4783300,54.72
2011-04-21,55.99,56.20,54.89,55.91,5959200,55.50
2011-04-20,55.07,56.00,55.00,55.37,6103200,54.96
2011-04-19,53.80,54.78,53.73,54.67,4164500,54.27
2011-04-18,54.28,54.28,53.19,53.80,5248200,53.41
2011-04-15,54.19,55.12,53.89,54.89,6291800,54.49
2011-04-14,53.54,54.35,53.35,54.11,4285800,53.71
2011-04-13,54.06,54.27,53.17,53.82,4242500,53.43
2011-04-12,54.50,54.66,53.70,53.75,5668200,53.36
2011-04-11,55.45,55.81,54.70,54.85,3556400,54.45
2011-04-08,55.92,56.00,55.03,55.40,2730800,54.99
2011-04-07,55.85,56.28,55.14,55.57,4071100,55.16
2011-04-06,56.34,56.52,55.60,56.02,3478000,55.61
2011-04-05,55.49,56.48,55.00,56.06,5268100,55.65
2011-04-04,55.50,55.76,55.20,55.59,4102600,55.18
2011-04-01,55.19,55.77,54.93,55.19,3809000,54.79
2011-03-31,55.09,55.80,54.90,54.97,5162800,54.57
2011-03-30,54.91,55.60,54.57,55.37,6337200,54.96
2011-03-29,54.00,54.64,53.70,54.59,3653300,54.19
2011-03-28,54.11,54.50,53.93,53.93,4354700,53.53
2011-03-25,53.86,54.64,53.76,54.10,4859300,53.70
2011-03-24,53.87,53.99,53.26,53.68,3994100,53.29
2011-03-23,53.58,53.75,52.89,53.46,5793700,53.07
2011-03-22,53.84,54.07,53.53,53.67,4600000,53.28
2011-03-21,53.80,53.96,53.44,53.83,5209000,53.44
2011-03-18,53.06,53.29,52.71,52.99,8204800,52.60
2011-03-17,52.28,52.92,52.09,52.33,5483800,51.95
2011-03-16,52.10,52.34,51.10,51.53,10827000,51.15
2011-03-15,51.70,52.77,51.30,52.40,6952200,52.02
2011-03-14,53.18,53.50,52.50,53.02,8276200,52.63
2011-03-11,52.39,53.08,51.82,52.90,5444800,52.51
2011-03-10,53.18,53.20,52.06,52.59,5906000,52.20
2011-03-09,54.03,54.11,53.11,53.71,4445400,53.32
2011-03-08,53.47,54.49,53.09,54.26,5440800,53.86
2011-03-07,54.10,54.41,52.90,53.26,5827500,52.87
2011-03-04,54.42,54.57,53.05,53.87,5995100,53.47
2011-03-03,53.78,54.95,53.71,54.55,6849200,54.15
2011-03-02,53.08,53.44,52.76,53.06,6209100,52.67
2011-03-01,54.74,54.92,53.16,53.22,7885300,52.83
2011-02-28,54.22,54.88,54.22,54.87,6000300,54.47
2011-02-25,53.19,54.28,53.10,54.07,4470100,53.67
2011-02-24,53.59,54.06,52.36,53.04,9686600,52.65
2011-02-23,54.04,54.74,52.91,53.71,10303600,53.32
2011-02-22,54.95,55.30,54.12,54.38,8715000,53.98
2011-02-18,55.65,56.19,55.11,55.98,8159300,55.57
2011-02-17,54.67,55.67,54.45,55.59,8179100,55.18
2011-02-16,54.25,54.97,54.21,54.67,7235500,54.27
2011-02-15,54.38,54.50,53.80,54.11,6963500,53.71
2011-02-14,54.44,54.58,54.11,54.52,5321900,54.12
2011-02-11,53.70,54.75,53.61,54.58,7165000,54.18
2011-02-10,53.66,54.43,53.50,54.33,6820000,53.52
2011-02-09,53.64,53.85,53.35,53.83,6657700,53.03
2011-02-08,53.67,53.88,53.40,53.71,7836300,52.91
2011-02-07,52.62,53.91,52.51,53.33,8653300,52.54
2011-02-04,51.87,52.63,51.81,52.53,5425800,51.75
2011-02-03,51.69,52.07,51.41,51.93,4658900,51.16
2011-02-02,51.64,52.00,51.45,51.85,5076400,51.08
2011-02-01,50.85,51.74,50.74,51.66,7928100,50.89
2011-01-31,50.15,50.86,50.09,50.68,7964600,49.93
2011-01-28,50.15,50.66,49.73,50.29,8956100,49.54
2011-01-27,49.44,50.45,49.41,50.27,7202600,49.52
2011-01-26,49.24,50.64,49.13,50.32,10312900,49.57
2011-01-25,48.84,49.25,48.26,49.04,10078500,48.31
2011-01-24,48.44,49.00,48.29,48.89,8873100,48.17
2011-01-21,48.45,48.82,48.31,48.35,6147200,47.63
2011-01-20,48.72,48.80,47.65,48.12,7227500,47.41
2011-01-19,49.79,49.79,48.68,48.88,6302400,48.16
2011-01-18,49.53,50.14,49.53,49.70,5925900,48.96
2011-01-14,49.29,49.93,49.10,49.80,4497000,49.06
2011-01-13,49.23,49.73,49.12,49.39,5410100,48.66
