Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,70.77,72.35,70.64,72.31,1646400,71.40
2011-07-18,70.12,70.72,69.55,70.17,2042500,69.28
2011-07-15,68.75,70.46,68.75,70.46,1862000,69.57
2011-07-14,69.92,70.22,67.90,68.07,2232500,67.21
2011-07-13,69.25,70.72,69.16,69.47,1232600,68.59
2011-07-12,68.51,69.54,68.39,68.95,1335700,68.08
2011-07-11,69.70,69.93,68.78,68.94,1144400,68.07
2011-07-08,69.92,70.86,69.85,70.71,1238400,69.82
2011-07-07,71.38,71.54,70.10,70.88,1337000,69.98
2011-07-06,71.38,71.49,70.16,70.63,1432000,69.74
2011-07-05,70.51,72.15,70.45,71.52,2082800,70.62
2011-07-01,70.17,70.77,69.55,70.34,1252300,69.45
2011-06-30,69.52,71.31,69.43,70.41,2107900,69.52
2011-06-29,68.40,70.00,68.00,69.41,2176200,68.53
2011-06-28,67.94,69.34,67.66,68.10,2646400,67.24
2011-06-27,67.39,67.92,66.87,67.49,1459500,66.64
2011-06-24,68.80,69.49,67.59,67.71,2730600,66.85
2011-06-23,67.60,68.35,66.29,68.05,2054100,67.19
2011-06-22,68.92,69.99,68.62,68.70,2601400,67.83
2011-06-21,67.56,68.40,67.41,68.02,1883300,67.16
2011-06-20,66.97,67.57,66.25,66.73,1184500,65.89
2011-06-17,67.43,67.63,66.68,67.34,2001400,66.49
2011-06-16,66.78,67.66,65.63,66.94,2032900,66.09
2011-06-15,67.11,67.99,66.22,66.65,2185800,65.81
2011-06-14,68.25,68.83,67.80,67.84,1741700,66.98
2011-06-13,67.33,68.76,66.38,67.33,1695300,66.48
2011-06-10,68.50,69.04,68.22,68.22,1719800,67.36
2011-06-09,68.95,69.32,68.35,69.18,1418100,68.31
2011-06-08,68.91,69.26,68.06,68.47,1739100,67.60
2011-06-07,69.73,70.05,68.88,68.88,1372200,68.01
2011-06-06,71.53,71.98,69.16,69.24,2039700,68.36
2011-06-03,70.99,72.64,70.85,71.62,1795400,70.71
2011-06-02,72.08,73.07,71.25,71.88,1415800,70.97
2011-06-01,73.27,74.00,71.77,71.93,2157700,71.02
2011-05-31,73.74,74.07,72.73,73.67,2249700,72.74
2011-05-27,73.30,73.44,72.39,72.85,1134600,71.93
2011-05-26,73.01,73.39,71.98,72.90,1343600,71.98
2011-05-25,73.21,73.40,71.63,73.21,1577200,72.28
2011-05-24,70.96,72.69,70.85,72.17,1643200,71.26
2011-05-23,70.63,71.08,70.08,70.98,1526300,70.08
2011-05-20,72.16,72.59,70.87,71.85,1458400,70.94
2011-05-19,73.15,73.35,71.30,72.06,1937000,71.15
2011-05-18,70.87,73.09,70.87,72.75,2132700,71.83
2011-05-17,70.39,71.98,69.84,70.65,2848500,69.76
2011-05-16,70.33,71.49,70.04,70.32,2052900,69.43
2011-05-13,70.49,71.61,69.83,70.74,1589300,69.85
2011-05-12,69.57,70.99,68.64,70.32,1655000,69.43
2011-05-11,71.29,71.29,69.34,69.96,2046300,69.08
2011-05-10,71.28,72.02,70.80,71.64,1475100,70.73
2011-05-09,70.43,71.53,70.28,71.34,1548400,70.44
2011-05-06,70.87,71.89,69.00,69.77,2342900,68.89
2011-05-05,69.79,72.58,69.12,69.88,3847300,69.00
2011-05-04,71.12,71.46,69.51,70.72,2381000,69.83
2011-05-03,73.72,73.75,70.73,71.12,3299200,70.22
2011-05-02,75.82,75.87,73.19,73.75,2282700,72.82
2011-04-29,75.34,76.29,75.05,75.87,1300000,74.91
2011-04-28,75.65,77.10,75.02,75.46,1737000,74.51
2011-04-27,78.18,78.35,76.00,76.28,1984700,74.45
