Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,49.86,50.10,49.44,50.05,803700,50.05
2011-07-18,50.31,50.31,49.47,49.79,908100,49.79
2011-07-15,50.17,50.37,49.73,50.33,1304900,50.33
2011-07-14,49.89,50.17,49.73,49.86,1172400,49.86
2011-07-13,50.26,50.35,49.70,49.78,749400,49.78
2011-07-12,49.69,50.36,49.64,50.01,750900,50.01
2011-07-11,49.88,49.97,49.60,49.71,600700,49.71
2011-07-08,50.20,50.47,50.09,50.37,564400,50.37
2011-07-07,50.88,50.88,50.48,50.64,559700,50.64
2011-07-06,50.36,50.70,50.23,50.50,630900,50.50
2011-07-05,50.80,50.98,50.51,50.61,752200,50.61
2011-07-01,50.13,50.85,50.07,50.80,735300,50.80
2011-06-30,50.03,50.11,49.73,50.02,554400,50.02
2011-06-29,49.91,50.06,49.72,49.99,740000,49.99
2011-06-28,49.52,50.04,49.45,49.73,748400,49.73
2011-06-27,49.03,49.56,49.03,49.48,687900,49.48
2011-06-24,48.83,49.35,48.77,49.04,1183700,49.04
2011-06-23,48.79,48.87,48.33,48.69,965900,48.69
2011-06-22,49.44,49.56,49.15,49.22,781900,49.22
2011-06-21,49.41,49.98,49.20,49.69,1077700,49.69
2011-06-20,49.06,49.33,48.68,49.25,851000,49.25
2011-06-17,49.28,49.48,49.08,49.24,1228100,49.24
2011-06-16,48.94,49.08,48.65,49.02,1276800,49.02
2011-06-15,49.56,49.95,49.25,49.42,1093100,48.83
2011-06-14,49.95,50.15,49.68,49.80,1075800,49.21
2011-06-13,49.67,49.90,49.20,49.67,742000,49.08
2011-06-10,49.46,49.64,49.31,49.34,904600,48.75
2011-06-09,49.72,49.84,49.34,49.57,982900,48.98
2011-06-08,49.83,50.09,49.41,49.78,1088600,49.19
2011-06-07,50.08,50.41,49.95,49.96,683700,49.37
2011-06-06,50.24,50.24,49.79,50.00,509900,49.41
2011-06-03,50.00,50.54,49.90,50.26,536600,49.66
2011-06-02,50.87,50.88,50.20,50.71,854200,50.11
2011-06-01,51.42,51.58,50.85,50.85,756300,50.24
2011-05-31,51.58,51.68,51.16,51.62,1371700,51.01
2011-05-27,51.26,51.39,50.92,51.12,527700,50.51
2011-05-26,50.98,51.11,50.61,51.04,840600,50.43
2011-05-25,51.12,51.35,50.80,51.12,1036400,50.51
2011-05-24,51.46,51.82,51.36,51.51,837200,50.90
2011-05-23,51.47,51.89,51.41,51.47,955800,50.86
2011-05-20,51.80,52.16,51.56,51.90,883400,51.28
