Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,52.68,52.94,52.39,52.60,1686600,52.60
2011-07-28,53.10,53.34,52.89,52.97,1393200,52.97
2011-07-27,53.42,53.55,53.01,53.18,1824600,53.18
2011-07-26,53.31,53.38,52.98,53.25,1310800,53.25
2011-07-25,53.27,53.51,53.25,53.31,1424300,53.31
2011-07-22,53.89,53.95,53.54,53.58,1334300,53.58
2011-07-21,53.50,54.08,53.50,53.96,1371200,53.96
2011-07-20,53.17,53.55,52.95,53.33,795700,53.33
2011-07-19,52.60,53.18,52.33,53.13,1110900,53.13
2011-07-18,53.08,53.10,52.45,52.53,1360800,52.53
2011-07-15,53.34,53.34,52.85,53.25,1639100,53.25
2011-07-14,53.74,53.80,53.12,53.20,1673900,53.20
2011-07-13,53.85,54.02,53.60,53.71,1810700,53.71
2011-07-12,53.13,53.97,53.09,53.66,1659500,53.66
2011-07-11,53.14,53.35,52.86,53.28,1713900,53.28
2011-07-08,53.69,53.87,53.29,53.56,1655000,53.56
2011-07-07,54.11,54.13,53.76,54.04,1194500,54.04
2011-07-06,53.69,53.93,53.50,53.86,1022600,53.86
2011-07-05,53.90,53.98,53.60,53.69,1242100,53.69
2011-07-01,53.27,54.12,53.27,54.06,1877800,54.06
2011-06-30,53.11,53.31,52.82,53.24,1223000,53.24
2011-06-29,52.93,53.20,52.75,53.10,1335900,53.10
2011-06-28,52.76,52.98,52.58,52.93,855900,52.93
2011-06-27,52.53,52.80,52.53,52.69,853000,52.69
2011-06-24,52.36,52.79,52.30,52.40,1437100,52.40
2011-06-23,52.32,52.39,51.84,52.24,1940200,52.24
2011-06-22,52.84,52.98,52.51,52.71,1801200,52.71
2011-06-21,53.12,53.25,52.72,52.95,1514800,52.95
2011-06-20,52.63,53.07,52.35,53.01,1118800,53.01
2011-06-17,52.81,53.22,52.72,52.78,2181700,52.78
2011-06-16,52.17,52.69,52.15,52.61,2399600,52.61
2011-06-15,52.06,52.41,51.81,52.05,2214900,52.05
2011-06-14,52.46,52.46,51.90,52.21,1600400,52.21
2011-06-13,52.09,52.32,51.67,52.09,1520900,52.09
2011-06-10,52.24,52.33,51.77,51.83,2057000,51.83
2011-06-09,52.57,52.65,52.25,52.31,1570700,52.31
2011-06-08,52.37,52.61,52.13,52.56,2152200,52.56
2011-06-07,52.19,52.63,52.14,52.30,2064400,52.30
2011-06-06,52.18,52.41,51.91,52.15,1367800,52.15
2011-06-03,52.23,52.60,52.03,52.32,1344500,52.32
2011-06-02,52.78,52.78,52.24,52.68,1319600,52.68
2011-06-01,53.00,53.04,52.69,52.77,1977500,52.77
