Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,103.94,105.63,101.65,101.79,1228400,101.79
2011-08-01,106.08,106.15,103.15,104.65,922000,104.65
2011-07-29,104.25,105.95,103.51,104.91,960700,104.91
2011-07-28,104.98,106.42,104.95,105.43,912200,105.43
2011-07-27,105.75,106.30,104.49,104.65,995800,104.65
2011-07-26,106.52,107.37,106.16,106.43,679900,106.43
2011-07-25,106.48,107.62,106.16,106.90,684100,106.90
2011-07-22,107.43,108.77,107.08,107.23,881900,107.23
2011-07-21,106.82,108.21,106.47,107.24,913700,107.24
2011-07-20,106.91,107.12,105.44,106.14,597100,106.14
2011-07-19,105.56,107.33,105.56,106.91,549800,106.91
2011-07-18,104.93,105.16,103.85,104.84,763600,104.84
2011-07-15,105.19,105.73,104.47,105.16,989300,105.16
2011-07-14,105.71,106.31,104.49,105.01,769200,105.01
2011-07-13,104.42,107.10,104.11,105.31,1806500,105.31
2011-07-12,104.45,104.98,102.82,103.93,1133100,103.93
2011-07-11,104.33,105.07,103.99,104.29,725700,104.29
2011-07-08,105.50,106.05,104.47,105.89,1015600,105.89
2011-07-07,105.88,106.94,104.40,105.79,1077500,105.79
2011-07-06,105.76,107.03,105.59,106.55,775300,106.55
2011-07-05,105.12,106.40,104.82,105.97,1633700,105.97
2011-07-01,105.23,105.72,104.03,105.08,1642100,105.08
2011-06-30,105.47,105.76,104.45,105.19,923200,105.19
2011-06-29,103.48,106.57,103.48,105.13,1665200,105.13
2011-06-28,101.65,103.24,101.10,103.18,666000,103.18
2011-06-27,101.09,101.89,100.62,101.11,652200,101.11
2011-06-24,100.74,101.25,99.88,100.85,1351000,100.85
2011-06-23,100.14,100.68,98.42,100.54,1003400,100.54
2011-06-22,101.77,103.87,101.42,101.54,1261800,101.54
2011-06-21,99.85,102.81,99.71,102.41,897400,102.41
2011-06-20,97.36,99.39,97.31,99.24,653300,99.24
2011-06-17,97.55,98.31,97.21,97.32,782500,97.32
2011-06-16,97.35,97.65,95.45,96.85,929600,96.85
2011-06-15,98.62,99.17,96.56,97.15,1013700,97.15
2011-06-14,98.20,100.20,98.00,99.60,1309200,99.60
2011-06-13,96.06,97.52,95.83,96.80,772100,96.80
2011-06-10,96.30,96.54,95.15,96.08,927900,96.08
2011-06-09,95.04,97.50,95.04,96.79,1247000,96.79
2011-06-08,96.86,96.98,94.96,95.23,1490800,95.23
2011-06-07,97.52,98.10,96.71,96.79,807600,96.79
2011-06-06,97.85,97.85,96.61,97.11,833000,97.11
2011-06-03,98.35,98.75,97.80,98.09,830800,98.09
2011-06-02,100.20,101.06,99.00,99.48,740300,99.48
2011-06-01,102.40,102.90,100.18,100.29,793900,100.29
2011-05-31,101.50,102.51,101.30,102.51,1210400,102.51
2011-05-27,99.64,101.79,99.58,100.42,741500,100.42
2011-05-26,98.41,99.62,98.10,99.60,552700,99.60
2011-05-25,98.18,99.05,97.26,98.90,798300,98.90
2011-05-24,98.71,99.62,98.71,98.85,555800,98.85
2011-05-23,99.62,99.62,98.06,98.31,1064500,98.31
2011-05-20,101.76,102.03,100.51,100.65,847400,100.65
2011-05-19,102.10,102.87,101.50,101.80,1004000,101.80
2011-05-18,100.34,102.57,100.20,102.00,1070400,102.00
2011-05-17,99.89,100.71,99.74,100.23,834900,100.23
2011-05-16,100.06,100.59,98.97,100.12,773900,100.12
2011-05-13,100.84,101.65,99.67,100.17,587300,100.17
2011-05-12,99.64,101.48,99.00,101.33,924000,101.33
2011-05-11,101.65,102.23,99.40,100.02,1138100,100.02
2011-05-10,102.31,104.00,101.80,102.31,1953000,102.31
2011-05-09,98.41,103.00,98.10,102.54,2203000,102.54
2011-05-06,97.28,98.54,95.64,98.06,1684200,98.06
2011-05-05,92.81,97.99,92.81,97.00,2872000,97.00
2011-05-04,96.00,96.27,95.10,95.81,1287000,95.81
2011-05-03,96.68,96.68,95.28,96.18,816500,96.18
2011-05-02,97.89,97.90,96.28,96.60,998100,96.60
2011-04-29,97.08,97.20,96.38,97.00,805000,97.00
2011-04-28,95.47,97.35,95.27,97.01,1154000,97.01
2011-04-27,95.00,95.71,94.61,95.45,799400,95.45
2011-04-26,94.28,95.06,93.93,94.49,679700,94.49
2011-04-25,94.20,94.57,93.68,93.87,590700,93.87
2011-04-21,95.11,95.30,94.01,94.59,630600,94.59
2011-04-20,95.89,95.89,94.54,94.65,1866800,94.65
2011-04-19,94.56,94.82,93.83,94.67,1466800,94.67
2011-04-18,95.19,95.19,93.35,94.51,1591000,94.51
2011-04-15,95.33,96.72,94.61,96.38,1138100,96.38
2011-04-14,95.44,95.57,94.69,94.95,627500,94.95
2011-04-13,94.97,96.14,94.29,95.98,1012300,95.98
2011-04-12,94.61,95.47,93.94,94.50,613100,94.50
2011-04-11,95.42,95.67,94.61,95.05,550000,95.05
2011-04-08,96.59,96.73,94.74,95.06,766600,95.06
2011-04-07,95.00,96.26,94.05,96.01,1433400,96.01
2011-04-06,95.66,96.09,94.83,94.97,781300,94.97
2011-04-05,95.20,95.58,94.92,95.24,1216200,95.24
2011-04-04,96.31,96.31,95.47,95.50,1167000,95.50
2011-04-01,96.74,96.90,95.23,95.93,1459500,95.93
2011-03-31,95.82,96.49,95.62,96.36,1277000,96.36
2011-03-30,95.70,96.07,95.47,95.87,1017000,95.87
2011-03-29,95.83,95.93,94.80,95.06,1038400,95.06
2011-03-28,94.52,96.66,94.43,95.97,1555500,95.97
2011-03-25,92.48,95.12,92.48,94.47,1293900,94.47
2011-03-24,90.75,92.53,90.33,92.48,850400,92.48
2011-03-23,90.67,90.83,90.05,90.48,593700,90.48
2011-03-22,92.25,92.78,90.37,90.83,591800,90.83
2011-03-21,90.34,91.96,89.73,91.90,912000,91.90
2011-03-18,88.53,89.58,87.37,89.35,1400200,89.35
2011-03-17,88.72,89.09,88.11,88.15,700200,88.15
2011-03-16,89.02,89.90,87.51,87.53,1377000,87.53
2011-03-15,87.95,89.64,86.73,89.07,1211200,89.07
2011-03-14,92.11,92.25,89.98,91.01,686100,91.01
2011-03-11,92.00,93.16,90.43,92.87,773300,92.87
2011-03-10,91.58,93.11,91.33,92.25,866200,92.25
2011-03-09,92.12,92.86,91.47,92.71,839000,92.71
2011-03-08,91.21,92.81,91.02,92.41,988300,92.41
2011-03-07,92.54,93.03,90.81,90.89,1175900,90.89
2011-03-04,91.79,92.46,91.01,92.40,808900,92.40
2011-03-03,92.94,93.34,91.37,91.91,1338300,91.91
2011-03-02,91.58,93.04,90.98,92.84,1099700,92.84
2011-03-01,94.47,94.97,91.47,91.72,1658800,91.72
2011-02-28,93.12,94.60,92.77,94.41,1221800,94.41
2011-02-25,91.65,93.08,91.65,92.99,835900,92.99
2011-02-24,90.30,92.05,90.25,91.46,1121800,91.46
