Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,95.47,97.14,92.88,92.98,1066100,92.98
2011-08-01,98.15,98.61,95.86,96.79,976700,96.79
2011-07-29,94.45,98.06,93.50,96.59,2015400,96.59
2011-07-28,101.52,103.18,100.05,100.16,1326200,100.16
2011-07-27,103.92,104.20,100.99,101.32,652800,101.32
2011-07-26,104.58,104.63,102.84,104.15,539800,104.15
2011-07-25,103.10,105.11,102.50,104.30,410700,104.30
2011-07-22,104.15,104.63,103.30,104.44,613000,104.44
2011-07-21,103.26,105.06,102.66,104.47,628300,104.47
2011-07-20,102.28,102.86,101.75,102.65,537300,102.65
2011-07-19,100.77,102.08,100.40,102.02,503100,102.02
2011-07-18,100.38,100.65,98.28,99.60,578900,99.60
2011-07-15,100.94,101.09,99.87,100.83,536700,100.83
2011-07-14,101.73,102.80,99.98,100.40,565500,100.40
2011-07-13,102.60,103.39,101.22,101.44,578600,101.44
2011-07-12,102.11,103.02,101.79,101.90,541200,101.90
2011-07-11,102.90,103.50,102.23,102.47,714100,102.47
2011-07-08,104.03,104.72,102.95,104.66,632300,104.66
2011-07-07,105.17,106.62,105.17,105.67,746800,105.67
2011-07-06,103.34,104.26,102.43,103.86,692100,103.86
2011-07-05,104.06,104.28,103.18,103.42,574700,103.42
2011-07-01,102.46,104.26,101.97,103.99,624800,103.99
2011-06-30,101.48,102.62,100.44,102.07,740700,102.07
2011-06-29,99.95,101.34,98.76,101.09,791400,101.09
2011-06-28,99.35,99.48,98.71,99.43,870100,99.43
2011-06-27,98.16,99.30,97.00,98.86,624200,98.86
2011-06-24,99.11,99.47,97.62,98.58,1580200,98.58
2011-06-23,98.07,99.21,96.50,98.97,884800,98.97
2011-06-22,99.74,101.18,99.16,99.74,885300,99.74
2011-06-21,97.40,100.77,97.33,100.10,911800,100.10
2011-06-20,94.43,96.85,94.23,96.47,657300,96.47
2011-06-17,96.18,96.43,94.14,95.02,1048200,95.02
2011-06-16,96.62,97.05,93.63,95.25,1091100,95.25
2011-06-15,99.62,100.03,96.09,96.70,1560000,96.70
2011-06-14,100.12,101.24,99.37,100.77,864800,100.77
2011-06-13,98.74,100.41,97.92,98.74,858500,98.74
2011-06-10,100.77,101.38,99.34,99.72,1001900,99.25
2011-06-09,101.13,102.95,100.49,101.14,920000,100.66
2011-06-08,101.17,101.50,99.62,100.61,984000,100.14
2011-06-07,100.86,102.26,99.86,101.53,990500,101.05
2011-06-06,100.70,101.64,100.05,100.13,794700,99.66
2011-06-03,101.35,101.89,99.50,100.68,1015800,100.21
2011-06-02,102.57,103.58,101.27,103.01,1157600,102.52
2011-06-01,105.63,105.74,101.81,102.21,1273100,101.73
2011-05-31,105.83,106.24,104.30,105.85,832000,105.35
2011-05-27,103.56,105.14,103.55,104.46,588500,103.97
2011-05-26,102.65,103.79,101.90,103.22,713200,102.73
2011-05-25,99.72,103.58,99.50,102.81,875000,102.33
2011-05-24,100.76,101.70,99.80,100.19,896600,99.72
2011-05-23,101.62,101.67,98.71,100.01,1399700,99.54
2011-05-20,104.85,105.05,102.73,103.36,826500,102.87
2011-05-19,105.05,106.18,104.26,105.17,657400,104.67
2011-05-18,102.19,105.03,101.79,104.72,700700,104.23
2011-05-17,102.64,103.17,101.01,101.81,964600,101.33
2011-05-16,103.92,105.33,102.96,103.29,827200,102.80
2011-05-13,105.15,106.21,104.18,104.55,1282100,104.06
2011-05-12,105.50,106.25,103.93,104.91,1078200,104.42
2011-05-11,107.93,108.07,105.70,106.00,1273300,105.50
2011-05-10,106.19,108.56,106.09,108.15,1851700,107.64
2011-05-09,103.58,106.03,103.31,105.91,1128100,105.41
2011-05-06,103.01,104.66,102.93,103.46,1283200,102.97
2011-05-04,103.61,104.06,101.61,101.99,1501600,101.51
2011-05-03,104.99,105.34,102.16,103.21,1446900,102.72
2011-05-02,107.79,108.94,105.29,105.49,1722700,104.99
2011-04-29,109.19,110.72,107.03,107.25,3123100,106.74
2011-04-28,102.34,103.90,101.59,102.93,1328400,102.44
2011-04-27,101.60,102.64,99.83,102.29,1320200,101.81
2011-04-26,101.67,102.76,101.02,101.49,1400000,101.01
2011-04-25,100.76,101.50,100.15,101.02,1116900,100.54
2011-04-21,100.40,100.79,99.69,100.76,1102200,100.29
2011-04-20,100.65,101.01,99.72,100.00,1162400,99.53
