Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,61.17,62.05,60.91,61.82,2611000,61.82
2011-07-28,62.33,62.38,61.09,61.72,3320400,61.72
2011-07-27,63.12,63.42,62.46,62.49,3180200,62.49
2011-07-26,63.10,63.71,62.75,63.51,1975700,63.51
2011-07-25,63.06,63.74,62.81,63.06,1869400,63.06
2011-07-22,63.22,63.86,62.91,63.68,1648600,63.68
2011-07-21,63.41,63.52,62.79,63.07,2428900,63.07
2011-07-20,62.19,62.77,61.89,62.64,2150800,62.64
2011-07-19,61.90,62.24,61.32,62.16,2344900,62.16
2011-07-18,61.58,61.73,61.05,61.50,1830400,61.50
2011-07-15,61.28,61.85,61.01,61.75,2248300,61.75
2011-07-14,61.62,61.75,60.64,61.01,2072900,61.01
2011-07-13,62.63,62.64,61.41,61.52,2307500,61.52
2011-07-12,61.71,63.38,61.71,62.32,2135000,62.32
2011-07-11,62.01,62.40,61.45,62.03,2409100,62.03
2011-07-08,62.05,62.88,61.82,62.83,1990000,62.83
2011-07-07,62.62,62.91,62.39,62.82,1935400,62.82
2011-07-06,61.50,62.19,61.18,62.18,1763300,62.18
2011-07-05,61.57,61.98,60.92,61.62,2184600,61.62
2011-07-01,60.13,61.53,60.03,61.35,2265900,61.35
2011-06-30,60.23,60.39,59.96,60.00,1651700,60.00
2011-06-29,59.71,60.28,59.27,60.00,1886500,60.00
2011-06-28,58.89,59.46,58.48,59.46,1612000,59.46
2011-06-27,58.34,58.94,58.34,58.71,1229800,58.71
2011-06-24,58.47,58.86,58.07,58.36,2123000,58.36
2011-06-23,58.76,58.91,57.92,58.46,3071700,58.46
2011-06-22,59.81,60.48,59.55,59.59,1652700,59.59
2011-06-21,59.87,59.98,59.58,59.91,1747100,59.91
2011-06-20,58.83,60.02,58.83,59.64,1651000,59.64
2011-06-17,59.38,59.61,58.73,59.08,2619800,59.08
2011-06-16,59.02,59.25,57.71,58.89,3018800,58.89
2011-06-15,59.20,59.54,58.46,59.08,2581900,58.74
2011-06-14,59.89,60.00,59.33,59.57,1964600,59.23
2011-06-13,59.27,59.87,58.99,59.27,2086000,58.93
2011-06-10,60.27,60.43,59.02,59.21,2807700,58.87
2011-06-09,61.02,61.14,60.08,60.54,2193000,60.19
2011-06-08,60.57,61.47,60.47,60.98,1850400,60.63
2011-06-07,60.16,61.31,59.96,60.77,2070300,60.42
2011-06-06,60.07,60.55,59.69,59.81,1771600,59.47
2011-06-03,58.57,60.69,58.57,60.20,2379700,59.86
2011-06-02,59.90,60.23,59.18,59.28,1937300,58.94
2011-06-01,61.62,61.68,59.68,59.76,2617600,59.42
2011-05-31,61.08,61.86,60.71,61.83,3284300,61.48
2011-05-27,60.81,60.81,60.15,60.60,1265300,60.25
2011-05-26,59.57,60.58,59.33,60.49,1822700,60.14
2011-05-25,59.17,60.02,59.01,59.71,1511200,59.37
2011-05-24,59.16,59.48,59.01,59.23,1166400,58.89
2011-05-23,59.09,59.73,59.00,59.06,1644000,58.72
2011-05-20,60.30,60.39,59.55,59.92,1968600,59.58
2011-05-19,59.83,60.35,59.68,60.35,1278700,60.00
2011-05-18,59.73,59.94,59.15,59.77,1444100,59.43
2011-05-17,59.19,59.55,59.02,59.45,1472600,59.11
2011-05-16,59.05,59.89,59.01,59.39,1177200,59.05
2011-05-13,59.53,59.57,58.88,59.16,1322500,58.82
2011-05-12,59.23,59.54,58.72,59.43,1128200,59.09
2011-05-11,59.82,60.02,59.17,59.32,1426400,58.98
2011-05-10,59.12,60.02,59.12,60.00,1362500,59.66
2011-05-09,58.71,59.14,58.34,59.07,1193300,58.73
2011-05-06,59.93,59.93,58.54,58.62,1889400,58.28
2011-05-05,58.93,59.79,58.80,59.24,1605200,58.90
2011-05-04,59.45,59.80,58.99,59.26,1302800,58.92
2011-05-03,59.89,60.05,58.90,59.53,2165800,59.19
2011-05-02,59.91,60.06,59.52,59.89,1743300,59.55
2011-04-29,59.60,59.82,58.51,59.74,2030000,59.40
2011-04-28,58.61,59.59,58.48,59.43,2187600,59.09
2011-04-27,59.21,59.43,58.67,59.26,1263800,58.92
2011-04-26,58.49,59.14,58.23,59.13,1703000,58.79
2011-04-25,57.66,58.43,57.39,58.31,1156600,57.98
2011-04-21,57.55,57.85,57.00,57.66,1708300,57.33
2011-04-20,56.97,57.54,56.44,57.40,1652200,57.07
2011-04-19,56.02,56.34,55.85,56.30,1765200,55.98
2011-04-18,56.03,56.38,55.84,55.99,1930800,55.67
2011-04-15,56.44,56.87,56.18,56.80,1833600,56.48
2011-04-14,55.61,56.48,55.59,56.22,2132700,55.90
2011-04-13,55.85,56.01,55.74,55.84,1643100,55.52
2011-04-12,55.36,55.91,55.31,55.68,1667100,55.36
2011-04-11,55.60,55.90,55.39,55.55,1359700,55.23
2011-04-08,56.19,56.19,55.36,55.57,1355600,55.25
2011-04-07,56.25,56.26,55.50,55.81,1721800,55.49
2011-04-06,56.53,56.53,56.15,56.30,1490700,55.98
2011-04-05,56.17,56.49,56.12,56.33,1129200,56.01
2011-04-04,56.71,56.87,56.07,56.31,1190200,55.99
2011-04-01,56.78,56.93,56.34,56.67,1731000,56.35
2011-03-31,55.40,56.43,55.40,56.41,1659600,56.09
2011-03-30,54.99,55.76,54.58,55.59,1545000,55.27
2011-03-29,54.49,54.84,53.94,54.71,1266200,54.40
2011-03-28,54.62,54.85,54.25,54.63,1227500,54.32
2011-03-25,54.29,54.85,54.10,54.45,1162100,54.14
2011-03-24,54.27,54.37,53.54,54.18,1832800,53.87
2011-03-23,54.11,54.36,53.35,54.01,1857400,53.70
2011-03-22,54.90,55.08,54.27,54.54,1427200,54.23
2011-03-21,55.46,55.46,54.76,54.91,1726700,54.60
2011-03-18,55.07,55.12,54.39,54.69,3335500,54.38
2011-03-17,54.68,54.68,53.55,54.30,1971500,53.99
2011-03-16,54.35,54.92,53.52,53.97,2837800,53.33
2011-03-15,52.70,54.99,52.70,54.55,2715100,53.90
2011-03-14,54.24,54.51,53.98,54.18,1619600,53.53
2011-03-11,53.43,54.63,53.27,54.55,1723500,53.90
2011-03-10,53.67,53.77,53.22,53.43,1675900,52.79
2011-03-09,53.74,54.51,53.41,54.06,1508000,53.41
2011-03-08,52.82,54.00,52.71,53.88,2051900,53.24
2011-03-07,53.47,53.62,52.44,52.62,1736100,51.99
2011-03-04,54.04,54.44,52.99,53.32,2558400,52.68
2011-03-03,53.67,54.26,53.67,54.21,1833800,53.56
2011-03-02,53.53,53.67,52.87,53.14,1853600,52.51
2011-03-01,55.07,55.07,53.49,53.57,2191400,52.93
2011-02-28,53.65,55.44,53.41,55.11,3259000,54.45
2011-02-25,52.96,53.40,52.85,53.36,4568900,52.72
2011-02-24,53.24,53.53,52.18,52.55,3093100,51.92
2011-02-23,53.99,54.39,52.93,53.32,2179200,52.68
