Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,31.14,31.67,30.43,30.45,5478200,30.45
2011-08-01,31.69,31.85,30.83,31.40,6906700,31.40
2011-07-29,30.51,32.89,29.91,31.69,15418600,31.69
2011-07-28,29.68,29.72,28.60,28.99,6682100,28.99
2011-07-27,30.67,30.93,29.74,29.76,3625300,29.76
2011-07-26,30.17,30.93,30.13,30.59,4379100,30.59
2011-07-25,29.93,30.56,29.90,30.17,2898800,30.17
2011-07-22,30.10,30.40,29.87,30.05,3573400,30.05
2011-07-21,29.47,30.60,29.26,30.05,4309000,30.05
2011-07-20,30.28,30.41,29.80,29.90,4145100,29.90
2011-07-19,30.04,30.60,29.93,30.32,7259900,30.32
2011-07-18,30.10,30.19,29.41,29.75,4205700,29.75
2011-07-15,30.33,30.69,29.92,30.26,3594100,30.26
2011-07-14,30.81,30.91,29.93,30.21,3662200,30.21
2011-07-13,30.71,31.01,30.41,30.61,4399300,30.61
2011-07-12,30.30,30.91,29.95,30.57,7116200,30.57
2011-07-11,30.26,30.84,30.00,30.39,4639500,30.39
2011-07-08,29.89,30.68,29.57,30.68,3695900,30.68
2011-07-07,30.11,30.32,29.84,30.25,3570800,30.25
2011-07-06,29.93,30.00,29.55,29.88,3219300,29.88
2011-07-05,29.49,29.95,29.26,29.93,4825800,29.93
2011-07-01,28.96,29.63,28.89,29.54,2273100,29.54
2011-06-30,28.70,29.14,28.55,28.99,3029100,28.99
2011-06-29,28.51,28.81,28.06,28.59,3409900,28.59
2011-06-28,28.06,28.43,27.92,28.43,3938000,28.43
2011-06-27,27.97,28.61,27.86,27.89,6377000,27.89
2011-06-24,28.30,28.77,27.92,27.96,4278800,27.96
2011-06-23,27.74,28.36,27.33,28.29,4808900,28.29
2011-06-22,28.25,28.79,28.06,28.07,4716700,28.07
2011-06-21,27.44,28.37,27.19,28.28,7443400,28.28
2011-06-20,27.10,27.45,27.00,27.37,3813300,27.37
2011-06-17,27.38,27.38,26.99,27.03,4015600,27.03
2011-06-16,27.23,27.34,26.72,27.01,3820300,27.01
2011-06-15,27.43,27.64,27.05,27.23,4553200,27.23
2011-06-14,27.77,28.18,27.70,27.72,5099600,27.72
2011-06-13,27.07,27.69,27.05,27.48,4798100,27.48
2011-06-10,27.14,27.28,26.88,27.00,3769900,27.00
2011-06-09,27.11,27.47,26.94,27.32,3454600,27.32
2011-06-08,26.87,27.21,26.67,27.15,6559900,27.15
2011-06-07,27.51,27.61,26.88,26.89,5625600,26.89
2011-06-06,27.60,27.74,26.86,26.93,4646100,26.93
2011-06-03,27.63,28.06,27.47,27.63,4563200,27.63
2011-06-02,27.78,28.03,27.63,27.92,4228100,27.92
2011-06-01,27.69,28.30,27.44,27.80,7849600,27.80
2011-05-31,27.87,28.15,27.67,28.01,4381100,28.01
2011-05-27,27.38,27.95,27.33,27.69,3122200,27.69
2011-05-26,27.29,27.40,27.11,27.36,3190100,27.36
2011-05-25,27.33,27.47,27.14,27.33,2881300,27.33
2011-05-24,27.65,28.00,27.33,27.36,4100000,27.29
2011-05-23,27.25,27.91,26.86,27.55,5595100,27.48
2011-05-20,27.28,28.09,27.22,27.57,10003700,27.50
2011-05-19,26.74,27.34,26.70,27.26,7746100,27.19
2011-05-18,25.63,27.05,25.58,26.64,12978800,26.57
2011-05-17,24.95,25.63,24.95,25.56,6973100,25.49
2011-05-16,25.30,25.34,24.94,24.95,5103300,24.89
2011-05-13,25.35,25.60,25.16,25.17,4794400,25.11
2011-05-12,25.09,25.33,24.75,25.12,3847800,25.06
2011-05-11,25.31,25.42,24.84,25.08,3898800,25.02
