Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,91.22,92.24,90.58,91.77,2550100,91.77
2011-07-18,91.80,91.89,90.05,90.46,3612000,90.46
2011-07-15,92.97,93.28,91.26,92.20,3206100,92.20
2011-07-14,94.46,94.98,92.78,93.06,2829000,93.06
2011-07-13,94.74,95.59,93.99,94.25,2133100,94.25
2011-07-12,94.70,95.09,93.81,94.08,2958900,94.08
2011-07-11,96.75,96.75,94.47,95.08,2534700,95.08
2011-07-08,97.24,97.70,96.96,97.56,2229100,97.56
2011-07-07,97.69,98.66,96.92,98.50,2958600,98.50
2011-07-06,95.58,97.07,95.56,96.78,2365900,96.78
2011-07-05,96.17,96.25,95.20,95.50,1870700,95.50
2011-07-01,94.68,96.83,94.56,96.52,2464600,96.52
2011-06-30,93.84,94.95,93.80,94.85,2079300,94.85
2011-06-29,94.50,94.91,93.10,93.63,2283700,93.63
2011-06-28,93.13,94.19,92.77,94.02,1762100,94.02
2011-06-27,91.97,93.00,91.61,92.85,1930900,92.85
2011-06-24,92.91,93.45,91.57,91.87,4282900,91.87
2011-06-23,91.12,93.45,90.60,92.96,4850000,92.96
2011-06-22,91.50,92.41,90.66,91.44,6023500,91.44
2011-06-21,88.43,89.48,81.22,89.13,3292100,89.13
2011-06-20,86.83,87.86,86.61,87.50,1809200,87.50
2011-06-17,87.26,87.69,86.67,86.99,2131400,86.99
2011-06-16,86.71,87.52,86.00,86.48,2095300,86.48
2011-06-15,86.43,87.29,86.10,86.49,2357200,86.49
2011-06-14,86.59,88.00,86.22,87.43,2732100,87.30
2011-06-13,85.92,86.15,84.95,85.92,2444400,85.79
2011-06-10,86.23,86.39,84.79,85.38,2707900,85.25
2011-06-09,86.08,86.79,85.80,86.21,2938200,86.08
2011-06-08,86.54,86.90,85.46,85.59,3320700,85.46
2011-06-07,87.95,88.23,86.68,86.76,3211800,86.63
2011-06-06,89.99,90.56,87.65,87.75,3268200,87.62
2011-06-03,90.32,91.00,89.90,90.15,2139300,90.02
2011-06-02,91.79,92.50,91.00,91.52,1958100,91.38
2011-06-01,93.95,94.39,91.41,91.43,3444300,91.29
2011-05-31,92.63,93.73,92.58,93.64,2378700,93.50
2011-05-27,91.85,92.35,91.60,91.90,1222100,91.76
2011-05-26,91.31,91.90,90.80,91.36,2346200,91.22
2011-05-25,91.84,92.30,90.82,91.84,1727900,91.70
2011-05-24,92.21,92.42,90.93,91.48,1604200,91.34
2011-05-23,92.56,92.69,91.05,92.04,2539500,91.90
2011-05-20,94.46,94.59,93.56,93.82,1377800,93.68
