Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,12.38,12.38,11.91,11.91,20559200,11.91
2011-08-01,12.79,12.92,12.42,12.52,11892300,12.52
2011-07-29,12.57,12.77,12.42,12.65,9180500,12.65
2011-07-28,12.71,12.87,12.62,12.67,8998200,12.67
2011-07-27,12.82,12.92,12.67,12.70,13920800,12.70
2011-07-26,12.96,13.04,12.84,12.92,8254300,12.92
2011-07-25,12.70,13.08,12.65,13.00,16012500,13.00
2011-07-22,12.86,12.86,12.52,12.81,10838200,12.81
2011-07-21,12.66,12.86,12.55,12.76,20529800,12.76
2011-07-20,12.23,12.45,12.18,12.33,19111600,12.33
2011-07-19,12.03,12.27,11.96,12.20,15404000,12.20
2011-07-18,12.01,12.03,11.71,11.99,20797800,11.99
2011-07-15,12.07,12.10,11.80,12.05,17334000,12.05
2011-07-14,12.25,12.29,11.94,12.02,19419200,12.02
2011-07-13,12.12,12.48,12.10,12.17,20148400,12.17
2011-07-12,12.21,12.26,11.98,12.02,10228900,12.02
2011-07-11,12.37,12.41,12.12,12.17,12590500,12.17
2011-07-08,12.72,12.75,12.48,12.56,13415600,12.56
2011-07-07,12.77,13.09,12.76,12.90,10377100,12.90
2011-07-06,12.83,12.84,12.51,12.65,10578200,12.65
2011-07-05,12.96,12.99,12.66,12.91,9195900,12.91
2011-07-01,12.74,13.04,12.72,12.97,10047500,12.97
2011-06-30,12.75,12.85,12.54,12.75,9660500,12.75
2011-06-29,12.47,12.73,12.35,12.71,11584800,12.71
2011-06-28,12.29,12.45,12.18,12.42,11372800,12.36
2011-06-27,12.16,12.45,12.11,12.28,6845000,12.22
2011-06-24,12.23,12.24,12.09,12.18,13086400,12.12
2011-06-23,12.24,12.33,12.02,12.09,23629700,12.03
2011-06-22,12.61,12.69,12.39,12.41,10159600,12.35
2011-06-21,12.61,12.70,12.47,12.67,10665400,12.61
2011-06-20,12.54,12.62,12.39,12.55,8862100,12.49
2011-06-17,12.42,12.64,12.28,12.55,22904800,12.49
2011-06-16,12.30,12.40,12.05,12.28,14667900,12.22
2011-06-15,12.30,12.42,12.11,12.32,12308500,12.26
2011-06-14,12.42,12.60,12.29,12.47,15508900,12.41
2011-06-13,12.28,12.31,12.00,12.28,14398600,12.22
2011-06-10,12.28,12.38,11.88,12.25,17151800,12.19
2011-06-09,12.29,12.41,12.25,12.33,15066900,12.27
2011-06-08,12.25,12.54,12.23,12.29,13546300,12.23
2011-06-07,12.23,12.49,12.21,12.30,11650800,12.24
2011-06-06,12.35,12.41,12.04,12.14,13430800,12.08
2011-06-03,12.26,12.60,12.22,12.39,13763000,12.33
2011-06-02,12.33,12.49,12.25,12.37,9011500,12.31
2011-06-01,13.02,13.02,12.34,12.34,19540600,12.28
2011-05-31,13.02,13.07,12.82,13.06,10598900,13.00
2011-05-27,12.81,12.97,12.74,12.93,7328500,12.87
2011-05-26,12.70,12.82,12.61,12.73,15215000,12.67
2011-05-25,12.61,12.76,12.45,12.61,12219100,12.55
2011-05-24,12.43,12.54,12.25,12.48,11267900,12.42
2011-05-23,12.57,12.70,12.38,12.39,11400000,12.33
2011-05-20,12.96,13.01,12.70,12.72,10849600,12.66
2011-05-19,12.99,13.06,12.85,13.00,8461600,12.94
2011-05-18,12.77,12.92,12.77,12.90,9020500,12.84
2011-05-17,12.43,12.82,12.43,12.79,13312800,12.73
2011-05-16,12.45,12.85,12.42,12.47,15197100,12.41
2011-05-13,12.69,12.79,12.44,12.49,14242500,12.43
2011-05-12,12.89,12.89,12.57,12.71,27000000,12.65
2011-05-11,12.93,13.00,12.77,12.82,11300000,12.76
2011-05-10,12.83,13.00,12.82,12.98,10789200,12.92
2011-05-09,12.98,12.98,12.75,12.80,11522200,12.74
2011-05-06,12.94,13.04,12.85,12.99,16254100,12.93
2011-05-05,13.07,13.15,12.74,12.82,18493500,12.76
2011-05-04,13.41,13.46,13.11,13.15,15445800,13.09
2011-05-03,13.04,13.42,12.91,13.40,24300000,13.34
2011-05-02,13.32,13.36,13.00,13.05,14256900,12.99
