Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,44.10,45.15,44.04,45.13,1474100,45.13
2011-07-18,44.01,44.19,43.29,43.69,1400200,43.69
2011-07-15,43.50,44.33,43.35,44.19,1772800,44.19
2011-07-14,44.17,44.25,42.81,43.01,2062400,43.01
2011-07-13,43.73,44.83,43.68,43.88,1175000,43.88
2011-07-12,44.07,44.32,43.46,43.51,1573800,43.51
2011-07-11,44.26,44.62,43.61,43.98,1396700,43.98
2011-07-08,44.99,45.31,44.56,45.07,2098800,45.07
2011-07-07,45.47,45.89,45.32,45.87,1930000,45.87
2011-07-06,45.01,45.19,44.28,44.92,1840300,44.92
2011-07-05,44.50,45.44,44.49,45.09,1469800,45.09
2011-07-01,44.59,44.67,43.76,44.49,2151600,44.49
2011-06-30,44.25,45.16,44.25,44.79,2334100,44.79
2011-06-29,42.86,44.66,42.74,44.07,3624700,44.07
2011-06-28,40.66,42.62,40.66,42.52,2401100,42.52
2011-06-27,39.73,40.58,39.27,40.37,1541500,40.37
2011-06-24,40.47,40.71,39.69,39.77,1531800,39.77
2011-06-23,40.01,40.47,38.81,40.39,4141900,40.39
2011-06-22,40.80,41.65,40.70,40.78,1838200,40.78
2011-06-21,40.50,41.25,40.46,41.04,1486100,41.04
2011-06-20,39.82,40.49,39.74,40.12,1509000,40.12
2011-06-17,40.77,40.88,39.73,40.03,1672300,40.03
2011-06-16,40.33,40.82,39.82,40.38,1581900,40.38
2011-06-15,40.96,41.44,39.99,40.24,1671200,40.24
2011-06-14,40.72,41.59,40.70,41.49,1674700,41.49
2011-06-13,40.15,41.30,39.68,40.15,1569900,40.15
2011-06-10,42.03,42.07,40.85,40.89,1646200,40.89
2011-06-09,41.99,42.67,41.61,42.31,1285800,42.31
2011-06-08,41.91,42.41,41.50,41.68,1656600,41.68
2011-06-07,42.34,42.60,41.75,41.91,1676700,41.91
2011-06-06,43.45,43.70,41.93,42.09,2099500,42.09
2011-06-03,42.96,44.20,42.77,43.52,1712200,43.52
2011-06-02,43.39,44.18,43.21,43.66,1809700,43.66
2011-06-01,44.50,44.77,43.10,43.26,2269500,43.26
2011-05-31,44.73,44.94,43.91,44.63,2272900,44.63
2011-05-27,44.56,45.03,43.80,44.07,1403400,44.07
2011-05-26,43.18,44.41,43.11,44.27,4222800,44.27
2011-05-25,41.86,43.73,41.86,43.43,1962000,43.43
2011-05-24,41.64,42.95,41.64,42.21,1962300,42.21
2011-05-23,41.37,41.66,41.11,41.34,1399800,41.34
2011-05-20,42.11,42.65,41.48,42.30,2032900,42.30
2011-05-19,42.21,42.43,41.50,42.07,1925400,42.07
2011-05-18,41.81,42.65,41.67,42.01,3455400,42.01
2011-05-17,41.18,42.09,41.08,41.59,3754300,41.59
2011-05-16,41.93,42.50,41.31,41.76,3775800,41.76
2011-05-13,41.76,42.74,41.75,42.27,3474400,42.27
2011-05-12,41.92,42.34,40.89,41.72,3410800,41.72
2011-05-11,43.40,43.44,41.91,42.07,2773200,42.07
2011-05-10,43.18,44.02,42.56,43.71,2180300,43.71
2011-05-09,42.16,43.19,42.13,43.00,2423100,43.00
2011-05-06,43.19,43.58,41.49,42.04,3855100,42.04
2011-05-05,42.97,43.75,42.21,42.65,3320400,42.65
2011-05-04,45.11,45.19,43.26,43.45,6559100,43.45
2011-05-03,46.16,46.16,44.45,44.82,3308000,44.82
2011-05-02,46.93,47.17,46.12,46.52,3106500,46.52
2011-04-29,45.88,46.58,45.76,46.48,1548000,46.48
2011-04-28,46.25,46.88,45.76,45.96,2569200,45.96
2011-04-27,46.63,46.88,45.26,46.48,4362200,46.48
