Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,7.44,7.50,7.37,7.37,15410000,7.37
2011-08-01,7.61,7.62,7.41,7.46,13421100,7.46
2011-07-29,7.39,7.58,7.25,7.49,18682900,7.49
2011-07-28,7.52,7.64,7.44,7.47,11270700,7.47
2011-07-27,7.66,7.68,7.49,7.51,10667100,7.51
2011-07-26,7.68,7.73,7.65,7.67,8997300,7.67
2011-07-25,7.74,7.79,7.66,7.66,9058100,7.66
2011-07-22,7.80,7.87,7.71,7.85,12145500,7.85
2011-07-21,7.75,7.83,7.73,7.80,6467500,7.80
2011-07-20,7.81,7.81,7.66,7.71,9200300,7.71
2011-07-19,7.62,7.77,7.60,7.77,12380500,7.77
2011-07-18,7.70,7.71,7.56,7.58,9935600,7.58
2011-07-15,7.86,7.86,7.70,7.71,11279400,7.71
2011-07-14,7.96,7.99,7.82,7.82,7353900,7.82
2011-07-13,8.01,8.06,7.92,7.93,9493200,7.93
2011-07-12,7.97,8.01,7.91,7.95,8373600,7.95
2011-07-11,8.17,8.17,8.00,8.00,10516100,8.00
2011-07-08,8.14,8.23,8.11,8.20,9300700,8.20
2011-07-07,8.20,8.23,8.14,8.18,7939600,8.18
2011-07-06,8.12,8.17,8.08,8.14,7950700,8.14
2011-07-05,8.20,8.20,8.07,8.11,9464200,8.11
2011-07-01,8.08,8.23,8.07,8.20,11181000,8.20
2011-06-30,8.17,8.20,8.00,8.07,13488300,8.07
2011-06-29,7.98,8.07,7.96,8.01,7521500,8.01
2011-06-28,7.89,7.98,7.86,7.95,7095600,7.95
2011-06-27,7.89,7.91,7.85,7.87,8658100,7.87
2011-06-24,7.99,8.05,7.85,7.87,19492500,7.87
2011-06-23,7.96,8.00,7.87,7.99,8504200,7.99
2011-06-22,8.05,8.13,8.02,8.03,7701000,8.03
2011-06-21,7.98,8.08,7.95,8.06,8715400,8.06
2011-06-20,7.85,8.00,7.85,7.93,11020200,7.93
2011-06-17,7.88,7.98,7.83,7.87,11793400,7.87
2011-06-16,7.81,7.89,7.80,7.86,9129000,7.86
2011-06-15,7.86,7.87,7.71,7.82,9099900,7.82
2011-06-14,7.87,7.90,7.84,7.86,6740500,7.86
2011-06-13,7.82,7.96,7.81,7.82,9533500,7.82
2011-06-10,7.99,8.08,7.88,7.90,11388800,7.90
2011-06-09,7.95,8.06,7.89,8.02,11641800,8.02
2011-06-08,8.03,8.03,7.91,7.92,16086600,7.92
2011-06-07,8.16,8.29,8.04,8.05,12537100,8.05
2011-06-06,8.54,8.54,8.35,8.37,14030600,8.18
2011-06-03,8.65,8.67,8.52,8.52,10720900,8.33
2011-06-02,8.69,8.73,8.60,8.68,13855700,8.49
2011-06-01,8.80,8.83,8.69,8.70,10860500,8.50
2011-05-31,8.87,8.89,8.81,8.85,10544900,8.65
2011-05-27,8.78,8.84,8.76,8.81,6692100,8.61
2011-05-26,8.67,8.79,8.65,8.77,8000300,8.57
2011-05-25,8.69,8.75,8.65,8.69,7555500,8.49
2011-05-24,8.72,8.76,8.66,8.73,12536900,8.53
2011-05-23,8.74,8.76,8.66,8.69,12416400,8.49
2011-05-20,8.90,8.91,8.75,8.81,11745800,8.61
2011-05-19,8.84,8.97,8.75,8.88,12073800,8.68
2011-05-18,8.85,8.90,8.74,8.79,23098600,8.59
2011-05-17,8.67,8.87,8.67,8.83,16879700,8.63
2011-05-16,8.62,8.76,8.61,8.69,10531900,8.49
2011-05-13,8.70,8.72,8.60,8.66,7313300,8.47
2011-05-12,8.61,8.70,8.58,8.68,9400000,8.49
2011-05-11,8.75,8.77,8.56,8.59,17880100,8.40
2011-05-10,8.57,8.75,8.53,8.74,10466900,8.54
2011-05-09,8.45,8.55,8.44,8.53,10090500,8.34
2011-05-06,8.47,8.49,8.38,8.43,14050200,8.24
2011-05-05,8.28,8.48,8.20,8.37,19324400,8.18
2011-05-04,8.37,8.41,8.21,8.24,24477700,8.05
2011-05-03,8.23,8.37,8.22,8.36,19177500,8.17
2011-05-02,8.29,8.30,8.16,8.23,11238900,8.05
2011-04-29,8.19,8.29,8.15,8.27,8530700,8.08
2011-04-28,8.13,8.21,8.09,8.19,7529200,8.01
2011-04-27,8.19,8.20,8.08,8.13,8434500,7.95
2011-04-26,8.04,8.17,8.01,8.17,10500000,7.99
2011-04-25,8.00,8.04,7.95,8.01,7403300,7.83
2011-04-21,7.98,8.05,7.95,8.04,10696000,7.86
2011-04-20,7.99,8.04,7.94,7.97,10798400,7.79
2011-04-19,7.98,7.99,7.92,7.93,11832300,7.75
2011-04-18,8.05,8.05,7.96,7.97,10542500,7.79
2011-04-15,8.06,8.13,8.02,8.07,7346800,7.89
2011-04-14,8.08,8.11,8.03,8.06,6686100,7.88
2011-04-13,7.99,8.12,7.98,8.08,11824400,7.90
2011-04-12,7.97,8.04,7.95,7.99,11865400,7.81
2011-04-11,7.97,8.02,7.97,8.01,8163200,7.83
2011-04-08,8.06,8.09,7.96,7.99,11676000,7.81
2011-04-07,8.08,8.11,8.00,8.06,9178500,7.88
2011-04-06,8.09,8.09,8.00,8.07,10191200,7.89
2011-04-05,8.11,8.13,8.04,8.06,8633500,7.88
2011-04-04,8.05,8.17,8.05,8.10,8682200,7.92
2011-04-01,8.21,8.30,8.02,8.10,17289800,7.92
2011-03-31,8.08,8.25,8.02,8.22,20930300,8.04
2011-03-30,7.92,7.97,7.78,7.92,36347500,7.74
2011-03-29,8.13,8.19,7.88,7.88,35962800,7.70
2011-03-28,8.13,8.20,8.10,8.15,8275600,7.97
2011-03-25,8.13,8.18,8.08,8.09,7385300,7.91
2011-03-24,8.01,8.15,8.01,8.14,5745000,7.96
2011-03-23,8.04,8.06,7.96,8.03,8331700,7.85
2011-03-22,8.08,8.10,8.03,8.07,8118100,7.89
2011-03-21,8.18,8.20,8.02,8.06,9399300,7.88
2011-03-18,8.13,8.15,8.09,8.13,11384500,7.95
2011-03-17,8.03,8.06,7.90,8.04,14365900,7.86
2011-03-16,8.02,8.10,7.83,7.95,18010000,7.77
2011-03-15,7.74,8.00,7.73,7.93,15149000,7.75
2011-03-14,7.89,7.93,7.78,7.87,13056400,7.69
2011-03-11,7.90,7.97,7.88,7.92,8386200,7.74
2011-03-10,8.00,8.04,7.90,7.95,11821400,7.77
2011-03-09,7.92,8.12,7.84,8.08,10721200,7.90
2011-03-08,7.89,7.95,7.83,7.91,15626700,7.73
2011-03-07,8.01,8.07,7.89,7.94,16345700,7.76
2011-03-04,8.23,8.23,8.08,8.13,22573100,7.76
2011-03-03,8.36,8.36,8.07,8.20,43046400,7.83
2011-03-02,8.41,8.42,8.24,8.26,20446100,7.89
2011-03-01,8.58,8.58,8.33,8.40,17679600,8.02
2011-02-28,8.47,8.50,8.38,8.49,12320100,8.11
2011-02-25,8.38,8.47,8.30,8.42,13118000,8.04
2011-02-24,8.48,8.49,8.24,8.29,22013700,7.92
2011-02-23,9.00,9.10,7.68,8.52,37876100,8.14
2011-02-22,9.41,9.46,9.19,9.20,14716900,8.79
2011-02-18,9.42,9.46,9.36,9.46,9539500,9.03
2011-02-17,9.42,9.48,9.36,9.43,7603500,9.01
2011-02-16,9.48,9.52,9.40,9.45,5275100,9.02
2011-02-15,9.55,9.55,9.45,9.47,8158600,9.04
2011-02-14,9.52,9.55,9.45,9.55,6367100,9.12
2011-02-11,9.44,9.52,9.42,9.51,6011100,9.08
2011-02-10,9.41,9.47,9.35,9.45,4114200,9.02
2011-02-09,9.44,9.44,9.37,9.42,7032000,9.00
2011-02-08,9.39,9.45,9.38,9.43,8883600,9.01
2011-02-07,9.38,9.44,9.35,9.40,6976800,8.98
2011-02-04,9.40,9.41,9.35,9.39,3650800,8.97
2011-02-03,9.30,9.40,9.27,9.38,4603300,8.96
2011-02-02,9.24,9.36,9.22,9.33,5680700,8.91
2011-02-01,9.20,9.33,9.19,9.30,6340600,8.88
2011-01-31,9.08,9.27,9.07,9.17,8956800,8.76
2011-01-28,9.15,9.20,9.06,9.07,9223600,8.66
2011-01-27,9.18,9.20,9.12,9.13,10390400,8.72
2011-01-26,9.17,9.29,9.15,9.15,9913000,8.74
2011-01-25,9.22,9.27,9.16,9.17,6483500,8.76
2011-01-24,9.21,9.26,9.19,9.22,7072600,8.80
2011-01-21,9.25,9.25,9.16,9.18,8278200,8.77
2011-01-20,9.18,9.25,9.15,9.16,6295900,8.75
2011-01-19,9.37,9.37,9.15,9.21,10058800,8.79
2011-01-18,9.43,9.45,9.37,9.37,8274200,8.95
2011-01-14,9.40,9.42,9.37,9.39,7259900,8.97
2011-01-13,9.44,9.52,9.38,9.43,9289400,9.01
2011-01-12,9.39,9.47,9.34,9.43,10910200,9.01
2011-01-11,9.51,9.54,9.32,9.38,10778500,8.96
