Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,54.58,55.00,53.99,53.99,480200,53.99
2011-08-01,55.13,55.30,54.75,54.93,459200,54.93
2011-07-29,54.40,55.01,54.32,54.70,399000,54.70
2011-07-28,55.08,55.22,54.60,54.79,242400,54.79
2011-07-27,55.20,55.40,54.99,55.08,330100,55.08
2011-07-26,55.85,55.85,55.37,55.45,168200,55.45
2011-07-25,55.66,56.24,55.66,55.85,248500,55.85
2011-07-22,56.00,56.30,55.79,56.05,166700,56.05
2011-07-21,55.62,56.14,55.48,56.00,217300,56.00
2011-07-20,55.05,55.44,54.97,55.41,265300,55.41
2011-07-19,55.15,55.22,54.82,55.05,323200,55.05
2011-07-18,55.11,55.28,54.65,54.90,373800,54.90
2011-07-15,55.88,55.94,55.18,55.28,493100,55.28
2011-07-14,55.95,56.03,55.30,55.45,430200,55.45
2011-07-13,55.96,56.08,55.62,55.87,339300,55.87
2011-07-12,55.64,56.15,55.56,55.76,153700,55.76
2011-07-11,55.76,56.01,55.56,55.76,182500,55.76
2011-07-08,55.71,56.30,55.66,56.28,253800,56.28
2011-07-07,56.26,56.32,55.79,56.12,258500,56.12
2011-07-06,55.54,56.15,55.52,55.95,173600,55.95
2011-07-05,55.46,55.81,55.35,55.65,222700,55.65
2011-07-01,54.81,55.50,54.75,55.46,365600,55.46
2011-06-30,54.85,54.97,54.57,54.74,298100,54.74
2011-06-29,54.60,54.82,54.26,54.65,244900,54.65
2011-06-28,54.22,54.48,54.05,54.36,226000,54.36
2011-06-27,54.31,54.65,54.22,54.42,227400,53.95
2011-06-24,54.18,54.46,54.05,54.25,299500,53.79
2011-06-23,54.06,54.21,53.51,54.12,237500,53.66
2011-06-22,54.43,54.70,54.23,54.38,295200,53.92
2011-06-21,54.56,54.72,54.24,54.59,369400,54.12
2011-06-20,53.88,54.39,53.72,54.31,332400,53.85
2011-06-17,53.99,54.19,53.82,53.92,464000,53.46
2011-06-16,53.35,53.85,53.35,53.75,464200,53.29
2011-06-15,53.83,53.92,53.17,53.37,488600,52.91
2011-06-14,53.66,54.03,53.36,53.82,396200,53.36
2011-06-13,53.32,53.55,53.13,53.32,174900,52.86
2011-06-10,53.60,53.60,53.16,53.20,243700,52.75
2011-06-09,53.52,53.75,53.49,53.60,158000,53.14
2011-06-08,53.50,53.74,53.43,53.59,207800,53.13
2011-06-07,53.72,54.05,53.56,53.59,227700,53.13
2011-06-06,53.94,54.12,53.72,53.72,300700,53.26
