Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,132.08,134.76,131.18,131.23,7582300,131.23
2011-08-01,136.92,137.34,133.75,134.15,5880700,134.15
2011-07-29,134.10,136.60,133.13,134.97,5340300,134.97
2011-07-28,134.97,138.13,134.65,135.84,4429700,135.84
2011-07-27,136.79,137.25,134.44,134.72,5250000,134.72
2011-07-26,136.61,139.25,136.02,137.60,5464700,137.60
2011-07-25,134.17,137.13,133.50,136.85,5856700,136.85
2011-07-22,135.03,136.47,134.44,135.49,4925500,135.49
2011-07-21,133.52,135.98,133.25,135.58,7671000,135.58
2011-07-20,128.00,133.80,127.58,132.75,8578300,132.75
2011-07-19,125.73,129.93,125.50,128.49,15297700,128.49
2011-07-18,129.58,130.16,127.50,129.33,5836500,129.33
2011-07-15,131.31,131.51,129.18,130.16,5255100,130.16
2011-07-14,131.70,132.20,129.75,129.89,5357200,129.89
2011-07-13,130.74,131.77,129.70,129.92,4410500,129.92
2011-07-12,131.42,132.66,130.10,130.31,4330900,130.31
2011-07-11,132.75,133.43,131.07,132.02,4722900,132.02
2011-07-08,133.32,134.40,133.17,134.08,4141600,134.08
2011-07-07,135.09,136.20,134.72,135.01,3857500,135.01
2011-07-06,133.78,134.44,132.82,133.89,3029100,133.89
2011-07-05,135.90,136.05,133.00,134.50,4458300,134.50
2011-07-01,133.43,136.72,133.09,136.65,5103500,136.65
2011-06-30,133.05,133.80,131.50,133.09,4993000,133.09
2011-06-29,129.73,133.23,129.50,132.53,8170800,132.53
2011-06-28,131.34,131.34,128.30,129.26,8056000,129.26
2011-06-27,130.75,131.86,129.80,130.71,5831800,130.71
2011-06-24,132.81,133.45,130.82,130.91,5774800,130.91
2011-06-23,133.10,133.83,131.64,132.36,6706600,132.36
2011-06-22,135.59,137.78,134.43,134.52,4224400,134.52
2011-06-21,135.50,137.19,134.30,135.96,4213300,135.96
2011-06-20,136.42,136.73,134.36,135.14,4019900,135.14
2011-06-17,137.83,138.79,137.21,137.23,6758300,137.23
2011-06-16,134.63,136.89,134.15,136.09,5230700,136.09
2011-06-15,136.07,137.59,134.01,134.85,5715200,134.85
2011-06-14,138.20,138.95,136.54,137.10,5849900,137.10
2011-06-13,137.53,137.97,135.92,137.53,5273700,137.53
2011-06-10,133.21,137.25,132.52,135.92,7556800,135.92
2011-06-09,131.99,135.10,131.83,133.53,4498100,133.53
2011-06-08,132.63,134.89,131.50,131.59,6795100,131.59
2011-06-07,134.38,135.76,132.99,132.99,6191500,132.99
2011-06-06,134.75,135.22,133.14,133.90,5287800,133.90
2011-06-03,132.98,137.17,132.89,135.33,5457600,135.33
2011-06-02,136.65,136.73,131.50,134.38,12423400,134.38
2011-06-01,139.95,140.00,136.10,136.17,6768100,136.17
2011-05-31,140.82,142.30,139.88,140.73,7023200,140.73
2011-05-27,136.25,138.96,136.23,138.66,5275700,138.66
2011-05-26,136.20,136.70,135.34,136.26,5332300,135.91
2011-05-25,136.24,137.59,135.51,136.24,6528800,135.89
2011-05-24,136.27,136.76,135.03,136.34,6605300,135.99
2011-05-23,133.64,137.19,133.64,135.84,8406500,135.49
2011-05-20,138.18,139.64,134.79,134.99,11284500,134.64
2011-05-19,141.23,141.30,138.43,139.34,7331500,138.98
2011-05-18,140.93,141.82,140.21,140.84,4768900,140.48
2011-05-17,140.26,141.95,139.08,140.81,7071400,140.45
2011-05-16,140.89,143.39,140.26,140.60,6458800,140.24
2011-05-13,142.39,142.52,139.25,141.46,14256700,141.10
2011-05-12,145.99,146.78,140.66,142.75,20659200,142.38
2011-05-11,150.00,150.00,147.65,147.88,5310500,147.50
2011-05-10,149.02,150.74,148.52,150.40,4033800,150.01
2011-05-09,149.70,149.87,148.80,149.12,3152400,148.74
2011-05-06,151.47,151.97,149.53,150.10,5429300,149.71
2011-05-05,150.87,151.22,149.95,150.41,4100200,150.02
2011-05-04,152.25,152.46,150.95,151.52,3768000,151.13
2011-05-03,150.97,152.80,150.68,151.87,3557400,151.48
2011-05-02,152.20,153.07,151.07,151.30,4362700,150.91
2011-04-29,150.28,151.87,149.64,151.01,6075500,150.62
2011-04-28,152.55,152.60,150.20,150.60,5906700,150.21
2011-04-27,153.60,153.85,152.00,152.86,4207000,152.47
2011-04-26,151.89,153.95,151.78,153.27,4400000,152.88
2011-04-25,152.58,152.59,151.18,152.19,3711600,151.80
2011-04-21,153.09,154.33,152.70,153.51,3977500,153.12
2011-04-20,153.17,154.15,151.50,152.70,7181300,152.31
2011-04-19,156.09,156.10,149.55,151.86,13463800,151.47
2011-04-18,154.05,154.88,151.52,153.78,5992900,153.38
2011-04-15,156.18,156.95,154.63,155.13,5608300,154.73
2011-04-14,157.51,157.60,155.25,155.79,7982300,155.39
2011-04-13,162.50,163.98,159.83,160.17,5145000,159.76
2011-04-12,160.25,161.44,159.45,160.42,3328100,160.01
2011-04-11,160.54,162.91,160.54,161.47,3126900,161.06
2011-04-08,163.49,163.62,160.82,160.96,3280800,160.55
2011-04-07,161.99,164.40,161.57,162.40,4589200,161.98
2011-04-06,159.89,161.99,158.85,161.89,4198700,161.47
2011-04-05,158.46,159.15,157.62,158.91,3173700,158.50
2011-04-04,160.76,160.88,158.60,158.90,2816800,158.49
2011-04-01,159.77,162.00,159.66,160.23,3787900,159.82
2011-03-31,157.38,160.07,157.32,158.60,3317700,158.19
2011-03-30,159.03,160.43,157.47,159.07,2967200,158.66
2011-03-29,156.60,158.70,155.53,158.47,3769400,158.06
2011-03-28,158.20,159.29,156.41,156.47,3686800,156.07
2011-03-25,160.51,160.51,157.70,157.97,4020700,157.56
2011-03-24,160.35,160.50,158.83,159.91,2734400,159.50
2011-03-23,160.02,160.23,158.24,159.53,3603300,159.12
2011-03-22,160.64,162.21,160.12,160.79,3538900,160.38
2011-03-21,161.62,162.15,159.90,160.21,4663300,159.80
2011-03-18,156.60,160.25,155.24,159.96,10170600,159.55
2011-03-17,155.93,156.35,153.95,155.75,5293900,155.35
2011-03-16,157.23,157.24,153.26,154.38,7223400,153.98
2011-03-15,156.06,158.05,154.85,157.25,5243600,156.85
2011-03-14,159.94,160.50,158.02,158.43,4376100,158.02
2011-03-11,159.85,161.55,159.84,160.68,2883900,160.27
2011-03-10,160.80,161.00,159.99,160.27,4563400,159.86
2011-03-09,161.85,163.72,161.58,162.35,4125200,161.93
2011-03-08,159.43,161.78,159.04,161.30,4845900,160.89
2011-03-07,161.41,161.84,158.50,159.15,7004100,158.74
2011-03-04,162.88,163.00,160.36,161.00,7810800,160.59
2011-03-03,162.71,165.18,162.69,164.49,4581200,164.07
2011-03-02,161.58,163.33,161.11,161.69,4658400,161.27
2011-03-01,163.55,164.49,161.30,161.31,7015500,160.90
2011-02-28,165.53,166.25,163.11,163.78,4235200,163.36
2011-02-25,164.05,165.88,163.52,165.12,4636200,164.35
2011-02-24,162.20,163.90,161.32,163.44,4619300,162.67
2011-02-23,162.63,164.80,161.77,163.09,4560400,162.33
2011-02-22,165.67,165.76,162.35,162.94,5448200,162.18
2011-02-18,167.04,168.30,166.85,168.04,3728100,167.25
2011-02-17,168.54,168.69,167.00,167.16,4448100,166.38
2011-02-16,168.56,169.90,168.00,168.81,4606300,168.02
2011-02-15,167.32,168.44,166.82,167.91,4025900,167.12
2011-02-14,166.15,167.80,165.51,167.52,3547200,166.74
2011-02-11,165.11,167.69,164.81,166.66,4257100,165.88
2011-02-10,165.15,166.65,164.68,165.34,4265800,164.57
2011-02-09,168.23,168.23,164.66,166.01,5663900,165.23
2011-02-08,167.02,168.72,166.26,168.55,4718700,167.76
2011-02-07,164.79,168.10,164.60,167.13,5036700,166.35
2011-02-04,164.88,164.98,162.76,164.83,3354500,164.06
2011-02-03,164.99,164.99,161.84,164.64,4710400,163.87
2011-02-02,165.15,166.64,164.20,165.05,2986200,164.28
2011-02-01,163.86,166.25,163.61,165.33,4138400,164.56
2011-01-31,161.38,163.72,161.23,163.62,3792800,162.85
2011-01-28,164.16,165.09,161.42,161.77,4570000,161.01
2011-01-27,161.13,164.25,161.11,164.03,6036000,163.26
2011-01-26,161.70,162.84,161.04,161.31,6738000,160.55
2011-01-25,163.05,164.79,160.12,161.98,11259800,161.22
2011-01-24,165.99,167.07,165.75,166.30,4624300,165.52
2011-01-21,165.88,169.20,165.12,166.20,5876500,165.42
2011-01-20,166.55,167.06,164.01,165.69,8914900,164.91
2011-01-19,169.46,171.49,165.86,166.49,13372700,165.71
2011-01-18,174.75,175.34,173.05,174.68,4981200,173.86
2011-01-14,171.19,175.00,171.19,175.00,5885100,174.18
2011-01-13,172.04,172.60,171.00,171.57,3183800,170.77
2011-01-12,169.39,172.31,169.18,171.67,5592900,170.87
2011-01-11,170.50,171.43,168.32,169.36,4572300,168.57
2011-01-10,170.00,171.29,169.20,169.76,3650300,168.97
2011-01-07,172.70,172.89,169.36,170.69,4916100,169.89
2011-01-06,174.51,174.59,171.98,172.21,5375200,171.40
2011-01-05,172.05,174.49,172.00,174.00,4140600,173.19
2011-01-04,173.87,174.00,172.00,173.08,3335500,172.27
2011-01-03,170.55,173.25,169.85,173.05,5717100,172.24
2010-12-31,167.58,168.80,167.01,168.16,1636300,167.37
2010-12-30,168.09,168.25,166.99,167.64,1745400,166.85
2010-12-29,169.40,169.78,166.57,167.63,3329800,166.85
2010-12-28,170.00,171.23,168.83,169.19,2862900,168.40
2010-12-27,166.79,170.00,166.41,169.83,2715000,169.03
2010-12-23,169.10,169.70,167.17,167.60,2494000,166.82
2010-12-22,168.67,169.68,167.90,169.60,3858500,168.81
2010-12-21,166.54,168.88,166.50,168.23,4546900,167.44
2010-12-20,163.74,166.90,163.65,166.05,3719100,165.27
2010-12-17,163.92,165.00,163.12,164.04,5343000,163.27
2010-12-16,165.69,165.91,163.21,164.46,4164400,163.69
2010-12-15,166.64,167.29,165.11,165.21,4358100,164.44
2010-12-14,169.67,169.99,166.84,167.33,4892700,166.55
2010-12-13,168.25,170.92,167.90,169.48,5325200,168.69
2010-12-10,166.41,168.47,165.90,168.47,4543600,167.68
2010-12-09,167.00,167.75,165.75,166.45,5746400,165.67
2010-12-08,161.96,166.14,161.89,166.14,5259500,165.36
2010-12-07,164.52,164.77,161.44,161.59,5527700,160.83
2010-12-06,161.66,163.19,161.49,162.65,3686300,161.89
2010-12-03,161.31,162.50,160.95,162.31,4658000,161.55
2010-12-02,159.16,163.25,158.84,162.50,7208600,161.74
2010-12-01,158.45,159.20,157.00,158.45,6024000,157.71
2010-11-30,158.07,159.33,156.14,156.14,5416900,155.41
2010-11-29,157.49,160.00,157.00,159.28,4819900,158.19
2010-11-26,158.46,159.35,158.07,158.22,1876900,157.13
2010-11-24,158.96,160.70,158.55,160.26,4258200,159.16
2010-11-23,159.10,160.90,157.66,157.78,7315000,156.70
2010-11-22,164.30,164.38,158.45,161.05,11364000,159.94
2010-11-19,167.50,167.75,165.70,166.67,4584500,165.52
2010-11-18,165.69,168.93,165.60,167.35,4987500,166.20
2010-11-17,165.12,165.73,164.00,164.89,3726300,163.76
2010-11-16,165.80,167.00,164.66,165.10,5914100,163.97
2010-11-15,165.68,169.35,165.01,167.22,5199000,166.07
2010-11-12,166.39,168.12,164.65,165.83,4735600,164.69
2010-11-11,165.79,168.89,165.79,167.71,3931500,166.56
2010-11-10,166.31,168.65,165.57,167.22,6328100,166.07
2010-11-09,170.30,170.85,166.00,166.55,7343900,165.41
2010-11-08,169.95,171.61,169.10,169.20,5516100,168.04
2010-11-05,165.99,171.18,165.92,171.07,11989300,169.89
2010-11-04,163.62,166.40,162.69,166.39,8162600,165.25
2010-11-03,163.18,163.18,160.57,162.63,4462800,161.51
2010-11-02,162.06,163.00,161.80,162.82,3332400,161.70
2010-11-01,161.77,162.96,160.17,161.57,4514400,160.46
2010-10-29,162.15,163.60,160.95,161.13,4536600,160.02
2010-10-28,160.86,163.79,160.44,163.24,9918800,162.12
2010-10-27,157.19,160.59,157.00,160.15,6570900,159.05
2010-10-26,156.72,158.73,156.53,158.29,4068500,157.20
2010-10-25,159.36,159.45,156.27,157.39,5728300,156.31
2010-10-22,159.89,159.98,157.50,157.76,4051700,156.68
