Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,39.56,39.73,38.77,39.41,3822000,39.11
2011-07-18,41.09,41.30,39.31,39.40,7007800,39.10
2011-07-15,41.94,42.38,41.05,41.37,5872600,41.06
2011-07-14,42.59,42.59,41.25,41.31,4096100,41.00
2011-07-13,43.47,43.56,42.36,42.39,2026700,42.07
2011-07-12,42.98,43.61,42.98,43.25,1473900,42.92
2011-07-11,44.04,44.04,42.92,43.09,2318100,42.77
2011-07-08,45.13,45.21,44.07,44.65,1398100,44.31
2011-07-07,45.71,45.94,45.26,45.68,997500,45.34
2011-07-06,45.98,46.01,45.20,45.43,1380800,45.09
2011-07-05,45.31,46.01,45.20,46.00,1614500,45.65
2011-07-01,44.05,45.30,44.05,45.26,1448300,44.92
2011-06-30,44.41,44.60,43.80,43.93,2098500,43.60
2011-06-29,44.74,44.80,44.14,44.35,806200,44.02
2011-06-28,44.31,44.66,43.79,44.62,1054500,44.28
2011-06-27,43.45,44.01,43.43,43.75,811600,43.42
2011-06-24,43.77,43.99,43.16,43.35,707200,43.02
2011-06-23,43.42,43.86,43.19,43.65,1129100,43.32
2011-06-22,43.74,44.13,43.71,43.85,1261200,43.52
2011-06-21,44.14,44.50,43.92,43.98,869500,43.65
2011-06-20,43.21,44.10,43.21,44.07,676900,43.74
2011-06-17,43.86,44.01,43.36,43.36,863400,43.03
2011-06-16,43.50,44.00,43.30,43.47,837300,43.14
2011-06-15,43.21,43.70,43.14,43.60,1338300,43.27
2011-06-14,43.36,43.88,43.29,43.57,1082400,43.24
2011-06-13,42.91,43.18,42.70,42.91,1103000,42.59
2011-06-10,43.06,43.20,42.63,42.67,818900,42.35
2011-06-09,43.15,43.61,43.03,43.32,749500,42.99
2011-06-08,43.50,43.57,42.94,43.02,908300,42.70
2011-06-07,44.52,44.88,43.47,43.53,1594800,43.20
2011-06-06,44.17,44.44,43.87,44.35,1649500,44.02
2011-06-03,44.67,44.75,43.99,44.36,2141000,44.03
2011-06-02,45.47,45.74,44.96,45.02,1359300,44.68
2011-06-01,45.55,46.53,45.32,45.36,2713600,45.02
2011-05-31,45.81,46.00,45.57,45.74,2399400,45.40
2011-05-27,46.61,46.61,45.45,45.50,1203800,45.16
2011-05-26,46.77,46.77,45.71,46.38,1432600,46.03
2011-05-25,46.74,46.97,46.36,46.74,730000,46.39
2011-05-24,47.48,47.50,46.85,47.01,1012500,46.66
2011-05-23,46.82,47.74,46.66,47.41,887500,47.05
2011-05-20,47.88,47.88,47.07,47.49,704700,47.13
2011-05-19,47.43,48.05,47.32,47.97,904100,47.61
2011-05-18,47.02,47.58,46.88,47.51,669000,47.15
2011-05-17,47.59,47.86,46.84,46.93,1351900,46.58
2011-05-16,47.86,48.10,47.75,47.81,641200,47.45
2011-05-13,48.32,48.43,47.96,48.05,854600,47.69
2011-05-12,47.49,48.34,47.49,48.33,1300000,47.97
2011-05-11,47.61,47.93,47.46,47.72,1000000,47.36
2011-05-10,46.87,47.72,46.87,47.61,603600,47.25
2011-05-09,47.28,47.44,46.91,46.92,638600,46.57
2011-05-06,47.56,47.87,47.12,47.34,1009700,46.98
