Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,34.43,34.83,34.27,34.47,6261400,34.47
2011-08-01,34.98,35.50,34.21,34.64,9109200,34.64
2011-07-29,36.37,36.88,36.16,36.73,2006800,36.73
2011-07-28,36.64,36.91,36.30,36.65,3003300,36.65
2011-07-27,37.38,37.49,36.60,36.61,2786700,36.61
2011-07-26,37.18,37.53,36.97,37.52,2282400,37.52
2011-07-25,37.51,37.65,37.14,37.29,2069600,37.29
2011-07-22,37.90,38.05,37.72,37.91,1991500,37.91
2011-07-21,37.95,38.20,37.65,37.81,2576900,37.81
2011-07-20,37.57,37.74,37.41,37.65,1753900,37.65
2011-07-19,37.40,37.65,37.26,37.50,2765400,37.50
2011-07-18,37.39,37.42,36.87,37.17,2182000,37.17
2011-07-15,37.21,37.51,36.97,37.46,1995100,37.46
2011-07-14,37.67,37.69,36.99,37.04,2614000,37.04
2011-07-13,37.81,37.84,37.43,37.52,3494500,37.52
2011-07-12,37.19,38.08,37.03,37.63,4469600,37.63
2011-07-11,37.72,37.81,37.28,37.35,2922000,37.35
2011-07-08,37.71,38.23,37.46,38.20,2762600,38.20
2011-07-07,38.04,38.20,37.88,38.11,2244300,38.11
2011-07-06,37.39,37.69,37.23,37.68,2327900,37.68
2011-07-05,37.11,37.56,36.90,37.50,2313000,37.50
2011-07-01,36.77,37.31,36.65,37.23,2327900,37.23
2011-06-30,37.10,37.10,36.54,36.69,2773200,36.69
2011-06-29,36.90,37.09,36.64,36.93,1924700,36.93
2011-06-28,36.63,36.79,36.37,36.69,2278400,36.69
2011-06-27,36.61,36.79,36.40,36.63,1892200,36.63
2011-06-24,36.59,36.66,36.29,36.55,2424000,36.55
2011-06-23,37.22,37.22,36.33,36.53,3215400,36.53
2011-06-22,37.80,38.11,37.58,37.66,2245400,37.66
2011-06-21,37.82,37.87,37.26,37.85,3126100,37.85
2011-06-20,37.03,37.85,36.99,37.71,2877000,37.71
2011-06-17,36.98,37.35,36.62,37.09,5518700,37.09
2011-06-16,36.01,36.81,35.94,36.69,3680500,36.69
2011-06-15,36.13,36.36,35.59,35.94,3112700,35.94
2011-06-14,35.88,36.38,35.67,36.37,2418200,36.37
2011-06-13,35.21,35.64,35.10,35.61,3035000,35.61
