Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,53.37,54.02,53.16,53.86,2032500,53.86
2011-07-18,53.30,53.53,52.90,53.13,1684900,53.13
2011-07-15,53.26,53.52,53.04,53.44,2697400,53.44
2011-07-14,53.41,53.63,53.10,53.22,1689600,53.22
2011-07-13,53.84,53.87,53.38,53.44,1413300,53.44
2011-07-12,53.25,54.01,53.23,53.62,1913600,53.62
2011-07-11,53.16,53.56,53.01,53.29,1686300,53.29
2011-07-08,53.64,53.86,53.38,53.47,1663000,53.47
2011-07-07,54.30,54.30,53.67,53.94,1911600,53.94
2011-07-06,53.42,54.05,53.37,53.92,1660900,53.92
2011-07-05,53.52,53.62,53.25,53.42,1800900,53.42
2011-07-01,53.19,53.67,53.03,53.62,1974500,53.62
2011-06-30,53.25,53.39,53.02,53.28,1996400,53.28
2011-06-29,53.24,53.38,52.95,53.09,2206000,53.09
2011-06-28,53.25,53.36,52.98,53.13,1771400,53.13
2011-06-27,53.02,53.40,52.94,53.13,2800900,53.13
2011-06-24,52.74,53.11,52.67,53.01,3570400,53.01
2011-06-23,52.99,53.03,52.14,52.56,2777200,52.56
2011-06-22,53.73,53.88,53.35,53.40,2499000,53.40
2011-06-21,54.39,54.49,54.00,54.09,2722600,53.61
2011-06-20,53.75,54.22,53.61,54.08,1800200,53.60
2011-06-17,53.77,53.89,53.59,53.76,2856200,53.28
2011-06-16,53.12,53.41,52.86,53.37,2228400,52.90
2011-06-15,53.37,53.47,52.77,53.02,2113000,52.55
2011-06-14,53.67,53.87,53.15,53.71,2282300,53.23
2011-06-13,53.33,53.51,52.91,53.33,1827700,52.86
2011-06-10,53.27,53.55,52.83,52.84,1910100,52.37
2011-06-09,53.11,53.78,52.94,53.56,2528100,53.08
2011-06-08,52.93,53.26,52.70,53.14,2177900,52.67
2011-06-07,53.13,53.34,52.93,53.06,2306900,52.59
2011-06-06,53.10,53.30,52.86,52.90,2691700,52.43
2011-06-03,53.22,53.54,53.11,53.20,2258200,52.73
2011-06-02,54.84,54.85,53.58,53.65,3885000,53.17
2011-06-01,53.93,54.12,53.38,53.72,4072700,53.24
2011-05-31,54.85,55.00,54.57,54.92,3210600,54.43
2011-05-27,54.31,54.80,54.06,54.68,2807700,54.19
2011-05-26,53.16,54.10,52.91,53.82,3571100,53.34
2011-05-25,53.39,53.41,52.64,53.39,3086200,52.92
2011-05-24,53.36,53.62,53.23,53.42,1839000,52.95
2011-05-23,53.45,53.79,53.23,53.35,1823600,52.88
2011-05-20,53.87,54.21,53.61,53.89,2425100,53.41
2011-05-19,53.50,53.89,53.40,53.85,3081700,53.37
2011-05-18,52.79,53.40,52.71,53.40,2237800,52.93
2011-05-17,52.43,53.00,52.36,52.88,2178400,52.41
2011-05-16,52.46,52.57,52.18,52.46,1271700,51.99
