Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,52.62,53.06,51.19,51.20,6575500,51.20
2011-08-01,54.01,54.04,52.18,53.06,6128200,53.06
2011-07-29,52.19,53.85,51.99,53.10,6189700,53.10
2011-07-28,53.74,54.46,52.87,53.00,8096700,53.00
2011-07-27,55.03,55.12,53.46,53.46,8773100,53.46
2011-07-26,56.33,56.40,55.27,55.34,4039200,55.34
2011-07-25,55.85,56.68,55.80,56.30,3964400,56.30
2011-07-22,57.03,57.23,55.52,56.40,10733800,56.40
2011-07-21,57.71,58.55,57.56,58.21,4522000,58.21
2011-07-20,57.63,57.80,57.04,57.34,3765900,57.34
2011-07-19,56.83,57.60,56.81,57.43,2859700,57.43
2011-07-18,56.93,56.98,56.21,56.57,2816700,56.57
2011-07-15,57.29,57.34,56.65,57.25,4038500,57.25
2011-07-14,57.70,57.98,56.88,57.01,2794600,57.01
2011-07-13,57.76,58.27,57.39,57.59,3384700,57.59
2011-07-12,58.01,58.30,57.20,57.28,4595000,57.28
2011-07-11,58.62,59.03,58.15,58.31,3427300,58.31
2011-07-08,59.67,59.82,59.20,59.54,2885000,59.54
2011-07-07,60.36,60.65,60.13,60.44,2879300,60.44
2011-07-06,59.50,59.95,59.26,59.69,3865500,59.69
2011-07-05,59.68,60.17,59.36,59.46,4100500,59.46
2011-07-01,59.49,60.45,59.15,60.19,3777600,60.19
2011-06-30,58.79,59.95,58.76,59.59,3888000,59.59
2011-06-29,58.52,58.91,58.18,58.62,3628500,58.62
2011-06-28,57.03,58.40,56.72,58.38,4952800,58.38
2011-06-27,56.54,56.94,56.15,56.79,3205200,56.79
2011-06-24,56.56,56.76,56.16,56.35,3543200,56.35
2011-06-23,56.31,56.55,55.53,56.50,4722000,56.50
2011-06-22,57.52,57.71,56.94,57.01,3549200,57.01
2011-06-21,56.96,57.95,56.78,57.81,4828100,57.81
2011-06-20,55.94,56.66,55.76,56.43,2745700,56.43
2011-06-17,56.94,57.00,55.73,55.85,5273200,55.85
2011-06-16,55.97,56.56,55.76,56.35,3363900,56.35
2011-06-15,56.66,56.87,55.97,56.05,4038800,56.05
2011-06-14,56.32,57.50,56.25,57.19,4239700,57.19
2011-06-13,55.78,56.08,55.37,55.71,3150100,55.71
2011-06-10,56.30,56.30,55.38,55.53,3210200,55.53
2011-06-09,56.07,56.78,55.86,56.46,3243000,56.46
2011-06-08,56.56,56.77,55.93,56.07,4541100,56.07
2011-06-07,57.76,57.80,56.79,56.85,3163000,56.85
2011-06-06,57.11,57.66,56.77,57.45,4688500,57.45
2011-06-03,56.79,57.91,56.66,57.25,4013000,57.25
2011-06-02,57.65,58.21,57.33,57.95,3157900,57.95
2011-06-01,59.37,59.54,57.42,57.53,4567800,57.53
2011-05-31,59.96,60.10,58.95,59.55,3317700,59.55
2011-05-27,58.89,59.44,58.57,59.19,2858600,59.19
2011-05-26,58.33,58.70,57.81,58.50,3942000,58.50
2011-05-25,58.87,59.28,57.81,58.87,3738300,58.87
2011-05-24,58.48,58.76,57.76,58.25,3719800,58.25
2011-05-23,58.12,58.92,58.01,58.48,4081600,58.48
2011-05-20,59.38,59.51,58.55,58.99,4031100,58.99
2011-05-19,59.97,60.13,59.13,59.49,3639000,59.49
2011-05-18,58.90,59.69,58.22,59.55,5505100,59.55
2011-05-17,59.90,60.12,58.68,58.98,5040700,58.65
2011-05-16,60.44,60.94,60.00,60.12,4432800,59.78
2011-05-13,60.98,61.24,60.30,60.51,3726100,60.17
2011-05-12,61.31,61.40,60.60,60.86,5586700,60.52
2011-05-11,61.61,61.87,60.96,61.28,3347300,60.93
2011-05-10,61.83,61.98,61.38,61.76,4211000,61.41
2011-05-09,61.10,62.01,60.91,61.62,3235100,61.27
2011-05-06,60.80,61.68,60.62,60.95,4023300,60.61
2011-05-05,59.88,60.99,59.32,60.15,4581700,59.81
2011-05-04,61.62,61.85,60.22,60.32,6341800,59.98
2011-05-03,61.55,61.85,61.26,61.80,4027500,61.45
2011-05-02,61.67,62.28,61.31,61.54,4130200,61.19
2011-04-29,61.10,61.52,61.00,61.23,4100000,60.88
2011-04-28,61.40,61.68,60.99,61.01,5041900,60.67
2011-04-27,62.10,62.10,61.27,61.46,5533500,61.11
2011-04-26,60.61,62.00,60.58,62.00,6400000,61.65
2011-04-25,60.52,60.72,60.21,60.32,5025500,59.98
2011-04-21,60.00,61.10,59.40,60.72,9638700,60.38
2011-04-20,58.39,59.48,57.77,58.74,5475800,58.41
2011-04-19,57.15,57.61,56.80,57.46,3111700,57.14
2011-04-18,57.11,57.24,56.34,57.11,3157300,56.79
2011-04-15,57.55,57.88,57.11,57.75,4827000,57.42
2011-04-14,56.95,57.61,56.31,57.50,3097300,57.18
2011-04-13,57.60,57.64,56.95,57.31,3090000,56.99
2011-04-12,57.98,58.16,57.30,57.53,3779500,57.21
2011-04-11,58.35,58.75,57.92,58.26,2745500,57.93
2011-04-08,58.93,59.00,57.80,58.30,3183100,57.97
2011-04-07,58.69,59.16,58.30,58.49,4637600,58.16
2011-04-06,59.29,59.49,58.59,58.85,3510400,58.52
2011-04-05,59.09,59.49,59.01,59.05,2639100,58.72
2011-04-04,59.45,59.81,59.08,59.23,4703100,58.90
2011-04-01,59.96,60.02,59.08,59.26,4721900,58.93
2011-03-31,59.61,59.95,59.56,59.71,3215500,59.37
2011-03-30,59.87,59.88,59.40,59.59,3550900,59.25
2011-03-29,58.34,59.63,57.80,59.60,5163800,59.26
2011-03-28,58.38,59.08,58.09,58.32,5926700,57.99
2011-03-25,57.72,57.90,57.38,57.39,3104300,57.07
2011-03-24,57.40,57.73,56.90,57.73,2476500,57.40
2011-03-23,56.38,57.27,56.30,57.10,2601800,56.78
2011-03-22,57.09,57.26,56.51,56.54,3373100,56.22
2011-03-21,56.74,57.47,56.64,57.04,3421600,56.72
2011-03-18,55.84,56.52,55.56,55.86,5300000,55.54
2011-03-17,55.09,55.71,54.82,55.21,3624000,54.90
2011-03-16,55.36,55.51,53.74,54.33,5523400,54.02
2011-03-15,54.45,55.96,54.19,55.54,4794300,55.23
2011-03-14,55.72,56.26,55.13,56.01,4288300,55.69
2011-03-11,55.76,56.49,55.47,56.27,3223800,55.95
2011-03-10,56.54,56.54,55.43,55.79,5211100,55.48
2011-03-09,56.97,57.44,56.28,56.71,4844300,56.39
2011-03-08,56.27,57.58,55.76,57.30,3887800,56.98
2011-03-07,56.79,57.47,55.72,56.19,4176400,55.87
2011-03-04,57.28,57.35,55.82,56.51,3915900,56.19
2011-03-03,56.22,57.53,56.22,57.29,3771000,56.97
2011-03-02,56.59,56.72,55.06,55.55,6656400,55.24
2011-03-01,58.09,58.19,56.40,56.45,4473100,56.13
2011-02-28,57.06,58.08,57.01,57.91,4768300,57.58
2011-02-25,56.66,57.49,56.60,57.28,3523900,56.96
2011-02-24,55.14,56.61,55.06,56.48,4407000,56.16
2011-02-23,56.33,56.99,54.92,55.64,5058500,55.33
2011-02-22,57.16,57.47,55.95,56.23,3672600,55.91
2011-02-18,57.44,58.02,57.36,57.99,3656800,57.66
2011-02-17,57.11,57.53,56.88,57.36,2841000,57.04
2011-02-16,57.15,57.59,56.78,57.20,2752300,56.88
2011-02-15,57.35,57.45,56.94,57.37,1924400,56.71
2011-02-14,57.72,58.03,57.20,57.60,2879500,56.94
2011-02-11,57.32,58.07,57.08,57.98,2312200,57.32
2011-02-10,57.21,57.63,57.07,57.47,3454900,56.81
2011-02-09,57.13,57.54,56.94,57.34,2981200,56.69
2011-02-08,57.26,57.48,57.13,57.39,3159000,56.73
2011-02-07,57.27,57.42,56.97,57.13,2924100,56.48
2011-02-04,57.20,57.30,56.52,57.12,2767000,56.47
2011-02-03,57.17,57.70,57.03,57.17,4054200,56.52
2011-02-02,56.56,57.83,56.56,57.41,4415200,56.75
2011-02-01,56.32,57.00,56.09,56.94,3756200,56.29
2011-01-31,55.26,56.01,54.75,56.01,5574300,55.37
2011-01-28,55.69,56.99,54.59,55.32,9266700,54.69
2011-01-27,55.96,56.03,55.36,55.92,3815300,55.28
2011-01-26,55.57,56.09,55.15,55.77,5239900,55.13
2011-01-25,55.22,55.45,54.69,55.38,2420300,54.75
2011-01-24,54.58,55.63,54.47,55.37,3251400,54.74
2011-01-21,55.10,55.20,54.43,54.49,4575200,53.87
2011-01-20,54.24,55.84,53.96,54.58,7437700,53.96
2011-01-19,54.83,54.93,54.07,54.34,3767000,53.72
2011-01-18,55.03,55.25,54.58,54.76,3285300,54.13
2011-01-14,54.48,55.03,54.37,55.02,3571100,54.39
2011-01-13,54.60,54.84,54.41,54.59,2975500,53.97
2011-01-12,54.47,54.80,54.16,54.72,3664500,54.10
2011-01-11,54.18,54.36,53.70,54.00,2628800,53.38
2011-01-10,54.34,54.34,53.40,53.90,3425600,53.28
2011-01-07,54.59,54.68,53.81,54.30,2864800,53.68
2011-01-06,54.55,54.56,53.71,54.36,3319300,53.74
2011-01-05,53.19,54.65,53.14,54.37,4410000,53.75
2011-01-04,54.26,54.28,52.98,53.48,4990300,52.87
2011-01-03,53.49,54.42,53.45,54.21,3799200,53.59
