Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,34.84,35.11,34.34,34.35,16050100,34.35
2011-08-01,35.40,35.50,34.67,35.20,15742700,35.20
2011-07-29,35.80,35.88,35.10,35.17,20455700,35.17
2011-07-28,36.67,36.88,36.12,36.23,14704600,36.23
2011-07-27,36.93,37.21,36.45,36.80,18943400,36.80
2011-07-26,37.09,37.70,37.04,37.47,14617300,37.47
2011-07-25,36.27,37.40,36.22,37.09,19143100,37.09
2011-07-22,36.42,37.12,36.36,36.70,16042300,36.70
2011-07-21,35.34,36.37,34.92,36.23,18116500,36.23
2011-07-20,35.78,35.82,35.11,35.28,15009100,35.28
2011-07-19,35.24,35.71,34.93,35.61,15971100,35.61
2011-07-18,34.98,35.10,34.80,35.02,15326900,35.02
2011-07-15,35.28,35.39,34.97,35.09,15166200,35.09
2011-07-14,35.54,35.69,35.01,35.13,15439900,35.13
2011-07-13,35.40,35.80,35.30,35.44,11064900,35.44
2011-07-12,35.16,35.71,35.10,35.27,15173800,35.27
2011-07-11,36.00,36.00,35.17,35.29,18265400,35.29
2011-07-08,36.13,36.44,35.80,36.43,15076400,36.43
2011-07-07,36.47,36.59,36.33,36.45,16037500,36.45
2011-07-06,36.46,36.59,36.10,36.20,16402200,36.20
2011-07-05,36.78,37.00,36.27,36.47,16387000,36.47
2011-07-01,36.55,37.13,36.34,37.05,14854800,37.05
2011-06-30,36.30,37.24,36.23,36.40,27376900,36.40
2011-06-29,35.17,35.60,35.09,35.55,13512600,35.55
2011-06-28,35.07,35.20,34.96,35.09,14237100,35.09
2011-06-27,35.05,35.35,34.91,34.98,15242400,34.98
2011-06-24,35.18,35.21,34.88,34.90,36850600,34.90
2011-06-23,34.82,35.29,34.55,35.23,19498800,35.23
2011-06-22,35.32,35.50,35.11,35.12,12828800,35.12
2011-06-21,35.13,35.65,35.03,35.30,16958800,35.30
2011-06-20,34.79,35.32,34.79,34.99,16631600,34.99
2011-06-17,35.22,35.32,34.94,35.00,39361800,35.00
2011-06-16,34.09,35.11,34.06,34.97,28167700,34.97
2011-06-15,34.53,34.56,33.95,34.26,24950100,34.26
2011-06-14,34.85,35.28,34.64,34.73,20123600,34.73
2011-06-13,34.65,35.18,34.60,34.65,21740200,34.65
2011-06-10,35.51,35.53,35.14,35.25,14320500,35.13
2011-06-09,35.51,35.73,35.36,35.46,11590900,35.34
2011-06-08,35.23,35.75,35.20,35.36,16012500,35.24
2011-06-07,36.13,36.15,35.57,35.57,16894700,35.45
2011-06-06,35.99,36.24,35.91,35.96,15407700,35.84
2011-06-03,36.05,36.38,36.00,36.11,15963800,35.99
2011-06-02,36.58,36.66,36.31,36.43,16659600,36.31
2011-06-01,37.20,37.31,36.50,36.63,19316200,36.51
2011-05-31,37.28,37.52,37.18,37.38,27368000,37.25
2011-05-27,36.74,37.04,36.72,36.96,20623500,36.83
2011-05-26,35.99,36.74,35.96,36.55,27179800,36.43
2011-05-25,36.01,36.15,35.68,36.01,25474500,35.89
2011-05-24,35.62,36.16,35.58,35.97,27329900,35.85
2011-05-23,35.58,36.00,35.44,35.81,26492700,35.69
2011-05-20,36.01,36.35,35.91,35.98,23005900,35.86
2011-05-19,36.43,36.67,36.00,36.13,31116600,36.01
2011-05-18,36.63,36.64,35.99,36.49,44644200,36.37
2011-05-17,37.57,37.66,36.04,36.91,100424200,36.78
2011-05-16,40.20,40.34,39.66,39.80,18262200,39.66
2011-05-13,40.80,40.86,40.22,40.41,14068300,40.27
2011-05-12,40.88,41.18,40.71,40.88,14165300,40.74
2011-05-11,41.48,41.56,40.76,41.06,16927100,40.92
2011-05-10,41.08,41.74,41.00,41.57,9006400,41.43
2011-05-09,40.79,41.36,40.75,41.02,9307900,40.88
2011-05-06,41.05,41.52,40.68,40.81,12829500,40.67
2011-05-05,40.65,41.33,40.61,40.80,12871300,40.66
2011-05-04,40.38,41.12,40.21,40.94,15372800,40.80
2011-05-03,39.86,40.38,39.80,40.33,14865800,40.19
2011-05-02,40.69,40.78,39.97,40.08,14262900,39.94
2011-04-29,40.64,40.66,39.99,40.37,14447400,40.23
2011-04-28,41.22,41.30,40.38,40.53,19631000,40.39
2011-04-27,40.84,41.19,40.71,41.04,13104100,40.90
2011-04-26,40.42,40.96,40.06,40.69,21200000,40.55
2011-04-25,41.06,41.17,40.44,40.53,13925000,40.39
2011-04-21,41.20,41.20,40.72,40.99,9517600,40.85
2011-04-20,40.66,41.19,40.65,40.89,14201200,40.75
2011-04-19,39.83,40.05,39.35,39.99,13504600,39.85
2011-04-18,39.96,40.04,39.16,39.75,18535300,39.61
2011-04-15,40.38,40.67,40.20,40.26,14688500,40.12
2011-04-14,40.50,40.73,40.12,40.36,16913800,40.22
2011-04-13,41.01,41.55,40.85,41.13,12705300,40.99
2011-04-12,40.68,41.18,40.53,41.08,13180200,40.94
2011-04-11,40.71,41.28,40.66,41.05,12805700,40.91
2011-04-08,41.00,41.04,40.52,40.70,13263500,40.56
2011-04-07,41.35,41.80,41.06,41.08,16693100,40.94
2011-04-06,40.38,41.35,40.33,41.18,19679700,41.04
2011-04-05,40.37,40.78,40.21,40.29,16152700,40.15
2011-04-04,40.65,40.88,40.20,40.34,21844800,40.20
2011-04-01,41.08,41.08,40.50,40.98,19209900,40.84
2011-03-31,41.31,41.48,40.96,40.97,15965000,40.83
2011-03-30,41.18,41.48,40.80,41.30,17356500,41.16
2011-03-29,41.87,42.01,37.60,41.11,26127700,40.97
2011-03-28,42.42,42.83,42.11,42.14,11370600,42.00
2011-03-25,42.84,43.28,42.33,42.53,15527300,42.39
2011-03-24,42.31,43.14,42.26,43.10,18568900,42.95
2011-03-23,41.54,42.28,41.51,42.07,15193300,41.93
2011-03-22,41.73,41.84,41.35,41.74,14349000,41.60
2011-03-21,41.85,42.10,41.65,41.77,14423500,41.63
2011-03-18,41.93,42.13,41.28,41.32,28918300,41.18
2011-03-17,40.73,41.83,40.72,41.43,26608300,41.29
2011-03-16,40.81,41.32,40.10,40.14,25775700,40.00
2011-03-15,40.62,41.19,40.34,40.93,22169100,40.79
2011-03-14,41.31,42.15,41.28,41.49,17454700,41.35
2011-03-11,41.42,41.87,41.36,41.73,16475700,41.51
2011-03-10,41.75,41.90,41.26,41.48,19901500,41.26
2011-03-09,42.40,42.40,41.76,42.05,15266500,41.83
2011-03-08,42.21,42.71,41.95,42.40,15667700,42.17
2011-03-07,42.90,43.05,41.94,41.98,17791500,41.76
2011-03-04,43.26,43.45,42.06,42.61,27718800,42.38
2011-03-03,43.66,43.86,43.12,43.20,21076500,42.97
2011-03-02,42.85,43.52,42.78,43.24,14626500,43.01
2011-03-01,43.64,43.84,42.84,42.91,19559500,42.68
2011-02-28,43.06,43.83,42.95,43.63,27687000,43.40
2011-02-25,42.42,42.80,42.30,42.68,26783700,42.45
2011-02-24,43.16,43.25,42.08,42.17,56823300,41.95
2011-02-23,43.68,43.72,42.57,43.59,96660600,43.36
2011-02-22,47.57,48.55,47.27,48.23,30831700,47.97
