Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,29.17,29.25,28.51,28.53,7984700,28.53
2011-08-01,30.31,30.31,29.23,29.56,5128500,29.56
2011-07-29,30.13,30.16,29.45,29.70,9984300,29.70
2011-07-28,30.80,31.57,30.45,30.53,8516700,30.53
2011-07-27,30.37,30.58,29.73,29.87,5022500,29.87
2011-07-26,30.77,30.94,30.37,30.65,3070500,30.65
2011-07-25,30.40,30.95,30.31,30.77,2684200,30.77
2011-07-22,30.86,30.88,30.34,30.86,3512000,30.86
2011-07-21,30.26,31.05,30.10,30.95,4190500,30.95
2011-07-20,29.96,30.37,29.63,30.10,3902800,30.10
2011-07-19,29.49,29.91,29.36,29.79,3558800,29.79
2011-07-18,29.76,29.76,28.87,29.30,3621900,29.30
2011-07-15,29.81,30.05,29.64,29.87,4686000,29.87
2011-07-14,30.19,30.39,29.65,29.67,5143900,29.67
2011-07-13,29.83,30.65,29.78,29.99,4013100,29.99
2011-07-12,29.75,30.09,29.58,29.63,4638600,29.63
2011-07-11,29.77,30.06,29.70,29.94,4878200,29.94
2011-07-08,30.01,30.34,28.75,30.26,3982700,30.26
2011-07-07,30.39,30.72,30.18,30.56,3651200,30.56
2011-07-06,29.82,30.28,29.76,30.05,3970900,30.05
2011-07-05,30.56,30.56,29.69,29.87,6045600,29.87
2011-07-01,30.02,30.71,29.98,30.61,3734400,30.61
2011-06-30,29.28,29.96,29.17,29.82,4018200,29.82
2011-06-29,29.46,29.52,28.96,29.16,3594300,29.16
2011-06-28,29.29,29.40,28.91,29.26,4882100,29.26
2011-06-27,28.90,29.56,28.82,29.16,4741100,29.16
2011-06-24,29.03,29.13,28.61,28.78,7283500,28.78
2011-06-23,28.24,29.03,28.00,28.95,7082100,28.95
2011-06-22,28.65,29.09,28.50,28.74,8007900,28.74
2011-06-21,27.65,28.87,27.65,28.78,9147800,28.78
2011-06-20,26.51,27.58,26.51,27.44,13361500,27.44
2011-06-17,27.10,27.17,26.50,26.57,6234000,26.57
2011-06-16,27.02,27.07,26.25,26.63,7549100,26.63
2011-06-15,27.63,27.68,26.83,27.06,8135500,27.06
2011-06-14,27.98,28.08,27.50,27.87,9004900,27.87
2011-06-13,28.31,28.55,27.34,27.57,12499200,27.57
2011-06-10,29.04,29.10,28.21,28.30,6302000,28.30
2011-06-09,28.90,29.60,28.71,29.23,6455800,29.23
2011-06-08,29.64,29.64,28.38,28.79,8605800,28.79
2011-06-07,31.07,31.07,29.76,29.78,18373900,29.78
2011-06-06,29.76,30.00,29.55,29.65,5946800,29.65
2011-06-03,29.66,30.04,29.54,29.88,6329900,29.88
2011-06-02,30.19,30.81,30.14,30.31,4268700,30.31
2011-06-01,31.02,31.26,30.05,30.20,4740600,30.20
2011-05-31,31.06,31.45,30.65,31.22,4925000,31.22
2011-05-27,30.80,31.00,30.55,30.91,2416900,30.91
2011-05-26,30.24,30.75,30.11,30.58,3223900,30.58
