Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,55.66,56.24,55.57,56.20,992900,56.20
2011-07-18,56.25,56.25,55.12,55.25,1344500,55.25
2011-07-15,57.04,57.04,56.04,56.40,1541000,56.40
2011-07-14,57.25,57.44,56.45,56.52,1035300,56.52
2011-07-13,57.65,58.27,57.20,57.26,909900,57.26
2011-07-12,57.46,57.67,57.04,57.26,1295100,57.26
2011-07-11,58.42,58.60,57.65,57.70,832000,57.70
2011-07-08,58.76,59.42,58.56,58.84,926400,58.84
2011-07-07,59.74,59.83,59.35,59.49,822900,59.49
2011-07-06,59.11,59.38,58.93,59.24,756600,59.24
2011-07-05,59.69,59.70,58.91,59.07,1145900,59.07
2011-07-01,58.98,60.13,58.84,59.85,1216700,59.85
2011-06-30,58.36,59.15,58.32,58.93,1021700,58.93
2011-06-29,57.95,58.19,57.63,58.13,795900,58.13
2011-06-28,56.85,57.68,56.81,57.66,846500,57.66
2011-06-27,56.02,56.86,56.02,56.64,753200,56.64
2011-06-24,56.92,56.99,56.11,56.22,873000,56.22
2011-06-23,56.43,57.11,55.94,56.94,2145700,56.94
2011-06-22,57.52,58.09,57.15,57.22,1382400,57.22
2011-06-21,57.43,57.93,57.38,57.68,983500,57.68
2011-06-20,56.05,57.34,56.05,57.08,1045400,57.08
2011-06-17,56.07,56.35,55.85,56.33,1660400,56.33
2011-06-16,55.55,56.03,55.30,55.86,1444500,55.86
2011-06-15,55.43,55.84,55.13,55.68,1239900,55.68
2011-06-14,55.63,56.10,55.50,55.79,982700,55.79
2011-06-13,55.22,55.30,54.82,55.02,1443700,55.02
2011-06-10,55.49,55.62,54.82,55.06,1133500,55.06
2011-06-09,54.62,56.11,54.56,55.78,1618500,55.78
2011-06-08,55.24,55.37,54.40,54.57,2223700,54.57
2011-06-07,55.69,55.96,55.36,55.42,2300100,55.42
2011-06-06,55.56,56.04,55.19,55.26,1215000,55.26
2011-06-03,55.60,56.29,55.50,55.75,930300,55.75
2011-06-02,56.52,56.94,56.25,56.31,869000,56.31
2011-06-01,57.60,57.72,56.23,56.23,1585500,56.23
2011-05-31,57.55,57.83,57.09,57.62,1199500,57.62
2011-05-27,57.33,57.34,56.94,57.10,712100,57.10
2011-05-26,56.33,57.19,56.31,56.99,891200,56.99
2011-05-25,56.58,56.96,55.81,56.58,1331300,56.58
2011-05-24,56.84,57.06,56.12,56.14,1594600,56.14
2011-05-23,56.66,57.33,56.54,56.75,1386800,56.75
2011-05-20,57.25,57.53,56.86,57.26,1256600,57.26
2011-05-19,57.03,57.32,56.57,57.29,1096300,57.29
2011-05-18,56.43,56.86,56.18,56.72,1123700,56.72
2011-05-17,56.83,56.90,56.05,56.50,1162300,56.25
2011-05-16,57.11,57.58,56.75,56.97,1341300,56.72
2011-05-13,57.79,58.09,57.12,57.30,1005300,57.05
