Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,64.11,64.35,63.43,63.43,17103400,63.43
2011-08-01,65.28,65.33,63.66,64.41,15842200,64.41
2011-07-29,64.74,64.93,64.13,64.79,16829000,64.79
2011-07-28,65.23,65.62,64.78,65.08,9920400,65.08
2011-07-27,65.76,65.87,65.14,65.23,12810400,65.23
2011-07-26,66.17,66.32,65.87,65.92,10008300,65.92
2011-07-25,66.21,66.43,66.01,66.25,10247700,66.25
2011-07-22,66.69,66.79,66.49,66.72,7721000,66.72
2011-07-21,66.45,66.79,66.13,66.47,11394100,66.47
2011-07-20,66.57,66.90,66.06,66.24,8912600,66.24
2011-07-19,67.10,67.22,66.15,66.72,13677400,66.72
2011-07-18,67.17,67.35,66.55,67.09,10361000,67.09
2011-07-15,67.73,67.95,66.99,67.45,10245100,67.45
2011-07-14,67.60,67.93,67.47,67.66,9636500,67.66
2011-07-13,67.39,67.98,67.21,67.63,9031700,67.63
2011-07-12,66.90,67.68,66.83,67.03,10528700,67.03
2011-07-11,66.88,67.41,66.83,67.27,8918900,67.27
2011-07-08,67.81,67.99,67.19,67.57,7866100,67.57
2011-07-07,67.82,68.05,67.40,67.92,8415200,67.92
2011-07-06,67.63,67.75,67.37,67.55,7100400,67.55
2011-07-05,67.29,67.67,67.25,67.62,9773600,67.62
2011-07-01,66.48,67.36,66.27,67.30,9216500,67.30
2011-06-30,66.42,66.91,66.25,66.52,9747200,66.52
2011-06-29,66.23,66.59,65.93,66.31,9227000,66.31
2011-06-28,65.59,66.12,65.38,65.91,7724600,65.91
2011-06-27,65.29,65.61,65.00,65.25,7199500,65.25
2011-06-24,65.57,65.61,64.83,65.06,13186200,65.06
2011-06-23,65.54,65.74,64.69,65.67,16234800,65.67
2011-06-22,66.47,66.62,66.05,66.07,7970700,66.07
2011-06-21,66.52,66.75,66.16,66.49,9811500,66.49
2011-06-20,66.08,66.74,66.07,66.51,9309200,66.51
2011-06-17,66.63,66.95,66.19,66.29,14336400,66.29
2011-06-16,65.70,66.35,65.47,66.32,11683900,66.32
2011-06-15,67.00,67.00,65.71,66.16,12623500,66.16
2011-06-14,66.95,67.36,66.75,67.10,11389100,67.10
2011-06-13,66.32,66.96,66.26,66.59,8146200,66.59
2011-06-10,66.49,66.68,66.09,66.09,9312900,66.09
