Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,55.48,56.01,55.07,55.78,2243000,55.78
2011-07-28,55.55,56.39,55.00,55.82,3955200,55.82
2011-07-27,55.52,56.11,55.45,55.55,2645100,55.55
2011-07-26,55.80,55.98,55.58,55.79,1227600,55.79
2011-07-25,55.52,56.12,55.52,55.89,1784000,55.89
2011-07-22,55.99,56.03,55.62,55.91,858200,55.91
2011-07-21,55.55,56.00,55.48,55.92,1425400,55.92
2011-07-20,55.55,55.64,55.19,55.36,1336000,55.36
2011-07-19,54.99,55.43,54.76,55.41,1498200,55.41
2011-07-18,55.00,55.10,54.35,54.97,1898100,54.97
2011-07-15,55.22,55.53,54.84,55.24,1825700,55.24
2011-07-14,55.38,55.73,55.18,55.29,1465400,55.29
2011-07-13,55.84,55.86,55.29,55.41,1643600,55.41
2011-07-12,55.07,55.82,54.92,55.57,1616800,55.57
2011-07-11,54.61,55.35,54.54,55.11,1892100,55.11
2011-07-08,55.60,55.71,55.00,55.17,2366700,55.17
2011-07-07,55.74,55.78,55.25,55.73,2597400,55.73
2011-07-06,54.95,55.51,54.95,55.50,1417800,55.50
2011-07-05,55.26,55.31,55.00,55.14,1160100,55.14
2011-07-01,55.07,55.43,54.96,55.40,1361400,55.40
2011-06-30,55.25,55.48,55.20,55.32,1495800,55.32
2011-06-29,55.16,55.33,54.84,55.19,1714700,55.19
2011-06-28,55.04,55.19,54.79,55.17,2500800,55.17
2011-06-27,54.64,55.11,54.64,54.82,1971600,54.82
2011-06-24,54.31,54.94,54.20,54.76,2776000,54.76
2011-06-23,54.32,54.32,53.45,54.12,2527700,54.12
2011-06-22,55.03,55.21,54.61,54.67,1345300,54.67
2011-06-21,55.40,55.45,54.99,54.99,1808500,54.99
2011-06-20,54.91,55.39,54.60,55.25,1951700,55.25
2011-06-17,55.11,55.26,54.88,54.92,2358500,54.92
2011-06-16,54.40,54.80,54.10,54.74,1846700,54.74
2011-06-15,54.47,54.79,54.12,54.32,2586300,54.32
2011-06-14,55.82,55.90,53.67,54.96,5664900,54.96
2011-06-13,55.41,55.73,54.98,55.41,1309700,55.41
2011-06-10,55.53,55.69,54.89,54.89,1367100,54.89
2011-06-09,55.42,56.11,55.23,55.79,1698500,55.79
2011-06-08,55.38,55.56,54.95,55.48,1887700,55.48
2011-06-07,55.13,55.57,55.04,55.33,2120100,55.33
2011-06-06,54.80,55.12,54.76,54.96,1505600,54.96
2011-06-03,55.07,55.29,54.71,54.92,1419400,54.92
2011-06-02,56.37,56.60,55.36,55.49,1738100,55.49
2011-06-01,56.75,56.82,56.38,56.45,1625900,56.45
2011-05-31,56.78,57.00,56.56,56.99,2076000,56.99
2011-05-27,56.30,56.81,56.30,56.44,2347000,56.44
2011-05-26,56.02,56.97,56.02,56.78,1783900,56.38
2011-05-25,56.21,56.40,55.86,56.21,1240800,55.81
2011-05-24,56.92,56.95,56.43,56.49,2102600,56.09
2011-05-23,56.93,57.09,56.72,56.79,1363900,56.38
2011-05-20,57.37,57.45,56.94,57.14,1227600,56.73
2011-05-19,57.30,57.40,57.13,57.31,1030900,56.90
2011-05-18,57.31,57.32,57.03,57.16,1314000,56.75
2011-05-17,57.12,57.51,57.05,57.28,1361800,56.87
2011-05-16,57.50,57.50,57.18,57.26,1847700,56.85
2011-05-13,57.46,57.70,57.29,57.56,1430800,57.15
2011-05-12,56.55,57.67,56.55,57.50,2342200,57.09
