Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,67.40,67.61,67.07,67.07,9063800,67.07
2011-08-01,68.50,68.51,67.12,67.73,8827100,67.73
2011-07-29,68.36,68.85,67.90,68.01,10272800,68.01
2011-07-28,68.65,69.28,68.62,68.81,7635100,68.81
2011-07-27,68.77,69.25,68.54,68.69,9338800,68.69
2011-07-26,69.35,69.46,69.09,69.19,5915300,69.19
2011-07-25,69.12,69.56,69.01,69.26,6577400,69.26
2011-07-22,69.55,69.82,69.48,69.73,6661600,69.73
2011-07-21,68.82,69.62,68.50,69.34,11043300,69.34
2011-07-20,69.25,69.34,68.80,68.87,7916900,68.87
2011-07-19,67.70,69.78,67.53,69.32,18707700,69.32
2011-07-18,67.26,67.43,66.59,67.12,7396000,67.12
2011-07-15,67.85,67.87,67.28,67.53,8745800,67.53
2011-07-14,67.97,68.33,67.37,67.67,7505600,67.67
2011-07-13,68.17,68.43,67.77,68.06,7344000,68.06
2011-07-12,67.97,68.44,67.73,67.85,6671700,67.85
2011-07-11,67.75,68.28,67.71,68.10,7076200,68.10
2011-07-08,68.35,68.68,68.12,68.68,6335800,68.68
2011-07-07,68.82,68.89,68.58,68.75,6211700,68.75
2011-07-06,68.31,68.75,68.29,68.53,5743000,68.53
2011-07-05,68.08,68.79,68.08,68.30,7400600,68.30
2011-07-01,67.02,68.09,67.02,68.09,8243500,68.09
2011-06-30,66.98,67.49,66.82,67.29,7797300,67.29
2011-06-29,66.19,66.83,66.18,66.71,8517700,66.71
2011-06-28,65.52,66.10,65.35,66.03,6466200,66.03
2011-06-27,64.85,65.46,64.85,65.21,7388800,65.21
2011-06-24,65.07,65.38,64.72,64.93,16036900,64.93
2011-06-23,65.93,65.97,64.43,64.98,13233900,64.98
2011-06-22,66.29,66.82,66.11,66.40,7850600,66.40
2011-06-21,66.11,66.29,65.77,66.26,7132500,66.26
2011-06-20,65.37,66.14,65.37,65.83,5545900,65.83
2011-06-17,65.88,66.23,65.62,65.62,10658700,65.62
