Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,25.41,25.83,25.35,25.83,5780400,25.83
2011-07-18,25.47,25.52,25.15,25.41,5283200,25.41
2011-07-15,25.35,25.50,25.17,25.48,5458100,25.48
2011-07-14,25.25,25.50,25.16,25.35,4885100,25.35
2011-07-13,25.44,25.55,25.23,25.26,6136000,25.26
2011-07-12,24.98,25.40,24.98,25.13,5426600,25.13
2011-07-11,24.97,25.20,24.90,24.98,4649600,24.98
2011-07-08,25.25,25.43,25.10,25.32,3975000,25.32
2011-07-07,25.27,25.62,25.22,25.46,5148800,25.46
2011-07-06,25.00,25.26,24.85,25.13,4768900,25.13
2011-07-05,25.03,25.18,24.81,25.04,5618100,25.04
2011-07-01,24.75,25.11,24.60,25.08,4577400,25.08
2011-06-30,24.62,24.88,24.56,24.80,5705800,24.80
2011-06-29,24.44,24.67,24.42,24.59,4461100,24.59
2011-06-28,24.29,24.45,24.28,24.41,6297100,24.41
2011-06-27,24.21,24.50,24.18,24.28,10024000,24.28
2011-06-24,24.71,24.76,24.31,24.50,11583300,24.50
2011-06-23,24.36,24.76,24.29,24.74,10447300,24.74
2011-06-22,24.53,24.73,24.45,24.50,9908300,24.50
2011-06-21,24.16,24.66,24.12,24.62,10159200,24.62
2011-06-20,23.99,24.15,23.92,24.04,9504000,24.04
2011-06-17,24.07,24.25,23.85,24.00,13438900,24.00
2011-06-16,24.12,24.22,23.34,23.99,23862900,23.99
2011-06-15,23.09,23.39,22.89,22.95,10224100,22.95
2011-06-14,23.54,23.57,23.05,23.22,9711000,23.22
2011-06-13,23.31,23.42,23.19,23.41,6275100,23.41
2011-06-10,23.65,23.81,23.26,23.28,6507400,23.28
2011-06-09,23.61,23.97,23.51,23.80,7314300,23.80
2011-06-08,23.21,23.69,23.18,23.62,8080300,23.62
2011-06-07,23.22,23.61,23.22,23.30,6106200,23.30
2011-06-06,23.46,23.52,23.13,23.16,6004800,23.16
2011-06-03,23.58,23.73,23.47,23.57,7765100,23.57
2011-06-02,23.94,23.97,23.50,23.76,8283900,23.76
2011-06-01,24.77,24.88,23.87,23.90,12797900,23.90
2011-05-31,24.78,24.82,24.55,24.82,6603400,24.82
2011-05-27,24.41,24.72,24.34,24.72,4351500,24.72
2011-05-26,24.14,24.38,24.14,24.34,6985700,24.34
2011-05-25,24.21,24.49,24.14,24.21,7419500,24.21
2011-05-24,24.64,24.65,24.24,24.47,7820200,24.47
