Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,79.09,80.87,78.30,79.12,1083100,79.12
2011-07-28,82.50,82.60,79.79,79.89,1513500,79.89
2011-07-27,80.52,80.52,78.90,79.12,840000,79.12
2011-07-26,82.17,82.17,80.75,80.89,689500,80.89
2011-07-25,82.33,82.89,81.89,82.09,520600,82.09
2011-07-22,83.17,83.44,82.02,82.90,601500,82.90
2011-07-21,82.41,84.13,82.32,83.61,486400,83.61
2011-07-20,81.93,82.87,81.93,82.17,621600,82.17
2011-07-19,81.17,81.78,81.05,81.53,508800,81.53
2011-07-18,81.69,81.79,80.10,81.00,623600,81.00
2011-07-15,82.61,82.65,81.40,82.03,677500,82.03
2011-07-14,84.19,84.25,82.28,82.37,874800,82.37
2011-07-13,84.52,85.40,83.73,83.97,765200,83.97
2011-07-12,84.27,84.96,83.76,84.17,729700,84.17
2011-07-11,84.54,85.05,84.07,84.29,805600,84.29
2011-07-08,85.83,86.29,84.87,85.28,937800,85.28
2011-07-07,87.23,87.28,85.66,86.37,946000,86.37
2011-07-06,86.49,87.18,85.81,86.46,1041600,86.46
2011-07-05,88.00,88.00,86.57,86.77,817900,86.77
2011-07-01,87.60,88.55,87.11,88.31,722000,88.31
2011-06-30,87.18,88.23,87.05,87.45,715400,87.45
2011-06-29,85.91,87.31,85.46,86.93,938200,86.93
2011-06-28,84.74,85.83,84.45,85.77,791700,85.77
2011-06-27,84.53,84.89,84.11,84.57,539200,84.57
2011-06-24,85.13,85.54,84.03,84.54,898600,84.54
2011-06-23,85.17,85.42,83.36,84.93,1612200,84.93
2011-06-22,82.25,87.68,82.15,86.21,3952100,86.21
2011-06-21,82.73,82.89,82.20,82.38,819800,82.38
2011-06-20,81.73,82.61,81.28,82.37,647700,82.37
2011-06-17,82.41,82.92,81.76,81.87,1085900,81.87
2011-06-16,81.00,82.36,81.00,81.79,1246700,81.79
2011-06-15,80.46,81.08,80.23,81.00,1010000,81.00
2011-06-14,80.65,81.53,80.34,81.11,748500,81.11
2011-06-13,80.00,80.24,79.16,80.00,727800,80.00
2011-06-10,79.68,79.71,78.84,78.88,583100,78.88
2011-06-09,79.62,80.30,79.19,80.13,473700,80.13
2011-06-08,79.54,79.72,79.12,79.31,621000,79.31
2011-06-07,79.69,80.70,79.46,79.58,833100,79.58
2011-06-06,79.13,79.95,78.95,79.39,490200,79.39
2011-06-03,79.44,80.11,79.09,79.47,726000,79.47
2011-06-02,80.40,81.27,80.28,80.34,791800,80.34
2011-06-01,81.60,81.81,80.36,80.40,878000,80.40
2011-05-31,82.09,82.48,81.29,81.65,1226600,81.65
2011-05-27,81.39,81.70,80.96,81.60,513500,81.60
2011-05-26,81.61,81.98,80.97,81.30,705500,81.30
2011-05-25,81.78,82.51,81.76,81.78,826400,81.78
2011-05-24,82.79,83.13,82.40,82.65,680500,82.65
2011-05-23,82.70,83.29,82.25,82.76,1050900,82.76
2011-05-20,84.45,84.45,83.34,83.53,636700,83.53
2011-05-19,84.77,85.45,84.34,84.45,1082600,84.45
2011-05-18,84.14,84.70,83.91,84.50,1872000,84.50
2011-05-17,84.09,84.66,83.76,84.08,1109700,84.08
2011-05-16,83.19,84.47,83.03,84.29,1103100,84.29
2011-05-13,83.58,83.66,82.83,83.50,752400,83.50
2011-05-12,83.21,83.98,82.73,83.72,570000,83.27
2011-05-11,83.68,84.08,82.95,83.12,569300,82.67
2011-05-10,83.45,84.14,83.45,83.84,522200,83.39
2011-05-09,83.01,83.66,82.68,83.22,404900,82.77
2011-05-06,83.33,84.08,82.93,83.04,786900,82.59
2011-05-05,81.11,82.84,80.98,82.60,1111300,82.16
2011-05-04,82.12,82.40,81.09,81.37,801700,80.93
2011-05-03,80.80,82.74,80.71,82.02,934700,81.58
2011-05-02,80.63,81.08,79.96,81.01,694200,80.57
2011-04-29,80.56,81.00,80.04,80.19,708000,79.76
2011-04-28,80.08,80.67,79.76,80.39,596300,79.96
2011-04-27,80.01,80.49,79.84,80.12,958100,79.69
2011-04-26,79.01,80.53,78.83,80.01,1700000,79.58
2011-04-25,77.58,78.73,77.06,78.71,1079500,78.29
2011-04-21,75.80,77.71,74.75,77.69,986300,77.27
2011-04-20,76.28,77.43,76.06,76.95,934400,76.54
2011-04-19,75.10,75.73,75.01,75.68,712100,75.27
2011-04-18,75.24,75.43,74.45,74.95,962600,74.55
2011-04-15,75.69,76.27,74.82,76.14,1418500,75.73
2011-04-14,76.61,76.65,75.13,75.43,1520600,75.02
2011-04-13,78.76,78.83,76.94,77.01,1230700,76.60
2011-04-12,79.03,79.25,78.49,78.55,390300,78.13
2011-04-11,79.45,79.82,79.06,79.34,356400,78.91
2011-04-08,80.23,80.25,78.98,79.52,546700,79.09
2011-04-07,79.46,80.10,79.19,80.03,583600,79.60
2011-04-06,79.06,80.00,78.95,79.86,575400,79.43
2011-04-05,78.06,79.43,78.02,78.91,696800,78.49
2011-04-04,79.34,79.50,78.04,78.30,604900,77.88
2011-04-01,79.25,79.63,78.87,79.10,689600,78.67
2011-03-31,78.47,78.76,78.23,78.31,1133600,77.89
2011-03-30,78.93,79.35,78.56,78.69,1134900,78.27
2011-03-29,78.62,78.96,78.20,78.75,536400,78.33
2011-03-28,78.78,79.45,78.54,78.59,813300,78.17
2011-03-25,79.48,80.45,79.08,79.62,652900,79.19
2011-03-24,79.73,79.99,79.23,79.54,634800,79.11
2011-03-23,79.37,79.73,78.47,79.40,513300,78.97
2011-03-22,79.76,80.11,79.45,79.80,517300,79.37
2011-03-21,79.29,80.28,79.08,79.69,632100,79.26
2011-03-18,78.19,78.94,77.87,78.54,1093900,78.12
2011-03-17,77.60,78.11,76.93,77.52,980700,77.10
2011-03-16,77.97,78.03,76.00,76.69,1122000,76.28
2011-03-15,77.73,78.73,77.41,78.20,1058400,77.78
2011-03-14,79.30,80.49,79.22,79.30,1171500,78.87
2011-03-11,78.96,80.13,78.76,79.68,603200,79.25
2011-03-10,79.70,80.56,79.37,79.48,855700,79.05
2011-03-09,80.08,80.93,79.78,80.54,672900,80.11
2011-03-08,78.70,80.54,78.45,80.17,1085700,79.74
2011-03-07,79.29,79.93,78.10,78.43,585000,78.01
2011-03-04,80.35,80.57,78.46,79.20,593400,78.77
2011-03-03,79.38,80.78,79.38,80.70,569700,80.27
2011-03-02,77.92,79.33,77.91,78.78,710800,78.36
2011-03-01,79.68,79.68,78.23,78.31,561700,77.89
2011-02-28,80.14,80.85,79.22,79.29,928300,78.86
2011-02-25,80.32,80.59,79.18,79.95,523900,79.52
2011-02-24,79.28,80.82,79.28,80.17,828600,79.29
2011-02-23,79.56,80.50,78.50,79.45,1238800,78.58
2011-02-22,79.83,80.12,78.74,79.28,1024500,78.41
2011-02-18,80.65,81.34,80.62,80.85,651800,79.96
2011-02-17,79.54,80.85,79.14,80.35,595000,79.47
2011-02-16,80.17,80.39,78.58,79.70,926700,78.83
2011-02-15,78.89,80.15,78.82,80.07,589900,79.19
2011-02-14,80.00,80.31,79.17,79.42,779000,78.55
2011-02-11,79.69,80.40,79.33,80.04,388400,79.16
2011-02-10,79.95,80.14,79.25,80.04,732800,79.16
2011-02-09,80.03,80.44,79.89,80.15,504000,79.27
2011-02-08,79.22,81.57,79.20,80.25,963900,79.37
2011-02-07,78.65,79.33,78.54,79.31,747900,78.44
