Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,73.96,75.11,73.62,73.68,4183000,73.68
2011-08-01,76.11,76.11,73.43,74.46,3494100,74.46
2011-07-29,74.62,76.94,74.59,75.73,3452100,75.73
2011-07-28,77.45,77.85,74.44,75.29,4943700,75.29
2011-07-27,80.28,80.58,77.22,77.46,2930800,77.46
2011-07-26,81.34,81.99,79.94,80.82,3087900,80.82
2011-07-25,78.91,79.74,78.53,79.30,1514700,79.30
2011-07-22,79.88,80.00,78.98,79.60,1272300,79.60
2011-07-21,78.79,80.39,78.59,80.16,1794700,80.16
2011-07-20,78.40,78.80,77.99,78.32,1431600,78.32
2011-07-19,77.51,78.67,77.47,78.40,1790900,78.40
2011-07-18,78.12,78.14,76.96,77.44,1574100,77.44
2011-07-15,79.46,79.46,77.61,78.37,2322800,78.37
2011-07-14,79.63,79.72,78.94,79.20,1574500,79.20
2011-07-13,80.07,80.88,79.44,79.67,1824700,79.67
2011-07-12,79.87,80.00,79.25,79.71,1975900,79.71
2011-07-11,79.73,80.11,79.51,79.98,1733800,79.98
2011-07-08,80.59,81.03,80.31,80.51,2071200,80.51
2011-07-07,82.23,82.23,81.24,81.36,1950500,81.36
2011-07-06,80.97,81.93,80.93,81.62,2339400,81.62
2011-07-05,81.63,81.63,80.64,80.97,1310400,80.97
2011-07-01,80.87,82.01,80.69,81.97,1200900,81.97
2011-06-30,80.40,81.27,80.09,80.97,1487100,80.97
2011-06-29,79.65,80.62,79.55,80.37,1630500,80.37
2011-06-28,79.79,79.84,79.24,79.44,1651600,79.44
2011-06-27,79.43,79.89,79.03,79.67,1192800,79.67
2011-06-24,79.78,79.81,79.12,79.20,1905000,79.20
2011-06-23,79.88,80.04,78.57,79.69,1812000,79.69
2011-06-22,80.64,80.94,79.95,80.01,1709600,80.01
2011-06-21,80.71,80.95,80.19,80.65,1863900,80.65
2011-06-20,79.72,80.83,79.72,80.34,4146300,80.34
2011-06-17,80.47,81.15,79.79,80.01,3135700,80.01
2011-06-16,79.57,80.35,79.30,79.91,2493100,79.91
2011-06-15,79.08,80.00,78.99,79.63,2217700,79.63
2011-06-14,79.39,80.00,79.11,79.64,2552100,79.64
2011-06-13,78.86,79.08,77.51,78.86,3048000,78.86
2011-06-10,77.65,78.01,77.21,77.30,2404900,77.30
2011-06-09,77.13,78.02,76.80,77.89,1896100,77.89
2011-06-08,77.22,77.75,77.02,77.12,2398800,77.12
2011-06-07,77.45,77.72,77.26,77.29,2277500,77.29
2011-06-06,76.20,77.60,76.10,77.38,3200700,77.38
2011-06-03,75.22,76.46,75.10,76.28,2560600,76.28
2011-06-02,75.78,76.39,75.68,75.73,2307000,75.73
2011-06-01,77.76,78.11,75.74,75.76,2613800,75.76
2011-05-31,77.27,78.11,77.27,77.90,2369600,77.90
2011-05-27,77.08,77.54,76.68,77.26,1796100,77.26
2011-05-26,78.35,78.68,77.54,77.74,2994500,76.99
2011-05-25,78.46,78.60,78.00,78.46,2328500,77.70
2011-05-24,79.16,79.33,78.51,78.60,2384800,77.84
2011-05-23,79.02,79.80,78.79,79.23,1832600,78.47
2011-05-20,80.37,80.37,79.53,79.75,1694000,78.98
2011-05-19,80.50,80.83,80.08,80.38,1045100,79.60
2011-05-18,79.59,80.17,79.13,80.01,1312100,79.24
2011-05-17,79.84,80.38,78.84,79.56,2005500,78.79
2011-05-16,79.39,80.52,79.27,80.34,2439800,79.56
2011-05-13,80.04,80.39,79.42,79.59,1669000,78.82
2011-05-12,79.33,80.36,79.25,80.07,1550900,79.30
2011-05-11,79.50,80.20,79.24,79.38,2275400,78.61
2011-05-10,80.24,80.46,79.42,79.45,2189700,78.68
2011-05-09,80.02,80.51,79.63,79.93,1705300,79.16
2011-05-06,80.47,80.80,79.58,79.95,2047200,79.18
2011-05-05,78.81,80.40,78.51,79.81,2296200,79.04
2011-05-04,79.92,80.35,78.78,78.91,4356900,78.15
2011-05-03,78.52,80.17,78.50,79.89,2288100,79.12
2011-05-02,79.35,79.90,78.54,78.74,3125000,77.98
2011-04-29,79.06,79.45,78.88,79.25,2078500,78.49
2011-04-28,79.19,79.32,78.49,79.06,2402300,78.30
2011-04-27,79.07,79.81,78.71,79.16,1727900,78.40
2011-04-26,77.97,79.61,77.84,79.04,3000000,78.28
2011-04-25,77.48,77.86,77.08,77.44,2458600,76.69
2011-04-21,77.86,78.06,77.61,77.78,1905100,77.03
2011-04-20,77.67,78.73,77.59,77.88,1976000,77.13
2011-04-19,77.23,77.50,76.82,77.01,1992600,76.27
2011-04-18,77.46,77.53,76.54,76.90,2916700,76.16
2011-04-15,78.01,78.37,77.48,78.19,2517600,77.44
2011-04-14,77.87,78.54,75.81,77.73,3854000,76.98
2011-04-13,80.44,80.87,77.83,78.31,4249600,77.55
2011-04-12,80.52,80.52,80.02,80.37,1861900,79.59
2011-04-11,80.34,81.22,80.04,80.51,1823300,79.73
2011-04-08,81.80,81.92,80.20,80.50,1939100,79.72
2011-04-07,81.29,81.80,80.91,81.79,1674700,81.00
2011-04-06,81.11,81.75,80.85,81.49,1779800,80.70
2011-04-05,80.55,81.63,80.41,81.11,2005200,80.33
2011-04-04,80.75,81.24,80.50,80.99,1803900,80.21
2011-04-01,80.50,81.34,80.36,80.98,1544600,80.20
2011-03-31,79.84,80.68,79.78,80.40,2897200,79.62
2011-03-30,80.50,80.67,79.72,79.76,2277300,78.99
2011-03-29,80.24,80.57,79.57,80.35,1586700,79.57
2011-03-28,80.77,81.00,80.11,80.26,1329800,79.49
2011-03-25,81.10,81.18,80.34,80.37,1923400,79.59
2011-03-24,81.64,81.75,80.61,80.80,1982700,80.02
2011-03-23,80.98,81.34,80.60,81.18,1757900,80.40
2011-03-22,81.38,81.67,81.01,81.30,1253500,80.52
