Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,103.87,106.21,103.83,104.59,1183300,104.59
2011-08-01,106.86,106.97,102.97,104.87,1173900,104.87
2011-07-29,105.51,107.67,104.67,106.22,1446000,106.22
2011-07-28,105.28,106.74,104.75,105.62,1131900,105.62
2011-07-27,106.04,106.41,104.43,104.78,1169600,104.78
2011-07-26,107.41,107.55,105.84,106.39,1343900,106.39
2011-07-25,111.98,111.98,106.22,107.29,3133400,107.29
2011-07-22,112.96,113.51,111.95,112.29,1098400,112.29
2011-07-21,110.56,113.67,110.56,113.22,1483800,113.22
2011-07-20,110.70,110.70,108.52,109.79,988000,109.79
2011-07-19,109.77,111.15,109.73,110.55,1130700,110.55
2011-07-18,109.98,110.09,109.08,109.69,1076100,109.69
2011-07-15,110.15,110.51,108.66,109.96,1275600,109.96
2011-07-14,109.34,110.26,109.21,109.60,1050900,109.60
2011-07-13,109.42,110.87,108.91,109.33,1104300,109.33
2011-07-12,109.39,110.15,108.39,109.03,1348400,109.03
2011-07-11,110.12,110.90,109.38,109.62,849400,109.62
2011-07-08,110.03,111.29,109.83,110.94,1168300,110.94
2011-07-07,110.80,111.35,110.00,110.83,2166600,110.83
2011-07-06,109.25,110.40,108.89,109.84,1512500,109.84
2011-07-05,110.38,111.83,108.90,108.96,1301700,108.96
2011-07-01,109.34,111.75,108.87,110.38,3525600,110.38
2011-06-30,109.50,109.50,108.51,108.87,1258000,108.87
2011-06-29,109.61,110.66,108.73,109.12,1316200,109.12
2011-06-28,111.20,111.20,108.24,109.13,1567000,109.13
2011-06-27,110.10,111.57,108.99,111.19,2044300,111.19
2011-06-24,109.68,111.97,109.26,110.49,1320900,110.49
2011-06-23,108.83,109.60,107.75,109.45,3646300,109.45
2011-06-22,111.69,111.80,109.25,110.01,1256800,110.01
2011-06-21,111.49,112.02,109.38,111.89,5019000,111.89
2011-06-20,111.60,112.77,110.85,111.10,3782200,111.10
2011-06-17,111.64,112.08,110.71,111.34,2327100,111.34
2011-06-16,109.96,111.62,108.60,109.85,2098100,109.85
2011-06-15,112.41,112.89,109.03,109.73,2795200,109.73
2011-06-14,102.03,113.88,101.83,113.59,6025200,113.59
2011-06-13,99.79,102.19,99.73,101.57,1658900,101.57
2011-06-10,101.08,102.25,99.85,99.85,1828900,99.85
2011-06-09,100.11,103.36,99.54,101.66,2785400,101.66
2011-06-08,97.00,100.00,96.50,99.45,2884800,99.45
2011-06-07,100.16,100.25,96.51,97.20,3944000,97.20
2011-06-06,103.10,103.57,99.60,99.90,5172400,99.90
2011-06-03,110.34,111.18,107.29,107.73,2531300,107.73
2011-06-02,115.25,115.25,110.88,111.24,2252400,111.24
2011-06-01,115.24,116.11,114.88,115.24,1223500,115.24
2011-05-31,115.76,116.55,114.71,115.28,1267800,115.28
2011-05-27,114.05,115.55,113.51,114.96,1157700,114.96
2011-05-26,113.84,115.46,113.68,114.96,1169800,113.66
2011-05-25,113.77,114.39,112.61,113.87,1648900,112.58
2011-05-24,116.49,116.73,112.61,113.87,2643500,112.58
2011-05-23,115.59,116.90,115.41,116.24,1199000,114.93
2011-05-20,116.30,116.86,115.80,116.37,1163000,115.05
2011-05-19,113.30,116.26,113.04,116.17,2099400,114.86
2011-05-18,112.32,112.96,111.64,112.90,830500,111.62
2011-05-17,111.43,112.29,110.86,112.06,1246300,110.79
2011-05-16,111.56,112.14,111.04,111.67,1015700,110.41
2011-05-13,110.84,111.81,110.29,111.51,1089500,110.25
2011-05-12,109.06,111.49,108.67,110.89,2400000,109.64
2011-05-11,109.24,110.54,108.37,109.02,997700,107.79
2011-05-10,109.18,109.48,107.94,109.27,828000,108.03
2011-05-09,108.32,109.18,107.86,109.03,586800,107.80
2011-05-06,108.05,109.04,107.59,108.62,1077000,107.39
2011-05-05,106.30,108.18,105.51,107.24,1265000,106.03
2011-05-04,107.42,107.57,105.80,106.62,3443300,105.41
2011-05-03,106.91,107.65,104.87,107.57,3752400,106.35
2011-05-02,106.98,107.52,106.73,107.27,1556500,106.06
2011-04-29,105.05,106.75,104.74,106.50,1515700,105.30
2011-04-28,103.96,104.89,103.64,104.80,937500,103.61
2011-04-27,104.76,105.00,102.95,104.24,1317400,103.06
2011-04-26,102.50,104.96,102.00,103.73,2700000,102.56
2011-04-25,99.26,99.99,98.98,99.60,800400,98.47
2011-04-21,99.19,100.22,98.85,99.21,793300,98.09
2011-04-20,99.60,99.71,98.44,99.17,898400,98.05
2011-04-19,99.65,99.87,97.34,99.03,1312800,97.91
2011-04-18,98.47,98.74,97.10,97.83,971400,96.72
2011-04-15,100.45,100.45,98.52,98.93,1573300,97.81
2011-04-14,98.39,100.75,98.26,100.38,1406700,99.24
2011-04-13,97.58,98.85,97.49,98.59,1565400,97.48
