Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,302.05,306.86,299.60,303.25,897300,303.25
2011-07-28,303.93,312.12,302.71,306.90,1138500,306.90
2011-07-27,311.38,313.50,302.98,303.09,1067000,303.09
2011-07-26,316.36,318.65,312.37,312.76,540900,312.76
2011-07-25,310.27,318.71,309.68,316.35,701300,316.35
2011-07-22,310.71,315.71,309.02,314.14,679300,314.14
2011-07-21,309.94,314.93,308.59,310.52,825700,310.52
2011-07-20,312.49,312.78,306.51,308.27,592200,308.27
2011-07-19,309.35,312.77,308.37,311.39,1077100,311.39
2011-07-18,306.64,309.47,303.95,307.55,1177300,307.55
2011-07-15,306.57,309.30,305.43,307.55,1001300,307.55
2011-07-14,304.51,311.00,304.51,305.68,964900,305.68
2011-07-13,305.95,309.95,305.70,305.89,1241700,305.89
2011-07-12,308.17,309.50,303.73,303.91,1384300,303.91
2011-07-11,313.19,313.35,307.00,307.46,1062100,307.46
2011-07-08,314.06,317.44,313.14,315.29,1045500,315.29
2011-07-07,312.46,322.28,312.46,319.02,2159200,319.02
2011-07-06,314.91,317.28,312.03,312.90,1099900,312.90
2011-07-05,312.42,317.73,312.00,315.96,1038700,315.81
2011-07-01,300.48,315.64,299.60,314.47,2415800,314.32
2011-06-30,306.78,309.75,299.58,301.34,3768700,301.20
2011-06-29,278.85,309.81,275.23,309.70,4457900,309.55
2011-06-28,274.76,279.00,273.94,278.23,1034900,278.10
2011-06-27,273.08,274.13,270.40,272.60,809900,272.47
2011-06-24,273.00,274.20,270.35,274.20,1249500,274.07
2011-06-23,268.90,273.13,267.10,273.13,665900,273.00
2011-06-22,273.07,276.30,271.14,271.14,542500,271.01
2011-06-21,271.08,275.44,270.12,274.03,610600,273.90
2011-06-20,265.99,270.66,265.37,269.95,610400,269.82
2011-06-17,268.26,272.40,264.87,266.09,1255800,265.96
2011-06-16,270.47,270.47,265.15,266.68,874600,266.55
2011-06-15,271.08,275.68,270.47,270.47,1076600,270.34
2011-06-14,269.00,274.96,268.54,274.12,892600,273.99
2011-06-13,267.02,269.17,266.29,267.42,925800,267.29
2011-06-10,270.39,271.61,265.14,267.03,1022000,266.90
2011-06-09,268.52,273.08,268.15,271.70,831700,271.57
2011-06-08,272.57,272.64,258.34,270.00,3079200,269.87
2011-06-07,273.01,277.15,273.01,274.20,1054100,274.07
2011-06-06,276.76,277.73,271.05,271.92,925400,271.79
2011-06-03,279.01,282.68,275.51,277.06,701600,276.93
2011-06-02,280.69,285.81,279.50,282.75,862300,282.62
2011-06-01,286.60,287.76,280.66,280.66,865800,280.53
2011-05-31,286.78,288.57,285.45,287.05,957300,286.91
2011-05-27,282.19,286.32,281.53,285.24,1158700,285.10
2011-05-26,274.00,283.63,272.50,282.10,1486600,281.97
2011-05-25,274.48,275.53,268.00,274.48,938300,274.35
2011-05-24,273.16,273.20,268.41,270.09,788700,269.96
2011-05-23,274.50,275.56,269.88,271.96,917600,271.83
2011-05-20,284.77,284.77,277.32,277.57,985600,277.44
2011-05-19,282.46,284.75,281.00,284.06,632000,283.93
2011-05-18,280.02,282.93,277.92,281.35,708500,281.22
2011-05-17,280.24,282.20,276.51,282.05,1119000,281.92
2011-05-16,278.21,282.20,276.80,279.15,606900,279.02
2011-05-13,282.27,282.74,279.46,280.00,583400,279.87
2011-05-12,277.07,282.75,276.70,282.10,724000,281.97
2011-05-11,281.00,282.00,277.06,278.13,675400,278.00
2011-05-10,279.99,281.64,278.89,281.10,524800,280.97
2011-05-09,274.52,279.29,273.11,278.77,510200,278.64
2011-05-06,275.02,277.70,273.87,274.25,629400,274.12
2011-05-05,280.54,281.98,273.07,274.50,1077200,274.37
2011-05-04,279.65,283.13,278.23,282.39,1089900,282.26
2011-05-03,282.00,286.80,280.26,282.38,1484600,282.25
2011-05-02,276.97,280.00,274.98,275.29,827300,275.16
2011-04-29,274.70,275.89,273.45,275.89,751000,275.76
2011-04-28,275.33,275.84,274.02,274.70,460100,274.57
2011-04-27,276.06,276.25,271.60,275.36,551600,275.23
2011-04-26,271.12,278.10,271.12,276.36,649700,276.23
2011-04-25,273.28,274.00,270.69,271.43,566700,271.30
2011-04-21,270.00,273.35,268.95,273.28,714500,273.15
2011-04-20,269.30,273.75,268.54,270.02,736300,269.89
2011-04-19,265.86,268.87,265.49,267.06,597300,266.93
2011-04-18,266.49,266.52,263.48,265.05,674800,264.92
2011-04-15,269.01,269.47,264.19,267.58,1241000,267.45
2011-04-14,268.03,269.92,267.02,268.87,623500,268.74
2011-04-13,265.04,269.96,264.47,269.76,1272600,269.63
2011-04-12,260.55,267.28,260.55,262.96,967200,262.84
2011-04-11,262.88,267.45,262.16,266.61,756000,266.48
2011-04-08,266.99,267.00,263.00,263.06,866100,262.94
2011-04-07,265.50,265.99,262.84,265.17,745400,265.04
2011-04-06,263.89,265.59,261.91,265.48,995200,265.35
2011-04-05,260.03,264.58,259.40,262.93,1400200,262.66
2011-04-04,254.91,261.33,254.86,261.25,901700,260.98
2011-04-01,252.01,255.13,251.94,253.55,796400,253.29
2011-03-31,253.08,255.74,251.13,251.72,826300,251.46
2011-03-30,256.55,262.38,252.20,253.66,1920700,253.39
2011-03-29,251.38,252.91,249.42,251.71,747900,251.45
2011-03-28,250.76,254.28,247.83,252.37,1328600,252.11
2011-03-25,252.02,253.30,247.36,247.70,1157000,247.44
2011-03-24,247.73,253.10,245.51,252.31,861900,252.05
2011-03-23,246.63,248.36,245.74,246.86,660600,246.60
2011-03-22,247.58,249.30,246.39,246.76,808300,246.50
2011-03-21,243.33,248.00,243.33,247.96,705600,247.70
2011-03-18,244.53,246.26,241.40,241.68,916900,241.43
2011-03-17,246.55,249.00,242.29,243.76,694100,243.51
2011-03-16,244.05,248.43,243.88,244.30,958700,244.04
2011-03-15,243.01,246.58,241.87,244.65,951200,244.39
2011-03-14,247.20,249.59,246.23,248.84,735400,248.58
2011-03-11,242.02,249.00,242.02,248.42,500600,248.16
2011-03-10,247.48,247.48,242.11,243.56,1031500,243.31
2011-03-09,248.70,251.85,247.42,247.98,896100,247.72
2011-03-08,247.22,251.56,245.00,249.00,804800,248.74
2011-03-07,249.91,252.89,246.45,247.27,792300,247.01
2011-03-04,249.90,251.78,248.57,249.75,688700,249.49
2011-03-03,246.94,251.70,246.72,251.65,1023900,251.39
2011-03-02,241.10,246.95,240.40,246.18,779800,245.92
2011-03-01,242.51,246.99,240.36,240.36,1212600,240.11
2011-02-28,247.58,247.85,240.42,240.56,1337300,240.31
2011-02-25,246.70,249.34,245.01,246.71,982600,246.45
2011-02-24,245.00,246.55,242.96,244.18,958000,243.92
2011-02-23,247.38,249.30,244.09,244.12,844000,243.86
2011-02-22,245.31,250.53,244.14,247.38,691600,247.12
2011-02-18,252.00,253.18,249.66,250.74,887700,250.48
2011-02-17,250.36,254.00,248.61,251.82,1495100,251.56
2011-02-16,256.85,258.83,253.78,254.38,841800,254.11
2011-02-15,255.21,256.56,254.01,256.10,688700,255.83
2011-02-14,252.54,258.73,252.54,254.96,1114400,254.69
2011-02-11,250.75,254.84,250.43,253.49,556500,253.23
2011-02-10,247.47,253.00,247.47,252.13,718600,251.87
2011-02-09,248.54,251.61,247.50,248.50,601200,248.24
2011-02-08,251.99,251.99,248.36,249.61,580100,249.35
2011-02-07,247.27,251.37,247.27,249.98,628900,249.72
2011-02-04,245.80,249.43,244.00,247.24,783000,246.98
2011-02-03,239.00,247.97,237.05,245.39,1866200,245.13
2011-02-02,238.46,242.36,238.17,239.39,1031000,239.14
2011-02-01,230.31,241.88,230.31,238.15,962300,237.90
2011-01-31,234.00,236.57,232.74,236.51,623900,236.26
2011-01-28,239.16,240.52,234.57,234.87,619100,234.62
2011-01-27,240.58,241.24,237.97,239.11,577500,238.86
2011-01-26,243.60,243.60,238.01,240.18,690000,239.93
2011-01-25,238.99,241.93,235.18,241.54,1336900,241.29
2011-01-24,233.54,239.80,233.46,239.00,1013000,238.75
2011-01-21,237.00,237.00,233.32,233.53,789600,233.29
2011-01-20,233.74,238.84,228.03,235.10,2909800,234.85
2011-01-19,236.72,237.49,235.26,235.36,1205300,235.11
2011-01-18,236.22,238.98,236.22,237.63,667200,237.38
2011-01-14,233.69,236.91,233.30,236.91,1095100,236.66
2011-01-13,232.84,233.51,231.29,233.51,722200,233.27
2011-01-12,230.60,232.83,229.73,232.83,1026500,232.59
2011-01-11,231.20,232.00,228.39,229.40,897200,229.16
2011-01-10,231.35,232.15,229.11,230.20,1056500,229.96
2011-01-07,231.14,233.48,229.04,231.09,1398900,230.85
2011-01-06,231.59,232.65,228.10,231.12,1587200,230.88
2011-01-05,223.70,231.83,223.69,230.29,2785600,229.90
2011-01-04,221.23,223.70,220.88,223.70,1363800,223.32
2011-01-03,226.44,226.48,219.33,220.85,1927200,220.48
2010-12-31,223.53,225.68,223.05,224.11,382600,223.73
2010-12-30,225.00,226.00,223.54,223.72,764900,223.34
2010-12-29,224.40,226.13,223.70,225.46,647800,225.08
2010-12-28,225.01,226.75,223.09,224.52,929400,224.14
2010-12-27,218.30,225.18,217.54,224.65,1467000,224.27
2010-12-23,217.29,218.47,216.74,218.30,1298500,217.93
2010-12-22,219.60,221.47,215.42,217.40,2442400,217.03
2010-12-21,224.80,226.00,218.51,219.78,3211500,219.41
2010-12-20,221.30,224.89,221.01,223.54,2740600,223.16
2010-12-17,224.18,225.22,215.00,221.26,6347600,220.88
2010-12-16,250.00,254.01,218.30,223.49,9062800,223.11
2010-12-15,254.97,256.00,247.90,249.22,1257900,248.80
2010-12-14,259.55,260.00,253.70,254.12,717200,253.69
2010-12-13,254.58,260.72,252.55,259.35,1383500,258.91
2010-12-10,251.53,254.76,250.33,254.76,810400,254.33
2010-12-09,250.49,254.14,246.80,251.22,774000,250.79
2010-12-08,246.69,250.75,246.18,250.64,836100,250.22
2010-12-07,254.51,255.66,246.51,246.78,838900,246.36
2010-12-06,247.25,253.60,247.25,253.16,760500,252.73
2010-12-03,247.99,249.39,245.18,249.08,764200,248.66
2010-12-02,248.10,249.19,245.28,249.19,1080200,248.77
2010-12-01,241.92,250.00,240.66,248.19,1410500,247.77
2010-11-30,233.80,238.57,233.01,237.03,1564800,236.63
2010-11-29,234.90,236.06,230.01,235.56,873600,235.16
2010-11-26,236.94,236.94,233.00,235.15,735100,234.75
2010-11-24,236.50,240.86,236.50,237.79,901500,237.39
2010-11-23,241.52,242.36,235.48,235.65,1140500,235.25
2010-11-22,242.52,244.16,241.00,243.41,629200,243.00
2010-11-19,244.23,244.99,241.75,243.88,933000,243.47
2010-11-18,238.07,243.60,236.70,242.49,1057100,242.08
2010-11-17,233.74,239.05,232.91,234.57,1087500,234.17
2010-11-16,240.70,240.70,232.72,233.06,1499100,232.66
2010-11-15,242.82,247.49,239.73,242.93,805800,242.52
2010-11-12,250.02,251.00,242.61,243.17,1105200,242.76
2010-11-11,252.07,254.87,251.41,252.07,481200,251.64
2010-11-10,252.01,254.00,250.90,253.57,577600,253.14
2010-11-09,253.12,253.80,250.66,251.52,624400,251.09
2010-11-08,255.00,255.88,251.25,252.76,804500,252.33
2010-11-05,256.49,256.89,253.66,256.29,1019500,255.86
2010-11-04,252.50,254.98,251.30,254.89,1175100,254.46
