Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,40.70,41.48,40.14,41.21,17073000,41.21
2011-07-28,39.93,40.45,39.53,39.81,9653500,39.81
2011-07-27,40.80,40.92,39.51,39.59,8722300,39.59
2011-07-26,41.19,41.56,40.99,41.10,5752100,41.10
2011-07-25,41.26,41.51,40.89,41.28,6041200,41.28
2011-07-22,42.06,42.06,41.35,41.74,4935900,41.74
2011-07-21,42.19,42.86,41.66,42.04,8552400,42.04
2011-07-20,40.70,41.13,40.43,40.89,5621600,40.89
2011-07-19,40.70,40.83,40.06,40.49,7686800,40.49
2011-07-18,41.28,41.29,39.95,40.48,7671400,40.48
2011-07-15,42.02,42.12,41.25,41.57,7708500,41.57
2011-07-14,41.96,42.28,41.51,41.79,6527600,41.79
2011-07-13,41.83,42.48,41.40,41.84,6653900,41.84
2011-07-12,41.78,42.56,41.46,41.50,6579200,41.50
2011-07-11,42.76,43.19,41.87,42.00,6988900,42.00
2011-07-08,43.59,43.77,43.33,43.52,8117300,43.52
2011-07-07,43.93,44.31,43.84,44.27,6184400,44.27
2011-07-06,43.60,43.68,43.06,43.32,8257900,43.32
2011-07-05,44.40,44.40,43.36,43.72,6772600,43.72
2011-07-01,43.94,44.56,43.69,44.38,7074900,44.38
2011-06-30,43.67,44.04,43.37,43.87,7204100,43.87
2011-06-29,42.57,43.58,42.48,43.46,10550300,43.46
2011-06-28,41.67,42.09,41.48,42.03,5045900,42.03
2011-06-27,40.90,41.50,40.85,41.36,4526400,41.36
2011-06-24,41.22,41.35,40.69,40.99,12497900,40.99
2011-06-23,41.00,41.45,40.37,41.25,9428300,41.25
2011-06-22,41.47,42.07,41.35,41.60,6987400,41.60
2011-06-21,40.71,41.91,40.71,41.62,9623300,41.62
2011-06-20,40.18,40.84,39.96,40.52,5005300,40.52
2011-06-17,40.31,40.61,40.11,40.37,8771700,40.37
2011-06-16,39.42,40.31,39.32,39.87,10271800,39.87
2011-06-15,40.91,40.91,39.13,39.24,15814200,39.24
2011-06-14,41.63,42.03,41.22,41.28,6974100,41.28
2011-06-13,41.11,41.23,40.68,41.11,5378400,41.11
2011-06-10,41.35,41.51,40.44,40.91,8928400,40.91
2011-06-09,41.35,41.86,41.04,41.66,4671300,41.66
2011-06-08,41.18,41.56,41.00,41.24,6009400,41.24
2011-06-07,41.85,42.05,41.38,41.39,7925700,41.39
2011-06-06,41.61,41.87,40.92,41.41,7157100,41.41
2011-06-03,42.09,42.11,41.52,41.77,10820900,41.77
2011-06-02,42.67,43.07,42.46,42.68,6834100,42.68
2011-06-01,43.76,44.04,42.56,42.63,12960100,42.63
2011-05-31,44.18,44.45,43.63,44.10,6133100,44.10
2011-05-27,43.65,44.10,43.43,43.76,4920000,43.76
2011-05-26,43.21,43.63,42.92,43.46,6811800,43.46
2011-05-25,43.40,43.93,43.04,43.40,6501300,43.40
2011-05-24,43.58,43.78,43.25,43.42,6696600,43.42
2011-05-23,43.34,43.81,43.24,43.44,5286100,43.44
2011-05-20,45.04,45.25,44.12,44.22,5401500,44.22
2011-05-19,44.94,45.22,44.55,45.19,7042500,45.19
2011-05-18,44.33,44.76,44.12,44.72,4473200,44.72
2011-05-17,43.99,44.36,43.73,44.33,7216000,44.33
2011-05-16,44.18,44.71,44.00,44.13,6193900,44.13
2011-05-13,45.13,45.20,44.10,44.41,6964000,44.41
2011-05-12,45.09,45.26,44.56,45.07,5957900,45.07
2011-05-11,45.08,45.79,44.91,45.14,7240700,45.14
2011-05-10,44.91,45.43,44.60,45.27,6967800,45.27
2011-05-09,44.75,44.96,44.49,44.58,5611600,44.58
2011-05-06,45.41,45.56,44.42,44.83,8763800,44.83
2011-05-05,45.86,45.88,44.29,44.75,13567400,44.75
2011-05-04,46.24,46.50,45.65,46.15,6866500,46.15
2011-05-03,46.13,46.92,46.11,46.43,5428800,46.43
2011-05-02,46.98,47.10,46.19,46.49,8098900,46.49
2011-04-29,46.36,46.79,46.04,46.79,7900000,46.79
2011-04-28,45.49,46.65,45.48,46.45,8050800,46.45
2011-04-27,44.92,45.45,44.38,45.37,6578400,45.37
2011-04-26,44.51,44.97,44.46,44.75,6100000,44.75
2011-04-25,44.20,44.39,43.94,44.31,4392600,44.31
2011-04-21,44.24,44.40,43.76,44.38,3987500,44.38
2011-04-20,43.99,44.41,43.80,43.84,5413200,43.84
2011-04-19,43.57,43.57,42.93,43.28,6957600,43.28
2011-04-18,43.23,43.46,42.76,43.37,7067700,43.37
2011-04-15,44.40,44.47,43.80,43.96,5070500,43.96
2011-04-14,44.00,44.33,43.50,44.13,5325700,44.13
2011-04-13,44.96,45.10,44.00,44.17,5934000,44.17
2011-04-12,44.24,44.96,44.00,44.77,6159700,44.77
2011-04-11,44.54,45.08,44.39,44.58,5889300,44.58
2011-04-08,45.14,45.38,44.36,44.53,5246600,44.53
2011-04-07,45.36,45.66,44.78,44.99,7694000,44.99
2011-04-06,45.16,45.61,44.92,45.50,7037600,45.50
2011-04-05,45.50,45.60,44.86,44.98,7354000,44.98
2011-04-04,44.97,45.76,44.97,45.73,6562300,45.73
2011-04-01,44.95,45.75,44.89,45.26,6225500,45.26
2011-03-31,44.53,45.29,44.30,44.73,9987800,44.73
2011-03-30,44.67,45.13,44.54,44.85,7077000,44.85
2011-03-29,44.58,44.79,43.93,44.41,7369000,44.41
2011-03-28,45.00,45.24,44.80,44.82,4638400,44.82
2011-03-25,44.96,45.25,44.51,45.05,5545900,45.05
2011-03-24,44.67,44.88,44.26,44.68,5898400,44.68
2011-03-23,44.42,44.62,43.70,44.35,8066300,44.35
2011-03-22,44.40,45.24,44.40,44.58,9820300,44.58
2011-03-21,44.69,44.77,44.22,44.59,7599500,44.59
2011-03-18,43.79,44.39,43.15,44.02,16354500,44.02
2011-03-17,43.15,43.20,42.28,42.98,10704200,42.98
2011-03-16,43.33,43.52,41.26,42.28,30244900,42.28
2011-03-15,43.25,43.65,41.25,43.40,33487700,43.40
2011-03-14,44.68,45.06,44.58,44.74,16235000,44.74
2011-03-11,45.12,46.04,44.81,45.85,11071300,45.85
2011-03-10,45.83,45.96,45.10,45.67,14003700,45.67
2011-03-09,46.17,46.73,46.17,46.30,11832600,46.30
2011-03-08,45.85,46.36,45.48,46.31,18152600,46.31
2011-03-07,45.68,46.13,45.18,45.53,20340600,45.53
2011-03-04,45.66,45.76,44.68,45.57,30233800,45.57
2011-03-03,44.16,45.25,44.01,45.25,134993200,45.25
2011-03-02,44.69,44.77,43.35,43.41,34592300,43.41
2011-03-01,47.50,47.61,45.76,46.04,8217200,46.04
2011-02-28,46.96,47.48,46.70,47.36,6265800,47.36
2011-02-25,46.48,46.85,46.34,46.78,3742200,46.78
2011-02-24,45.73,46.30,45.53,46.22,5369200,46.22
2011-02-23,45.18,46.42,45.09,45.79,6561400,45.79
2011-02-22,46.67,47.12,45.91,46.27,6690900,46.27
2011-02-18,47.63,47.85,47.26,47.65,5240800,47.65
2011-02-17,47.32,47.88,47.15,47.72,4285700,47.72
2011-02-16,46.99,47.67,46.96,47.52,5328000,47.52
2011-02-15,46.60,47.12,46.52,46.88,4464200,46.88
2011-02-14,47.90,48.01,46.65,46.90,5639600,46.90
2011-02-11,47.16,48.59,46.82,48.23,5152200,48.23
