Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,71.00,72.08,70.89,71.37,1688800,71.37
2011-07-28,69.52,72.86,69.52,71.76,3651800,71.76
2011-07-27,68.70,68.70,66.79,67.48,2541100,67.48
2011-07-26,68.83,69.15,68.52,68.84,657500,68.84
2011-07-25,68.44,69.21,67.74,68.96,1364300,68.96
2011-07-22,69.94,69.99,68.97,69.08,1053600,69.08
2011-07-21,69.13,70.09,69.06,69.77,1111500,69.77
2011-07-20,69.73,69.99,68.85,68.95,759300,68.95
2011-07-19,68.87,69.84,68.80,69.84,731300,69.84
2011-07-18,68.96,68.96,68.12,68.55,1067900,68.55
2011-07-15,68.88,69.28,68.49,69.27,931300,69.27
2011-07-14,68.85,69.19,68.67,68.79,1060500,68.79
2011-07-13,68.89,69.37,68.61,68.96,1060800,68.96
2011-07-12,68.40,69.18,68.18,68.78,1199800,68.78
2011-07-11,68.40,68.86,68.30,68.41,1058400,68.41
2011-07-08,68.62,69.18,68.23,69.15,1195100,69.15
2011-07-07,69.34,69.71,68.86,69.00,1229200,69.00
2011-07-06,69.59,69.63,68.70,69.03,1349400,69.03
2011-07-05,68.80,69.99,68.55,69.93,1723600,69.93
2011-07-01,67.34,69.10,67.32,69.04,1034600,69.04
2011-06-30,67.24,67.67,67.16,67.55,1412900,67.55
2011-06-29,66.60,67.36,66.23,67.00,941400,67.00
2011-06-28,65.95,66.39,65.82,66.36,863700,66.36
2011-06-27,65.60,66.22,65.28,65.86,818000,65.86
2011-06-24,65.22,65.59,65.03,65.37,1085500,65.37
2011-06-23,64.44,65.27,63.78,65.22,1221200,65.22
2011-06-22,65.06,65.57,64.62,65.08,861000,65.08
2011-06-21,65.28,65.58,64.86,65.42,1077200,65.42
2011-06-20,64.97,65.64,64.53,65.27,840600,65.27
2011-06-17,65.07,65.27,64.75,64.96,1557000,64.96
2011-06-16,64.68,65.24,64.35,64.78,1138900,64.78
2011-06-15,65.05,65.44,64.45,64.82,855000,64.82
2011-06-14,65.50,65.96,65.28,65.54,1167300,65.28
2011-06-13,64.38,65.54,64.29,65.10,1103700,64.84
2011-06-10,64.75,65.22,63.84,63.89,1838700,63.64
2011-06-09,65.32,65.50,64.92,64.99,1417500,64.73
2011-06-08,65.50,65.79,64.90,65.47,1032900,65.21
2011-06-07,65.44,66.39,65.42,65.50,978000,65.24
2011-06-06,66.29,66.42,65.58,65.58,912300,65.32
2011-06-03,66.43,66.90,66.18,66.50,1150400,66.24
2011-06-02,66.89,67.51,66.23,67.24,1553800,66.97
2011-06-01,67.47,67.76,66.95,66.96,1753700,66.69
2011-05-31,68.68,68.85,67.22,67.79,2752800,67.52
2011-05-27,67.94,68.81,67.82,68.37,1229700,68.10
2011-05-26,66.16,67.61,66.00,67.56,1218700,67.29
2011-05-25,65.95,66.47,65.68,66.35,1397000,66.09
2011-05-24,66.45,66.47,65.98,66.23,1145800,65.97
2011-05-23,66.64,66.93,66.07,66.30,1231900,66.04
2011-05-20,67.87,67.87,67.06,67.30,1069700,67.03
2011-05-19,67.85,68.01,67.35,67.85,821200,67.58
2011-05-18,67.21,67.62,66.05,67.47,1083700,67.20
2011-05-17,67.07,67.43,66.58,67.27,878900,67.00
2011-05-16,67.98,68.49,67.08,67.16,1334300,66.89
2011-05-13,67.72,68.51,67.55,68.30,1431400,68.03
2011-05-12,66.33,68.20,66.26,67.72,1900000,67.45
2011-05-11,66.36,66.93,65.91,66.36,1017500,66.10
2011-05-10,66.12,66.60,66.05,66.46,854000,66.20
2011-05-09,65.98,66.03,65.08,65.73,1365700,65.47
2011-05-06,66.73,67.28,66.05,66.40,978600,66.14
2011-05-05,65.78,66.98,65.59,66.02,1507600,65.76
2011-05-04,66.06,66.81,65.66,66.08,1195600,65.82
2011-05-03,65.29,66.18,64.76,66.10,1498200,65.84
2011-05-02,67.04,67.08,65.52,65.68,1752500,65.42
2011-04-29,65.37,67.44,65.33,66.88,3611000,66.61
2011-04-28,63.47,65.74,63.47,65.15,3333900,64.89
2011-04-27,61.66,62.04,61.43,61.99,992500,61.74
2011-04-26,61.41,62.11,61.18,61.63,1200000,61.39
2011-04-25,60.55,61.44,60.33,61.28,904300,61.04
2011-04-21,60.96,62.00,60.65,60.82,1494700,60.58
2011-04-20,62.04,62.13,61.20,61.36,2048100,61.12
2011-04-19,61.45,61.86,60.88,61.49,2303200,61.25
2011-04-18,60.39,60.53,59.95,60.27,1008000,60.03
2011-04-15,60.57,61.00,60.33,60.92,1155500,60.68
2011-04-14,59.50,60.29,59.45,60.25,927200,60.01
2011-04-13,59.58,59.94,59.49,59.61,1165400,59.37
2011-04-12,58.99,59.75,58.81,59.39,1282300,59.15
2011-04-11,59.06,59.41,57.87,59.35,1856000,59.11
2011-04-08,59.00,59.54,58.95,59.00,1312500,58.77
2011-04-07,59.00,59.29,58.72,58.85,959600,58.62
2011-04-06,58.74,59.21,58.51,59.02,1590600,58.79
2011-04-05,58.18,58.71,57.88,58.47,1311300,58.24
2011-04-04,58.52,58.52,58.18,58.26,609800,58.03
2011-04-01,58.33,58.55,57.87,58.33,1920900,58.10
2011-03-31,58.24,58.44,57.81,57.93,1361500,57.70
2011-03-30,58.28,58.63,58.19,58.40,1677700,58.17
2011-03-29,58.23,58.34,57.83,58.14,1346000,57.91
2011-03-28,58.84,59.07,58.36,58.36,1081200,58.13
2011-03-25,57.95,58.81,57.61,58.79,1496200,58.56
2011-03-24,57.43,58.12,57.11,57.59,1550800,57.36
2011-03-23,56.58,57.07,56.01,57.03,1523100,56.80
2011-03-22,57.14,57.40,56.74,56.77,2212500,56.54
2011-03-21,56.50,57.34,56.49,57.08,1000800,56.85
2011-03-18,56.20,56.20,55.36,55.90,2010200,55.68
2011-03-17,56.46,56.49,55.29,55.36,1528500,55.14
2011-03-16,56.05,56.65,55.50,55.81,1294600,55.59
