Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,21.88,23.00,21.88,22.88,7325700,22.88
2011-07-18,20.92,21.80,20.84,21.69,4099400,21.69
2011-07-15,21.32,21.32,20.83,21.12,3812300,21.12
2011-07-14,21.20,21.43,20.85,21.27,2806600,21.27
2011-07-13,21.12,21.60,21.00,21.45,3655400,21.45
2011-07-12,21.04,21.13,20.77,21.04,3783300,21.04
2011-07-11,21.37,21.50,20.82,21.04,4473900,21.04
2011-07-08,22.34,22.34,21.47,21.64,7759700,21.64
2011-07-07,22.63,23.00,22.50,22.64,4652500,22.64
2011-07-06,22.69,22.70,22.26,22.40,2174900,22.40
2011-07-05,23.34,23.34,22.54,22.79,3552500,22.79
2011-07-01,22.07,23.64,22.07,23.48,4773300,23.48
2011-06-30,22.06,22.37,21.99,22.04,3552200,22.04
2011-06-29,22.04,22.32,21.90,22.00,3483700,22.00
2011-06-28,22.57,22.69,21.88,22.04,5665600,22.04
2011-06-27,23.11,23.25,22.13,22.82,4266400,22.82
2011-06-24,23.46,23.61,23.04,23.11,3959000,23.11
2011-06-23,23.21,23.68,22.93,23.46,3442000,23.46
2011-06-22,23.74,23.75,23.40,23.46,3490000,23.46
2011-06-21,23.85,24.12,23.27,23.79,6065600,23.79
2011-06-20,24.63,24.82,24.25,24.49,3230200,24.49
2011-06-17,24.60,24.85,24.03,24.78,4307000,24.78
2011-06-16,23.91,24.54,23.80,24.39,4194700,24.39
2011-06-15,23.85,24.15,23.58,23.95,2115200,23.95
2011-06-14,23.71,24.26,23.54,24.03,2755600,24.03
2011-06-13,23.54,23.56,22.95,23.28,5337400,23.28
2011-06-10,23.27,23.86,23.27,23.64,2659000,23.64
2011-06-09,24.05,24.16,23.22,23.36,3049400,23.36
2011-06-08,24.44,24.44,23.41,24.02,2729100,24.02
2011-06-07,24.57,25.00,24.25,24.61,2850700,24.61
2011-06-06,24.42,24.65,24.25,24.35,2560200,24.35
2011-06-03,24.36,24.75,24.14,24.53,2760300,24.53
2011-06-02,24.01,24.75,23.98,24.73,2751100,24.73
2011-06-01,24.75,24.96,23.88,23.97,1930500,23.97
2011-05-31,25.02,25.17,24.26,25.14,2639100,25.14
2011-05-27,24.85,25.42,24.85,24.94,2010400,24.94
2011-05-26,24.50,24.79,24.11,24.64,1764900,24.64
2011-05-25,23.57,24.61,23.56,24.55,2122200,24.55
2011-05-24,23.71,24.14,23.59,23.71,1014200,23.71
2011-05-23,23.89,24.11,23.65,23.70,1284300,23.70
2011-05-20,24.06,24.74,23.94,24.17,2266200,24.17
2011-05-19,23.63,24.01,23.57,23.96,1810800,23.96
2011-05-18,23.42,23.87,23.34,23.59,2048000,23.59
2011-05-17,23.26,23.49,22.91,23.43,4385100,23.43
2011-05-16,23.93,24.34,23.34,23.39,2561200,23.39
2011-05-13,24.86,25.07,24.00,24.02,2076500,24.02
2011-05-12,24.95,25.25,24.68,24.98,2100000,24.98
2011-05-11,25.42,26.00,25.01,25.25,2376000,25.25
2011-05-10,24.96,25.69,24.61,25.54,1942100,25.54
2011-05-09,24.74,25.10,24.61,25.04,1100400,25.04
2011-05-06,25.18,25.35,24.60,24.79,1822000,24.79
2011-05-05,23.96,25.38,23.96,24.98,2789800,24.98
2011-05-04,24.47,24.77,23.80,24.06,2148700,24.06
2011-05-03,25.16,25.20,24.37,24.56,2136900,24.56
2011-05-02,26.12,26.33,25.06,25.29,3306900,25.29
2011-04-29,25.20,27.00,24.92,26.06,11000000,26.06
2011-04-28,23.60,24.66,23.50,23.99,4527600,23.99
2011-04-27,23.49,23.66,22.56,23.62,4197400,23.62
2011-04-26,23.89,23.93,23.11,23.38,3830900,23.38
2011-04-25,24.75,24.75,23.75,23.93,2421800,23.93
2011-04-21,24.17,25.05,23.95,24.92,1991200,24.92
2011-04-20,24.08,24.16,23.67,24.03,2170200,24.03
2011-04-19,23.45,23.76,23.01,23.75,1811600,23.75
2011-04-18,23.49,23.65,23.00,23.58,1360700,23.58
2011-04-15,23.41,24.09,23.40,23.75,3450000,23.75
2011-04-14,23.00,23.28,22.73,23.22,1498400,23.22
2011-04-13,23.21,23.66,23.11,23.11,1825400,23.11
2011-04-12,23.37,23.40,23.12,23.26,1455400,23.26
2011-04-11,24.00,24.25,23.36,23.49,2020000,23.49
2011-04-08,24.26,24.60,23.98,24.03,1487100,24.03
2011-04-07,24.50,25.22,24.08,24.17,4057800,24.17
2011-04-06,23.78,24.53,23.71,24.45,3528900,24.45
2011-04-05,23.51,23.84,23.45,23.78,2697900,23.78
2011-04-04,24.44,24.49,23.30,23.63,5101300,23.63
2011-04-01,24.25,24.79,24.06,24.50,2556500,24.50
2011-03-31,24.56,24.69,24.05,24.40,4522100,24.40
2011-03-30,25.50,25.67,24.10,24.65,5616100,24.65
2011-03-29,26.02,26.11,25.20,25.45,2637100,25.45
2011-03-28,25.82,26.08,25.70,26.02,1410100,26.02
2011-03-25,26.11,26.11,25.61,25.80,1562600,25.80
2011-03-24,25.82,26.21,25.75,26.04,3022300,26.04
2011-03-23,25.41,25.81,25.10,25.73,1755400,25.73
2011-03-22,25.47,25.72,25.23,25.62,1311200,25.62
2011-03-21,26.53,26.56,25.15,25.55,3954900,25.55
2011-03-18,26.00,26.65,26.00,26.27,5428400,26.27
2011-03-17,24.44,25.18,24.00,25.02,4243100,25.02
2011-03-16,23.46,24.18,23.11,23.69,5082900,23.69
2011-03-15,23.54,24.24,22.96,23.46,7589500,23.46
2011-03-14,24.94,25.10,24.44,24.69,6022400,24.69
2011-03-11,24.88,25.42,23.73,25.36,8154100,25.36
2011-03-10,26.52,26.58,24.90,25.21,4747700,25.21
2011-03-09,27.00,27.10,26.41,26.75,3901600,26.75
2011-03-08,26.91,27.48,26.51,27.17,4233200,27.17
2011-03-07,26.82,27.08,26.07,26.95,4432300,26.95
2011-03-04,26.77,27.12,26.01,26.65,9002200,26.65
2011-03-03,27.90,28.28,26.57,26.78,9942600,26.78
2011-03-02,29.34,29.49,28.21,28.38,4802300,28.38
2011-03-01,30.10,30.25,29.35,29.50,3423400,29.50
2011-02-28,30.87,31.00,29.35,30.20,3299300,30.20
2011-02-25,30.59,30.80,30.04,30.61,2874300,30.61
2011-02-24,29.54,30.49,29.42,30.42,3462400,30.42
2011-02-23,29.50,30.15,28.80,29.77,2580600,29.77
2011-02-22,29.50,30.00,28.82,29.56,2377500,29.56
2011-02-18,29.84,30.06,29.80,30.03,2266800,30.03
2011-02-17,29.30,30.12,28.53,29.83,2936900,29.83
2011-02-16,28.68,29.95,28.00,29.67,6718600,29.67
2011-02-15,29.27,29.27,27.44,28.38,7277600,28.38
2011-02-14,31.06,31.30,29.29,29.45,5222100,29.45
2011-02-11,31.02,32.00,30.76,31.15,1804500,31.15
2011-02-10,30.03,32.12,29.31,31.19,7309700,31.19
2011-02-09,29.99,30.53,29.59,30.38,1505700,30.38
2011-02-08,29.99,30.25,29.21,30.16,3714200,30.16
2011-02-07,30.88,31.04,29.64,29.98,4167700,29.98
2011-02-04,31.03,31.96,30.50,31.34,4323700,31.34
2011-02-03,29.06,31.20,29.05,30.71,5206900,30.71
2011-02-02,27.92,29.26,27.55,29.06,6271000,29.06
2011-02-01,27.88,28.08,27.62,27.99,3727900,27.99
2011-01-31,29.60,29.60,27.63,27.87,5757200,27.87
2011-01-28,30.46,30.49,29.56,29.59,4368000,29.59
2011-01-27,32.05,32.30,30.34,30.51,12651800,30.51
2011-01-26,34.47,35.29,33.43,34.83,3589000,34.83
2011-01-25,34.40,34.45,33.00,34.14,2331900,34.14
2011-01-24,34.87,34.99,34.05,34.67,2165500,34.67
2011-01-21,35.26,36.49,34.63,34.88,2440900,34.88
2011-01-20,36.00,36.00,33.96,35.05,4360200,35.05
2011-01-19,35.51,36.54,35.30,36.34,4872900,36.34
2011-01-18,34.25,35.49,34.20,35.06,4891000,35.06
2011-01-14,33.28,34.04,33.14,33.77,4162400,33.77
2011-01-13,32.65,33.24,32.65,33.08,3140700,33.08
2011-01-12,32.43,32.80,31.67,32.63,3915900,32.63
2011-01-11,32.51,32.71,31.48,32.41,5121500,32.41
2011-01-10,32.90,32.98,31.59,32.26,5826500,32.26
2011-01-07,33.10,33.58,32.78,33.06,8428500,33.06
2011-01-06,32.70,33.31,32.55,33.01,8175100,33.01
2011-01-05,32.70,33.20,31.52,32.21,5420900,32.21
2011-01-04,31.17,33.45,31.17,33.12,12414100,33.12
2011-01-03,29.50,30.86,29.14,30.24,2493900,30.24
2010-12-31,29.00,29.58,28.76,29.10,446900,29.10
2010-12-30,29.33,29.33,28.84,28.99,253700,28.99
2010-12-29,29.00,29.50,28.88,28.93,115400,28.93
2010-12-28,29.00,29.00,28.50,28.87,142800,28.87
2010-12-27,28.50,29.04,27.00,28.82,154300,28.82
2010-12-23,30.50,30.50,27.44,28.80,802700,28.80
2010-12-22,28.00,31.30,27.77,29.42,1948900,29.42
2010-12-21,25.80,28.00,25.70,27.74,2425900,27.74
