Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,35.57,35.93,35.31,35.79,11335800,35.79
2011-07-18,35.68,35.81,35.31,35.49,10626700,35.49
2011-07-15,36.33,36.44,35.68,35.93,14603700,35.93
2011-07-14,36.17,36.56,36.02,36.31,15331000,36.31
2011-07-13,35.70,36.47,35.63,36.03,13502100,36.03
2011-07-12,35.74,36.03,35.58,35.63,11842400,35.63
2011-07-11,35.96,35.96,35.51,35.68,10249900,35.68
2011-07-08,35.88,36.19,35.77,36.12,15030900,36.12
2011-07-07,35.76,35.95,35.45,35.73,12214200,35.73
2011-07-06,35.50,35.62,35.37,35.53,10807300,35.53
2011-07-05,35.51,35.69,35.44,35.49,8986400,35.49
2011-07-01,35.17,35.73,35.16,35.60,9881900,35.60
2011-06-30,35.22,35.47,35.10,35.29,12751200,35.29
2011-06-29,34.95,35.29,34.82,35.10,12806100,35.10
2011-06-28,34.59,35.00,34.50,34.91,9989100,34.91
2011-06-27,34.65,34.70,34.37,34.53,10853900,34.53
2011-06-24,35.02,35.07,34.50,34.55,16598900,34.55
2011-06-23,35.13,35.32,34.54,34.97,19474900,34.97
2011-06-22,35.57,35.70,35.42,35.47,7701600,35.47
2011-06-21,35.91,35.97,35.61,35.78,8601100,35.78
2011-06-20,35.29,35.81,35.22,35.79,10782600,35.79
2011-06-17,35.40,35.77,35.18,35.39,15048500,35.39
2011-06-16,35.14,35.36,35.00,35.18,10124100,35.18
2011-06-15,35.47,35.47,34.99,35.17,12150100,35.17
2011-06-14,35.51,35.88,35.33,35.64,12618900,35.64
2011-06-13,35.33,35.49,35.03,35.33,7982100,35.33
2011-06-10,35.88,35.88,35.36,35.45,11901000,35.07
2011-06-09,35.88,36.38,35.79,36.00,13595400,35.61
2011-06-08,35.53,35.95,35.47,35.79,12067400,35.41
2011-06-07,35.81,36.12,35.56,35.57,10049100,35.19
2011-06-06,35.70,35.83,35.49,35.56,9637700,35.18
2011-06-03,35.79,36.03,35.76,35.82,9885200,35.44
2011-06-02,36.18,36.25,35.93,36.15,10578700,35.76
2011-06-01,36.60,36.75,36.20,36.25,11304400,35.86
2011-05-31,36.39,36.76,36.34,36.75,14796500,36.36
2011-05-27,36.37,36.58,36.08,36.21,10492900,35.82
2011-05-26,36.69,36.80,36.10,36.38,17010300,35.99
2011-05-25,36.69,36.86,36.59,36.69,11261400,36.30
2011-05-24,36.89,37.04,36.79,36.87,11521700,36.47
2011-05-23,36.67,36.99,36.62,36.90,12597100,36.50
2011-05-20,37.38,37.48,36.89,37.06,11327000,36.66
2011-05-19,37.60,37.65,37.15,37.38,11401100,36.98
2011-05-18,37.25,37.62,37.11,37.58,12981700,37.18
2011-05-17,37.19,37.34,36.69,37.27,20384600,36.87
2011-05-16,37.06,37.56,37.00,37.30,18739200,36.90
2011-05-13,37.03,37.30,36.85,37.08,11495500,36.68
2011-05-12,36.70,37.27,36.58,37.20,15941500,36.80
2011-05-11,36.77,36.95,36.47,36.63,11892900,36.24
2011-05-10,36.55,36.79,36.50,36.77,9600900,36.38
2011-05-09,36.11,36.58,36.10,36.48,10732800,36.09
2011-05-06,36.53,36.75,36.29,36.39,12773600,36.00
2011-05-05,36.45,36.64,36.17,36.25,16487800,35.86
2011-05-04,36.36,36.75,36.27,36.56,17399100,36.17
2011-05-03,36.24,36.64,36.07,36.41,17721100,36.02
2011-05-02,36.44,36.58,36.18,36.31,18387300,35.92
2011-04-29,35.98,36.25,35.63,35.95,18935000,35.56
2011-04-28,35.64,35.80,35.46,35.77,13451300,35.39
2011-04-27,35.20,35.74,35.05,35.63,20382500,35.25
2011-04-26,34.44,35.16,34.39,35.06,21500000,34.68
2011-04-25,33.70,34.40,33.63,34.33,9626200,33.96
2011-04-21,34.27,34.29,33.96,34.04,15809000,33.68
2011-04-20,34.07,34.23,33.95,34.04,14220700,33.68
2011-04-19,33.94,34.11,33.52,33.75,15193200,33.39
2011-04-18,34.20,34.29,33.85,33.93,17788700,33.57
2011-04-15,34.90,34.97,34.45,34.51,36904800,34.14
2011-04-14,33.34,34.04,33.27,33.86,15020000,33.50
2011-04-13,33.62,33.65,33.37,33.47,7823900,33.11
2011-04-12,33.42,33.77,33.39,33.56,14580200,33.20
2011-04-11,33.68,33.85,33.51,33.59,11182600,33.23
2011-04-08,33.50,33.70,33.40,33.67,18385100,33.31
2011-04-07,33.43,33.43,33.06,33.33,12575100,32.97
2011-04-06,33.28,33.45,33.15,33.35,13041900,32.99
2011-04-05,33.14,33.23,33.01,33.16,9242300,32.80
2011-04-04,33.34,33.37,33.21,33.27,11518000,32.91
2011-04-01,33.05,33.25,33.00,33.07,11444000,32.72
2011-03-31,33.07,33.38,33.00,33.01,12613000,32.66
2011-03-30,33.03,33.48,33.01,33.30,17249100,32.94
2011-03-29,32.49,32.80,32.42,32.78,9921600,32.43
2011-03-28,32.54,32.65,32.39,32.45,9056800,32.10
2011-03-25,32.72,32.90,32.54,32.57,10559200,32.22
2011-03-24,32.83,32.90,32.54,32.72,11484200,32.37
2011-03-23,32.50,32.67,32.41,32.63,12314400,32.28
2011-03-22,32.52,32.76,32.46,32.53,16482100,32.18
2011-03-21,32.09,32.58,32.04,32.39,15263200,32.04
2011-03-18,31.78,31.98,31.66,31.91,19479800,31.57
2011-03-17,31.26,31.62,31.16,31.44,13708600,31.10
2011-03-16,31.80,31.86,31.06,31.08,23150900,30.75
2011-03-15,31.83,32.04,31.71,31.86,16131300,31.52
2011-03-14,32.50,32.60,32.25,32.38,13789600,32.03
2011-03-11,32.47,32.91,32.47,32.73,12258300,32.38
2011-03-10,33.21,33.26,32.84,32.90,15329300,32.17
2011-03-09,32.91,33.48,32.91,33.29,13601000,32.55
2011-03-08,32.98,33.09,32.82,32.98,11549400,32.25
2011-03-07,33.00,33.06,32.72,32.83,38542000,32.10
2011-03-04,33.15,33.36,32.84,33.06,38800800,32.33
2011-03-03,32.67,33.25,32.62,33.10,37959400,32.37
2011-03-02,32.45,32.69,32.30,32.58,12424500,31.86
2011-03-01,32.60,32.98,32.44,32.46,22146000,31.74
2011-02-28,32.20,32.61,32.19,32.57,16670700,31.85
2011-02-25,32.06,32.26,32.00,32.19,8972500,31.48
2011-02-24,32.08,32.16,31.85,32.03,13942900,31.32
2011-02-23,32.52,32.61,32.04,32.09,16776200,31.38
2011-02-22,32.75,32.80,32.26,32.34,17757800,31.62
