Date,Open,High,Low,Close,Volume,Adj Close
2011-08-02,30.05,30.43,29.12,29.12,10827500,29.12
2011-08-01,31.41,31.43,30.35,30.64,8193200,30.64
2011-07-29,30.75,31.12,30.50,30.97,8861300,30.97
2011-07-28,31.44,31.66,31.08,31.09,7689200,31.09
2011-07-27,32.09,32.09,31.16,31.50,6882500,31.50
2011-07-26,32.65,32.67,32.12,32.33,5720600,32.33
2011-07-25,31.75,32.83,31.69,32.48,7747300,32.48
2011-07-22,32.07,32.07,31.74,32.01,4938900,32.01
2011-07-21,31.42,32.05,31.27,31.99,7770400,31.99
2011-07-20,31.78,31.79,30.97,31.03,8226100,31.03
2011-07-19,31.65,31.87,30.92,31.23,12320800,31.23
2011-07-18,31.47,31.59,31.10,31.40,7228000,31.40
2011-07-15,31.45,31.80,31.14,31.68,8761800,31.68
2011-07-14,31.89,32.06,31.25,31.30,7605900,31.30
2011-07-13,32.00,32.29,31.54,31.71,10133700,31.71
2011-07-12,31.72,31.87,31.50,31.52,8328100,31.52
2011-07-11,32.33,32.37,31.67,32.01,9712900,32.01
2011-07-08,32.63,32.97,32.32,32.67,9070300,32.67
2011-07-07,33.59,33.60,32.40,33.10,14330200,33.10
2011-07-06,34.91,34.97,32.52,32.81,18806000,32.81
2011-07-05,33.83,34.39,33.36,34.07,17142200,34.07
2011-07-01,33.28,33.28,32.08,32.95,12950000,32.95
2011-06-30,51.84,52.75,51.57,52.68,8249200,31.98
2011-06-29,51.54,52.17,50.98,51.63,7473800,31.34
2011-06-28,49.68,51.49,49.44,51.38,8730500,31.19
2011-06-27,49.01,49.39,48.63,49.06,10166400,29.78
2011-06-24,51.65,51.78,49.33,49.55,13501700,30.08
2011-06-23,51.71,51.71,50.28,51.62,10913300,31.34
2011-06-22,51.91,53.32,51.75,52.79,7026600,32.05
2011-06-21,51.14,52.62,50.77,52.15,7226000,31.66
2011-06-20,50.21,51.10,50.02,51.10,5201700,31.02
2011-06-17,51.64,51.74,50.49,50.59,7940400,30.71
2011-06-16,50.87,51.87,50.36,51.19,6776000,31.08
2011-06-15,51.26,51.49,50.19,50.77,8338900,30.82
2011-06-14,50.38,52.38,50.33,52.01,9391700,31.57
2011-06-13,49.79,50.83,49.09,49.79,5799000,30.23
2011-06-10,50.91,50.91,50.09,50.25,9173600,30.50
2011-06-09,51.34,51.73,51.05,51.15,5193000,31.05
2011-06-08,51.20,51.74,50.45,50.87,5289700,30.88
2011-06-07,50.89,52.05,50.70,51.20,6623600,31.08
2011-06-06,51.65,51.98,50.53,50.59,5983100,30.71
2011-06-03,51.46,52.31,51.37,51.80,5972000,31.45
2011-06-02,52.74,52.99,51.61,52.51,5899600,31.88
2011-06-01,53.29,53.49,52.23,52.65,10027600,31.96
2011-05-31,53.81,54.20,53.49,54.17,7189400,32.88
2011-05-27,53.67,54.23,52.71,53.37,6646200,32.40
2011-05-26,52.60,53.64,52.41,53.58,6567600,32.53
2011-05-25,52.76,53.22,51.39,52.76,8048900,32.03
2011-05-24,51.06,52.50,50.83,51.88,8424200,31.49
2011-05-23,50.49,50.71,49.56,50.48,8444500,30.64
2011-05-20,51.94,52.05,51.05,51.20,6414500,31.08
2011-05-19,51.66,52.27,51.11,51.92,5675600,31.52
2011-05-18,50.43,51.80,50.28,51.53,6805100,31.28
2011-05-17,49.90,50.23,49.20,50.03,6429800,30.37
2011-05-16,50.75,51.37,50.09,50.29,4992800,30.53
2011-05-13,51.50,51.69,50.37,51.10,6616600,30.87
2011-05-12,50.42,51.54,49.55,51.17,6800000,30.91
2011-05-11,52.23,52.29,50.08,50.83,8024800,30.71
2011-05-10,52.09,52.66,51.60,52.43,6838600,31.67
2011-05-09,50.25,52.31,50.06,52.19,7901700,31.53
2011-05-06,50.06,51.06,49.42,49.57,10738600,29.94
2011-05-05,50.82,50.91,49.08,49.55,10916600,29.93
2011-05-04,52.18,52.18,51.10,51.55,7018200,31.14
2011-05-03,52.72,53.20,51.02,52.56,10636300,31.75
2011-05-02,54.11,54.33,52.92,53.41,7469000,32.26
2011-04-29,52.68,54.11,52.52,54.04,5957200,32.65
2011-04-28,52.51,52.74,51.88,52.61,4340500,31.78
2011-04-27,52.77,52.95,51.63,52.64,5137200,31.80
2011-04-26,52.64,52.88,51.86,52.66,5502400,31.81
2011-04-25,53.90,54.04,52.47,52.59,4857300,31.77
2011-04-21,53.54,53.90,53.02,53.84,4299400,32.52
2011-04-20,52.04,53.40,51.95,53.32,6629800,32.21
2011-04-19,50.85,51.28,50.30,51.28,5665700,30.98
2011-04-18,50.66,51.37,50.14,51.09,5298300,30.86
2011-04-15,51.31,51.73,51.01,51.33,5118100,31.01
2011-04-14,50.24,51.26,49.89,51.17,5057400,30.91
2011-04-13,50.69,50.95,49.77,50.33,4577900,30.40
2011-04-12,51.24,51.25,49.76,50.18,9402400,30.31
2011-04-11,52.67,53.02,51.57,51.77,4953200,31.27
2011-04-08,53.21,53.55,52.50,52.76,5037600,31.87
2011-04-07,53.03,53.87,52.40,53.00,5249000,32.02
2011-04-06,53.81,53.91,52.73,52.90,3801200,31.96
2011-04-05,53.41,53.81,52.81,53.43,4643800,32.28
2011-04-04,53.81,53.88,52.81,53.09,5515200,32.07
2011-04-01,53.81,54.19,53.35,53.55,5705900,32.35
2011-03-31,53.25,53.74,52.98,53.31,6712200,32.20
2011-03-30,52.50,53.13,52.19,52.95,5816700,31.99
2011-03-29,51.24,52.40,51.20,52.22,6780200,31.55
2011-03-28,51.89,52.44,51.14,51.14,7274100,30.89
2011-03-25,50.85,51.76,50.67,51.70,7753800,31.23
2011-03-24,50.73,51.01,50.21,50.73,5695500,30.65
2011-03-23,51.02,51.34,50.51,50.56,5895300,30.54
2011-03-22,51.92,51.94,50.78,51.21,5550000,30.94
2011-03-21,51.58,51.95,50.83,51.84,7750000,31.32
2011-03-18,50.06,50.31,49.51,49.65,9383700,29.99
2011-03-17,49.00,49.79,49.00,49.54,8101200,29.93
2011-03-16,49.33,50.23,48.03,48.73,10375700,29.44
2011-03-15,47.68,49.46,47.18,48.97,7515300,29.58
2011-03-14,49.93,50.69,49.18,49.67,6862200,30.01
2011-03-11,48.22,50.35,48.12,50.17,6834200,30.31
2011-03-10,49.08,49.47,48.53,48.59,8247700,29.35
2011-03-09,50.18,50.39,49.36,49.62,7970200,29.98
2011-03-08,50.96,50.98,49.60,50.18,8867400,30.31
2011-03-07,52.51,52.52,50.79,51.42,6247700,31.06
2011-03-04,52.78,52.79,51.42,51.66,9026500,31.21
2011-03-03,52.02,52.77,51.62,52.66,8289200,31.81
2011-03-02,50.87,51.20,50.15,50.93,8640900,30.77
2011-03-01,52.35,52.38,50.40,50.75,17135000,30.66
2011-02-28,48.91,50.06,48.83,49.60,7386200,29.96
2011-02-25,48.44,48.78,47.97,48.62,6970100,29.37
2011-02-24,48.87,49.00,47.56,48.13,10349600,29.07
2011-02-23,48.25,50.21,48.11,49.18,12845200,29.71
2011-02-22,49.15,49.48,47.56,47.71,12542200,28.82
2011-02-18,50.08,50.19,49.07,49.51,9312200,29.91
2011-02-17,49.31,50.56,49.06,50.08,8628800,30.25
2011-02-16,48.67,49.47,48.31,49.31,9976400,29.79
2011-02-15,48.73,48.83,47.96,48.07,7043300,29.04
2011-02-14,46.51,49.33,46.25,49.05,12709600,29.63
