Date,Open,High,Low,Close,Volume,Adj Close
2011-07-19,43.96,44.25,43.75,44.10,2816400,44.10
2011-07-18,43.72,43.89,43.31,43.74,3138100,43.74
2011-07-15,44.21,44.21,43.62,43.96,3372800,43.96
2011-07-14,44.21,44.55,43.82,43.92,3341400,43.92
2011-07-13,43.65,44.51,43.59,44.23,6255300,44.23
2011-07-12,43.60,43.72,43.23,43.50,5376200,43.50
2011-07-11,44.65,44.72,44.06,44.14,3760400,44.14
2011-07-08,45.28,45.49,44.88,45.08,8572400,45.08
2011-07-07,45.58,45.85,45.54,45.72,4324900,45.72
2011-07-06,45.69,45.80,45.18,45.29,3271900,45.29
2011-07-05,46.34,46.42,45.56,45.64,3555100,45.64
2011-07-01,46.13,46.51,45.96,46.50,5539000,46.50
2011-06-30,45.98,46.34,45.45,46.04,3554300,46.04
2011-06-29,46.19,46.20,45.78,45.97,2793000,45.97
2011-06-28,45.87,46.20,45.70,45.90,2919300,45.90
2011-06-27,45.36,45.99,45.19,45.76,2347700,45.76
2011-06-24,45.56,45.70,45.22,45.40,3787000,45.40
2011-06-23,45.51,45.78,45.28,45.64,3647200,45.64
2011-06-22,46.29,46.51,46.04,46.06,2276500,46.06
2011-06-21,46.00,46.58,45.65,46.55,5336700,46.55
2011-06-20,45.41,45.72,45.24,45.57,2235600,45.57
2011-06-17,45.82,46.08,45.35,45.48,3728900,45.48
2011-06-16,45.19,45.61,44.78,45.24,2653700,45.24
2011-06-15,45.48,45.69,45.02,45.08,2820800,45.08
2011-06-14,45.65,46.18,45.59,45.80,3975400,45.80
2011-06-13,45.43,45.71,45.20,45.43,2919300,45.43
2011-06-10,45.60,45.64,44.73,45.30,3372500,45.30
2011-06-09,45.77,46.03,45.52,45.56,4927400,45.56
2011-06-08,46.44,46.47,45.60,45.65,3919800,45.65
2011-06-07,46.54,47.00,46.52,46.65,2392000,46.65
2011-06-06,46.43,46.83,46.23,46.45,2675500,46.45
2011-06-03,46.75,46.89,46.26,46.47,3768100,46.47
2011-06-02,46.89,47.39,46.66,47.30,1622300,47.30
2011-06-01,47.62,47.91,46.88,46.88,1871500,46.88
2011-05-31,47.74,47.90,47.37,47.87,2581000,47.87
2011-05-27,47.00,47.62,46.97,47.58,2123500,47.58
2011-05-26,46.29,47.00,46.28,46.88,1652400,46.88
2011-05-25,46.49,46.94,46.03,46.49,2277500,46.49
2011-05-24,46.47,46.88,46.29,46.35,3092700,46.35
2011-05-23,45.88,46.41,45.49,46.15,2490100,46.15
2011-05-20,47.06,47.20,46.55,46.78,1661400,46.78
2011-05-19,47.14,47.26,46.75,47.10,1506900,47.10
2011-05-18,46.45,47.14,46.39,47.08,2698600,47.08
2011-05-17,46.28,46.66,45.95,46.52,4116200,46.52
2011-05-16,46.47,46.94,46.10,46.29,2260800,46.29
2011-05-13,47.30,47.45,46.48,46.65,1689900,46.65
2011-05-12,46.88,47.50,46.70,47.24,3000000,47.24
2011-05-11,46.90,47.39,46.90,47.10,3359900,47.10
2011-05-10,46.48,47.21,46.39,47.21,3170700,47.21
2011-05-09,45.86,46.64,45.69,46.56,2954300,46.56
2011-05-06,45.65,46.53,45.30,46.02,3915900,46.02
2011-05-05,44.61,45.69,44.59,45.32,3687200,45.32
2011-05-04,45.12,45.37,44.57,44.72,4338900,44.72
2011-05-03,45.59,45.78,44.94,45.19,3221100,45.19
2011-05-02,45.98,46.49,45.58,45.59,4873400,45.59
2011-04-29,46.56,46.60,45.45,45.88,4032400,45.88
2011-04-28,44.89,47.64,44.51,46.66,8152300,46.66
2011-04-27,43.53,43.68,43.01,43.42,4934800,43.42
2011-04-26,44.26,44.47,42.50,43.48,7000000,43.48
2011-04-25,44.23,44.50,43.86,44.10,2624600,44.10
2011-04-21,44.16,44.35,43.81,44.20,3265500,44.20
2011-04-20,44.27,44.37,43.75,44.00,3641300,44.00
2011-04-19,43.61,43.97,43.40,43.87,1746900,43.87
2011-04-18,43.12,43.54,42.89,43.45,2471900,43.45
2011-04-15,44.04,44.06,43.74,43.81,2706600,43.81
2011-04-14,43.74,44.07,43.52,43.95,3053500,43.95
2011-04-13,44.00,44.54,43.90,44.18,3507000,44.18
2011-04-12,43.69,44.03,43.42,43.85,3179000,43.85
2011-04-11,43.84,44.27,43.84,44.19,2932800,44.19
2011-04-08,44.29,44.47,43.74,43.86,2031500,43.86
2011-04-07,44.11,44.68,43.97,44.24,2879700,44.24
2011-04-06,43.78,44.49,43.32,44.27,2353900,44.27
2011-04-05,43.98,44.76,43.98,44.17,2717600,44.17
2011-04-04,44.50,44.50,43.85,44.30,1833900,44.30
2011-04-01,44.74,44.87,44.15,44.40,2446000,44.40
2011-03-31,44.55,44.94,44.35,44.69,2221900,44.69
2011-03-30,44.30,44.70,44.14,44.56,2984800,44.56
2011-03-29,44.16,44.23,43.71,44.12,4904800,44.12
2011-03-28,44.07,44.24,43.87,43.97,3600400,43.97
2011-03-25,44.51,44.88,43.93,43.95,4813300,43.95
2011-03-24,43.48,44.50,43.27,44.46,4330600,44.46
2011-03-23,42.60,43.29,42.34,43.16,3776700,43.16
2011-03-22,42.13,42.71,41.97,42.66,4792200,42.66
2011-03-21,41.91,42.12,41.67,42.04,3296600,42.04
2011-03-18,41.66,41.75,41.15,41.63,2526000,41.63
2011-03-17,41.16,41.45,40.89,41.19,2726500,41.19
2011-03-16,40.30,41.45,40.15,40.64,5598600,40.64
2011-03-15,39.84,40.82,39.59,40.51,2775900,40.51
2011-03-14,40.73,41.30,40.45,40.99,4110100,40.99
2011-03-11,40.01,41.36,39.71,41.24,4013800,41.24
2011-03-10,40.76,40.87,40.24,40.30,3016900,40.30
2011-03-09,41.32,41.53,41.01,41.27,2355300,41.27
2011-03-08,40.61,41.82,40.09,41.59,5186000,41.59
2011-03-07,40.06,40.50,39.87,40.22,5009800,40.22
2011-03-04,40.15,40.23,39.90,40.15,5786800,40.15
2011-03-03,39.41,40.56,39.36,40.27,4480800,40.27
2011-03-02,37.93,39.38,37.93,39.29,5178600,39.29
