Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,85.71,86.55,85.22,86.24,738100,86.24
2011-07-28,87.24,87.89,86.22,86.32,489300,86.32
2011-07-27,87.97,88.51,87.05,87.14,745200,87.14
2011-07-26,88.65,89.38,88.13,88.25,630000,88.25
2011-07-25,88.19,89.13,88.07,88.55,1008300,88.55
2011-07-22,88.68,89.17,87.20,89.08,973800,89.08
2011-07-21,87.76,88.66,87.46,88.57,1215900,88.57
2011-07-20,87.32,88.00,85.93,87.14,971600,87.14
2011-07-19,85.13,86.94,84.86,86.80,1007200,86.80
2011-07-18,85.28,85.65,84.35,84.85,809900,84.85
2011-07-15,86.34,86.48,85.24,85.56,971200,85.56
2011-07-14,87.46,87.46,85.54,86.00,1079100,86.00
2011-07-13,87.94,88.21,86.96,87.08,1028100,87.08
2011-07-12,87.16,88.29,86.76,87.45,1541400,87.45
2011-07-11,86.56,87.32,85.93,86.17,848500,86.17
2011-07-08,88.09,88.45,87.25,87.56,971200,87.56
2011-07-07,89.09,90.00,89.03,89.24,824700,89.24
2011-07-06,87.72,88.81,87.22,88.44,664800,88.44
2011-07-05,88.75,88.75,87.38,88.00,601500,88.00
2011-07-01,88.00,89.13,87.78,89.03,512900,89.03
2011-06-30,87.74,88.30,87.18,87.95,583200,87.95
2011-06-29,86.93,87.77,85.85,87.62,950400,87.62
2011-06-28,86.91,86.91,85.68,86.42,665500,86.42
2011-06-27,85.23,87.61,85.23,86.72,936000,86.72
2011-06-24,86.47,86.72,85.28,85.32,3558000,85.32
2011-06-23,86.40,86.91,85.81,86.28,1113600,86.28
2011-06-22,87.90,88.23,87.24,87.32,981100,87.32
2011-06-21,88.24,88.40,87.13,88.10,858100,88.10
2011-06-20,87.68,88.32,87.28,87.80,528800,87.80
2011-06-17,88.37,88.46,87.06,88.02,1303300,88.02
2011-06-16,86.04,87.77,85.79,87.64,1114800,87.64
2011-06-15,86.16,86.67,85.48,86.04,950800,86.04
2011-06-14,85.99,87.57,85.91,86.89,924100,86.89
2011-06-13,85.17,85.51,83.83,85.17,864700,85.17
2011-06-10,85.18,85.18,83.31,84.41,1068100,84.41
2011-06-09,85.29,86.06,84.56,85.43,457700,85.43
2011-06-08,85.17,85.81,84.76,85.01,686400,85.01
2011-06-07,85.17,86.31,84.88,85.42,727500,85.42
2011-06-06,85.57,85.80,84.61,84.78,864900,84.78
2011-06-03,85.46,86.38,85.15,85.79,651700,85.79
2011-06-02,85.94,86.90,85.57,86.43,799900,86.43
2011-06-01,88.13,88.16,85.80,85.88,1031500,85.88
2011-05-31,88.50,88.65,87.42,88.30,1459900,88.30
2011-05-27,86.56,87.65,86.43,87.62,534800,87.62
2011-05-26,86.94,87.40,86.13,86.86,566800,86.16
2011-05-25,87.00,87.47,86.53,86.94,749200,86.24
2011-05-24,87.80,87.84,86.30,87.41,814300,86.71
2011-05-23,87.14,88.44,87.08,87.29,574100,86.59
2011-05-20,88.97,89.19,87.87,88.04,779800,87.33
2011-05-19,89.68,89.90,88.75,89.17,758200,88.45
2011-05-18,87.84,89.39,87.60,89.38,809200,88.66
2011-05-17,86.25,88.04,86.23,87.97,919300,87.26
2011-05-16,86.31,86.94,86.10,86.41,811500,85.71
2011-05-13,87.80,88.00,85.91,86.39,1964200,85.69
2011-05-12,87.34,87.99,86.84,87.72,560000,87.01
2011-05-11,87.38,87.80,87.07,87.35,498800,86.65
2011-05-10,86.69,87.77,86.43,87.77,427500,87.06
2011-05-09,86.50,86.61,85.88,86.49,395000,85.79
2011-05-06,86.95,87.17,86.02,86.43,625200,85.73
2011-05-05,86.59,86.88,85.89,86.15,659800,85.46
2011-05-04,88.49,88.51,86.81,86.97,1027500,86.27
2011-05-03,87.54,88.59,87.02,88.50,990000,87.79
2011-05-02,88.52,88.52,87.62,87.74,803000,87.03
2011-04-29,88.89,89.00,88.25,88.37,465000,87.66
2011-04-28,89.34,89.56,88.24,88.91,800900,88.19
2011-04-27,87.62,90.76,87.39,89.65,1722900,88.93
2011-04-26,86.41,87.59,86.35,87.22,540600,86.52
2011-04-25,85.78,86.56,85.65,86.12,408800,85.43
2011-04-21,85.94,86.43,85.00,85.83,713400,85.14
2011-04-20,86.37,86.53,85.21,85.82,1058200,85.13
2011-04-19,87.61,87.87,85.39,85.42,747400,84.73
2011-04-18,84.53,88.00,84.53,87.21,1693700,86.51
2011-04-15,85.49,85.72,84.62,85.35,1405800,84.66
2011-04-14,85.71,85.71,85.05,85.20,917500,84.51
2011-04-13,87.40,87.54,85.93,85.94,826000,85.25
2011-04-12,87.35,87.69,86.82,87.16,599600,86.46
2011-04-11,87.75,88.21,87.62,87.75,702300,87.04
2011-04-08,88.75,88.75,87.57,87.70,593500,86.99
2011-04-07,89.72,89.72,88.07,88.25,729400,87.54
2011-04-06,89.05,89.95,88.76,89.79,607900,89.07
2011-04-05,89.03,89.42,88.61,88.69,622700,87.98
2011-04-04,89.77,89.85,89.04,89.32,639600,88.60
2011-04-01,89.10,89.97,88.74,89.69,860400,88.97
2011-03-31,88.60,88.96,87.16,88.47,909800,87.76
2011-03-30,87.95,88.92,87.63,88.51,421300,87.80
2011-03-29,87.07,87.62,86.74,87.52,299800,86.81
2011-03-28,87.93,88.05,87.11,87.22,543400,86.52
2011-03-25,87.03,88.08,86.63,87.54,409500,86.83
2011-03-24,86.75,87.23,86.00,86.98,591400,86.28
2011-03-23,86.00,86.79,85.08,86.45,615200,85.75
2011-03-22,86.77,87.46,86.21,86.35,426100,85.65
2011-03-21,88.38,88.38,86.53,86.82,612500,86.12
2011-03-18,88.48,89.18,86.83,87.57,1202500,86.86
2011-03-17,86.32,87.71,85.84,87.34,929200,86.64
2011-03-16,86.49,86.73,84.69,84.99,779000,84.31
2011-03-15,85.73,87.15,85.53,86.53,512300,85.83
2011-03-14,87.20,87.78,86.66,87.58,1001700,86.87
2011-03-11,86.98,88.49,86.98,87.70,489500,86.99
2011-03-10,88.69,88.92,87.25,87.66,687100,86.95
2011-03-09,89.61,89.73,88.73,89.49,380200,88.77
2011-03-08,87.39,89.98,87.39,89.79,737300,89.07
2011-03-07,88.17,88.58,86.58,87.08,678400,86.38
2011-03-04,87.18,88.24,86.99,88.01,989300,87.30
2011-03-03,86.55,87.54,86.09,87.42,540700,86.72
2011-03-02,86.17,86.74,85.33,85.71,699700,85.02
2011-03-01,88.54,88.54,86.18,86.20,947400,85.51
2011-02-28,89.04,89.49,87.97,88.05,882800,87.34
2011-02-25,87.95,88.88,87.83,88.56,638000,87.85
2011-02-24,88.87,88.87,87.00,87.63,993600,86.92
2011-02-23,89.61,90.21,88.54,89.09,813700,87.68
2011-02-22,89.88,90.44,88.75,89.60,794200,88.18
2011-02-18,89.95,91.05,89.68,91.01,861600,89.57
2011-02-17,89.85,90.17,89.35,89.99,468900,88.56
2011-02-16,89.63,90.39,89.60,90.00,473000,88.57
2011-02-15,89.00,89.78,88.90,89.44,613500,88.02
2011-02-14,89.82,90.06,89.00,89.21,533500,87.80
2011-02-11,87.54,90.88,87.54,89.86,921000,88.44
2011-02-10,88.30,88.37,87.27,88.11,513400,86.71
2011-02-09,88.62,89.93,88.11,88.77,623100,87.36
2011-02-08,88.22,89.16,87.75,89.12,627800,87.71
2011-02-07,87.32,88.40,87.24,87.99,485200,86.60
2011-02-04,86.68,87.50,85.99,87.49,569800,86.10
2011-02-03,86.41,87.20,86.10,86.70,420800,85.33
2011-02-02,86.94,87.65,86.23,86.72,491100,85.35
2011-02-01,86.80,87.75,86.10,87.27,872400,85.89
2011-01-31,86.47,86.92,86.08,86.47,525200,85.10
2011-01-28,86.83,87.82,86.31,86.35,637200,84.98
2011-01-27,86.08,87.03,85.33,86.92,681600,85.54
2011-01-26,87.29,87.29,85.19,86.08,769300,84.72
2011-01-25,86.28,87.00,85.90,86.98,724600,85.60
2011-01-24,86.64,86.91,85.79,86.37,595300,85.00
2011-01-21,87.04,87.71,86.12,86.77,810100,85.39
2011-01-20,86.45,86.54,85.10,85.73,739800,84.37
2011-01-19,85.88,87.48,85.88,86.49,983400,85.12
2011-01-18,86.30,86.79,85.14,86.20,1388300,84.83
2011-01-14,86.07,87.43,84.84,86.38,1971100,85.01
2011-01-13,87.25,87.64,85.76,86.26,1151400,84.89
2011-01-12,87.51,88.48,87.09,87.36,790100,85.98
2011-01-11,86.56,87.87,86.13,86.72,854400,85.35
2011-01-10,86.70,86.70,84.63,86.10,923200,84.74
2011-01-07,87.79,88.19,85.62,86.82,918900,85.44
2011-01-06,87.93,88.46,87.48,87.54,846300,86.15
2011-01-05,86.82,88.32,86.70,88.03,796200,86.63
2011-01-04,88.43,89.33,86.45,87.00,829900,85.62
2011-01-03,87.67,88.88,87.56,87.90,762600,86.51
2010-12-31,86.44,87.39,85.81,87.05,676400,85.67
2010-12-30,87.30,87.47,86.20,86.43,630700,85.06
2010-12-29,87.14,87.87,86.51,87.38,706800,85.99
2010-12-28,86.32,87.17,85.89,86.78,446300,85.40
2010-12-27,84.94,86.23,84.47,86.07,396600,84.71
2010-12-23,85.98,86.29,85.01,85.15,480000,83.80
2010-12-22,85.76,86.84,85.32,86.16,756000,84.79
2010-12-21,84.63,86.25,84.33,85.74,724300,84.38
2010-12-20,82.95,84.69,82.71,84.36,907600,83.02
2010-12-17,82.50,83.38,82.29,82.75,1058300,81.44
2010-12-16,82.19,83.41,81.11,82.49,1048600,81.18
2010-12-15,83.50,84.10,81.86,82.13,836700,80.83
2010-12-14,85.27,85.93,83.47,83.86,820000,82.53
2010-12-13,85.08,85.76,83.02,85.33,1722700,83.98
2010-12-10,83.87,86.20,83.82,85.02,1804400,83.67
2010-12-09,81.31,83.41,81.31,83.24,1132600,81.92
2010-12-08,79.60,81.98,79.45,81.34,1750600,80.05
2010-12-07,80.00,80.85,79.14,79.47,754400,78.21
2010-12-06,80.57,80.84,79.45,79.64,565700,78.38
2010-12-03,80.28,81.07,79.22,80.86,849100,79.58
2010-12-02,78.64,80.75,78.48,80.64,1056400,79.36
2010-12-01,78.02,78.99,77.25,78.50,1113100,77.26
2010-11-30,76.62,77.20,75.97,76.96,1466100,75.74
2010-11-29,75.66,77.38,75.35,76.99,747500,75.77
2010-11-26,76.66,77.59,76.26,76.45,330100,74.55
2010-11-24,77.51,77.93,76.48,77.32,822900,75.40
2010-11-23,76.22,77.44,75.87,77.11,1610400,75.19
2010-11-22,76.94,78.05,76.48,76.86,2640000,74.95
2010-11-19,77.53,78.70,77.23,77.80,2969300,75.87
2010-11-18,80.42,80.68,77.68,77.78,3502900,75.85
2010-11-17,80.16,80.28,79.17,79.54,1267000,77.56
2010-11-16,80.72,81.17,78.78,79.76,1584400,77.78
2010-11-15,82.20,82.35,81.06,81.29,941200,79.27
2010-11-12,81.50,81.99,80.55,80.98,1834700,78.97
2010-11-11,81.72,83.00,81.19,82.09,2609000,80.05
2010-11-10,80.87,82.73,80.37,82.26,9431900,80.21
2010-11-09,82.87,82.87,79.95,80.32,1986300,78.32
2010-11-08,82.24,82.61,81.54,82.22,1442500,80.18
2010-11-05,82.60,84.49,82.26,82.70,2729000,80.64
2010-11-04,81.74,83.20,80.58,82.49,2186800,80.44
2010-11-03,78.22,80.74,77.91,80.68,4020600,78.67
2010-11-02,78.25,78.25,76.85,77.65,2025100,75.72
2010-11-01,76.02,78.36,75.98,77.47,6236000,75.54
2010-10-29,74.37,74.82,73.49,74.75,1047300,72.89
2010-10-28,75.57,75.57,74.01,74.66,1031400,72.80
2010-10-27,74.62,76.12,74.55,74.95,1417100,73.09
2010-10-26,74.28,75.66,74.28,75.17,1195000,73.30
2010-10-25,74.63,74.98,73.89,74.58,1061400,72.73
2010-10-22,73.37,74.68,72.99,74.44,1674400,72.59
2010-10-21,74.73,74.73,72.03,72.96,2240100,71.15
2010-10-20,75.55,76.39,73.69,74.07,3343700,72.23
2010-10-19,75.93,77.18,75.43,75.73,1774100,73.85
2010-10-18,75.14,76.79,75.00,76.79,1553300,74.88
2010-10-15,76.43,76.43,73.51,75.22,2758000,73.35
2010-10-14,76.76,76.94,73.66,75.66,3750000,73.78
2010-10-13,78.04,78.18,76.58,76.78,2103700,74.87
2010-10-12,77.42,77.75,76.51,77.55,2250800,75.62
2010-10-11,76.82,77.83,76.71,77.22,2162700,75.30
2010-10-08,76.84,77.42,76.22,76.84,3610800,74.93
2010-10-07,78.58,78.94,76.16,76.87,16449400,74.96
2010-10-06,79.83,80.20,77.14,78.91,11228600,76.95
2010-10-05,83.34,85.26,82.35,83.09,1673400,81.02
2010-10-04,81.86,82.61,81.15,82.15,766900,80.11
2010-10-01,83.06,83.99,81.00,81.91,706300,79.87
2010-09-30,82.36,82.63,81.31,81.81,1094600,79.78
2010-09-29,81.88,82.71,81.28,81.81,880800,79.78
2010-09-28,83.96,84.38,81.08,82.50,1991100,80.45
2010-09-27,86.11,86.87,84.00,84.24,1921100,82.15
2010-09-24,89.62,90.67,87.78,90.62,1066300,88.37
2010-09-23,87.54,90.75,87.54,88.17,832600,85.98
2010-09-22,88.37,90.93,87.40,88.94,1000700,86.73
2010-09-21,91.30,92.19,88.59,88.69,1065000,86.48
2010-09-20,87.06,95.00,86.58,91.00,1996400,88.74
2010-09-17,87.37,87.83,86.50,86.70,754600,84.54
2010-09-16,87.22,87.22,86.07,86.92,319100,84.76
2010-09-15,87.50,87.71,86.20,87.40,629100,85.23
2010-09-14,88.30,88.44,86.50,87.90,488700,85.71
2010-09-13,88.28,88.49,87.12,88.39,596300,86.19
2010-09-10,87.92,87.92,85.69,86.57,399900,84.42
2010-09-09,86.99,88.40,86.43,87.21,650100,85.04
2010-09-08,84.72,86.99,84.72,85.46,614300,83.34
2010-09-07,88.09,88.40,84.67,84.70,808000,82.59
2010-09-03,88.34,88.94,87.68,88.93,479200,86.72
2010-09-02,88.08,88.29,86.90,87.28,677400,85.11
2010-09-01,86.15,87.88,86.09,87.49,748800,85.31
2010-08-31,84.81,86.53,84.38,85.64,721000,83.51
2010-08-30,87.16,87.16,84.95,84.95,468500,82.84
