Date,Open,High,Low,Close,Volume,Adj Close
2011-07-29,60.14,61.18,59.58,60.51,3941500,60.51
2011-07-28,62.32,62.38,60.25,60.71,4332400,60.71
2011-07-27,65.04,65.25,62.20,62.68,4691700,62.68
2011-07-26,65.41,65.62,64.94,65.40,3335500,65.40
2011-07-25,64.85,65.42,64.51,65.12,2090800,65.12
2011-07-22,65.45,65.45,64.55,65.27,1684100,65.27
2011-07-21,65.47,65.89,65.26,65.55,3040400,65.55
2011-07-20,65.69,65.89,64.76,64.98,2256900,64.98
2011-07-19,64.54,64.78,64.00,64.41,3135900,64.41
2011-07-18,64.51,64.63,63.58,64.37,3165700,64.37
2011-07-15,65.72,65.72,63.84,64.62,4245200,64.62
2011-07-14,66.80,66.83,65.18,65.52,3856400,65.52
2011-07-13,66.93,67.25,66.38,66.50,2600800,66.50
2011-07-12,67.35,67.36,66.63,66.82,2085500,66.82
2011-07-11,67.48,67.84,67.00,67.31,2703500,67.31
2011-07-08,67.71,68.00,67.03,67.96,3285200,67.96
2011-07-07,68.89,69.74,68.06,68.50,5732300,68.50
2011-07-06,69.95,70.61,69.68,70.00,1715500,70.00
2011-07-05,70.38,70.56,69.41,69.99,2092000,69.99
2011-07-01,69.59,70.50,69.40,70.33,2103200,70.33
2011-06-30,69.00,69.90,68.81,69.35,2855000,69.35
2011-06-29,68.21,69.23,68.04,68.81,2096200,68.81
2011-06-28,67.09,68.17,66.92,68.11,2110500,68.11
2011-06-27,66.42,67.21,66.21,66.97,2020600,66.97
2011-06-24,66.30,66.67,65.37,66.35,3060400,66.35
2011-06-23,65.76,66.34,65.11,66.17,2404700,66.17
2011-06-22,66.12,67.31,66.12,66.51,2590200,66.51
2011-06-21,65.93,66.92,65.84,66.55,3084800,66.55
2011-06-20,64.53,65.83,64.53,65.73,1655800,65.73
2011-06-17,65.18,65.72,64.57,64.69,2707700,64.69
2011-06-16,63.65,64.83,63.40,64.72,2673800,64.72
2011-06-15,63.85,64.54,63.44,63.50,2206000,63.50
2011-06-14,64.16,64.65,63.97,64.47,2122300,64.47
2011-06-13,63.53,63.74,62.73,63.53,1772100,63.53
2011-06-10,63.29,63.47,62.50,62.51,2333300,62.51
2011-06-09,63.17,64.05,62.97,63.65,1868100,63.65
2011-06-08,63.27,63.51,62.97,63.13,1484100,63.13
2011-06-07,63.44,64.05,63.29,63.34,1618100,63.34
2011-06-06,63.27,63.86,63.06,63.17,2625700,63.17
2011-06-03,63.16,64.11,62.89,63.50,1619900,63.50
2011-06-02,63.69,64.19,63.47,63.80,1899900,63.80
2011-06-01,65.00,65.17,63.69,63.75,2232600,63.75
2011-05-31,65.19,65.49,64.72,65.29,2709100,65.29
2011-05-27,64.44,64.95,64.41,64.89,1373100,64.89
2011-05-26,64.07,64.55,63.67,64.36,2586000,64.36
2011-05-25,64.92,65.39,64.65,64.92,3047900,64.42
2011-05-24,65.20,65.79,64.98,65.60,3284400,65.09
2011-05-23,64.04,65.46,63.87,65.14,3810400,64.64
2011-05-20,64.93,65.05,64.39,64.50,1896800,64.00
2011-05-19,64.84,65.39,64.67,65.16,2225100,64.66
2011-05-18,64.55,64.97,64.39,64.69,1791400,64.19
2011-05-17,64.61,65.17,64.18,64.54,1994500,64.04
2011-05-16,64.68,65.03,64.34,64.78,1544900,64.28
2011-05-13,65.35,65.66,64.66,64.86,1455200,64.36
2011-05-12,64.91,65.72,64.84,65.36,1634200,64.86
2011-05-11,65.02,65.40,64.62,64.99,1549900,64.49
2011-05-10,65.00,65.36,64.78,65.02,1393000,64.52
2011-05-09,64.58,65.26,64.06,64.81,1264900,64.31
2011-05-06,64.67,65.15,64.25,64.45,2019400,63.95
2011-05-05,64.20,64.75,63.92,64.15,2032300,63.66
2011-05-04,65.18,65.55,64.32,64.47,2493600,63.97
2011-05-03,64.66,65.29,64.34,65.05,2791600,64.55
2011-05-02,63.92,64.28,63.38,64.17,2782500,63.68
2011-04-29,62.76,63.83,62.55,63.61,1665600,63.12
2011-04-28,62.55,63.20,62.50,63.09,2160600,62.60
2011-04-27,62.90,64.00,62.27,62.90,2271900,62.42
2011-04-26,61.81,62.69,61.72,62.49,1600000,62.01
2011-04-25,61.75,61.75,61.13,61.47,684500,61.00
2011-04-21,61.89,61.92,61.20,61.74,1060800,61.26
